,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
0,2018-08-13,21:00,Primera Div,Matchweek 1,Mon,Away,D,2,2,Tucumán,56.0,,Lisandro López,4-1-3-2,Néstor Pitana,Match Report,,14,6,,0,0,2019,Racing Club
1,2018-08-19,20:00,Primera Div,Matchweek 2,Sun,Home,W,2,0,Vélez Sarsf,42.0,,Lisandro López,4-1-3-2,Nicolás Lamolina,Match Report,,10,4,,0,0,2019,Racing Club
2,2018-08-24,19:00,Primera Div,Matchweek 3,Fri,Away,W,3,0,Patronato,63.0,,Ricardo Centurión,4-1-3-2,Fernando Espinoza,Match Report,,13,4,,1,1,2019,Racing Club
3,2018-09-02,11:00,Primera Div,Matchweek 4,Sun,Home,W,2,0,Rosario Cent,63.0,,Lisandro López,4-1-3-2,Patricio Loustau,Match Report,,12,6,,0,0,2019,Racing Club
4,2018-09-16,17:45,Primera Div,Matchweek 5,Sun,Away,W,1,0,Lanús,58.0,,Lisandro López,4-1-3-2,Nicolás Lamolina,Match Report,,10,4,,0,0,2019,Racing Club
5,2018-09-24,20:00,Primera Div,Matchweek 6,Mon,Home,W,1,0,CA Unión,64.0,,Lisandro López,4-1-3-2,Facundo Tello,Match Report,,10,4,,0,0,2019,Racing Club
6,2018-09-29,20:00,Primera Div,Matchweek 7,Sat,Away,W,2,0,Argentinos Jun,54.0,,Lisandro López,4-1-3-2,Jorge Baliño,Match Report,,14,5,,1,1,2019,Racing Club
7,2018-10-07,19:00,Primera Div,Matchweek 8,Sun,Home,D,2,2,Boca Juniors,42.0,,Lisandro López,4-1-3-2,Darío Herrera,Match Report,,14,6,,0,0,2019,Racing Club
8,2018-10-21,20:00,Primera Div,Matchweek 9,Sun,Away,L,1,2,San Martin,68.0,,Lisandro López,4-1-3-2,Nicolás Lamolina,Match Report,,18,9,,0,0,2019,Racing Club
9,2018-10-28,11:00,Primera Div,Matchweek 10,Sun,Home,W,2,1,San Lorenzo,72.0,,Lisandro López,4-1-3-2,Fernando Rapallini,Match Report,,21,7,,0,0,2019,Racing Club
10,2018-11-04,17:45,Primera Div,Matchweek 11,Sun,Home,W,1,0,Newell's OB,48.0,,Lisandro López,4-1-2-1-2◆,Silvio Trucco,Match Report,,10,5,,0,0,2019,Racing Club
11,2018-11-11,15:30,Primera Div,Matchweek 12,Sun,Away,W,3,0,Gimnasia ELP,53.0,,Lisandro López,4-1-3-2,Pablo Echavarría,Match Report,,12,8,,1,1,2019,Racing Club
12,2018-11-25,21:30,Primera Div,Matchweek 13,Sun,Home,D,0,0,Banfield,71.0,,Lisandro López,4-1-3-2,Germán Delfino,Match Report,,17,5,,0,0,2019,Racing Club
13,2018-12-03,21:30,Primera Div,Matchweek 14,Mon,Away,W,3,1,Talleres,60.0,,Lisandro López,4-1-3-2,Patricio Loustau,Match Report,,11,6,,1,1,2019,Racing Club
14,2018-12-09,21:30,Primera Div,Matchweek 15,Sun,Home,W,1,0,San Martín SJ,65.0,,Lisandro López,4-1-3-2,Diego Abal,Match Report,,16,8,,0,0,2019,Racing Club
15,2019-01-26,21:30,Primera Div,Matchweek 16,Sat,Away,W,3,1,Aldosivi,53.0,,Lisandro López,4-1-3-2,Germán Delfino,Match Report,,10,5,,1,1,2019,Racing Club
16,2019-02-03,19:20,Primera Div,Matchweek 17,Sun,Home,W,3,1,CA Huracán,62.0,,Lisandro López,4-1-3-2,Néstor Pitana,Match Report,,19,8,,1,1,2019,Racing Club
17,2019-02-10,19:20,Primera Div,Matchweek 18,Sun,Away,L,0,2,River Plate,48.0,,Lisandro López,4-4-2,Patricio Loustau,Match Report,,6,0,,0,0,2019,Racing Club
