,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
7,2021-07-18,18:00,Primera Div,Matchweek 1,Sun,Home,L,1,2,Colón,,,74,,Javier Pinola,3-4-3,Darío Herrera,Match Report,,21,8,,,0,0,2021,River Plate
9,2021-07-25,18:00,Primera Div,Matchweek 2,Sun,Home,W,4,0,CA Unión,,,75,,Franco Armani,4-4-2,Hernán Mastrángelo,Match Report,,15,5,,,0,0,2021,River Plate
10,2021-07-28,21:00,Primera Div,Matchweek 3,Wed,Away,W,3,0,Lanús,,,62,,Franco Armani,4-1-3-2,Fernando Rapallini,Match Report,,18,6,,,0,0,2021,River Plate
11,2021-08-01,18:00,Primera Div,Matchweek 4,Sun,Home,D,1,1,CA Huracán,,,74,,Franco Armani,4-2-3-1,Facundo Tello,Match Report,,18,6,,,0,0,2021,River Plate
12,2021-08-07,20:15,Primera Div,Matchweek 5,Sat,Away,L,1,2,Godoy Cruz,,,57,,Javier Pinola,4-2-3-1,Ariel Penel,Match Report,,16,5,,,0,0,2021,River Plate
14,2021-08-14,18:00,Primera Div,Matchweek 6,Sat,Home,W,2,0,Vélez Sarsf,,,47,,Franco Armani,4-3-3,Pablo Echavarría,Match Report,,11,5,,,1,1,2021,River Plate
16,2021-08-22,20:15,Primera Div,Matchweek 7,Sun,Away,D,1,1,Gimnasia ELP,,,65,,Franco Armani,4-4-2,Pablo Dóvalo,Match Report,,12,3,,,0,0,2021,River Plate
17,2021-08-26,21:00,Primera Div,Matchweek 8,Thu,Home,W,2,0,Aldosivi,,,69,,Franco Armani,3-4-3,Fernando Rapallini,Match Report,,14,7,,,0,1,2021,River Plate
18,2021-08-30,19:00,Primera Div,Matchweek 9,Mon,Away,W,2,1,Sarmiento,,,70,,Enzo Pérez,3-5-2,Facundo Tello,Match Report,,12,5,,,0,0,2021,River Plate
19,2021-09-05,21:15,Primera Div,Matchweek 10,Sun,Home,D,1,1,Independiente,,,55,,Enzo Pérez,4-3-3,Andrés Merlos,Match Report,,17,3,,,0,0,2021,River Plate
