,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
2,2017-05-13,19:00,Série A,Matchweek 1,Sat,Home,D,1,1,Chapecoense,67.0,31470.0,Rodriguinho Marinho,4-1-4-1,Elmo Alves Resende Cunha,Match Report,,5,2,,0,0,2017,Corinthians
3,2017-05-21,16:00,Série A,Matchweek 2,Sun,Away,W,1,0,Vitória,53.0,16515.0,Jádson,4-1-4-1,Pericles Bassols Pegado Cortez,Match Report,,12,4,,0,0,2017,Corinthians
4,2017-05-28,16:00,Série A,Matchweek 3,Sun,Away,W,1,0,Atl Goianiense,52.0,15220.0,Fagner,4-1-4-1,Paulo Henrique Schleinch Vollkopf,Match Report,,14,8,,0,0,2017,Corinthians
5,2017-06-03,19:00,Série A,Matchweek 4,Sat,Home,W,2,0,Santos,50.0,40169.0,Jô,4-2-3-1,Anderson Daronco,Match Report,,18,4,,0,0,2017,Corinthians
6,2017-06-07,21:45,Série A,Matchweek 5,Wed,Away,W,5,2,Vasco da Gama,43.0,16288.0,Jádson,4-2-3-1,Wagner Reway,Match Report,,10,6,,0,0,2017,Corinthians
7,2017-06-11,16:00,Série A,Matchweek 6,Sun,Home,W,3,2,São Paulo,55.0,42443.0,Cássio,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,11,6,,1,1,2017,Corinthians
8,2017-06-14,21:45,Série A,Matchweek 7,Wed,Home,W,1,0,Cruzeiro,52.0,30465.0,Fabián Balbuena,4-2-3-1,Leandro Pedro Vuaden,Match Report,,7,3,,0,0,2017,Corinthians
9,2017-06-18,11:00,Série A,Matchweek 8,Sun,Away,D,0,0,Coritiba,54.0,19534.0,Rodriguinho Marinho,4-2-3-1,Marcelo de Lima Henrique,Match Report,,5,0,,0,0,2017,Corinthians
10,2017-06-22,19:30,Série A,Matchweek 9,Thu,Home,W,3,0,Bahia,49.0,34250.0,Fagner,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,15,5,,0,0,2017,Corinthians
11,2017-06-25,16:00,Série A,Matchweek 10,Sun,Away,W,1,0,Grêmio,43.0,50116.0,Jô,4-2-3-1,Wilton Sampaio,Match Report,,5,3,,0,0,2017,Corinthians
13,2017-07-02,16:00,Série A,Matchweek 11,Sun,Home,W,1,0,Botafogo (RJ),66.0,40341.0,Cássio,4-2-3-1,Rodolpho Toski Marques,Match Report,,18,9,,0,1,2017,Corinthians
14,2017-07-08,19:00,Série A,Matchweek 12,Sat,Home,W,2,0,Ponte Preta,49.0,32877.0,Jádson,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,13,8,,0,0,2017,Corinthians
15,2017-07-12,21:45,Série A,Matchweek 13,Wed,Away,W,2,0,Palmeiras,39.0,39091.0,Fagner,4-2-3-1,Leandro Pedro Vuaden,Match Report,,3,2,,1,1,2017,Corinthians
16,2017-07-15,19:00,Série A,Matchweek 14,Sat,Home,D,2,2,Ath Paranaense,63.0,41201.0,Jô,4-2-3-1,Sandro Ricci,Match Report,,19,9,,0,0,2017,Corinthians
17,2017-07-19,21:00,Série A,Matchweek 15,Wed,Away,D,0,0,Avaí,73.0,10671.0,Rodriguinho Marinho,4-2-3-1,Wilton Sampaio,Match Report,,22,7,,0,0,2017,Corinthians
18,2017-07-23,16:00,Série A,Matchweek 16,Sun,Away,W,1,0,Fluminense,45.0,23863.0,Cássio,4-2-3-1,Rafael Traci,Match Report,,12,1,,0,0,2017,Corinthians
20,2017-07-30,16:00,Série A,Matchweek 17,Sun,Home,D,1,1,Flamengo,41.0,44682.0,Jô,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,8,3,,0,0,2017,Corinthians
21,2017-08-02,21:00,Série A,Matchweek 18,Wed,Away,W,2,0,Atlético Mineiro,43.0,45283.0,Cássio,4-2-3-1,Anderson Daronco,Match Report,,12,4,,0,0,2017,Corinthians
