,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
5,2019-04-27,21:00,Série A,Matchweek 1,Sat,Home,W,3,1,Cruzeiro,2.5,0.4,58.0,35016.0,Everton Ribeiro,4-2-3-1,Anderson Daronco,Match Report,,17,5,15.1,0,0,2019,Flamengo
6,2019-05-01,16:00,Série A,Matchweek 2,Wed,Away,L,1,2,Internacional,0.9,1.4,54.0,37001.0,Everton Ribeiro,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,11,5,19.4,0,0,2019,Flamengo
7,2019-05-05,16:00,Série A,Matchweek 3,Sun,Away,D,1,1,São Paulo,1.2,1.9,36.0,38749.0,Diego,4-1-4-1,Ricardo Marques Ribeiro,Match Report,,9,1,18.0,0,0,2019,Flamengo
9,2019-05-12,11:00,Série A,Matchweek 4,Sun,Home,W,2,1,Chapecoense,2.9,1.3,56.0,61023.0,Diego,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,18,6,18.4,0,1,2019,Flamengo
10,2019-05-18,19:00,Série A,Matchweek 5,Sat,Away,L,1,2,Atlético Mineiro,2.6,0.9,65.0,13616.0,Everton Ribeiro,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,24,10,13.6,0,0,2019,Flamengo
11,2019-05-26,16:00,Série A,Matchweek 6,Sun,Home,W,3,2,Ath Paranaense,1.6,2.9,50.0,52667.0,Diego,4-1-4-1,Daniel Nobre Bins,Match Report,,10,3,20.0,1,1,2019,Flamengo
12,2019-06-01,16:00,Série A,Matchweek 7,Sat,Home,W,2,0,Fortaleza,3.2,0.4,64.0,37658.0,Diego,4-2-3-1,Rodrigo D'Alonso Ferreira,Match Report,,21,7,15.8,0,0,2019,Flamengo
13,2019-06-09,19:00,Série A,Matchweek 8,Sun,Away,D,0,0,Fluminense,1.0,1.1,37.0,42726.0,Diego,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,11,2,16.4,0,0,2019,Flamengo
14,2019-06-12,21:30,Série A,Matchweek 9,Wed,Away,W,2,0,CSA,2.8,0.4,66.0,37673.0,Everton Ribeiro,4-2-3-1,Douglas Marques das Flores,Match Report,,24,10,19.8,0,0,2019,Flamengo
15,2019-07-14,11:00,Série A,Matchweek 10,Sun,Home,W,6,1,Goiás,5.4,0.5,72.0,65154.0,Diego,4-1-3-2,Caio Max Augusto Vieira,Match Report,,30,16,15.9,0,0,2019,Flamengo
16,2019-07-21,16:00,Série A,Matchweek 11,Sun,Away,D,1,1,Corinthians,0.9,1.3,54.0,34737.0,Diego,4-1-4-1,Leandro Pedro Vuaden,Match Report,,6,3,19.3,0,0,2019,Flamengo
18,2019-07-28,16:00,Série A,Matchweek 12,Sun,Home,W,3,2,Botafogo (RJ),2.0,1.3,61.0,45622.0,Diego Alves,4-4-2,Raphael Claus,Match Report,,15,5,16.8,0,0,2019,Flamengo
20,2019-08-04,16:00,Série A,Matchweek 13,Sun,Away,L,0,3,Bahia,0.9,1.3,67.0,43099.0,Everton Ribeiro,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,13,1,18.7,0,0,2019,Flamengo
21,2019-08-10,19:00,Série A,Matchweek 14,Sat,Home,W,3,1,Grêmio,2.3,1.1,57.0,57644.0,Diego Alves,4-2-2-2,Braulio da Silva Machado,Match Report,,18,5,19.2,0,0,2019,Flamengo
22,2019-08-17,19:00,Série A,Matchweek 15,Sat,Away,W,4,1,Vasco da Gama,3.6,2.4,57.0,65418.0,Diego Alves,4-2-3-1,Leandro Pedro Vuaden,Match Report,,16,9,13.8,1,1,2019,Flamengo
24,2019-08-25,19:00,Série A,Matchweek 16,Sun,Away,W,3,0,Ceará,1.6,0.7,49.0,49986.0,Diego Alves,4-1-4-1,Wilton Sampaio,Match Report,,10,5,16.1,0,0,2019,Flamengo
26,2019-09-01,16:00,Série A,Matchweek 17,Sun,Home,W,3,0,Palmeiras,1.7,0.1,66.0,65969.0,Everton Ribeiro,4-2-3-1,Rafael Traci,Match Report,,11,3,23.9,1,1,2019,Flamengo
27,2019-09-07,17:00,Série A,Matchweek 18,Sat,Away,W,3,0,Avaí,0.9,1.0,59.0,47575.0,Everton Ribeiro,4-2-3-1,Edina Alves Batista,Match Report,,9,5,17.8,0,0,2019,Flamengo
28,2019-09-14,17:00,Série A,Matchweek 19,Sat,Home,W,1,0,Santos,0.7,0.3,51.0,68243.0,Everton Ribeiro,4-2-3-1,Braulio da Silva Machado,Match Report,,12,2,19.6,0,0,2019,Flamengo
29,2019-09-21,17:00,Série A,Matchweek 20,Sat,Away,W,2,1,Cruzeiro,2.6,1.4,58.0,40333.0,Diego Alves,4-2-3-1,Raphael Claus,Match Report,,13,5,14.3,0,0,2019,Flamengo
30,2019-09-25,21:30,Série A,Matchweek 21,Wed,Home,W,3,1,Internacional,3.6,0.1,71.0,64548.0,Everton Ribeiro,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,20,6,20.7,1,1,2019,Flamengo
31,2019-09-28,19:00,Série A,Matchweek 22,Sat,Home,D,0,0,São Paulo,1.7,0.5,61.0,67051.0,Everton Ribeiro,4-2-3-1,Rafael Traci,Match Report,,17,7,19.5,0,0,2019,Flamengo
33,2019-10-06,11:00,Série A,Matchweek 23,Sun,Away,W,1,0,Chapecoense,2.1,0.2,64.0,12152.0,Everton Ribeiro,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,,24,5,18.4,0,0,2019,Flamengo
34,2019-10-10,20:00,Série A,Matchweek 24,Thu,Home,W,3,1,Atlético Mineiro,2.3,1.0,66.0,58788.0,Everton Ribeiro,4-2-3-1,Wilton Sampaio,Match Report,,19,6,17.7,0,0,2019,Flamengo
35,2019-10-13,16:00,Série A,Matchweek 25,Sun,Away,W,2,0,Ath Paranaense,1.9,1.5,41.0,25473.0,Everton Ribeiro,4-2-3-1,Braulio da Silva Machado,Match Report,,9,3,21.4,0,0,2019,Flamengo
36,2019-10-16,20:00,Série A,Matchweek 26,Wed,Away,W,2,1,Fortaleza,1.4,1.1,68.0,50101.0,Diego Alves,4-4-2,Paulo Roberto Alves Júnior,Match Report,,10,2,15.5,1,1,2019,Flamengo
37,2019-10-20,19:00,Série A,Matchweek 27,Sun,Home,W,2,0,Fluminense,1.8,1.3,47.0,52279.0,Everton Ribeiro,4-2-2-2,Anderson Daronco,Match Report,,16,7,17.6,0,0,2019,Flamengo
39,2019-10-27,20:00,Série A,Matchweek 28,Sun,Home,W,1,0,CSA,2.2,0.8,62.0,69846.0,Everton Ribeiro,4-1-3-2,Rodolpho Toski Marques,Match Report,,18,7,17.2,0,0,2019,Flamengo
40,2019-10-31,20:00,Série A,Matchweek 29,Thu,Away,D,2,2,Goiás,2.3,1.6,62.0,35170.0,Everton Ribeiro,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,12,6,16.3,0,0,2019,Flamengo
41,2019-11-03,17:00,Série A,Matchweek 30,Sun,Home,W,4,1,Corinthians,2.1,0.8,68.0,64985.0,Everton Ribeiro,4-2-2-2,Jean Pierre Goncalves Lima,Match Report,,15,4,20.5,0,1,2019,Flamengo
42,2019-11-07,20:00,Série A,Matchweek 31,Thu,Away,W,1,0,Botafogo (RJ),2.1,1.3,70.0,20958.0,Everton Ribeiro,4-2-3-1,Leandro Pedro Vuaden,Match Report,,18,3,18.9,0,0,2019,Flamengo
43,2019-11-10,19:00,Série A,Matchweek 32,Sun,Home,W,3,1,Bahia,2.8,0.7,66.0,65930.0,Everton Ribeiro,4-2-3-1,Caio Max Augusto Vieira,Match Report,,21,8,19.2,0,0,2019,Flamengo
44,2019-11-13,21:30,Série A,Matchweek 34,Wed,Home,D,4,4,Vasco da Gama,2.4,2.4,66.0,52757.0,Everton Ribeiro,4-2-3-1,Wilton Sampaio,Match Report,,11,4,11.0,0,0,2019,Flamengo
45,2019-11-17,16:00,Série A,Matchweek 33,Sun,Away,W,1,0,Grêmio,1.8,1.4,32.0,28541.0,Diego,4-2-3-1,Raphael Claus,Match Report,,8,4,20.6,1,1,2019,Flamengo
47,2019-11-27,21:30,Série A,Matchweek 35,Wed,Home,W,4,1,Ceará,4.4,1.0,66.0,67539.0,Diego,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,27,7,16.6,0,0,2019,Flamengo
48,2019-12-01,16:00,Série A,Matchweek 36,Sun,Away,W,3,1,Palmeiras,1.5,1.8,55.0,22219.0,Diego Alves,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,9,8,16.0,0,0,2019,Flamengo
49,2019-12-05,20:00,Série A,Matchweek 37,Thu,Home,W,6,1,Avaí,3.3,0.7,68.0,64648.0,Diego,4-2-3-1,Jefferson Ferreira de Moraes,Match Report,,21,13,18.7,0,0,2019,Flamengo
50,2019-12-08,16:00,Série A,Matchweek 38,Sun,Away,L,0,4,Santos,0.5,2.4,49.0,13310.0,Everton Ribeiro,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,5,1,19.1,0,0,2019,Flamengo
2,2019-04-28,11:00,Série A,Matchweek 1,Sun,Away,W,2,1,Grêmio,0.7,3.0,36.0,32318.0,Victor Ferraz,3-4-1-2,Bruno Arleu de Araujo,Match Report,,8,5,21.6,0,0,2019,Santos
3,2019-05-02,19:15,Série A,Matchweek 2,Thu,Home,W,2,1,Fluminense,1.9,1.1,44.0,10564.0,Vanderlei,4-3-3,Wilton Sampaio,Match Report,,22,10,16.5,0,0,2019,Santos
4,2019-05-05,16:00,Série A,Matchweek 3,Sun,Away,D,0,0,CSA,1.6,1.2,71.0,10313.0,Victor Ferraz,3-4-3,Rodolpho Toski Marques,Match Report,,17,7,17.4,0,0,2019,Santos
5,2019-05-12,16:00,Série A,Matchweek 4,Sun,Home,W,3,0,Vasco da Gama,3.2,1.0,55.0,12952.0,Victor Ferraz,4-3-3,Paulo Roberto Alves Júnior,Match Report,,23,7,19.8,0,0,2019,Santos
6,2019-05-18,19:00,Série A,Matchweek 5,Sat,Away,L,0,4,Palmeiras,0.9,2.6,65.0,32501.0,Vanderlei,3-5-2,Rafael Traci,Match Report,,13,4,22.8,0,0,2019,Santos
7,2019-05-26,16:00,Série A,Matchweek 6,Sun,Home,D,0,0,Internacional,0.4,0.8,62.0,12756.0,Victor Ferraz,4-3-3,Rodolpho Toski Marques,Match Report,,11,4,23.7,0,0,2019,Santos
8,2019-06-02,16:00,Série A,Matchweek 7,Sun,Away,W,1,0,Ceará,1.2,0.8,60.0,50809.0,Victor Ferraz,4-3-3,Ricardo Marques Ribeiro,Match Report,,12,3,18.5,0,0,2019,Santos
9,2019-06-09,19:00,Série A,Matchweek 8,Sun,Home,W,3,1,Atlético Mineiro,3.5,1.2,57.0,5794.0,Victor Ferraz,4-3-3,Dewson Fernando Freitas da Silva,Match Report,,23,4,17.5,1,1,2019,Santos
10,2019-06-12,21:30,Série A,Matchweek 9,Wed,Home,W,1,0,Corinthians,1.4,0.1,52.0,11831.0,Victor Ferraz,4-3-3,Wagner do Nascimento Magalhaes,Match Report,,19,4,16.8,0,0,2019,Santos
11,2019-07-13,19:00,Série A,Matchweek 10,Sat,Away,W,1,0,Bahia,1.9,1.2,61.0,18465.0,Victor Ferraz,3-4-3,Jean Pierre Goncalves Lima,Match Report,,16,5,19.7,0,1,2019,Santos
12,2019-07-21,11:00,Série A,Matchweek 11,Sun,Away,W,1,0,Botafogo (RJ),1.9,0.4,49.0,16248.0,Gustavo Henrique,4-3-3,Heber Roberto Lopes,Match Report,,13,4,15.0,0,0,2019,Santos
13,2019-07-28,16:00,Série A,Matchweek 12,Sun,Home,W,3,1,Avaí,2.1,0.8,60.0,12787.0,Victor Ferraz,4-3-3,Wagner Reway,Match Report,,18,10,13.9,0,0,2019,Santos
14,2019-08-04,11:00,Série A,Matchweek 13,Sun,Home,W,6,1,Goiás,3.7,1.1,61.0,13462.0,Victor Ferraz,3-2-4-1,Rafael Traci,Match Report,,19,7,15.6,0,0,2019,Santos
15,2019-08-10,17:00,Série A,Matchweek 14,Sat,Away,L,2,3,São Paulo,1.3,2.2,57.0,47277.0,Gustavo Henrique,4-3-3,Raphael Claus,Match Report,,14,3,18.5,0,0,2019,Santos
16,2019-08-18,16:00,Série A,Matchweek 15,Sun,Away,L,0,2,Cruzeiro,0.2,2.7,35.0,43604.0,Gustavo Henrique,3-4-3,Anderson Daronco,Match Report,,4,2,22.2,0,0,2019,Santos
17,2019-08-25,16:00,Série A,Matchweek 16,Sun,Home,D,3,3,Fortaleza,2.0,2.3,60.0,12515.0,Victor Ferraz,4-3-3,Rodrigo D'Alonso Ferreira,Match Report,,17,10,19.7,0,0,2019,Santos
18,2019-08-31,19:00,Série A,Matchweek 17,Sat,Away,W,1,0,Chapecoense,1.9,0.6,49.0,9052.0,Victor Ferraz,3-4-3,Bruno Arleu de Araujo,Match Report,,12,4,15.7,0,0,2019,Santos
19,2019-09-08,16:00,Série A,Matchweek 18,Sun,Home,D,1,1,Ath Paranaense,2.6,1.6,61.0,12589.0,Gustavo Henrique,3-4-3,Rodrigo Carvalhaes de Miranda,Match Report,,21,9,18.4,1,1,2019,Santos
