,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
2,2020-08-09,16:00,Série A,Matchweek 1,Sun,Home,L,0,1,Atlético Mineiro,2.2,0.7,63,,Everton Ribeiro,4-2-3-1,Raphael Claus,Match Report,,17,2,18.4,0.0,0,0,2020,Flamengo
3,2020-08-12,20:30,Série A,Matchweek 2,Wed,Away,L,0,3,Atl Goianiense,1.0,1.8,65,,Everton Ribeiro,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,9,3,16.5,0.0,0,0,2020,Flamengo
4,2020-08-15,19:30,Série A,Matchweek 3,Sat,Away,W,1,0,Coritiba,1.4,0.4,63,,Everton Ribeiro,4-2-3-1,Rodrigo D'Alonso Ferreira,Match Report,,18,7,20.1,1.0,0,0,2020,Flamengo
5,2020-08-19,19:15,Série A,Matchweek 4,Wed,Home,D,1,1,Grêmio,1.1,1.7,60,,Everton Ribeiro,4-2-3-1,Rafael Traci,Match Report,,7,1,25.9,1.0,1,1,2020,Flamengo
6,2020-08-23,11:00,Série A,Matchweek 5,Sun,Home,D,1,1,Botafogo (RJ),1.9,1.3,66,,Diego,4-4-2,Leandro Pedro Vuaden,Match Report,,14,4,21.3,1.0,1,1,2020,Flamengo
7,2020-08-30,16:00,Série A,Matchweek 6,Sun,Away,W,1,0,Santos,2.9,1.2,47,,Diego Alves,4-2-3-1,Wilton Sampaio,Match Report,,10,6,12.9,0.0,0,0,2020,Flamengo
8,2020-09-02,20:30,Série A,Matchweek 7,Wed,Away,W,5,3,Bahia,3.1,0.9,58,,Everton Ribeiro,4-2-3-1,Savio Pereira,Match Report,,20,8,17.7,1.0,0,0,2020,Flamengo
9,2020-09-05,17:00,Série A,Matchweek 8,Sat,Home,W,2,1,Fortaleza,1.7,1.0,62,,Everton Ribeiro,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,18,8,20.6,2.0,0,0,2020,Flamengo
10,2020-09-09,21:30,Série A,Matchweek 9,Wed,Away,W,2,1,Fluminense,1.8,0.6,53,,Diego,4-2-3-1,Raphael Claus,Match Report,,13,6,16.6,1.0,0,0,2020,Flamengo
11,2020-09-13,18:00,Série A,Matchweek 10,Sun,Away,L,0,2,Ceará,0.7,0.5,62,,Everton Ribeiro,4-2-3-1,Marielson Alves Silva,Match Report,,11,2,17.7,0.0,0,0,2020,Flamengo
14,2020-09-27,16:00,Série A,Matchweek 12,Sun,Away,D,1,1,Palmeiras,1.5,0.9,40,,Giorgian De Arrascaeta,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,10,4,20.2,1.0,0,0,2020,Flamengo
16,2020-10-04,16:00,Série A,Matchweek 13,Sun,Home,W,3,1,Ath Paranaense,2.1,1.0,54,,Giorgian De Arrascaeta,4-2-3-1,Rodrigo D'Alonso Ferreira,Match Report,,12,6,18.2,1.0,1,1,2020,Flamengo
17,2020-10-07,19:15,Série A,Matchweek 14,Wed,Home,W,3,0,Sport Recife,2.4,0.8,62,,Diego,4-2-3-1,Caio Max Augusto Vieira,Match Report,,16,7,18.9,1.0,0,0,2020,Flamengo
18,2020-10-10,17:00,Série A,Matchweek 15,Sat,Away,W,2,1,Vasco da Gama,0.6,1.3,62,,Diego,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,8,3,22.7,1.0,0,0,2020,Flamengo
19,2020-10-13,18:00,Série A,Matchweek 11,Tue,Home,W,2,1,Goiás,3.0,0.3,66,,Willian Arão,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,31,12,16.4,0.0,0,0,2020,Flamengo
20,2020-10-15,20:00,Série A,Matchweek 16,Thu,Home,D,1,1,Bragantino,2.0,1.0,69,,Diego,4-2-3-1,Daniel Nobre Bins,Match Report,,19,10,20.0,2.0,0,0,2020,Flamengo
