,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
2,2016-08-12,20:30,Ligue 1,Matchweek 1,Fri,Home,D,2,2,Guingamp,71.0,8019.0,Nabil Dirar,4-4-2,Jérôme Miguelgorry,Match Report,,18.0,4.0,,1.0,1.0,2017,Monaco
4,2016-08-20,17:00,Ligue 1,Matchweek 2,Sat,Away,W,1,0,Nantes,46.0,25908.0,Danijel Subašić,4-3-3,Stéphane Lannoy,Match Report,,8.0,3.0,,0.0,0.0,2017,Monaco
6,2016-08-28,20:45,Ligue 1,Matchweek 3,Sun,Home,W,3,1,Paris S-G,34.0,15219.0,Danijel Subašić,4-4-1-1,Ruddy Buquet,Match Report,,9.0,2.0,,1.0,1.0,2017,Monaco
7,2016-09-10,20:00,Ligue 1,Matchweek 4,Sat,Away,W,4,1,Lille,48.0,29373.0,Valère Germain,4-4-1-1,Tony Chapron,Match Report,,9.0,6.0,,0.0,0.0,2017,Monaco
9,2016-09-17,17:00,Ligue 1,Matchweek 5,Sat,Home,W,3,0,Rennes,47.0,4000.0,Radamel Falcao,4-4-2,Franck Schneider,Match Report,,17.0,7.0,,0.0,0.0,2017,Monaco
10,2016-09-21,19:00,Ligue 1,Matchweek 6,Wed,Away,L,0,4,Nice,50.0,21867.0,Radamel Falcao,4-2-3-1,Benoît Bastien,Match Report,,17.0,7.0,,0.0,0.0,2017,Monaco
11,2016-09-24,20:00,Ligue 1,Matchweek 7,Sat,Home,W,2,1,Angers,58.0,6019.0,Valère Germain,4-4-2,Jérôme Miguelgorry,Match Report,,14.0,4.0,,0.0,0.0,2017,Monaco
13,2016-10-01,20:00,Ligue 1,Matchweek 8,Sat,Away,W,7,0,Metz,57.0,19163.0,Valère Germain,4-4-2,Olivier Thual,Match Report,,14.0,9.0,,1.0,1.0,2017,Monaco
14,2016-10-14,19:00,Ligue 1,Matchweek 9,Fri,Away,L,1,3,Toulouse,43.0,17602.0,Valère Germain,4-4-2,Lionel Jaffredo,Match Report,,4.0,1.0,,0.0,0.0,2017,Monaco
16,2016-10-21,20:45,Ligue 1,Matchweek 10,Fri,Home,W,6,2,Montpellier,60.0,7619.0,Radamel Falcao,4-2-3-1,Amaury Delerue,Match Report,,14.0,9.0,,1.0,1.0,2017,Monaco
17,2016-10-29,20:00,Ligue 1,Matchweek 11,Sat,Away,D,1,1,Saint-Étienne,57.0,35890.0,Valère Germain,4-2-3-1,Ruddy Buquet,Match Report,,13.0,6.0,,0.0,0.0,2017,Monaco
19,2016-11-05,17:00,Ligue 1,Matchweek 12,Sat,Home,W,6,0,Nancy,58.0,5539.0,Radamel Falcao,4-4-2,François Letexier,Match Report,,16.0,8.0,,2.0,2.0,2017,Monaco
20,2016-11-18,19:00,Ligue 1,Matchweek 13,Fri,Away,W,3,0,Lorient,51.0,9574.0,Valère Germain,4-4-2,Frédy Fautrel,Match Report,,11.0,6.0,,0.0,0.0,2017,Monaco
22,2016-11-26,17:10,Ligue 1,Matchweek 14,Sat,Home,W,4,0,Marseille,57.0,14089.0,Radamel Falcao,4-4-2,Clément Turpin,Match Report,,16.0,9.0,,0.0,0.0,2017,Monaco
23,2016-11-29,21:00,Ligue 1,Matchweek 15,Tue,Away,D,1,1,Dijon,46.0,10263.0,Valère Germain,4-4-2,Tony Chapron,Match Report,,9.0,4.0,,0.0,0.0,2017,Monaco
24,2016-12-03,20:00,Ligue 1,Matchweek 16,Sat,Home,W,5,0,Bastia,54.0,7019.0,Radamel Falcao,4-4-2,Benoît Millot,Match Report,,12.0,7.0,,0.0,0.0,2017,Monaco
26,2016-12-10,17:30,Ligue 1,Matchweek 17,Sat,Away,W,4,0,Bordeaux,53.0,38803.0,Radamel Falcao,4-4-2,Benoît Bastien,Match Report,,16.0,6.0,,1.0,1.0,2017,Monaco
28,2016-12-18,20:45,Ligue 1,Matchweek 18,Sun,Home,L,1,3,Lyon,56.0,13129.0,Radamel Falcao,4-4-2,Ruddy Buquet,Match Report,,13.0,4.0,,0.0,0.0,2017,Monaco
29,2016-12-21,20:50,Ligue 1,Matchweek 19,Wed,Home,W,2,1,Caen,58.0,4319.0,Radamel Falcao,4-4-2,Bartolomeu Varela,Match Report,,21.0,6.0,,1.0,1.0,2017,Monaco
32,2017-01-15,21:00,Ligue 1,Matchweek 20,Sun,Away,W,4,1,Marseille,42.0,43814.0,Radamel Falcao,4-4-2,Clément Turpin,Match Report,,14.0,9.0,,0.0,0.0,2017,Monaco
