,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
1,2017-08-05,17:15,Ligue 1,Matchweek 1,Sat,Home,W,2,0,Amiens,2.6,0.3,68.0,46898.0,Thiago Silva,4-3-3,Mikael Lesage,Match Report,,16.0,5.0,17.0,0.0,0.0,2018,Paris Saint Germain
2,2017-08-13,21:00,Ligue 1,Matchweek 2,Sun,Away,W,3,0,Guingamp,2.0,0.1,73.0,18378.0,Thiago Silva,4-3-3,Antony Gautier,Match Report,,21.0,8.0,19.0,0.0,0.0,2018,Paris Saint Germain
3,2017-08-20,21:00,Ligue 1,Matchweek 3,Sun,Home,W,6,2,Toulouse,2.6,0.5,72.0,47221.0,Thiago Silva,4-3-3,Amaury Delerue,Match Report,,22.0,13.0,21.5,1.0,1.0,2018,Paris Saint Germain
4,2017-08-25,20:45,Ligue 1,Matchweek 4,Fri,Home,W,3,0,Saint-Étienne,2.2,0.7,61.0,46957.0,Thiago Motta,4-3-3,Clément Turpin,Match Report,,13.0,3.0,20.8,1.0,1.0,2018,Paris Saint Germain
5,2017-09-08,20:45,Ligue 1,Matchweek 5,Fri,Away,W,5,1,Metz,4.8,1.2,72.0,25015.0,Thiago Motta,4-2-3-1,Sébastien Desiage,Match Report,,23.0,11.0,14.2,0.0,0.0,2018,Paris Saint Germain
7,2017-09-17,21:00,Ligue 1,Matchweek 6,Sun,Home,W,2,0,Lyon,2.0,0.8,69.0,47191.0,Thiago Silva,4-2-3-1,Ruddy Buquet,Match Report,,13.0,4.0,15.8,0.0,1.0,2018,Paris Saint Germain
8,2017-09-23,17:00,Ligue 1,Matchweek 7,Sat,Away,D,0,0,Montpellier,0.8,0.2,74.0,20975.0,Thiago Silva,4-3-3,Clément Turpin,Match Report,,10.0,1.0,15.6,0.0,0.0,2018,Paris Saint Germain
10,2017-09-30,17:00,Ligue 1,Matchweek 8,Sat,Home,W,6,2,Bordeaux,2.0,2.1,59.0,47537.0,Marquinhos,4-2-3-1,François Letexier,Match Report,,10.0,8.0,18.0,1.0,1.0,2018,Paris Saint Germain
11,2017-10-14,17:00,Ligue 1,Matchweek 9,Sat,Away,W,2,1,Dijon,2.2,0.9,66.0,15160.0,Marquinhos,4-3-3,Jérôme Miguelgorry,Match Report,,18.0,8.0,15.8,0.0,0.0,2018,Paris Saint Germain
13,2017-10-22,21:00,Ligue 1,Matchweek 10,Sun,Away,D,2,2,Marseille,0.6,1.2,67.0,60410.0,Thiago Silva,4-3-3,Ruddy Buquet,Match Report,,7.0,3.0,14.9,0.0,0.0,2018,Paris Saint Germain
14,2017-10-27,20:45,Ligue 1,Matchweek 11,Fri,Home,W,3,0,Nice,3.1,0.3,66.0,47224.0,Thiago Silva,4-3-3,Tony Chapron,Match Report,,16.0,8.0,17.0,0.0,0.0,2018,Paris Saint Germain
16,2017-11-04,17:00,Ligue 1,Matchweek 12,Sat,Away,W,5,0,Angers,2.5,0.5,69.0,12381.0,Thiago Silva,4-3-3,Benoît Bastien,Match Report,,14.0,7.0,18.6,0.0,0.0,2018,Paris Saint Germain
