,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2020-08-22,21:00,Ligue 1,Matchweek 1,Sat,Home,D,1,1,Rennes,0.4,1.6,52.0,3975.0,José Fonte,4-2-2-2,Clément Turpin,Match Report,,5.0,1.0,24.8,0.0,0.0,0.0,2021,Lille
1,2020-08-30,13:00,Ligue 1,Matchweek 2,Sun,Away,W,1,0,Reims,1.2,0.3,50.0,,José Fonte,4-4-2,Stéphanie Frappart,Match Report,,10.0,3.0,21.0,0.0,0.0,0.0,2021,Lille
2,2020-09-13,13:00,Ligue 1,Matchweek 3,Sun,Home,W,1,0,Metz,1.5,0.8,61.0,,José Fonte,4-4-2,Jérémie Pignard,Match Report,,16.0,6.0,20.7,1.0,0.0,0.0,2021,Lille
3,2020-09-20,21:00,Ligue 1,Matchweek 4,Sun,Away,D,1,1,Marseille,1.5,0.7,44.0,,José Fonte,4-4-2,Hakim Ben El Hadj Salem,Match Report,,14.0,7.0,19.1,1.0,0.0,0.0,2021,Lille
4,2020-09-25,21:00,Ligue 1,Matchweek 5,Fri,Home,W,2,0,Nantes,1.8,0.8,54.0,,José Fonte,4-4-2,Willy Delajod,Match Report,,11.0,3.0,18.5,1.0,1.0,1.0,2021,Lille
5,2020-10-04,15:00,Ligue 1,Matchweek 6,Sun,Away,W,3,0,Strasbourg,1.8,1.6,53.0,,José Fonte,4-4-1-1,Mikael Lesage,Match Report,,12.0,6.0,20.3,0.0,0.0,0.0,2021,Lille
6,2020-10-18,21:00,Ligue 1,Matchweek 7,Sun,Home,W,4,0,Lens,2.5,0.4,57.0,,José Fonte,4-4-2,François Letexier,Match Report,,16.0,6.0,15.8,2.0,0.0,0.0,2021,Lille
8,2020-10-25,17:00,Ligue 1,Matchweek 8,Sun,Away,D,1,1,Nice,0.6,1.2,47.0,,José Fonte,4-4-2,Franck Schneider,Match Report,,12.0,4.0,23.1,0.0,0.0,0.0,2021,Lille
10,2020-11-01,21:00,Ligue 1,Matchweek 9,Sun,Home,D,1,1,Lyon,0.6,0.6,60.0,,José Fonte,4-4-2,Mikael Lesage,Match Report,,15.0,6.0,24.2,0.0,0.0,0.0,2021,Lille
12,2020-11-08,13:00,Ligue 1,Matchweek 10,Sun,Away,L,2,3,Brest,3.0,1.3,63.0,,José Fonte,4-4-2,Florent Batta,Match Report,,21.0,6.0,19.1,2.0,1.0,1.0,2021,Lille
13,2020-11-22,21:00,Ligue 1,Matchweek 11,Sun,Home,W,4,0,Lorient,3.6,0.9,64.0,,Benjamin André,4-4-2,Willy Delajod,Match Report,,31.0,13.0,18.2,0.0,0.0,0.0,2021,Lille
15,2020-11-29,21:00,Ligue 1,Matchweek 12,Sun,Away,D,1,1,Saint-Étienne,0.5,1.0,62.0,,José Fonte,4-4-2,Benoît Bastien,Match Report,,9.0,2.0,20.8,1.0,0.0,0.0,2021,Lille
17,2020-12-06,13:00,Ligue 1,Matchweek 13,Sun,Home,W,2,1,Monaco,1.3,0.9,42.0,,José Fonte,4-4-2,Jérôme Brisard,Match Report,,10.0,5.0,19.5,1.0,0.0,0.0,2021,Lille
19,2020-12-13,17:00,Ligue 1,Matchweek 14,Sun,Home,W,2,1,Bordeaux,1.1,0.7,56.0,,José Fonte,4-4-2,Eric Wattellier,Match Report,,15.0,5.0,19.2,1.0,0.0,0.0,2021,Lille
20,2020-12-16,19:00,Ligue 1,Matchweek 15,Wed,Away,W,2,0,Dijon,0.8,0.2,53.0,,José Fonte,4-4-1-1,Hakim Ben El Hadj Salem,Match Report,,10.0,5.0,19.4,2.0,0.0,0.0,2021,Lille
21,2020-12-20,21:00,Ligue 1,Matchweek 16,Sun,Home,D,0,0,Paris S-G,0.5,0.7,31.0,,José Fonte,4-4-1-1,François Letexier,Match Report,,8.0,3.0,19.8,0.0,0.0,0.0,2021,Lille
22,2020-12-23,21:00,Ligue 1,Matchweek 17,Wed,Away,W,3,2,Montpellier,1.8,1.5,53.0,,José Fonte,4-4-2,Clément Turpin,Match Report,,8.0,6.0,24.6,0.0,1.0,1.0,2021,Lille
23,2021-01-06,21:00,Ligue 1,Matchweek 18,Wed,Home,L,1,2,Angers,0.4,0.6,65.0,,José Fonte,4-4-2,Thomas Léonard,Match Report,,7.0,2.0,20.8,1.0,0.0,0.0,2021,Lille
24,2021-01-09,21:00,Ligue 1,Matchweek 19,Sat,Away,W,1,0,Nîmes,0.9,0.4,52.0,,José Fonte,3-4-3,Jérôme Brisard,Match Report,,10.0,2.0,15.3,0.0,0.0,0.0,2021,Lille
25,2021-01-17,17:00,Ligue 1,Matchweek 20,Sun,Home,W,2,1,Reims,1.6,0.3,61.0,,José Fonte,4-4-2,Benoît Millot,Match Report,,16.0,8.0,19.6,0.0,0.0,0.0,2021,Lille
26,2021-01-24,17:00,Ligue 1,Matchweek 21,Sun,Away,W,1,0,Rennes,0.5,0.7,33.0,,José Fonte,4-4-2,Eric Wattellier,Match Report,,9.0,4.0,20.9,1.0,0.0,0.0,2021,Lille
27,2021-01-31,17:00,Ligue 1,Matchweek 22,Sun,Home,W,1,0,Dijon,1.7,0.4,59.0,,José Fonte,4-4-2,Jérémie Pignard,Match Report,,14.0,2.0,17.6,0.0,0.0,0.0,2021,Lille
28,2021-02-03,19:00,Ligue 1,Matchweek 23,Wed,Away,W,3,0,Bordeaux,1.7,1.1,46.0,,José Fonte,4-4-2,Mikael Lesage,Match Report,,11.0,6.0,16.9,0.0,0.0,0.0,2021,Lille
29,2021-02-07,17:00,Ligue 1,Matchweek 24,Sun,Away,W,2,0,Nantes,1.5,0.7,56.0,,José Fonte,4-4-2,Stéphanie Frappart,Match Report,,15.0,3.0,19.9,1.0,0.0,0.0,2021,Lille
