,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
0,2016-08-20,20:45,Serie A,Matchweek 1,Sat,Home,W,2,1,Fiorentina,54.0,40184,Gianluigi Buffon,3-5-2,Davide Massa,Match Report,,19.0,4.0,,0,0,2017,Juventus
1,2016-08-27,18:00,Serie A,Matchweek 2,Sat,Away,W,1,0,Lazio,47.0,35000,Gianluigi Buffon,3-5-2,Marco Guida,Match Report,,13.0,5.0,,0,0,2017,Juventus
2,2016-09-10,18:00,Serie A,Matchweek 3,Sat,Home,W,3,1,Sassuolo,69.0,39040,Gianluigi Buffon,3-5-2,Marco Di Bello,Match Report,,23.0,10.0,,0,0,2017,Juventus
4,2016-09-18,18:00,Serie A,Matchweek 4,Sun,Away,L,1,2,Inter,52.0,76500,Gianluigi Buffon,3-5-2,Paolo Tagliavento,Match Report,,9.0,2.0,,0,0,2017,Juventus
5,2016-09-21,20:45,Serie A,Matchweek 5,Wed,Home,W,4,0,Cagliari,61.0,38733,Gianluigi Buffon,3-5-2,Maurizio Mariani,Match Report,,28.0,13.0,,0,0,2017,Juventus
6,2016-09-24,18:00,Serie A,Matchweek 6,Sat,Away,W,1,0,Palermo,53.0,27039,Gianluigi Buffon,3-5-2,Paolo Valeri,Match Report,,14.0,7.0,,0,0,2017,Juventus
8,2016-10-02,12:30,Serie A,Matchweek 7,Sun,Away,W,3,0,Empoli,57.0,15424,Gianluigi Buffon,3-5-2,Paolo Mazzoleni,Match Report,,27.0,11.0,,0,0,2017,Juventus
9,2016-10-15,20:45,Serie A,Matchweek 8,Sat,Home,W,2,1,Udinese,50.0,39199,Gianluigi Buffon,4-4-2,Claudio Gavillucci,Match Report,,15.0,5.0,,1,1,2017,Juventus
11,2016-10-22,20:45,Serie A,Matchweek 9,Sat,Away,L,0,1,Milan,58.0,75829,Gianluigi Buffon,3-5-2,Nicola Rizzoli,Match Report,,22.0,4.0,,0,0,2017,Juventus
12,2016-10-26,20:45,Serie A,Matchweek 10,Wed,Home,W,4,1,Sampdoria,62.0,38417,Giorgio Chiellini,3-5-2,Carmine Russo,Match Report,,15.0,8.0,,0,0,2017,Juventus
13,2016-10-29,20:45,Serie A,Matchweek 11,Sat,Home,W,2,1,Napoli,51.0,41409,Gianluigi Buffon,3-5-2,Gianluca Rocchi,Match Report,,10.0,3.0,,0,0,2017,Juventus
