,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2018-08-18,18:00,Serie A,Matchweek 1,Sat,Away,W,3,2,Chievo,3.1,1.1,72.0,29500.0,Giorgio Chiellini,4-2-3-1,Fabrizio Pasqua,Match Report,,27.0,10.0,17.1,1.0,0,0,2019,Juventus
1,2018-08-25,18:00,Serie A,Matchweek 2,Sat,Home,W,2,0,Lazio,1.6,0.3,55.0,40171.0,Giorgio Chiellini,4-3-3,Massimiliano Irrati,Match Report,,16.0,7.0,19.2,1.0,0,0,2019,Juventus
2,2018-09-01,20:30,Serie A,Matchweek 3,Sat,Away,W,2,1,Parma,2.3,1.9,65.0,20814.0,Giorgio Chiellini,4-3-3,Daniele Doveri,Match Report,,24.0,6.0,18.8,2.0,0,0,2019,Juventus
3,2018-09-16,15:00,Serie A,Matchweek 4,Sun,Home,W,2,1,Sassuolo,2.4,0.8,43.0,40563.0,Sami Khedira,4-3-1-2,Daniele Chiffi,Match Report,,18.0,4.0,15.7,1.0,0,0,2019,Juventus
5,2018-09-23,20:30,Serie A,Matchweek 5,Sun,Away,W,2,0,Frosinone,3.0,0.1,72.0,16000.0,Giorgio Chiellini,4-3-3,Piero Giacomelli,Match Report,,29.0,7.0,19.0,2.0,0,0,2019,Juventus
6,2018-09-26,21:00,Serie A,Matchweek 6,Wed,Home,W,2,0,Bologna,1.1,0.3,76.0,38472.0,Andrea Barzagli,3-5-1-1,Maurizio Mariani,Match Report,,15.0,8.0,20.7,1.0,0,0,2019,Juventus
7,2018-09-29,18:00,Serie A,Matchweek 7,Sat,Home,W,3,1,Napoli,2.8,1.5,51.0,39252.0,Giorgio Chiellini,4-3-1-2,Luca Banti,Match Report,,17.0,9.0,16.9,1.0,0,0,2019,Juventus
9,2018-10-06,18:00,Serie A,Matchweek 8,Sat,Away,W,2,0,Udinese,2.3,0.7,60.0,25000.0,Giorgio Chiellini,4-3-3,Rosario Abisso,Match Report,,21.0,7.0,15.7,0.0,0,0,2019,Juventus
10,2018-10-20,18:00,Serie A,Matchweek 9,Sat,Home,D,1,1,Genoa,1.8,1.0,63.0,37735.0,Leonardo Bonucci,4-3-3,Federico La Penna,Match Report,,21.0,3.0,17.8,0.0,0,0,2019,Juventus
12,2018-10-27,18:00,Serie A,Matchweek 10,Sat,Away,W,2,1,Empoli,1.7,0.3,57.0,15889.0,Paulo Dybala,4-4-2,Giampaolo Calvarese,Match Report,,19.0,6.0,20.3,1.0,1,1,2019,Juventus
13,2018-11-03,20:30,Serie A,Matchweek 11,Sat,Home,W,3,1,Cagliari,1.8,0.7,53.0,40644.0,Paulo Dybala,4-3-3,Maurizio Mariani,Match Report,,16.0,3.0,16.4,1.0,0,0,2019,Juventus
15,2018-11-11,20:30,Serie A,Matchweek 12,Sun,Away,W,2,0,Milan,1.3,0.9,59.0,74729.0,Giorgio Chiellini,4-3-3,Paolo Mazzoleni,Match Report,,15.0,6.0,19.2,2.0,0,0,2019,Juventus
16,2018-11-24,18:00,Serie A,Matchweek 13,Sat,Home,W,2,0,SPAL,1.6,0.5,45.0,41052.0,Mario Mandžukić,4-4-2,Federico La Penna,Match Report,,15.0,7.0,19.2,0.0,0,0,2019,Juventus
