,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
0,2017-07-21,19:00,Liga MX,Apertura 2017 Regular Season,Fri,Away,D,0,0,Morelia,56.0,26984.0,José María Basanta,4-3-3,Marco Antonio Nava,Match Report,,0,0,,0,0,2018,Monterrey
1,2017-07-29,19:00,Liga MX,Apertura 2017 Regular Season,Sat,Home,W,1,0,Veracruz,35.0,46130.0,José María Basanta,4-3-3,Jorge Rojas,Match Report,,0,0,,0,0,2018,Monterrey
2,2017-08-04,19:00,Liga MX,Apertura 2017 Regular Season,Fri,Away,W,3,0,Tijuana,39.0,26733.0,Dorlan Pabón,4-4-2,Fernando Guerrero,Match Report,,0,0,,0,0,2018,Monterrey
3,2017-08-12,19:00,Liga MX,Apertura 2017 Regular Season,Sat,Home,W,4,1,Guadalajara,42.0,49229.0,José María Basanta,4-4-2,Roberto García,Match Report,,0,0,,0,1,2018,Monterrey
4,2017-08-19,19:06,Liga MX,Apertura 2017 Regular Season,Sat,Away,W,2,1,León,46.0,21975.0,José María Basanta,4-4-2,Francisco Chacon,Match Report,,0,0,,0,0,2018,Monterrey
5,2017-08-23,21:00,Liga MX,Apertura 2017 Regular Season,Wed,Home,W,4,1,Toluca,54.0,46496.0,José María Basanta,4-4-2,Paul Delgadillo,Match Report,,0,0,,1,1,2018,Monterrey
6,2017-08-26,17:00,Liga MX,Apertura 2017 Regular Season,Sat,Away,D,1,1,Cruz Azul,48.0,21453.0,José María Basanta,4-3-3,Alfredo Peñaloza,Match Report,,0,0,,0,1,2018,Monterrey
7,2017-09-09,19:00,Liga MX,Apertura 2017 Regular Season,Sat,Home,W,1,0,Necaxa,46.0,50721.0,José María Basanta,4-3-3,Jorge Pérez,Match Report,,0,0,,0,1,2018,Monterrey
8,2017-09-16,19:00,Liga MX,Apertura 2017 Regular Season,Sat,Home,W,2,1,Atlas,61.0,47106.0,José María Basanta,4-3-3,Marco Antonio Nava,Match Report,,0,0,,0,1,2018,Monterrey
9,2017-09-30,17:00,Liga MX,Apertura 2017 Regular Season,Sat,Away,D,2,2,Querétaro,49.0,18348.0,José María Basanta,4-3-3,Diego Montaño,Match Report,,0,0,,1,1,2018,Monterrey
10,2017-10-14,19:00,Liga MX,Apertura 2017 Regular Season,Sat,Home,W,2,0,Pachuca,38.0,46888.0,José María Basanta,4-3-3,Eduardo Basulto,Match Report,,0,0,,0,0,2018,Monterrey
11,2017-10-18,21:00,Liga MX,Apertura 2017 Regular Season,Wed,Away,L,0,2,Puebla,55.0,6515.0,José María Basanta,4-3-3,César Arturo Ramos,Match Report,,0,0,,0,0,2018,Monterrey
12,2017-10-22,12:00,Liga MX,Apertura 2017 Regular Season,Sun,Away,W,1,0,UNAM,36.0,17845.0,José María Basanta,4-4-2,Francisco Chacon,Match Report,,0,0,,0,0,2018,Monterrey
