,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
0,2018-07-21,17:00,Liga MX,Apertura 2018 Regular Season,Sat,Home,W,3,0,Puebla,2.8,0.2,53.0,45385,José Corona,4-2-3-1,Roberto Ríos Jacome,Match Report,,17,7,20.2,1,1,2019,Cruz Azul
1,2018-07-28,21:06,Liga MX,Apertura 2018 Regular Season,Sat,Away,W,1,0,Guadalajara,0.4,1.0,43.0,37412,José Corona,4-2-3-1,Fernando Hernández,Match Report,,8,2,20.7,0,0,2019,Cruz Azul
2,2018-08-04,21:00,Liga MX,Apertura 2018 Regular Season,Sat,Home,W,1,0,UANL,0.2,0.3,31.0,55571,José Corona,4-5-1,Marco Antonio Nava,Match Report,,6,2,25.4,0,0,2019,Cruz Azul
3,2018-08-12,18:00,Liga MX,Apertura 2018 Regular Season,Sun,Away,D,1,1,Tijuana,0.6,1.8,44.0,27333,José Corona,4-5-1,Luis Santander,Match Report,,16,4,24.7,0,0,2019,Cruz Azul
4,2018-08-18,17:00,Liga MX,Apertura 2018 Regular Season,Sat,Home,W,3,0,León,2.2,0.7,51.0,30627,José Corona,4-1-3-2,César Arturo Ramos,Match Report,,9,5,11.5,0,0,2019,Cruz Azul
5,2018-08-22,19:00,Liga MX,Apertura 2018 Regular Season,Wed,Home,W,1,0,Toluca,1.2,0.7,44.0,31120,José Corona,4-5-1,Francisco Chacón,Match Report,,13,3,18.0,0,0,2019,Cruz Azul
6,2018-08-26,18:00,Liga MX,Apertura 2018 Regular Season,Sun,Away,D,1,1,Santos,0.7,2.0,46.0,28460,José Corona,4-2-3-1,Óscar Macias,Match Report,,6,1,18.2,0,0,2019,Cruz Azul
7,2018-09-01,17:00,Liga MX,Apertura 2018 Regular Season,Sat,Home,W,4,1,Veracruz,0.7,1.8,46.0,81070,José Corona,4-2-3-1,Roberto García,Match Report,,10,4,21.6,0,0,2019,Cruz Azul
8,2018-09-15,20:45,Liga MX,Apertura 2018 Regular Season,Sat,Away,L,0,2,Necaxa,0.4,1.3,51.0,22578,José Corona,4-1-4-1,César Arturo Ramos,Match Report,,12,3,24.7,0,0,2019,Cruz Azul
9,2018-09-22,21:00,Liga MX,Apertura 2018 Regular Season,Sat,Home,W,2,0,Atlas,1.0,1.7,56.0,18541,José Corona,4-4-2,Diego Montaño,Match Report,,10,4,24.8,0,0,2019,Cruz Azul
10,2018-09-29,19:00,Liga MX,Apertura 2018 Regular Season,Sat,Away,L,1,3,Pachuca,0.8,2.4,37.0,27512,José Corona,4-4-2,Fernando Guerrero,Match Report,,13,3,16.5,0,0,2019,Cruz Azul
11,2018-10-06,17:00,Liga MX,Apertura 2018 Regular Season,Sat,Home,W,2,1,Monterrey,1.4,0.8,68.0,27689,José Corona,3-5-2,Fernando Hernández,Match Report,,12,2,22.4,1,1,2019,Cruz Azul
12,2018-10-20,17:00,Liga MX,Apertura 2018 Regular Season,Sat,Away,L,0,2,Querétaro,1.0,2.7,45.0,29348,José Corona,4-3-3,Francisco Chacón,Match Report,,17,4,20.9,0,0,2019,Cruz Azul
13,2018-10-27,21:00,Liga MX,Apertura 2018 Regular Season,Sat,Home,D,0,0,América,0.4,0.4,51.0,62003,José Corona,4-2-3-1,Jorge Pérez,Match Report,,6,0,11.3,0,0,2019,Cruz Azul
14,2018-11-04,12:00,Liga MX,Apertura 2018 Regular Season,Sun,Away,W,2,1,UNAM,1.0,1.3,46.0,42717,José Corona,4-3-3,Jorge Rojas,Match Report,,11,4,17.5,0,0,2019,Cruz Azul
15,2018-11-10,17:00,Liga MX,Apertura 2018 Regular Season,Sat,Home,W,2,1,Lobos BUAP,2.7,1.0,59.0,27017,José Corona,3-4-3,César Arturo Ramos,Match Report,,22,9,17.0,0,0,2019,Cruz Azul
16,2018-11-23,19:00,Liga MX,Apertura 2018 Regular Season,Fri,Away,W,2,0,Morelia,1.3,1.4,48.0,28076,Guillermo Allison,4-2-3-1,Luis Santander,Match Report,,12,7,19.1,0,0,2019,Cruz Azul
17,2018-11-28,19:00,Liga MX,Quarter-finals,Wed,Away,W,2,0,Querétaro,1.2,0.3,45.0,29039,José Corona,4-2-3-1,Diego Montaño,Match Report,Leg 1 of 2,10,2,17.2,0,0,2019,Cruz Azul
18,2018-12-01,19:00,Liga MX,Quarter-finals,Sat,Home,D,1,1,Querétaro,0.3,0.9,51.0,30858,José Corona,4-2-3-1,Jorge Pérez,Match Report,Leg 2 of 2; Cruz Azul won,8,1,26.5,0,0,2019,Cruz Azul
19,2018-12-05,20:06,Liga MX,Semi-finals,Wed,Away,L,0,1,Monterrey,0.4,0.7,57.0,36721,José Corona,4-2-3-1,,Match Report,Leg 1 of 2,3,1,16.7,0,0,2019,Cruz Azul
20,2018-12-08,19:00,Liga MX,Semi-finals,Sat,Home,W,1,0,Monterrey,2.3,0.5,58.0,39307,José Corona,4-2-3-1,,Match Report,Leg 2 of 2; Cruz Azul won,11,3,22.2,0,1,2019,Cruz Azul
21,2018-12-13,20:30,Liga MX,Finals,Thu,Away,D,0,0,América,0.8,0.7,51.0,59244,José Corona,4-2-3-1,Fernando Guerrero,Match Report,Leg 1 of 2,7,1,20.8,0,0,2019,Cruz Azul
22,2018-12-16,18:30,Liga MX,Finals,Sun,Home,L,0,2,América,0.3,1.5,56.0,71240,José Corona,4-4-2,César Arturo Ramos,Match Report,Leg 2 of 2; América won,5,0,20.0,0,0,2019,Cruz Azul
23,2019-01-04,21:00,Liga MX,Clausura 2019 Regular Season,Fri,Away,D,1,1,Puebla,0.9,1.7,64.0,22777,José Corona,4-2-3-1,Edgar Rangel,Match Report,,11,3,25.3,0,0,2019,Cruz Azul
24,2019-01-12,19:00,Liga MX,Clausura 2019 Regular Season,Sat,Home,L,0,1,Guadalajara,0.5,1.3,60.0,32881,José Corona,4-2-3-1,Jorge Rojas,Match Report,,13,1,21.0,0,0,2019,Cruz Azul
25,2019-01-19,21:00,Liga MX,Clausura 2019 Regular Season,Sat,Away,W,1,0,UANL,1.1,0.4,34.0,41615,José Corona,4-4-2,Fernando Guerrero,Match Report,,6,1,19.0,1,1,2019,Cruz Azul
26,2019-01-26,17:00,Liga MX,Clausura 2019 Regular Season,Sat,Home,W,1,0,Tijuana,1.4,1.5,46.0,10311,José Corona,4-4-2,Oscar Mejia,Match Report,,11,3,25.9,1,1,2019,Cruz Azul
27,2019-02-02,19:00,Liga MX,Clausura 2019 Regular Season,Sat,Away,L,0,2,León,1.7,2.0,41.0,23289,José Corona,4-4-2,Diego Montaño,Match Report,,8,2,16.0,0,1,2019,Cruz Azul
28,2019-02-10,12:00,Liga MX,Clausura 2019 Regular Season,Sun,Away,D,1,1,Toluca,1.2,0.4,40.0,19221,José Corona,4-4-2,Francisco Chacón,Match Report,,7,2,19.9,0,0,2019,Cruz Azul
29,2019-02-16,17:00,Liga MX,Clausura 2019 Regular Season,Sat,Home,L,1,2,Santos,1.6,1.0,60.0,12231,José Corona,4-4-2,Eduardo Basulto,Match Report,,16,2,17.9,0,0,2019,Cruz Azul
30,2019-02-22,21:00,Liga MX,Clausura 2019 Regular Season,Fri,Away,D,1,1,Veracruz,3.3,0.6,61.0,17978,José Corona,4-4-2,Marco Antonio Nava,Match Report,,28,7,14.6,0,0,2019,Cruz Azul
31,2019-03-02,17:00,Liga MX,Clausura 2019 Regular Season,Sat,Home,W,2,1,Necaxa,1.3,1.0,51.0,17044,José Corona,4-3-3,Diego Montaño,Match Report,,13,3,22.4,0,0,2019,Cruz Azul
32,2019-03-08,21:00,Liga MX,Clausura 2019 Regular Season,Fri,Away,W,2,0,Atlas,2.2,0.5,43.0,33951,José Corona,4-3-3,Luis Santander,Match Report,,13,8,17.9,0,0,2019,Cruz Azul
33,2019-03-16,17:00,Liga MX,Clausura 2019 Regular Season,Sat,Home,W,4,1,Pachuca,1.6,0.5,46.0,15321,José Corona,4-3-3,Andonai Escobedo,Match Report,,13,4,24.1,1,1,2019,Cruz Azul
