,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2019-07-21,18:45,Liga MX,Apertura 2019 Regular Season,Sun,Home,W,3.0,0.0,Guadalajara,2.3,0.4,49.0,26572.0,Jonathan Orozco,4-4-2,Jorge Rojas,Match Report,,16,5,19.5,2,0,0,2020,Santos Laguna
1,2019-07-28,18:45,Liga MX,Apertura 2019 Regular Season,Sun,Home,W,3.0,0.0,FC Juárez,2.6,0.3,59.0,25181.0,Jonathan Orozco,4-4-2,Erick Yair Miranda,Match Report,,21,8,17.4,1,0,0,2020,Santos Laguna
2,2019-08-02,21:00,Liga MX,Apertura 2019 Regular Season,Fri,Away,W,2.0,1.0,Atlas,3.0,1.8,45.0,31317.0,Jonathan Orozco,4-4-2,Adonai Escobedo,Match Report,,25,7,18.0,1,0,0,2020,Santos Laguna
3,2019-08-11,18:45,Liga MX,Apertura 2019 Regular Season,Sun,Home,W,4.0,1.0,Puebla,2.7,1.5,34.0,22432.0,Jonathan Orozco,4-4-2,Diego Montaño,Match Report,,10,5,16.5,0,1,1,2020,Santos Laguna
4,2019-08-18,17:00,Liga MX,Apertura 2019 Regular Season,Sun,Away,L,0.0,3.0,Necaxa,2.3,2.3,56.0,14167.0,Jonathan Orozco,4-4-2,Alejandro Funk,Match Report,,21,4,20.9,3,0,0,2020,Santos Laguna
5,2019-08-23,21:00,Liga MX,Apertura 2019 Regular Season,Fri,Home,W,2.0,1.0,Monterrey,1.7,1.8,41.0,24012.0,Jonathan Orozco,4-2-3-1,Fernando Hernández,Match Report,,18,7,21.6,1,0,0,2020,Santos Laguna
6,2019-08-28,19:00,Liga MX,Apertura 2019 Regular Season,Wed,Away,D,2.0,2.0,León,2.4,1.1,34.0,21434.0,Jonathan Orozco,4-2-3-1,Luis Santander,Match Report,,16,4,21.8,2,1,1,2020,Santos Laguna
7,2019-09-15,18:45,Liga MX,Apertura 2019 Regular Season,Sun,Home,D,2.0,2.0,Pachuca,1.9,1.0,58.0,22677.0,Jonathan Orozco,4-2-3-1,Oscar Mejia,Match Report,,13,3,17.1,1,1,1,2020,Santos Laguna
8,2019-09-21,17:00,Liga MX,Apertura 2019 Regular Season,Sat,Away,W,3.0,2.0,Atlético,2.3,1.9,42.0,20759.0,Jonathan Orozco,4-2-3-1,Roberto García,Match Report,,15,9,18.3,0,0,0,2020,Santos Laguna
9,2019-09-25,19:00,Liga MX,Apertura 2019 Regular Season,Wed,Home,W,5.0,0.0,Veracruz,2.6,0.3,52.0,18622.0,Jonathan Orozco,4-2-3-1,Diego Montaño,Match Report,,18,11,17.9,1,0,0,2020,Santos Laguna
