Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Argentinos Juniors,1,Aldosivi,Home,Liga Profesional Argentina,2022,352,433,2,1.203523064,0,0.324046977,0.049721761,12,3,25.0000,0.0000,1,1.485716131,0,0.313993573,0.130169833,15,4,33.39,50,42.2857142,0.6144691,338,13,16,0,14,0,8.9655,0.1313,0.1137,11,10,1,0,3,1.07,1.6298,0.6850955,0.0706264,0.6144691
Argentinos Juniors,2,Sarmiento,Away,Liga Profesional Argentina,2022,4411,532,0,0.531433407,0.3540134,0,0.127469029,17,3,17.6471,0.0000,1,0.71004888,0.6898744,0.483890832,0.020174569,8,2,38.01,72,63.3064516,0.4860991,546,8,25,0,22,2,6.6957,0.0624,0.049,16,9,1,0,0,1.0654,1.5238,0.5830274,0.0969283,0.4860991
Argentinos Juniors,3,Independiente,Home,Liga Profesional Argentina,2022,4231,4231,2,0.677411333,0.6056114,0,0.071799958,14,3,21.4286,0.0000,1,1.209240526,0.1686132,0,0.947317537,10,1,32.235,58,65.6521739,0.5103636,496,11,13,0,25,4,9.6667,0.0519,0.0469,12,13,3,0,3,0.8096,1.8656,0.8201286,0.3103583,0.5103636
Argentinos Juniors,4,Newell's Old Boys,Away,Liga Profesional Argentina,2022,4231,541,0,0.458208514,0,0,0.062786664,15,2,13.3333,0.0000,1,1.210726541,0,0,0.74956716,12,6,36.12,71,74.1525423,0.5958381,574,14,24,0,25,4,6.963,0.043,0.0341,10,12,5,0,0,0.6412,2.0638,0.8699252,0.2740871,0.5958381
Argentinos Juniors,5,Arsenal de Sarandí,Home,Liga Profesional Argentina,2022,352,442,1,0.893604344,0,0,0.105336518,16,10,62.5000,0.0000,1,1.067609694,0,0.627104402,0.082134396,12,4,40.53,70,65.2671755,0.6663212,614,9,15,0,25,5,7.2857,0.0741,0.0651,15,10,1,0,1,1.1888,1.4972,0.5818897,-0.0844315,0.6663212
Argentinos Juniors,6,Central Córdoba (Santiago del Estero),Away,Liga Profesional Argentina,2022,3421,532,2,2.6239416,1.1842452,0,0.6579475,13,4,30.7692,0.0000,1,0.3668469,0.0713967,0,0.2954502,4,1,43.47,59,60.1063829,0.5631473,432,6,19,0,23,3,8.6897,0.621621622,0.432432432,8,6,2,0,3,2.8224,0.1092,0.6547974,0.0916501,0.5631473
Argentinos Juniors,7,Tigre,Home,Liga Profesional Argentina,2022,352,4141,2,0.9539479,0.8428225,0,0.1111254,13,4,30.7692,0.0000,1,1.8890855,0.7139457,0.096205734,0.3933908,11,4,29.3475,46,48.372093,0.5139005,330,7,19,1,17,1,9.2,0.5,0.375,7,12,2,1,3,0.6158,2.1536,0.1915648,-0.3223357,0.5139005
Argentinos Juniors,8,Barracas Central,Away,Liga Profesional Argentina,2022,352,4312,3,1.3679196,0.4353746,0,0.1074876,7,5,71.4286,0.0000,1,1.1050617,0.9895667,0,0.044392,13,7,27.405,61,47.4789915,0.2488961,418,9,16,0,20,3,12,0.419354839,0.35483871,10,12,2,0,3,1.6508,1.0382,0.5532307,0.3043346,0.2488961
Argentinos Juniors,9,Boca Juniors,Home,Liga Profesional Argentina,2022,3142,442,2,0.7832085,0.1275643,0,0.6556442,9,5,55.5556,0.0000,0,0.5126239,0.251255,0,0.2613689,6,1,35.385,37,45.1612903,0.3125451,317,3,10,0,8,1,17.4815,0.346153846,0.230769231,12,16,1,0,3,1.5756,1.023,0.161797,-0.1507481,0.3125451
Argentinos Juniors,10,Banfield,Away,Liga Profesional Argentina,2022,3142,4312,1,1.6724602,0.7412808,0,0.1266868,15,2,13.3333,0.0000,1,0.207649,0.1958544,0.052134119,0.0117946,7,2,55.965,61,67.8414096,0.3063667,500,5,28,0,21,3,7.7941,0.6875,0.5,17,12,2,0,1,2.6628,0.1974,0.214119,-0.0922477,0.3063667
Argentinos Juniors,11,San Lorenzo,Home,Liga Profesional Argentina,2022,3142,343,0,0.326114637,0,0,0.063863546,7,0,0.0000,0.0000,1,1.189490758,0,0.079798572,0.013714675,11,5,42.63,66,57.7669902,0.5864505,537,4,18,0,21,5,8.4444,0.0417,0.0266,16,12,0,0,0,0.5148,2.214,0.6956168,0.1091663,0.5864505
Argentinos Juniors,12,Talleres de Córdoba,Away,Liga Profesional Argentina,2022,3421,442,0,0.3423784,0.2620647,0.036635648,0.0803137,8,3,37.5000,0.0000,2,2.1069431,1.8639958,0,0.2195854,12,3,38.85,55,60.9523809,0.392813,390,5,20,0,23,3,7.5405,0.512195122,0.341463415,12,9,3,0,0,0.2288,2.6444,0.5016409,0.1088279,0.392813
Argentinos Juniors,13,Unión Santa Fe,Home,Liga Profesional Argentina,2022,4231,433,2,1.669495029,0,0.025111994,0.335189318,14,5,35.7143,0.0000,0,0.604258962,0,0.051928721,0.031414136,7,3,43.1025,56,61.3953488,0.5653115,436,10,24,1,14,1,6.7333,0.0331,0.0247,7,18,4,0,3,2.2188,0.5544,0.7058648,0.1405533,0.5653115
Argentinos Juniors,14,Estudiantes de La Plata,Home,Liga Profesional Argentina,2022,4231,541,1,1.820088785,0.8608804,0.293301731,0.875957161,17,3,17.6471,0.0000,0,0.879253898,0.6149408,0,0.264313037,10,2,37.38,53,53.7117903,0.6782923,469,12,21,0,19,1,9.4167,0.0349,0.0311,7,12,1,0,3,2.062,0.6856,0.7500982,0.0718059,0.6782923
Argentinos Juniors,15,Patronato,Away,Liga Profesional Argentina,2022,3412,4222,0,0.253245607,0.0143521,0,0.238893551,6,1,16.6667,0.0000,0,1.426351292,0.5096475,0,0.113284062,14,5,29.9775,50,42.3913043,0.2453925,324,9,10,0,12,0,9.8182,0.1293,0.0813,13,11,4,0,1,0.2992,2.5012,0.2714721,0.0260796,0.2453925
Argentinos Juniors,16,Platense,Home,Liga Profesional Argentina,2022,3412,532,0,0.6895591,0.1840294,0,0.5055297,12,3,25.0000,0.0000,2,0.39296207,0.2930512,0.131848142,0.0999109,8,3,41.16,69,62.5,0.589254,537,7,14,1,14,0,6.2059,0.028,0.022,13,16,2,0,0,1.6114,0.9592,0.5478324,-0.0414216,0.589254
Argentinos Juniors,17,Racing Club,Away,Liga Profesional Argentina,2022,41212,433,0,1.064397713,0.9006558,0,0.163741985,10,1,10.0000,0.0000,1,1.862173029,1.7153021,0,0.06634683,20,7,26.25,46,43.0830039,0.6518643,393,5,20,1,11,0,13.125,0.1711,0.1624,18,9,1,0,0,0.8218,1.945,0.5269477,-0.1249166,0.6518643
Argentinos Juniors,18,Rosario Central,Home,Liga Profesional Argentina,2022,3142,4141,2,2.254848,0.2933218,0.047248282,1.9615262,16,6,37.5000,0.0000,1,1.21156502,1.161143,0,0.050422,12,4,24.5175,50,48.9177489,0.3786755,394,6,22,1,19,3,11.4444,0.081,0.069,14,10,4,0,3,1.9474,0.7876,0.6337145,0.255039,0.3786755
Argentinos Juniors,19,Defensa y Justicia,Away,Liga Profesional Argentina,2022,3412,4141,1,1.660925409,1.2110219,0.074200794,0.362009555,10,2,20.0000,0.0000,2,1.424612165,1.2660752,0,0.095310256,12,5,34.755,54,64.9122807,0.619042,483,5,25,1,21,4,12.1034,0.0673,0.0604,6,15,3,0,0,1.5876,1.1244,0.8137351,0.1938613,0.619042
Argentinos Juniors,20,Atlético Tucumán,Home,Liga Profesional Argentina,2022,3412,442,1,1.586679487,0.9823205,0,0.539112442,20,4,20.0000,0.0000,2,0.317722254,0.1910526,0,0.126669563,5,2,44.625,67,70.4626334,0.6796938,548,8,24,0,40,0,5.4884,0.0372,0.0219,9,16,3,0,0,2.3912,0.3968,0.834755,0.1555928,0.6796938
Argentinos Juniors,21,Colón Santa Fe,Away,Liga Profesional Argentina,2022,3241,532,4,1.75690737,1.2791798,0,0.478483621,10,7,70.0000,0.0000,0,0.613417218,0.4927319,0.241985828,0.058071271,10,6,36.0675,58,54.6255506,0.4018536,511,10,18,1,16,2,11.84,0.0406,0.0237,10,12,0,0,3,2.2796,0.5066,0.7088589,0.3065949,0.4018536
Argentinos Juniors,22,River Plate,Home,Liga Profesional Argentina,2022,3241,343,0,0.672684697,0.393345,0.015729107,0.201794362,13,3,23.0769,0.0000,3,1.131858157,1.0305393,0.047193091,0.023840511,11,4,34.23,45,51.1013215,0.5865628,353,7,27,4,16,2,17.1818,0.0268,0.0199,20,11,1,0,0,0.9436,1.7368,0.7177115,0.1311487,0.5865628
Argentinos Juniors,23,Lanús,Away,Liga Profesional Argentina,2022,3421,433,4,2.210905551,1.4291565,0.066791862,0,15,13,86.6667,0.0000,0,0.341147212,0.2159855,0,0.125161724,0,2,40.74,70,64.3564356,0.6744849,649,5,23,0,15,2,8.8846,0.0571,0.0444,10,11,2,0,3,2.7286,0.1726,0.7611082,0.0864101,0.6744849
Argentinos Juniors,24,Huracán,Home,Liga Profesional Argentina,2022,3421,4231,1,0.644839687,0.1017595,0,0.463848114,13,4,30.7692,0.0000,1,1.456575307,1.3340776,0,0.122497604,8,4,47.565,56,57.7464788,0.4979868,477,8,23,1,14,0,7.5238,0.0889,0.0339,11,12,0,0,1,0.6318,2.1084,0.6750082,0.1770214,0.4979868
Argentinos Juniors,25,Godoy Cruz,Away,Liga Profesional Argentina,2022,3421,343,0,1.648543064,1.0592617,0,0.554358764,18,5,27.7778,0.0000,0,0.873329732,0.7990826,0,0.053676813,10,1,28.245,62,51.3274336,0.4201688,488,2,30,1,17,4,8.36,0.0223,0.0132,8,13,0,0,1,2.0142,0.708,0.1833556,-0.2368132,0.4201688
Argentinos Juniors,26,Gimnasia La Plata,Away,Liga Profesional Argentina,2022,3421,532,0,2.842822647,1.3945999,0,1.397221889,23,3,13.0435,0.0000,0,0.358189152,0.349009,0.035164524,0.009180173,9,2,42.21,64,64.9289099,0.9939851,465,7,37,0,27,4,4.8293,0.052,0.0364,15,11,3,0,1,2.792,0.131,1.1185581,0.124573,0.9939851
Argentinos Juniors,27,Vélez Sarsfield,Home,Liga Profesional Argentina,2022,343,442,2,1.131075017,0.85526,0,0.248206627,12,4,33.3333,0.0000,0,0.31492479,0.2625645,0,0.05236022,10,3,36.855,47,59.0697674,0.3564757,403,18,17,3,10,2,11.8788,0.1689,0.0337,10,11,3,0,3,2.1084,0.588,0.7479921,0.3915164,0.3564757
