Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Arsenal de Sarandí,,Chacarita Juniors,Away,Liga Profesional Argentina,2017,442,4411,2,0,0,0,0,10,8,80.0000,0.0000,2,0,0,0,0,16,0,0,55,47.7777777,0,430,4,0,4,20,0,0,0,0,12,13,3,0,1,0,0,0,0,0
Arsenal de Sarandí,,Atlético Tucumán,Away,Liga Profesional Argentina,2017,442,4231,0,0,0,0,0,11,1,9.0909,0.0000,0,0,0,0,0,18,0,0,37,48.3018867,0,286,12,0,0,14,0,0,0,0,11,16,3,0,1,0,0,0,0,0
Arsenal de Sarandí,,Tigre,Home,Liga Profesional Argentina,2017,442,442,0,0,0,0,0,11,1,9.0909,0.0000,0,0,0,0,0,19,0,0,55,48.2490272,0,388,6,0,2,12,0,0,0,0,17,12,0,0,1,0,0,0,0,0
Arsenal de Sarandí,,Argentinos Juniors,Away,Liga Profesional Argentina,2017,4231,433,2,0,0,0,0,11,3,27.2727,0.0000,3,0,0,0,0,15,0,0,31,35.6862745,0,230,7,0,1,8,0,0,0,0,10,22,4,0,0,0,0,0,0,0
Arsenal de Sarandí,,San Martín de San Juan,Home,Liga Profesional Argentina,2017,442,4231,0,0,0,0,0,13,3,23.0769,0.0000,1,0,0,0,0,14,0,0,46,60.6299212,0,345,12,0,0,21,0,0,0,0,15,13,0,0,0,0,0,0,0,0
Arsenal de Sarandí,,Banfield,Away,Liga Profesional Argentina,2017,4411,442,2,0,0,0,0,8,4,50.0000,0.0000,1,0,0,0,0,22,0,0,42,49.6062992,0,345,4,0,1,20,0,0,0,0,7,14,5,1,3,0,0,0,0,0
Arsenal de Sarandí,,Temperley,Home,Liga Profesional Argentina,2017,442,433,0,0,0,0,0,17,5,29.4118,0.0000,1,0,0,0,0,10,0,0,49,61.5384615,0,370,8,0,1,26,0,0,0,0,25,14,2,1,0,0,0,0,0,0
Arsenal de Sarandí,,San Lorenzo,Away,Liga Profesional Argentina,2017,4132,4141,0,0,0,0,0,6,3,50.0000,0.0000,1,0,0,0,0,12,0,0,48,43.5897435,0,373,12,0,0,18,0,0,0,0,12,14,2,0,0,0,0,0,0,0
Arsenal de Sarandí,,Defensa y Justicia,Away,Liga Profesional Argentina,2017,4231,4231,0,0,0,0,0,7,2,28.5714,0.0000,2,0,0,0,0,16,0,0,41,55.4112554,0,284,7,0,0,17,0,0,0,0,14,10,3,0,0,0,0,0,0,0
Arsenal de Sarandí,,Rosario Central,Home,Liga Profesional Argentina,2017,41212,442,4,0,0,0,0,23,9,39.1304,0.0000,0,0,0,0,0,16,0,0,45,48.3739837,0,330,17,0,1,28,0,0,0,0,10,12,1,0,3,0,0,0,0,0
