Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Banfield,1,Newell's Old Boys,Home,Liga Profesional Argentina,2022,4231,433,1,1.111245528,0,0,0.199605338,12,3,25.0000,0.0000,2,0.940608124,0,0.078827552,0.038346729,11,3,28.35,60,53.1707317,0.6367628,440,7,23,0,26,1,9.3462,0.0406,0.0178,14,6,1,0,0,1.5498,1.1142,0.7802628,0.1435,0.6367628
Banfield,2,Arsenal de Sarandí,Away,Liga Profesional Argentina,2022,4231,442,0,0.66460637,0,0.054454144,0.032713199,10,2,20.0000,0.0000,0,0.603896358,0.5211503,0.020772129,0.059939729,12,3,28.9275,59,45.3608247,0.2864215,388,12,11,1,19,0,9.95,0.0586,0.029,9,9,3,0,1,1.354,1.2394,0.5738066,0.2873851,0.2864215
Banfield,3,Central Córdoba (Santiago del Estero),Home,Liga Profesional Argentina,2022,4411,442,2,1.581510279,0,0.045228921,0.28636685,11,3,27.2727,0.0000,1,2.037756481,0,0,0.330241621,17,6,35.07,51,48.5849056,0.2775276,386,19,16,2,19,2,8.2973,0.0536,0.0297,9,16,2,0,3,1.1172,1.5996,0.5048364,0.2273088,0.2775276
Banfield,4,Tigre,Away,Liga Profesional Argentina,2022,4411,4231,1,1.441765133,0,0.079191588,0.02348127,9,4,44.4444,0.0000,0,0.842784203,0.7739993,0,0.068784923,14,6,35.2275,51,56.6502463,0.2283768,395,13,18,0,19,2,9.3714,0.0599,0.0182,12,12,3,0,3,1.6532,0.9842,0.0920772,-0.1362996,0.2283768
Banfield,5,Barracas Central,Home,Liga Profesional Argentina,2022,4411,4231,1,1.676400629,0,0,1.120261701,23,6,26.0870,95.6522,1,0.091165706,0,0,0.063303735,5,1,41.4225,68,69.0355329,0.5211689,438,7,28,1,22,1,6.1515,0.0743,0.0582,13,12,1,0,1,2.6494,0.193,0.672366,0.1511971,0.5211689
Banfield,6,Boca Juniors,Away,Liga Profesional Argentina,2022,433,4312,3,1.437157005,1.3230064,0.053612243,0.114150619,11,5,45.4545,0.0000,0,0.467809117,0.2611893,0,0.134403612,13,5,29.19,34,34.3891402,0.1789669,291,16,13,1,12,3,11.3714,0.0184,0.011,10,20,2,0,3,2.2104,0.543,0.108145,-0.0708219,0.1789669
Banfield,7,Unión Santa Fe,Home,Liga Profesional Argentina,2022,4231,4231,2,1.552206281,0.8510797,0.033987995,0.641916778,19,7,36.8421,0.0000,3,1.878569405,1.5682771,0,0.310292333,8,5,44.4675,65,67.1641791,0.5727188,437,19,25,6,34,4,5.6316,0.0425,0.025,8,9,1,0,0,1.1188,1.6402,0.535276,-0.0374428,0.5727188
Banfield,8,San Lorenzo,Home,Liga Profesional Argentina,2022,4231,343,1,1.338849007,0,0,0.655951384,20,7,35.0000,0.0000,1,1.372382129,0,0,0.05613542,7,3,41.2125,60,66.3101604,0.3792774,430,18,27,0,44,3,5.4,0.0909,0.0647,16,12,1,0,1,1.243,1.45,0.4239385,0.0446611,0.3792774
Banfield,9,Talleres de Córdoba,Away,Liga Profesional Argentina,2022,4231,442,0,1.097779156,0,0.027845301,0.024714718,8,3,37.5000,0.0000,1,1.024895508,0,0.206710514,0.191844391,17,5,32.76,51,41.2060301,0.6818454,390,14,16,0,14,1,9.8519,0.0198,0.0087,11,18,3,0,0,1.4558,1.2344,0.9214981,0.2396527,0.6818454
Banfield,10,Argentinos Juniors,Home,Liga Profesional Argentina,2022,4312,3142,1,0.207649,0.1958544,0.052134119,0.0117946,7,2,28.5714,0.0000,1,1.6724602,0.7412808,0,0.1266868,15,2,27.93,39,32.1585903,0.1951781,314,6,5,0,13,0,12.7586,0.333333333,0.181818182,12,17,4,0,1,0.1974,2.6628,0.314823,0.1196449,0.1951781
