Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Barracas Central,1,Central Córdoba (Santiago del Estero),Home,Liga Profesional Argentina,2022,4231,442,1,2.631073218,0,0,0.327988105,9,5,55.5556,0.0000,1,0.626122611,0,0,0.224590008,12,6,31.3425,45,54.5454545,0.1977159,287,8,13,0,21,2,9.1333,0.0708,0.0582,19,12,2,0,1,2.7504,0.1632,0.3433325,0.1456166,0.1977159
Barracas Central,2,Tigre,Away,Liga Profesional Argentina,2022,4231,4231,1,0.933667898,0,0,0.86553931,4,2,50.0000,0.0000,1,0.952847168,0,0,0.43884023,19,6,34.44,32,35.8585858,0.1497643,214,3,15,0,13,1,8.0714,0.0426,0.0112,9,23,2,0,1,1.3938,1.2438,0.0692713,-0.080493,0.1497643
Barracas Central,3,Unión Santa Fe,Home,Liga Profesional Argentina,2022,4141,442,1,1.848998248,0,0.351477802,0.301669121,19,5,26.3158,0.0000,2,1.005463347,0,0,0.189858163,15,5,33.4425,58,67.2064777,0.5990707,363,11,37,3,40,2,8.88,0.028,0.0208,13,7,2,0,0,2.0704,0.6898,0.3835527,-0.215518,0.5990707
Barracas Central,4,Boca Juniors,Home,Liga Profesional Argentina,2022,4231,4141,1,0.25608521,0,0,0.118769154,5,2,40.0000,0.0000,3,2.381094597,0,0,0.153689926,14,7,20.79,21,29.3193717,0.16375,175,4,6,0,5,1,20.68,0.0585,0.0174,11,15,4,1,0,0.0608,2.894,0.2208014,0.0570514,0.16375
Barracas Central,5,Banfield,Away,Liga Profesional Argentina,2022,4231,4411,1,0.091165706,0,0,0.063303735,4,1,25.0000,0.0000,1,1.676400629,0,0,1.120261701,23,6,28.5075,32,30.964467,0.1080794,211,8,3,0,10,1,11.7407,0.031,0.0185,12,13,4,0,1,0.193,2.6494,0.114018,0.0059386,0.1080794
Barracas Central,6,San Lorenzo,Home,Liga Profesional Argentina,2022,41212,3421,2,0.97710691,0,0,0.121617347,8,2,25.0000,0.0000,1,1.35271013,0,0.059649978,0.036834408,12,4,31.1325,46,51.2711864,0.7521543,309,7,17,2,10,1,8.4118,0.0696,0.0321,15,19,2,0,3,0.9974,1.6868,0.8416333,0.089479,0.7521543
Barracas Central,7,Talleres de Córdoba,Away,Liga Profesional Argentina,2022,4312,4231,2,1.517832618,0,0,0.101128424,10,6,60.0000,0.0000,0,0.414112576,0.3954655,0,0.018647151,14,5,33.285,28,30.1075268,0.3295447,203,4,6,0,11,0,15.52,0.1216,0.1141,15,13,2,0,3,2.2898,0.467,0.4306405,0.1010958,0.3295447
Barracas Central,8,Argentinos Juniors,Home,Liga Profesional Argentina,2022,4312,352,1,1.1050617,0.9895667,0,0.044392,13,7,53.8462,0.0000,3,1.3679196,0.4353746,0,0.1074876,7,5,33.8625,39,52.5210084,0.4326911,265,13,15,1,16,2,11.1667,0.631578947,0.421052632,9,10,2,0,0,1.0382,1.6508,0.4677907,0.0350996,0.4326911
Barracas Central,9,Estudiantes de La Plata,Away,Liga Profesional Argentina,2022,442,4231,1,0.179101296,0.1101951,0.036503408,0.029943634,5,4,80.0000,0.0000,3,1.611155254,1.2712516,0.088767298,0.313922736,23,6,24.15,36,32.173913,0.3638362,277,6,7,0,8,2,13.2174,0.0388,0.0151,7,14,3,0,0,0.2366,2.594,0.3776656,0.0138294,0.3638362
Barracas Central,10,Patronato,Home,Liga Profesional Argentina,2022,442,442,2,1.782927674,0,0.746458955,0.024045963,8,4,50.0000,0.0000,1,0.982876873,0,0.10019099,0.269014755,16,7,15.8025,48,46.4,0.6267926,264,6,19,0,19,1,10.2778,0.024,0.0192,17,10,3,0,3,2.1382,0.6172,0.6562501,0.0294575,0.6267926
Barracas Central,11,Platense,Away,Liga Profesional Argentina,2022,4132,4231,0,0.43246677,0,0,0.065435924,5,2,40.0000,0.0000,0,1.282190954,0,0,0.091823313,18,5,24.57,45,47.755102,0.3909392,337,7,7,2,10,3,12.5417,0.0277,0.0171,13,11,2,0,1,0.6286,2.08,0.4117848,0.0208456,0.3909392
Barracas Central,12,Racing Club,Home,Liga Profesional Argentina,2022,442,433,0,1.03351356,0,0,0.476869622,10,5,50.0000,0.0000,0,0.628902897,0,0,0.066625609,9,3,31.92,42,49.7991967,0.6008086,298,8,19,2,23,3,9.8286,0.1412,0.116,10,15,3,0,1,1.7336,0.9248,0.4304252,-0.1703834,0.6008086
Barracas Central,13,Rosario Central,Away,Liga Profesional Argentina,2022,442,4141,1,0.3532441,0.298309,0,0.0549351,4,2,50.0000,0.0000,3,1.799238,1.7770025,0.293453753,0.0222355,10,4,32.235,59,55.6962025,0.1946498,319,8,9,1,22,2,10.1667,0.1927,0.1725,13,7,2,0,0,0.3118,2.5144,0.2857242,0.0910744,0.1946498
Barracas Central,14,Defensa y Justicia,Home,Liga Profesional Argentina,2022,442,442,3,1.459441928,0.9055065,0,0.553935334,13,10,76.9231,0.0000,1,0.454385939,0.2805089,0,0.147920879,14,4,29.8725,43,43.3035714,0.4764538,267,10,18,4,21,1,10.4444,0.0934,0.0498,12,11,0,0,3,2.1806,0.557,0.4582298,-0.018224,0.4764538
Barracas Central,15,Atlético Tucumán,Away,Liga Profesional Argentina,2022,442,442,0,0.4926269,0.148553,0,0.3440739,15,2,13.3333,0.0000,4,1.8812293,1.857051,0.054480715,0.0241784,15,7,38.745,51,66.8246445,0.4781743,354,13,23,1,27,1,10.1667,0.039,0.023,14,14,2,0,0,0.3996,2.4168,0.5682822,0.0901079,0.4781743
Barracas Central,16,Colón Santa Fe,Home,Liga Profesional Argentina,2022,442,4132,1,2.33034677,1.6251927,0.128726065,0.643619744,18,3,16.6667,0.0000,0,0.823069435,0.6088105,0.143736467,0.105750579,7,1,30.555,50,59.057971,0.8554293,335,5,31,0,28,7,10.5185,0.3277,0.315,16,13,3,0,3,2.3976,0.4374,1.4644099,0.6089806,0.8554293
Barracas Central,17,River Plate,Away,Liga Profesional Argentina,2022,442,4132,0,0.668813394,0.3993336,0,0.170420302,9,0,0.0000,0.0000,2,1.473506864,1.2797817,0,0.193725131,15,4,28.4025,34,37.1287128,0.3862474,262,11,18,0,10,2,14.7407,0.0279,0.0214,17,9,3,0,0,0.7272,2.007,0.5422081,0.1559607,0.3862474
Barracas Central,18,Lanús,Home,Liga Profesional Argentina,2022,442,433,2,1.240051579,1.2400516,0.229890347,0,6,4,66.6667,0.0000,0,1.163853494,0.7725547,0,0.358203545,15,4,26.145,42,53.0465949,0.5511303,336,7,9,0,6,2,12.8519,0.0277,0.0241,7,11,3,0,3,1.4722,1.186,0.5912452,0.0401149,0.5511303
Barracas Central,19,Huracán,Away,Liga Profesional Argentina,2022,4231,4231,1,0.641387073,0.5225964,0,0.084589517,8,2,25.0000,0.0000,1,1.296306687,0.666609,0,0.606889774,17,7,22.68,38,45.6273764,0.2671488,269,11,16,0,19,6,10.4375,0.1029,0.0815,13,15,3,0,1,0.7952,1.9106,0.3784679,0.1113191,0.2671488
Barracas Central,20,Godoy Cruz,Home,Liga Profesional Argentina,2022,4231,433,3,2.440737284,2.1821429,0,0.258594336,18,11,61.1111,0.0000,1,1.168775547,0.2723751,0,0.114651245,15,5,30.0825,45,55.9471365,0.3307357,276,8,33,0,22,3,8.6667,0.0321,0.0149,16,10,1,0,3,2.3444,0.4604,0.333668,0.0044389,0.3307357
Barracas Central,21,Vélez Sarsfield,Away,Liga Profesional Argentina,2022,4231,4231,0,0.672402537,0.1785837,0,0.493818881,7,3,42.8571,0.0000,1,1.887011769,0.9241143,0.514420599,0.181148468,12,4,23.31,54,50.4385964,0.3466098,351,9,15,0,22,1,10.7619,0.0737,0.0574,15,12,4,0,0,0.3992,2.4062,0.2988705,-0.04739,0.3466098
Barracas Central,22,Gimnasia La Plata,Home,Liga Profesional Argentina,2022,442,4231,1,1.830920669,0.8659831,0,0.96493762,16,5,31.2500,0.0000,1,1.459208774,1.175283,0.069260083,0.26285837,20,5,27.825,49,52.2222222,0.4603177,306,9,30,0,25,2,6.9143,0.0808,0.0615,15,9,1,0,1,1.6944,1.0542,0.7597274,0.2994097,0.4603177
Barracas Central,23,Aldosivi,Away,Liga Profesional Argentina,2022,4231,4312,0,0.664394649,0.5796145,0,0.038665004,13,3,23.0769,0.0000,2,1.207904812,1.0364535,0,0.17145136,6,3,32.6025,61,68.1003584,0.5721043,472,9,23,2,30,6,13.9474,0.171,0.1619,15,9,0,0,0,0.7842,1.9152,0.6588433,0.086739,0.5721043
Barracas Central,24,Sarmiento,Home,Liga Profesional Argentina,2022,433,442,1,1.357799112,0.5561813,0,0.019868923,18,6,33.3333,0.0000,1,0.394924317,0.3408303,0,0.054094091,9,1,26.88,60,70,0.4583118,444,7,14,0,18,10,9.7308,0.0437,0.0379,11,5,1,0,1,2.325,0.4242,0.6273439,0.1690321,0.4583118
Barracas Central,25,Independiente,Away,Liga Profesional Argentina,2022,442,433,2,0.741768542,0.7188814,0.030261453,0,10,5,50.0000,0.0000,2,1.618515883,1.2369037,0.022610167,0.381612189,21,7,29.19,37,45.490196,0.4301873,307,14,13,1,15,4,16.3182,0.0201,0.0176,6,4,1,0,1,0.7516,1.9864,0.5733356,0.1431483,0.4301873
Barracas Central,26,Arsenal de Sarandí,Away,Liga Profesional Argentina,2022,442,4231,2,1.830899826,0.2518327,0,0.771741152,13,7,53.8462,192.3077,1,0.664100591,0.4011274,0.266426504,0.217779769,13,1,28.035,43,41.7840375,0.446013,287,6,11,0,8,0,11.913,0.061,0.0489,8,10,0,0,3,2.4238,0.3862,0.5122499,0.0662369,0.446013
Barracas Central,27,Newell's Old Boys,Home,Liga Profesional Argentina,2022,4141,343,1,2.388929043,0.825431,0,0,10,4,40.0000,0.0000,1,0.587900186,0.4020829,0,0.185817273,11,4,19.11,55,59.9250936,0.3301389,404,11,24,2,23,5,10.6957,0.0649,0.0378,10,11,1,0,1,2.7166,0.1858,0.4462983,0.1161594,0.3301389
