Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Belgrano,,Racing Club,Home,Liga Profesional Argentina,2017,4411,4132,2,0,0,0,0,17,6,35.2941,0.0000,2,0,0,0,0,6,0,0,32,41.1764705,0,217,13,0,2,18,0,0,0,0,14,11,2,0,1,0,0,0,0,0
Belgrano,,Newell's Old Boys,Away,Liga Profesional Argentina,2017,4231,4231,1,0,0,0,0,10,3,30.0000,0.0000,0,0,0,0,0,11,0,0,44,37.7192982,0,395,7,0,0,13,0,0,0,0,14,15,2,0,3,0,0,0,0,0
Belgrano,,Independiente,Home,Liga Profesional Argentina,2017,4231,4411,0,0,0,0,0,19,5,26.3158,0.0000,0,0,0,0,0,9,0,0,45,45.2127659,0,316,11,0,0,25,0,0,0,0,10,16,0,1,1,0,0,0,0,0
Belgrano,,Boca Juniors,Away,Liga Profesional Argentina,2017,4231,433,0,0,0,0,0,16,6,37.5000,0.0000,4,0,0,0,0,16,0,0,45,45.1807228,0,369,8,0,2,13,0,0,0,0,12,12,4,1,0,0,0,0,0,0
Belgrano,,Talleres de Córdoba,Home,Liga Profesional Argentina,2017,4411,433,0,0,0,0,0,9,1,11.1111,0.0000,0,0,0,0,0,7,0,0,43,51.3513513,0,274,8,0,0,23,0,0,0,0,13,19,2,0,1,0,0,0,0,0
Belgrano,,Atlético Tucumán,Away,Liga Profesional Argentina,2017,442,4231,0,0,0,0,0,20,4,20.0000,0.0000,0,0,0,0,0,10,0,0,50,50,0,306,12,0,1,30,0,0,0,0,12,18,4,0,1,0,0,0,0,0
Belgrano,,Tigre,Home,Liga Profesional Argentina,2017,41212,4411,0,0,0,0,0,12,5,41.6667,0.0000,0,0,0,0,0,8,0,0,67,60.1063829,0,418,11,0,0,31,0,0,0,0,15,12,1,0,1,0,0,0,0,0
Belgrano,,Argentinos Juniors,Away,Liga Profesional Argentina,2017,4231,433,2,0,0,0,0,13,6,46.1538,0.0000,1,0,0,0,0,7,0,0,40,48.9898989,0,287,11,0,0,18,0,0,0,0,15,19,4,0,3,0,0,0,0,0
Belgrano,,Temperley,Home,Liga Profesional Argentina,2017,4141,442,2,0,0,0,0,27,8,29.6296,0.0000,3,0,0,0,0,8,0,0,58,60.3375527,0,381,15,0,1,23,0,0,0,0,16,14,4,0,0,0,0,0,0,0
Belgrano,,San Lorenzo,Away,Liga Profesional Argentina,2017,4411,4411,0,0,0,0,0,14,3,21.4286,0.0000,2,0,0,0,0,12,0,0,52,49.3023255,0,402,11,0,1,29,0,0,0,0,13,11,4,0,0,0,0,0,0,0
