Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Boca Juniors,1,Unión Santa Fe,Away,Liga Profesional Argentina,2021,442,532,1,0.49395246,0.4189151,0,0.075037345,5,2,40.0000,0.0000,1,0.761423367,0.6614974,0,0.055966607,14,6,28.98,45,37.7192982,0.4330041,368,5,13,0,13,1,9.5938,0.0283,0.0121,18,25,3,0,1,1.0726,1.519,0.448832,0.0158279,0.4330041
Boca Juniors,2,Banfield,Away,Liga Profesional Argentina,2021,4231,4231,0,0.826251073,0.563827,0,0.181787666,11,1,9.0909,0.0000,0,0.444051597,0.3357368,0,0.108314773,10,2,37.0125,46,49.7409326,0.329784,321,15,20,0,14,4,9.75,0.0403,0.0254,15,15,3,0,1,1.7342,0.8732,0.4540576,0.1242736,0.329784
Boca Juniors,3,San Lorenzo,Home,Liga Profesional Argentina,2021,4132,4231,0,0.533470713,0.4149848,0.03895475,0,12,0,0.0000,0.0000,2,1.679784601,0.6981745,0,0.144258916,7,2,39.27,59,61.4942528,0.2441959,512,19,8,0,12,0,11.0769,0.0462,0.0188,23,14,1,0,0,0.3918,2.4102,0.3579,0.1137041,0.2441959
Boca Juniors,4,Talleres de Córdoba,Away,Liga Profesional Argentina,2021,4141,4231,0,0.725941881,0.5020596,0.378504932,0.123745132,9,0,0.0000,0.0000,0,1.046342062,0.8932552,0,0.028980162,15,3,40.6875,55,50,0.2818476,447,7,7,1,13,0,7.1395,0.1616,0.1468,20,18,3,0,1,1.0268,1.6388,0.4381168,0.1562692,0.2818476
Boca Juniors,5,Argentinos Juniors,Home,Liga Profesional Argentina,2021,433,3412,1,0.355959555,0.1767896,0,0.153229192,6,3,50.0000,0.0000,1,0.646067146,0.0963338,0,0.461300653,7,1,37.275,62,52.7196652,0.2870628,481,10,11,1,13,0,6.0789,0.0759,0.0604,19,12,2,1,1,0.9838,1.5784,0.2285358,-0.058527,0.2870628
Boca Juniors,6,Estudiantes de La Plata,Away,Liga Profesional Argentina,2021,3412,442,0,0.378984228,0.243168,0,0.078132844,10,1,10.0000,0.0000,1,0.293230074,0.1546769,0,0.138553176,9,3,40.635,64,55.9471365,0.3452696,577,6,8,4,22,4,8.5172,0.0591,0.0457,22,17,1,0,0,1.3114,1.1194,0.3685014,0.0232318,0.3452696
Boca Juniors,7,Patronato,Home,Liga Profesional Argentina,2021,433,4411,1,0.530430872,0.5113282,0.046845622,0.019102719,10,1,10.0000,0.0000,0,0.47504335,0.4383355,0.324145913,0,7,3,39.69,72,69.6035242,0.4039246,569,26,17,0,31,2,6.4138,0.1421,0.0486,14,9,0,0,3,1.3,1.2454,0.6270732,0.2231486,0.4039246
Boca Juniors,8,Platense,Away,Liga Profesional Argentina,2021,4312,442,3,1.103612566,0.9642477,0,0.062475106,15,5,33.3333,0.0000,1,0.659478273,0.2516325,0,0.34153688,7,2,43.995,64,72.4137931,0.3686704,561,14,27,1,16,2,6.3864,0.0423,0.028,13,17,1,0,3,1.717,0.9562,0.4507635,0.0820931,0.3686704
Boca Juniors,9,Racing Club,Home,Liga Profesional Argentina,2021,4312,4231,0,0.844285,0.5890401,0,0.2552449,11,4,36.3636,0.0000,0,0.22188637,0.2218863,0,0,8,1,40.215,60,61.2765957,0.4857418,529,14,19,1,26,2,6.4651,0.042,0.0236,8,14,1,0,1,2.0088,0.6138,0.8449183,0.3591765,0.4857418
Boca Juniors,10,Rosario Central,Away,Liga Profesional Argentina,2021,41212,4312,2,1.619433179,1.5451978,0,0.074235419,19,7,36.8421,0.0000,1,1.453082802,0.7478657,0.162542455,0.667948047,15,5,23.31,60,62.4434389,0.3020833,426,16,33,1,39,3,6.9063,0.0734,0.0647,11,7,2,0,3,1.4634,1.284,0.6588844,0.3568011,0.3020833
Boca Juniors,11,Defensa y Justicia,Home,Liga Profesional Argentina,2021,4312,343,0,1.231651174,1.0178533,0,0.13621028,14,3,21.4286,0.0000,0,0.992339471,0.6107544,0.307053126,0.381585036,11,3,41.58,59,72.9083665,0.7741518,544,7,31,1,33,5,7.7857,0.032,0.0252,10,9,1,0,1,1.5604,1.1314,1.1772661,0.4031143,0.7741518
Boca Juniors,12,Atlético Tucumán,Away,Liga Profesional Argentina,2021,4312,442,2,2.064126203,1.265844,0.13655635,0.798282169,14,6,42.8571,192.8571,1,0.389700026,0.3480106,0,0,7,1,33.1275,49,46.8181818,0.6268703,412,6,19,2,12,4,12.6296,0.0464,0.0157,17,9,1,0,3,2.5754,0.2678,0.8631933,0.236323,0.6268703
Boca Juniors,13,Colón Santa Fe,Home,Liga Profesional Argentina,2021,433,352,1,0.572768999,0.513393,0,0.059375949,13,3,23.0769,0.0000,0,0.393340255,0.311992,0,0.057911735,7,2,46.095,59,63.9269406,0.4836435,474,8,21,0,21,1,5.2182,0.0833,0.0671,11,17,2,0,3,1.4796,1.059,0.5440595,0.060416,0.4836435
Boca Juniors,14,River Plate,Away,Liga Profesional Argentina,2021,433,4321,1,0.5450712,0.1951339,0.098433401,0.3499373,7,1,14.2857,0.0000,2,1.55350417,1.2501056,0,0.3033985,8,4,33.81,30,23.0434782,0.2126661,289,13,2,0,4,1,14.2424,0.0452,0.0183,20,14,0,1,0,0.5258,2.2208,0.3052842,0.0926181,0.2126661
Boca Juniors,15,Lanús,Home,Liga Profesional Argentina,2021,4321,442,4,2.929151404,1.045252,0.157005698,1.025854225,27,10,37.0370,0.0000,2,0.997187665,0.4859345,0,0.511253197,7,3,33.4425,64,63.59447,0.268047,539,15,40,0,28,7,12.1,0.1184,0.0141,10,11,2,0,3,2.59,0.283,0.5175454,0.2494984,0.268047
Boca Juniors,16,Huracán,Away,Liga Profesional Argentina,2021,4321,433,3,1.915015378,1.0427349,0.101577923,0.036250282,13,6,46.1538,0.0000,0,1.299464319,1.0126239,0,0.286840507,17,5,30.5025,60,57.1428571,0.4435836,498,15,24,2,11,3,8.4333,0.0371,0.0218,9,8,2,0,3,1.8346,0.9052,0.5551952,0.1116116,0.4435836
Boca Juniors,17,Godoy Cruz,Home,Liga Profesional Argentina,2021,4321,433,2,2.3751457,2.3470179,0.948899329,0.0281278,15,7,46.6667,0.0000,1,1.16874683,1.1511075,0.020192986,0.0176393,16,7,48.405,55,54.6558704,0.542736,472,17,27,3,17,2,7.75,0.0648,0.0241,9,3,1,0,3,2.2358,0.5744,1.2018737,0.6591377,0.542736
Boca Juniors,18,Vélez Sarsfield,Away,Liga Profesional Argentina,2021,442,4231,0,0.081112359,0.0581028,0,0,3,0,0.0000,0.0000,2,1.079319994,0.8061546,0.299057752,0.20766567,10,3,32.4975,52,47.0588235,0.3931516,501,11,9,0,11,2,11.2667,0.038,0.0287,12,16,1,0,0,0.3888,2.3016,0.3870154,-0.0061362,0.3931516
Boca Juniors,19,Gimnasia La Plata,Home,Liga Profesional Argentina,2021,41212,442,0,1.498664879,1.0350368,0,0.463628097,23,7,30.4348,0.0000,1,0.908274387,0.1265254,0,0,6,2,48.51,77,77.4774774,0.600848,644,15,28,2,46,3,6.5333,0.0673,0.055,12,14,2,0,0,1.6938,0.9582,0.7927146,0.1918666,0.600848
Boca Juniors,20,Aldosivi,Away,Liga Profesional Argentina,2021,4312,4231,3,3.183662107,3.0498952,0,0.133767004,28,11,39.2857,0.0000,0,1.166798304,1.05107,0,0.057330992,12,5,25.2,61,53.3333333,0.6423318,537,18,36,2,26,4,13.5,0.0295,0.0233,5,9,1,0,3,2.5396,0.3322,1.0946175,0.4522857,0.6423318
Boca Juniors,21,Sarmiento,Home,Liga Profesional Argentina,2021,4312,4312,2,1.6216578,1.1694088,0,0.4522491,16,11,68.7500,0.0000,0,0.95992304,0.9164919,0,0.0434312,9,1,36.96,54,46.2184873,0.7950412,453,11,27,2,17,2,10.1111,0.0205,0.0192,17,8,0,0,3,1.857,0.8724,1.0163503,0.2213091,0.7950412
Boca Juniors,22,Independiente,Away,Liga Profesional Argentina,2021,4312,451,0,1.484503555,1.1549713,0.473812491,0.329532281,16,4,25.0000,0.0000,1,0.61904376,0.0496732,0,0.532954216,11,4,31.395,66,60.2941176,0.390975,508,16,16,1,18,2,7.4615,0.0216,0.0091,8,15,4,1,0,2.075,0.6632,0.7046083,0.3136333,0.390975
Boca Juniors,23,Newell's Old Boys,Home,Liga Profesional Argentina,2021,433,4231,0,1.473550794,1.334817,0,0.115927542,19,3,15.7895,0.0000,0,0.755347127,0.7283649,0.161835648,0.026982136,11,4,38.01,73,70.1149425,0.65821,631,19,27,0,35,4,7.0741,0.029,0.0264,15,8,1,0,1,1.8912,0.8172,0.9210781,0.2628681,0.65821
Boca Juniors,24,Arsenal de Sarandí,Away,Liga Profesional Argentina,2021,41212,442,1,1.466866713,1.0807552,0,0.365121216,12,2,16.6667,0.0000,1,0.821183115,0.8211832,0,0,7,4,29.4,60,55.8333333,0.3634132,530,18,15,1,18,2,11.125,0.0764,0.0649,11,13,0,0,1,1.9502,0.7688,0.6264484,0.2630352,0.3634132
Boca Juniors,25,Central Córdoba (Santiago del Estero),Home,Liga Profesional Argentina,2021,433,442,8,3.693357926,2.5699884,0,0.341620464,26,13,50.0000,0.0000,1,0.465921934,0.4249873,0,0.040934656,8,5,38.85,73,71.4285714,0.4602542,641,23,43,2,23,2,11.7647,0.023,0.02,7,8,0,0,3,2.9094,0.0564,0.6614548,0.2012006,0.4602542
