Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Central Córdoba (Santiago del Estero),,Atlético Tucumán,Home,Liga Profesional Argentina,2019,4141,4312,1,0,0,0,0,14,6,42.8571,0.0000,0,0,0,0,0,3,0,0,41,46.0251046,0,275,17,0,1,21,0,0,0,0,14,13,0,0,3,0,0,0,0,0
Central Córdoba (Santiago del Estero),,San Lorenzo,Away,Liga Profesional Argentina,2019,442,433,4,0,0,0,0,13,8,61.5385,0.0000,1,0,0,0,0,14,0,0,38,44.8979591,0,329,22,0,2,14,0,0,0,0,6,20,7,0,3,0,0,0,0,0
Central Córdoba (Santiago del Estero),,Godoy Cruz,Home,Liga Profesional Argentina,2019,442,541,1,0,0,0,0,22,8,36.3636,0.0000,0,0,0,0,0,12,0,0,62,71.6,0,423,8,0,2,29,0,0,0,0,10,15,0,0,3,0,0,0,0,0
Central Córdoba (Santiago del Estero),,Argentinos Juniors,Away,Liga Profesional Argentina,2019,4231,4231,1,0,0,0,0,15,4,26.6667,0.0000,3,0,0,0,0,17,0,0,45,41.025641,0,279,9,0,0,13,0,0,0,0,17,19,1,0,0,0,0,0,0,0
Central Córdoba (Santiago del Estero),,Defensa y Justicia,Home,Liga Profesional Argentina,2019,4141,4231,1,0,0,0,0,14,1,7.1429,0.0000,2,0,0,0,0,11,0,0,40,51.010101,0,272,12,0,0,23,0,0,0,0,9,13,0,0,0,0,0,0,0,0
Central Córdoba (Santiago del Estero),,Lanús,Away,Liga Profesional Argentina,2019,4312,433,0,0,0,0,0,11,5,45.4545,0.0000,1,0,0,0,0,9,0,0,46,60.591133,0,341,10,0,1,19,0,0,0,0,8,14,2,0,0,0,0,0,0,0
Central Córdoba (Santiago del Estero),,Racing Club,Home,Liga Profesional Argentina,2019,442,4132,0,0,0,0,0,16,4,25.0000,0.0000,0,0,0,0,0,9,0,0,37,46.0580912,0,256,15,0,1,23,0,0,0,0,7,7,3,1,1,0,0,0,0,0
Central Córdoba (Santiago del Estero),,Talleres de Córdoba,Away,Liga Profesional Argentina,2019,4141,433,1,0,0,0,0,7,2,28.5714,0.0000,1,0,0,0,0,18,0,0,27,37.0731707,0,242,10,0,0,8,0,0,0,0,7,12,2,1,1,0,0,0,0,0
Central Córdoba (Santiago del Estero),,Independiente,Away,Liga Profesional Argentina,2019,442,4141,0,0,0,0,0,5,1,20.0000,0.0000,3,0,0,0,0,21,0,0,36,41.7391304,0,301,5,0,0,8,0,0,0,0,6,13,3,0,0,0,0,0,0,0
Central Córdoba (Santiago del Estero),,Banfield,Home,Liga Profesional Argentina,2019,433,451,1,0,0,0,0,15,5,33.3333,0.0000,1,0,0,0,0,9,0,0,69,64.516129,0,536,8,0,0,38,0,0,0,0,8,16,2,0,1,0,0,0,0,0
Central Córdoba (Santiago del Estero),,Unión Santa Fe,Away,Liga Profesional Argentina,2019,442,442,0,0,0,0,0,10,2,20.0000,0.0000,0,0,0,0,0,14,0,0,40,47.0338983,0,290,3,0,0,16,0,0,0,0,9,11,2,0,1,0,0,0,0,0
Central Córdoba (Santiago del Estero),,Boca Juniors,Home,Liga Profesional Argentina,2019,442,4132,0,0,0,0,0,15,2,13.3333,0.0000,4,0,0,0,0,12,0,0,45,61.0859728,0,322,12,0,0,25,0,0,0,0,11,11,3,0,0,0,0,0,0,0
Central Córdoba (Santiago del Estero),,Newell's Old Boys,Away,Liga Profesional Argentina,2019,4141,4231,0,0,0,0,0,7,3,42.8571,0.0000,2,0,0,0,0,14,0,0,36,38.1188118,0,254,5,0,0,20,0,0,0,0,15,17,5,0,0,0,0,0,0,0
