Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Defensa y Justicia,,River Plate,Home,Liga Profesional Argentina,2017,433,4312,1,0,0,0,0,16,3,18.7500,0.0000,3,0,0,0,0,22,0,0,51,55.3571428,0,445,14,0,1,23,0,0,0,0,16,18,2,0,0,0,0,0,0,0
Defensa y Justicia,,Lanús,Home,Liga Profesional Argentina,2017,4231,433,3,0,0,0,0,14,6,42.8571,0.0000,0,0,0,0,0,6,0,0,55,73.0538922,0,531,9,0,2,17,0,0,0,0,9,7,1,0,3,0,0,0,0,0
Defensa y Justicia,,Temperley,Away,Liga Profesional Argentina,2017,4231,433,4,0,0,0,0,11,8,72.7273,0.0000,1,0,0,0,0,12,0,0,58,43.2160804,0,466,11,0,3,11,0,0,0,0,15,13,2,0,3,0,0,0,0,0
Defensa y Justicia,,Olimpo,Home,Liga Profesional Argentina,2017,4231,4141,1,0,0,0,0,20,2,10.0000,0.0000,1,0,0,0,0,6,0,0,58,59.4488188,0,535,22,0,3,20,0,0,0,0,10,12,0,0,1,0,0,0,0,0
Defensa y Justicia,,San Lorenzo,Away,Liga Profesional Argentina,2017,4231,4321,1,0,0,0,0,19,5,26.3158,0.0000,3,0,0,0,0,12,0,0,63,68.8034188,0,533,10,0,2,24,0,0,0,0,13,11,3,0,0,0,0,0,0,0
Defensa y Justicia,,Huracán,Home,Liga Profesional Argentina,2017,4231,4222,0,0,0,0,0,22,7,31.8182,0.0000,0,0,0,0,0,5,0,0,63,62.835249,0,538,6,0,2,25,0,0,0,0,8,14,1,0,1,0,0,0,0,0
Defensa y Justicia,,Colón Santa Fe,Away,Liga Profesional Argentina,2017,3412,442,1,0,0,0,0,11,2,18.1818,0.0000,3,0,0,0,0,14,0,0,60,62.555066,0,522,4,0,1,27,0,0,0,0,13,13,1,0,0,0,0,0,0,0
Defensa y Justicia,,Unión Santa Fe,Home,Liga Profesional Argentina,2017,3412,4222,1,0,0,0,0,17,3,17.6471,0.0000,3,0,0,0,0,10,0,0,66,67.3003802,0,603,13,0,1,28,0,0,0,0,10,7,2,0,0,0,0,0,0,0
Defensa y Justicia,,Arsenal de Sarandí,Home,Liga Profesional Argentina,2017,4231,4231,2,0,0,0,0,16,5,31.2500,0.0000,0,0,0,0,0,7,0,0,59,44.5887445,0,395,10,0,1,31,0,0,0,0,10,14,3,0,3,0,0,0,0,0
Defensa y Justicia,,Newell's Old Boys,Away,Liga Profesional Argentina,2017,433,4132,0,0,0,0,0,10,0,0.0000,0.0000,1,0,0,0,0,11,0,0,55,55.2845528,0,479,13,0,0,37,0,0,0,0,15,11,1,0,0,0,0,0,0,0
Defensa y Justicia,,Rosario Central,Home,Liga Profesional Argentina,2017,433,4141,3,0,0,0,0,14,5,35.7143,0.0000,1,0,0,0,0,10,0,0,34,41.5929203,0,279,11,0,0,24,0,0,0,0,11,6,1,0,3,0,0,0,0,0
Defensa y Justicia,,Independiente,Away,Liga Profesional Argentina,2017,433,4231,1,0,0,0,0,11,4,36.3636,0.0000,0,0,0,0,0,12,0,0,35,37.6744186,0,280,10,0,0,16,0,0,0,0,13,20,4,0,3,0,0,0,0,0
Defensa y Justicia,,Racing Club,Home,Liga Profesional Argentina,2017,4141,4132,3,0,0,0,0,17,6,35.2941,0.0000,2,0,0,0,0,14,0,0,38,45.8646616,0,302,10,0,1,23,0,0,0,0,16,14,1,0,3,0,0,0,0,0
Defensa y Justicia,,Boca Juniors,Away,Liga Profesional Argentina,2017,433,433,2,0,0,0,0,13,4,30.7692,192.3077,1,0,0,0,0,21,0,0,28,21.5447154,0,249,14,0,1,12,0,0,0,0,5,12,2,0,3,0,0,0,0,0
Defensa y Justicia,,Gimnasia La Plata,Home,Liga Profesional Argentina,2017,3412,3142,4,0,0,0,0,19,12,63.1579,0.0000,4,0,0,0,0,10,0,0,46,55.7142857,0,379,7,0,0,17,0,0,0,0,14,16,2,1,1,0,0,0,0,0
Defensa y Justicia,,Talleres de Córdoba,Away,Liga Profesional Argentina,2017,433,433,0,0,0,0,0,14,2,14.2857,0.0000,1,0,0,0,0,11,0,0,54,53.3018867,0,414,9,0,0,35,0,0,0,0,13,20,2,2,0,0,0,0,0,0
Defensa y Justicia,,Estudiantes de La Plata,Away,Liga Profesional Argentina,2017,3412,4231,1,0,0,0,0,8,5,62.5000,0.0000,0,0,0,0,0,9,0,0,55,54.4600938,0,472,9,0,0,18,0,0,0,0,8,14,3,0,3,0,0,0,0,0
Defensa y Justicia,,Belgrano,Home,Liga Profesional Argentina,2017,433,4141,1,0,0,0,0,15,2,13.3333,0.0000,1,0,0,0,0,9,0,0,52,55.2173913,0,455,18,0,1,11,0,0,0,0,15,9,0,0,1,0,0,0,0,0
Defensa y Justicia,,Atlético Tucumán,Away,Liga Profesional Argentina,2017,343,442,1,0,0,0,0,15,5,33.3333,0.0000,0,0,0,0,0,8,0,0,43,42.5,0,288,11,0,0,29,0,0,0,0,7,12,1,0,3,0,0,0,0,0
Defensa y Justicia,,Patronato,Home,Liga Profesional Argentina,2017,343,442,1,0,0,0,0,14,3,21.4286,0.0000,0,0,0,0,0,6,0,0,60,56.870229,0,559,19,0,0,36,0,0,0,0,12,13,2,0,3,0,0,0,0,0
Defensa y Justicia,,Tigre,Away,Liga Profesional Argentina,2017,433,4231,1,0,0,0,0,11,3,27.2727,0.0000,1,0,0,0,0,23,0,0,39,28.9915966,0,337,8,0,3,9,0,0,0,0,10,18,2,0,1,0,0,0,0,0
Defensa y Justicia,,Chacarita Juniors,Home,Liga Profesional Argentina,2017,343,4411,4,0,0,0,0,18,7,38.8889,0.0000,2,0,0,0,0,9,0,0,50,42.3580786,0,405,8,0,1,19,0,0,0,0,9,18,2,0,3,0,0,0,0,0
Defensa y Justicia,,Argentinos Juniors,Away,Liga Profesional Argentina,2017,541,4231,1,0,0,0,0,20,5,25.0000,0.0000,2,0,0,0,0,10,0,0,54,53.7254901,0,435,14,0,0,27,0,0,0,0,8,9,2,0,0,0,0,0,0,0
Defensa y Justicia,,Vélez Sarsfield,Home,Liga Profesional Argentina,2017,4231,4231,0,0,0,0,0,16,7,43.7500,0.0000,1,0,0,0,0,6,0,0,57,54.347826,0,439,14,0,4,25,0,0,0,0,13,17,4,1,0,0,0,0,0,0
Defensa y Justicia,,San Martín de San Juan,Away,Liga Profesional Argentina,2017,4231,4231,0,0,0,0,0,17,3,17.6471,0.0000,1,0,0,0,0,5,0,0,56,60.1659751,0,452,12,0,2,27,0,0,0,0,13,17,2,0,0,0,0,0,0,0
Defensa y Justicia,,Godoy Cruz,Home,Liga Profesional Argentina,2017,4231,4222,3,0,0,0,0,13,5,38.4615,0.0000,2,0,0,0,0,14,0,0,60,62.5468164,0,497,8,0,1,20,0,0,0,0,12,17,0,0,3,0,0,0,0,0
Defensa y Justicia,,Banfield,Away,Liga Profesional Argentina,2017,4231,4222,1,0,0,0,0,12,3,25.0000,0.0000,0,0,0,0,0,21,0,0,47,40.9691629,0,340,11,0,1,17,0,0,0,0,12,15,3,0,3,0,0,0,0,0
