Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Estudiantes de La Plata,1,Gimnasia La Plata,Home,Liga Profesional Argentina,2022,4132,442,1,1.7232195,1.1499596,0,0.5732599,17,5,29.4118,0.0000,1,0.4016285,0.3520749,0.041651867,0.0495536,11,6,30.0825,53,52,0.612379,364,8,28,0,22,1,10.0385,0.1213,0.017,10,11,2,0,1,2.5174,0.3094,0.8875097,0.2751307,0.612379
Estudiantes de La Plata,2,Aldosivi,Away,Liga Profesional Argentina,2022,4132,433,1,1.77124951,0.7232788,0,0.196425885,15,2,13.3333,0.0000,0,1.18468576,1.1032308,0.04650192,0.081454908,17,4,33.18,48,50,0.4515355,371,7,18,1,18,1,12.5385,0.0286,0.0261,12,11,0,0,3,1.9884,0.7452,0.6094072,0.1578717,0.4515355
Estudiantes de La Plata,3,Sarmiento,Home,Liga Profesional Argentina,2022,442,532,2,1.577526092,0.7379618,0,0.057815226,14,4,28.5714,0.0000,1,1.584687317,0.9996418,0,0.585045439,11,2,43.6275,65,60.9195402,0.4739668,414,11,16,0,19,2,6.25,0.0191,0.0126,15,15,2,1,3,1.3424,1.3544,0.5623367,0.0883699,0.4739668
Estudiantes de La Plata,4,Independiente,Away,Liga Profesional Argentina,2022,442,4231,1,1.135643364,0,0,0.024433931,13,3,23.0769,0.0000,2,1.438636708,0,0,0.087662813,14,5,40.5825,54,60.2739726,0.3934894,427,13,26,1,22,4,8.7714,0.0137,0.01,17,11,2,0,0,1.0308,1.6368,0.4192961,0.0258067,0.3934894
Estudiantes de La Plata,5,Newell's Old Boys,Home,Liga Profesional Argentina,2022,4132,541,0,1.16555556,0,0,0.511691135,18,3,16.6667,0.0000,2,0.659331852,0,0.435362909,0.021982502,9,5,40.0575,61,67.9653679,0.6398234,520,12,29,1,34,3,9.4194,0.1003,0.0406,16,14,2,0,0,1.7652,0.9102,0.7064155,0.0665921,0.6398234
Estudiantes de La Plata,6,Arsenal de Sarandí,Away,Liga Profesional Argentina,2022,442,442,1,0.498700823,0,0.017734449,0.265272129,11,4,36.3636,0.0000,2,0.713022033,0,0,0.083711067,15,6,34.86,62,50,0.3795619,546,19,11,0,20,0,10.08,0.0124,0.0047,8,12,2,0,0,1.1028,1.4784,0.5623108,0.1827489,0.3795619
Estudiantes de La Plata,7,Central Córdoba (Santiago del Estero),Home,Liga Profesional Argentina,2022,541,433,2,2.643614542,0,0,0.229618384,21,6,28.5714,0.0000,2,2.367212956,0,0,0.029929912,11,4,39.3225,60,64.4444444,1.2217398,469,9,41,3,23,0,6.9474,0.0404,0.0231,12,10,2,0,1,1.6488,1.1088,1.4594295,0.2376897,1.2217398
Estudiantes de La Plata,8,Tigre,Away,Liga Profesional Argentina,2022,442,442,1,0.70846741,0,0,0.174679339,12,5,41.6667,0.0000,2,0.868863786,0.857759,0.025750469,0.011104865,10,5,35.7,62,56.4315352,0.4492149,511,15,23,0,21,3,8.5185,0.0414,0.026,8,10,2,0,0,1.141,1.4878,0.5011012,0.0518863,0.4492149
Estudiantes de La Plata,9,Barracas Central,Home,Liga Profesional Argentina,2022,4231,442,3,1.611155254,1.2712516,0.088767298,0.313922736,23,6,26.0870,0.0000,1,0.179101296,0.1101951,0.036503408,0.029943634,5,4,40.635,64,67.8260869,0.5778525,461,9,28,0,36,4,7.8621,0.0487,0.0325,12,7,2,0,3,2.594,0.2366,0.6860239,0.1081714,0.5778525
Estudiantes de La Plata,10,Boca Juniors,Away,Liga Profesional Argentina,2022,4231,433,1,1.13041292,0,0,0.68447087,10,4,40.0000,0.0000,3,1.626037147,1.3652104,0.218137719,0.237547265,20,6,36.0675,45,40.5797101,0.4789433,322,3,20,1,14,1,9.4063,0.0287,0.0204,14,16,2,0,0,0.992,1.7336,0.3930267,-0.0859166,0.4789433
