Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Gimnasia La Plata,,Aldosivi,Away,Liga Profesional Argentina,2018,4132,433,0,0,0,0,0,14,2,14.2857,0.0000,0,0,0,0,0,13,0,0,37,30.7692307,0,283,9,0,0,16,0,0,0,0,17,13,3,0,1,0,0,0,0,0
Gimnasia La Plata,,Vélez Sarsfield,Away,Liga Profesional Argentina,2018,442,433,0,0,0,0,0,4,1,25.0000,0.0000,1,0,0,0,0,15,0,0,37,45.6730769,0,240,9,0,0,8,0,0,0,0,14,25,3,1,0,0,0,0,0,0
Gimnasia La Plata,,Godoy Cruz,Home,Liga Profesional Argentina,2018,433,433,1,0,0,0,0,9,3,33.3333,0.0000,0,0,0,0,0,15,0,0,53,54.4600938,0,283,7,0,2,26,0,0,0,0,13,20,1,2,3,0,0,0,0,0
Gimnasia La Plata,,Unión Santa Fe,Away,Liga Profesional Argentina,2018,442,442,0,0,0,0,0,7,1,14.2857,0.0000,1,0,0,0,0,10,0,0,51,43.0167597,0,330,4,0,1,20,0,0,0,0,15,17,4,0,0,0,0,0,0,0
Gimnasia La Plata,,Rosario Central,Home,Liga Profesional Argentina,2018,442,442,1,0,0,0,0,12,1,8.3333,0.0000,1,0,0,0,0,5,0,0,51,55.8375634,0,306,6,0,0,30,0,0,0,0,14,14,2,0,1,0,0,0,0,0
Gimnasia La Plata,,Patronato,Away,Liga Profesional Argentina,2018,442,442,2,0,0,0,0,14,4,28.5714,0.0000,0,0,0,0,0,10,0,0,45,45.6621004,0,295,7,0,1,15,0,0,0,0,10,24,3,0,3,0,0,0,0,0
Gimnasia La Plata,,San Martín de Tucumán,Away,Liga Profesional Argentina,2018,4231,4141,1,0,0,0,0,9,3,33.3333,0.0000,1,0,0,0,0,13,0,0,40,35.4679802,0,225,5,0,0,25,0,0,0,0,17,16,5,0,1,0,0,0,0,0
Gimnasia La Plata,,Talleres de Córdoba,Home,Liga Profesional Argentina,2018,433,442,0,0,0,0,0,11,6,54.5455,0.0000,2,0,0,0,0,14,0,0,50,57.2549019,0,334,12,0,1,41,0,0,0,0,15,15,2,0,0,0,0,0,0,0
Gimnasia La Plata,,Colón Santa Fe,Home,Liga Profesional Argentina,2018,4141,442,3,0,0,0,0,8,2,25.0000,0.0000,2,0,0,0,0,14,0,0,35,30.8370044,0,256,13,0,0,10,0,0,0,0,16,22,4,0,3,0,0,0,0,0
Gimnasia La Plata,,San Lorenzo,Away,Liga Profesional Argentina,2018,433,433,1,0,0,0,0,5,1,20.0000,0.0000,1,0,0,0,0,23,0,0,32,21.3178294,0,265,7,0,1,13,0,0,0,0,8,16,5,0,1,0,0,0,0,0
Gimnasia La Plata,,Newell's Old Boys,Home,Liga Profesional Argentina,2018,4312,4231,1,0,0,0,0,11,3,27.2727,0.0000,0,0,0,0,0,12,0,0,41,38.7755102,0,306,10,0,0,17,0,0,0,0,14,12,3,0,3,0,0,0,0,0
Gimnasia La Plata,,Estudiantes de La Plata,Away,Liga Profesional Argentina,2018,442,41212,0,0,0,0,0,7,1,14.2857,0.0000,1,0,0,0,0,15,0,0,38,40.4371584,0,241,5,0,1,16,0,0,0,0,13,15,3,2,0,0,0,0,0,0
Gimnasia La Plata,,Independiente,Home,Liga Profesional Argentina,2018,4141,4231,1,0,0,0,0,17,4,23.5294,0.0000,0,0,0,0,0,8,0,0,32,38.2775119,0,198,9,0,1,21,0,0,0,0,17,12,1,0,3,0,0,0,0,0
Gimnasia La Plata,,Argentinos Juniors,Home,Liga Profesional Argentina,2018,451,4231,1,0,0,0,0,1,0,0.0000,0.0000,0,0,0,0,0,12,0,0,33,44.7368421,0,228,8,0,1,12,0,0,0,0,14,21,3,0,3,0,0,0,0,0
Gimnasia La Plata,,Banfield,Away,Liga Profesional Argentina,2018,433,4321,0,0,0,0,0,17,4,23.5294,0.0000,1,0,0,0,0,12,0,0,60,58.9189189,0,411,10,0,0,24,0,0,0,0,11,18,4,0,0,0,0,0,0,0
Gimnasia La Plata,,Defensa y Justicia,Home,Liga Profesional Argentina,2018,442,433,0,0,0,0,0,10,1,10.0000,0.0000,1,0,0,0,0,13,0,0,37,48.8505747,0,233,10,0,1,22,0,0,0,0,14,21,1,0,0,0,0,0,0,0
Gimnasia La Plata,,Lanús,Away,Liga Profesional Argentina,2018,442,532,0,0,0,0,0,11,2,18.1818,0.0000,2,0,0,0,0,10,0,0,36,41.6666666,0,268,3,0,1,13,0,0,0,0,7,23,3,0,0,0,0,0,0,0
Gimnasia La Plata,,Tigre,Home,Liga Profesional Argentina,2018,541,4312,3,0,0,0,0,14,6,42.8571,0.0000,1,0,0,0,0,14,0,0,43,40.5511811,0,321,9,0,0,26,0,0,0,0,7,16,3,0,3,0,0,0,0,0
Gimnasia La Plata,,Atlético Tucumán,Away,Liga Profesional Argentina,2018,4141,442,1,0,0,0,0,9,3,33.3333,0.0000,4,0,0,0,0,9,0,0,47,45.5497382,0,307,4,0,1,20,0,0,0,0,10,17,5,0,0,0,0,0,0,0
Gimnasia La Plata,,Huracán,Home,Liga Profesional Argentina,2018,4141,442,2,0,0,0,0,11,7,63.6364,0.0000,2,0,0,0,0,13,0,0,53,48.0392156,0,299,7,0,1,21,0,0,0,0,18,13,5,0,1,0,0,0,0,0
Gimnasia La Plata,,River Plate,Away,Liga Profesional Argentina,2018,442,4222,1,0,0,0,0,7,4,57.1429,0.0000,3,0,0,0,0,18,0,0,37,40.5,0,293,6,0,2,10,0,0,0,0,8,16,3,0,0,0,0,0,0,0
Gimnasia La Plata,,San Martín de San Juan,Home,Liga Profesional Argentina,2018,442,4141,0,0,0,0,0,13,2,15.3846,0.0000,2,0,0,0,0,7,0,0,57,62.8140703,0,348,12,0,0,28,0,0,0,0,16,9,0,0,0,0,0,0,0,0
Gimnasia La Plata,,Racing Club,Home,Liga Profesional Argentina,2018,4222,4132,0,0,0,0,0,19,4,21.0526,0.0000,3,0,0,0,0,12,0,0,47,60,0,310,10,0,1,36,0,0,0,0,12,17,4,0,0,0,0,0,0,0
