Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Godoy Cruz,,Vélez Sarsfield,Home,Liga Profesional Argentina,2018,433,4231,0,0,0,0,0,12,3,25.0000,0.0000,2,0,0,0,0,16,0,0,40,48.1481481,0,343,15,0,2,14,0,0,0,0,15,9,3,1,0,0,0,0,0,0
Godoy Cruz,,Aldosivi,Home,Liga Profesional Argentina,2018,433,433,2,0,0,0,0,16,4,25.0000,0.0000,0,0,0,0,0,9,0,0,47,51.7241379,0,335,7,0,3,26,0,0,0,0,7,9,0,0,3,0,0,0,0,0
Godoy Cruz,,Gimnasia La Plata,Away,Liga Profesional Argentina,2018,433,433,0,0,0,0,0,15,5,33.3333,0.0000,1,0,0,0,0,9,0,0,47,45.5399061,0,250,5,0,0,21,0,0,0,0,18,15,1,0,0,0,0,0,0,0
Godoy Cruz,,Defensa y Justicia,Home,Liga Profesional Argentina,2018,4141,433,0,0,0,0,0,10,1,10.0000,0.0000,1,0,0,0,0,6,0,0,52,59.7285067,0,430,8,0,0,18,0,0,0,0,10,13,0,1,0,0,0,0,0,0
Godoy Cruz,,Colón Santa Fe,Away,Liga Profesional Argentina,2018,442,4141,1,0,0,0,0,12,2,16.6667,0.0000,3,0,0,0,0,16,0,0,61,52.5252525,0,451,8,0,1,26,0,0,0,0,10,14,1,0,0,0,0,0,0,0
Godoy Cruz,,San Lorenzo,Home,Liga Profesional Argentina,2018,4141,442,1,0,0,0,0,14,5,35.7143,0.0000,0,0,0,0,0,12,0,0,48,47.7477477,0,351,6,0,1,29,0,0,0,0,7,13,2,0,3,0,0,0,0,0
Godoy Cruz,,Talleres de Córdoba,Away,Liga Profesional Argentina,2018,433,4231,0,0,0,0,0,10,2,20.0000,0.0000,1,0,0,0,0,14,0,0,47,55.721393,0,346,9,0,0,27,0,0,0,0,11,16,2,0,0,0,0,0,0,0
Godoy Cruz,,Newell's Old Boys,Home,Liga Profesional Argentina,2018,433,4222,2,0,0,0,0,14,5,35.7143,0.0000,1,0,0,0,0,18,0,0,44,47.5336322,0,353,13,0,1,27,0,0,0,0,7,8,0,0,3,0,0,0,0,0
Godoy Cruz,,Belgrano,Away,Liga Profesional Argentina,2018,532,4141,0,0,0,0,0,3,1,33.3333,0.0000,1,0,0,0,0,23,0,0,31,30.0970873,0,242,8,0,0,7,0,0,0,0,8,11,1,0,0,0,0,0,0,0
Godoy Cruz,,Patronato,Home,Liga Profesional Argentina,2018,4141,442,2,0,0,0,0,12,7,58.3333,0.0000,1,0,0,0,0,12,0,0,59,50,0,419,15,0,2,11,0,0,0,0,8,15,0,0,3,0,0,0,0,0
Godoy Cruz,,Banfield,Away,Liga Profesional Argentina,2018,442,3421,2,0,0,0,0,7,2,28.5714,0.0000,2,0,0,0,0,20,0,0,28,30.2238805,0,206,11,0,1,13,0,0,0,0,12,15,4,0,1,0,0,0,0,0
Godoy Cruz,,Rosario Central,Home,Liga Profesional Argentina,2018,442,4231,0,0,0,0,0,9,3,33.3333,0.0000,0,0,0,0,0,6,0,0,41,44.3902439,0,337,7,0,0,13,0,0,0,0,12,14,2,0,1,0,0,0,0,0
Godoy Cruz,,San Martín de San Juan,Away,Liga Profesional Argentina,2018,433,442,0,0,0,0,0,9,4,44.4444,0.0000,0,0,0,0,0,12,0,0,46,41.5584415,0,301,12,0,0,8,0,0,0,0,11,16,3,0,1,0,0,0,0,0
Godoy Cruz,,Estudiantes de La Plata,Home,Liga Profesional Argentina,2018,442,4141,1,0,0,0,0,7,3,42.8571,0.0000,0,0,0,0,0,20,0,0,31,31.9767441,0,196,6,0,0,24,0,0,0,0,11,11,1,1,3,0,0,0,0,0
Godoy Cruz,,Argentinos Juniors,Away,Liga Profesional Argentina,2018,4231,4231,0,0,0,0,0,3,0,0.0000,0.0000,0,0,0,0,0,18,0,0,36,28.2608695,0,229,9,0,2,13,0,0,0,0,18,13,4,0,1,0,0,0,0,0
Godoy Cruz,,Racing Club,Away,Liga Profesional Argentina,2018,442,4132,0,0,0,0,0,7,4,57.1429,0.0000,3,0,0,0,0,14,0,0,27,34.8837209,0,257,11,0,3,13,0,0,0,0,14,9,0,0,0,0,0,0,0,0
Godoy Cruz,,San Martín de Tucumán,Home,Liga Profesional Argentina,2018,532,442,3,0,0,0,0,14,5,35.7143,0.0000,2,0,0,0,0,8,0,0,54,49.6598639,0,388,9,0,2,15,0,0,0,0,9,20,1,0,3,0,0,0,0,0
Godoy Cruz,,Boca Juniors,Away,Liga Profesional Argentina,2018,3142,4231,0,0,0,0,0,12,3,25.0000,0.0000,2,0,0,0,0,17,0,0,45,41.2060301,0,350,15,0,0,21,0,0,0,0,7,13,0,0,0,0,0,0,0,0
Godoy Cruz,,Lanús,Home,Liga Profesional Argentina,2018,433,532,0,0,0,0,0,13,2,15.3846,0.0000,2,0,0,0,0,5,0,0,62,52.840909,0,496,16,0,0,16,0,0,0,0,13,18,3,0,0,0,0,0,0,0
Godoy Cruz,,Independiente,Home,Liga Profesional Argentina,2018,433,4231,1,0,0,0,0,16,6,37.5000,0.0000,1,0,0,0,0,15,0,0,36,48.0446927,0,251,12,0,0,8,0,0,0,0,7,12,2,0,1,0,0,0,0,0
Godoy Cruz,,Tigre,Away,Liga Profesional Argentina,2018,433,4222,3,0,0,0,0,15,7,46.6667,0.0000,1,0,0,0,0,12,0,0,43,44.6428571,0,309,6,0,1,22,0,0,0,0,7,13,2,0,3,0,0,0,0,0
Godoy Cruz,,River Plate,Home,Liga Profesional Argentina,2018,433,4222,0,0,0,0,0,2,0,0.0000,0.0000,4,0,0,0,0,23,0,0,28,19.1780821,0,227,8,0,1,5,0,0,0,0,8,11,1,1,0,0,0,0,0,0
Godoy Cruz,,Huracán,Away,Liga Profesional Argentina,2018,433,442,1,0,0,0,0,11,2,18.1818,0.0000,2,0,0,0,0,13,0,0,48,36.3247863,0,283,8,0,0,23,0,0,0,0,9,20,1,0,0,0,0,0,0,0
Godoy Cruz,,Atlético Tucumán,Home,Liga Profesional Argentina,2018,433,4132,1,0,0,0,0,10,3,30.0000,0.0000,0,0,0,0,0,16,0,0,41,40.6779661,0,264,2,0,4,17,0,0,0,0,4,15,3,1,3,0,0,0,0,0
Godoy Cruz,,Unión Santa Fe,Away,Liga Profesional Argentina,2018,433,541,3,0,0,0,0,7,4,57.1429,0.0000,0,0,0,0,0,14,0,0,37,40,0,264,10,0,4,15,0,0,0,0,10,20,2,0,3,0,0,0,0,0
