Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Huracán,1,Defensa y Justicia,Home,Liga Profesional Argentina,2021,433,541,2,1.051804478,1.0321146,0,0.019689849,8,3,37.5000,0.0000,1,0.982843913,0.9269752,0.027140489,0.032965962,5,3,30.24,33,43.5028248,0.328774,237,3,12,0,17,1,13.7419,0.1089,0.1045,10,20,3,0,3,1.3374,1.2594,0.5051285,0.1763545,0.328774
Huracán,2,Atlético Tucumán,Away,Liga Profesional Argentina,2021,433,442,0,0.259230349,0.1029608,0,0.133915814,9,3,33.3333,0.0000,1,1.077409882,1.0199379,0.047652282,0.057471942,12,3,30.8175,57,52.8384279,0.8465725,473,10,17,1,17,0,9.9,0.0865,0.0783,17,15,3,0,0,0.5604,2.1174,0.8604505,0.013878,0.8465725
Huracán,3,Colón Santa Fe,Home,Liga Profesional Argentina,2021,433,4231,1,1.808682572,0.2919889,0,0.734944623,13,4,30.7692,0.0000,1,1.63308686,1.6330869,1.257788412,0,7,3,48.93,53,56,0.4028079,406,16,21,0,27,1,5.4068,0.0718,0.035,12,20,2,0,1,1.4862,1.2042,0.6359573,0.2331494,0.4028079
Huracán,4,River Plate,Away,Liga Profesional Argentina,2021,433,4231,1,0.409868547,0.4098685,0.270055443,0,4,1,25.0000,0.0000,1,1.05552164,0.5337822,0.09418305,0.452471449,18,6,25.1475,26,28.8617886,0.1735649,219,17,10,0,11,0,12.8788,0.0292,0.0199,15,11,3,1,1,0.7328,1.9226,0.1707983,-0.0027666,0.1735649
Huracán,5,Lanús,Home,Liga Profesional Argentina,2021,433,442,0,1.1408247,0.9292331,0.018913548,0.2115916,18,7,38.8889,0.0000,1,0.86351213,0.5124233,0,0.3510888,11,5,35.49,59,58.7962962,0.5222151,448,9,30,2,29,7,6.7692,0.1315,0.1068,22,17,4,0,0,1.6096,1.069,0.6628977,0.1406826,0.5222151
Huracán,6,Unión Santa Fe,Home,Liga Profesional Argentina,2021,532,343,0,0.788964668,0.1132224,0,0.654245957,13,4,30.7692,0.0000,0,0.31139336,0.2915006,0.025644291,0.019892851,7,1,41.37,55,54.4117647,0.3785286,382,4,15,3,31,3,6.7179,0.0501,0.0397,14,16,1,0,1,1.8012,0.7854,0.4715464,0.0930178,0.3785286
Huracán,7,Godoy Cruz,Away,Liga Profesional Argentina,2021,532,4231,1,1.604215914,0.2913301,0,0.504089663,7,1,14.2857,0.0000,1,1.999366978,0.8367116,0,0.966539983,16,5,32.34,48,46.473029,0.491879,349,10,18,1,23,1,12.2,0.2499,0.1714,15,14,4,0,1,1.0998,1.6146,0.4495971,-0.0422819,0.491879
Huracán,8,Vélez Sarsfield,Home,Liga Profesional Argentina,2021,433,4231,1,1.06566097,0.7372528,0,0.295276277,13,3,23.0769,0.0000,1,0.649154412,0.5870402,0.279785991,0.024703316,10,2,28.875,33,41.1214953,0.276218,276,12,18,0,18,1,14.5161,0.0824,0.0123,11,13,4,0,1,1.7122,0.9436,0.4303661,0.1541481,0.276218
Huracán,9,Gimnasia La Plata,Away,Liga Profesional Argentina,2021,433,4231,0,0.156128801,0.1561288,0,0,2,0,0.0000,0.0000,0,0.908466569,0.791563,0,0.065679615,9,4,40.635,53,57.5609756,0.6120621,359,6,26,1,26,2,6.5,0.0306,0.0135,12,12,3,0,1,0.3952,2.3374,0.7913389,0.1792768,0.6120621
Huracán,10,Aldosivi,Home,Liga Profesional Argentina,2021,433,433,2,1.7000928,1.2918423,0,0.293773538,14,7,50.0000,0.0000,0,0.2229721,0.1900762,0,0.012530611,8,4,34.755,42,42.9184549,0.6445702,354,11,21,3,20,5,10.6,0.1424,0.1131,10,11,4,0,3,2.5326,0.285,0.7806829,0.1361127,0.6445702
