Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Independiente,,Racing Club,Home,Liga Profesional Argentina,2018,433,4132,1,0,0,0,0,18,4,22.2222,94.4444,3,0,0,0,0,10,0,0,55,59.7826086,0,379,21,0,3,25,0,0,0,0,17,17,5,1,0,0,0,0,0,0
Independiente,,Huracán,Home,Liga Profesional Argentina,2018,4231,4231,3,0,0,0,0,18,9,50.0000,0.0000,1,0,0,0,0,10,0,0,45,48.1012658,0,370,22,0,8,4,0,0,0,0,15,8,2,0,3,0,0,0,0,0
Independiente,,Patronato,Away,Liga Profesional Argentina,2018,433,41212,2,0,0,0,0,6,5,83.3333,0.0000,1,0,0,0,0,22,0,0,59,39.3203883,0,411,18,0,3,11,0,0,0,0,16,14,2,0,3,0,0,0,0,0
Independiente,,Tigre,Home,Liga Profesional Argentina,2018,4231,442,0,0,0,0,0,12,5,41.6667,0.0000,0,0,0,0,0,11,0,0,56,53.5135135,0,430,5,0,1,15,0,0,0,0,16,13,3,0,1,0,0,0,0,0
Independiente,,Banfield,Away,Liga Profesional Argentina,2018,4231,4141,1,0,0,0,0,10,3,30.0000,0.0000,1,0,0,0,0,10,0,0,41,40.5940594,0,313,9,0,2,14,0,0,0,0,14,13,2,1,1,0,0,0,0,0
Independiente,,Colón Santa Fe,Home,Liga Profesional Argentina,2018,4231,4231,3,0,0,0,0,22,6,27.2727,0.0000,0,0,0,0,0,10,0,0,62,62.8865979,0,424,15,0,2,29,0,0,0,0,17,10,0,0,3,0,0,0,0,0
Independiente,,Estudiantes de La Plata,Away,Liga Profesional Argentina,2018,4231,4231,2,0,0,0,0,10,4,40.0000,0.0000,2,0,0,0,0,6,0,0,59,55.609756,0,448,11,0,1,22,0,0,0,0,20,20,4,1,1,0,0,0,0,0
Independiente,,Defensa y Justicia,Home,Liga Profesional Argentina,2018,433,442,0,0,0,0,0,11,3,27.2727,0.0000,1,0,0,0,0,8,0,0,70,75.1322751,0,584,13,0,0,22,0,0,0,0,22,14,2,0,0,0,0,0,0,0
Independiente,,Rosario Central,Away,Liga Profesional Argentina,2018,433,442,2,0,0,0,0,10,3,30.0000,0.0000,1,0,0,0,0,11,0,0,54,53.2967032,0,319,11,0,0,18,0,0,0,0,17,13,0,0,3,0,0,0,0,0
Independiente,,Vélez Sarsfield,Home,Liga Profesional Argentina,2018,41212,433,2,0,0,0,0,18,4,22.2222,0.0000,1,0,0,0,0,14,0,0,54,55.2763819,0,358,13,0,0,18,0,0,0,0,12,11,2,0,3,0,0,0,0,0
Independiente,,River Plate,Away,Liga Profesional Argentina,2018,4141,4312,0,0,0,0,0,11,3,27.2727,0.0000,3,0,0,0,0,11,0,0,52,44.7115384,0,382,11,0,2,13,0,0,0,0,18,17,3,1,0,0,0,0,0,0
Independiente,,Aldosivi,Home,Liga Profesional Argentina,2018,433,4231,2,0,0,0,0,19,7,36.8421,0.0000,0,0,0,0,0,12,0,0,48,47.7911646,0,359,14,0,3,20,0,0,0,0,14,8,2,0,3,0,0,0,0,0
Independiente,,Gimnasia La Plata,Away,Liga Profesional Argentina,2018,4231,4141,0,0,0,0,0,8,2,25.0000,0.0000,1,0,0,0,0,17,0,0,68,61.722488,0,456,12,0,2,18,0,0,0,0,12,18,2,0,0,0,0,0,0,0
Independiente,,San Martín de Tucumán,Home,Liga Profesional Argentina,2018,4141,442,4,0,0,0,0,16,6,37.5000,0.0000,0,0,0,0,0,12,0,0,53,61.1940298,0,443,9,0,0,13,0,0,0,0,18,14,2,0,3,0,0,0,0,0
Independiente,,Newell's Old Boys,Away,Liga Profesional Argentina,2018,433,4231,2,0,0,0,0,10,5,50.0000,0.0000,2,0,0,0,0,13,0,0,54,47.5728155,0,440,14,0,0,14,0,0,0,0,15,13,4,0,1,0,0,0,0,0
Independiente,,San Martín de San Juan,Away,Liga Profesional Argentina,2018,433,442,1,0,0,0,0,13,5,38.4615,0.0000,1,0,0,0,0,19,0,0,49,50.8695652,0,357,10,0,0,12,0,0,0,0,23,16,2,1,1,0,0,0,0,0
Independiente,,Unión Santa Fe,Home,Liga Profesional Argentina,2018,4231,4411,2,0,0,0,0,11,5,45.4545,0.0000,1,0,0,0,0,7,0,0,64,58.1818181,0,466,9,0,1,18,0,0,0,0,16,12,3,0,3,0,0,0,0,0
Independiente,,San Lorenzo,Away,Liga Profesional Argentina,2018,433,4411,0,0,0,0,0,2,1,50.0000,0.0000,0,0,0,0,0,11,0,0,38,29.3515358,0,382,9,0,0,5,0,0,0,0,20,17,2,1,1,0,0,0,0,0
Independiente,,Talleres de Córdoba,Home,Liga Profesional Argentina,2018,433,352,1,0,0,0,0,12,3,25.0000,0.0000,1,0,0,0,0,14,0,0,61,63.1578947,0,448,8,0,1,21,0,0,0,0,16,15,2,0,1,0,0,0,0,0
Independiente,,Godoy Cruz,Away,Liga Profesional Argentina,2018,4231,433,1,0,0,0,0,15,7,46.6667,0.0000,1,0,0,0,0,16,0,0,64,51.9553072,0,440,17,0,2,16,0,0,0,0,10,7,2,0,1,0,0,0,0,0
Independiente,,Boca Juniors,Home,Liga Profesional Argentina,2018,4231,433,0,0,0,0,0,25,7,28.0000,0.0000,1,0,0,0,0,5,0,0,62,70.5357142,0,437,13,0,0,26,0,0,0,0,17,15,4,0,0,0,0,0,0,0
Independiente,,Lanús,Away,Liga Profesional Argentina,2018,4141,442,0,0,0,0,0,5,3,60.0000,0.0000,1,0,0,0,0,15,0,0,55,46.8599033,0,463,11,0,0,19,0,0,0,0,15,12,2,0,0,0,0,0,0,0
Independiente,,Belgrano,Home,Liga Profesional Argentina,2018,4141,4141,2,0,0,0,0,17,7,41.1765,0.0000,1,0,0,0,0,11,0,0,70,80,0,488,12,0,0,26,0,0,0,0,15,6,2,1,3,0,0,0,0,0
Independiente,,Argentinos Juniors,Away,Liga Profesional Argentina,2018,4231,4411,2,0,0,0,0,8,4,50.0000,0.0000,0,0,0,0,0,15,0,0,50,41.3533834,0,445,10,0,3,7,0,0,0,0,9,10,0,0,3,0,0,0,0,0
Independiente,,Atlético Tucumán,Away,Liga Profesional Argentina,2018,4231,442,2,0,0,0,0,8,4,50.0000,0.0000,4,0,0,0,0,14,0,0,44,37.3913043,0,304,14,0,2,13,0,0,0,0,14,8,1,1,0,0,0,0,0,0
