Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Lanús,,River Plate,Away,Liga Profesional Argentina,2019,433,442,0,0,0,0,0,4,3,75.0000,0.0000,3,0,0,0,0,25,0,0,45,29.2307692,0,344,19,0,0,9,0,0,0,0,20,16,1,0,0,0,0,0,0,0
Lanús,,Rosario Central,Home,Liga Profesional Argentina,2019,433,442,1,0,0,0,0,19,5,26.3158,0.0000,1,0,0,0,0,8,0,0,48,49.2307692,0,382,13,0,1,20,0,0,0,0,11,23,3,0,1,0,0,0,0,0
Lanús,,Patronato,Away,Liga Profesional Argentina,2019,433,442,1,0,0,0,0,14,7,50.0000,0.0000,1,0,0,0,0,10,0,0,62,59.4713656,0,435,9,0,0,16,0,0,0,0,12,17,3,0,1,0,0,0,0,0
Lanús,,Colón Santa Fe,Home,Liga Profesional Argentina,2019,433,4312,3,0,0,0,0,17,4,23.5294,0.0000,2,0,0,0,0,12,0,0,54,53.8860103,0,472,18,0,0,10,0,0,0,0,13,9,1,0,3,0,0,0,0,0
Lanús,,Independiente,Away,Liga Profesional Argentina,2019,433,4141,2,0,0,0,0,9,6,66.6667,0.0000,2,0,0,0,0,10,0,0,50,57.3275862,0,461,15,0,0,17,0,0,0,0,9,12,2,0,1,0,0,0,0,0
Lanús,,Central Córdoba (Santiago del Estero),Home,Liga Profesional Argentina,2019,433,4312,1,0,0,0,0,9,4,44.4444,0.0000,0,0,0,0,0,11,0,0,54,39.4088669,0,404,16,0,1,15,0,0,0,0,13,12,2,0,3,0,0,0,0,0
Lanús,,Unión Santa Fe,Away,Liga Profesional Argentina,2019,433,442,2,0,0,0,0,12,4,33.3333,0.0000,1,0,0,0,0,15,0,0,46,38.5542168,0,415,19,0,2,15,0,0,0,0,10,10,2,0,3,0,0,0,0,0
Lanús,,Vélez Sarsfield,Home,Liga Profesional Argentina,2019,433,433,3,0,0,0,0,9,5,55.5556,288.8889,1,0,0,0,0,6,0,0,28,39.1836734,0,242,14,0,1,9,0,0,0,0,11,18,4,0,3,0,0,0,0,0
Lanús,,San Lorenzo,Away,Liga Profesional Argentina,2019,433,442,3,0,0,0,0,20,7,35.0000,0.0000,4,0,0,0,0,13,0,0,59,49.3506493,0,490,6,0,1,20,0,0,0,0,7,15,6,0,0,0,0,0,0,0
Lanús,,Estudiantes de La Plata,Home,Liga Profesional Argentina,2019,433,4141,1,0,0,0,0,14,5,35.7143,0.0000,1,0,0,0,0,15,0,0,54,61.8421052,0,522,13,0,0,26,0,0,0,0,9,13,2,0,1,0,0,0,0,0
Lanús,,Atlético Tucumán,Away,Liga Profesional Argentina,2019,4231,442,2,0,0,0,0,14,6,42.8571,0.0000,2,0,0,0,0,13,0,0,62,52.9126213,0,476,16,0,1,24,0,0,0,0,12,13,4,0,1,0,0,0,0,0
Lanús,,Newell's Old Boys,Home,Liga Profesional Argentina,2019,433,433,1,0,0,0,0,10,1,10.0000,0.0000,1,0,0,0,0,11,0,0,52,46.6101694,0,418,17,0,0,22,0,0,0,0,11,13,2,0,1,0,0,0,0,0
Lanús,,Gimnasia La Plata,Home,Liga Profesional Argentina,2019,433,4312,1,0,0,0,0,19,3,15.7895,0.0000,1,0,0,0,0,12,0,0,57,58.3333333,0,401,22,0,2,28,0,0,0,0,23,11,1,0,1,0,0,0,0,0
Lanús,,Argentinos Juniors,Away,Liga Profesional Argentina,2019,433,4312,0,0,0,0,0,4,1,25.0000,0.0000,0,0,0,0,0,17,0,0,50,0,0,316,11,0,1,10,0,0,0,0,14,18,4,0,1,0,0,0,0,0
Lanús,,Godoy Cruz,Home,Liga Profesional Argentina,2019,433,442,2,0,0,0,0,21,6,28.5714,0.0000,0,0,0,0,0,6,0,0,62,0,0,450,20,0,1,22,0,0,0,0,11,15,4,0,3,0,0,0,0,0
Lanús,,Aldosivi,Away,Liga Profesional Argentina,2019,4231,451,0,0,0,0,0,8,2,25.0000,0.0000,2,0,0,0,0,8,0,0,54,0,0,406,13,0,0,17,0,0,0,0,21,4,2,0,0,0,0,0,0,0
Lanús,,Racing Club,Home,Liga Profesional Argentina,2019,4231,4132,1,0,0,0,0,10,0,0.0000,0.0000,0,0,0,0,0,4,0,0,44,57.070707,0,314,19,0,2,24,0,0,0,0,18,17,2,0,3,0,0,0,0,0
Lanús,,Arsenal de Sarandí,Away,Liga Profesional Argentina,2019,433,41212,1,0,0,0,0,10,2,20.0000,0.0000,1,0,0,0,0,24,0,0,47,55.2727272,0,408,7,0,0,15,0,0,0,0,6,15,2,0,1,0,0,0,0,0
Lanús,,Defensa y Justicia,Away,Liga Profesional Argentina,2019,433,4411,0,0,0,0,0,19,4,21.0526,0.0000,2,0,0,0,0,23,0,0,54,64.3636363,0,424,18,0,0,27,0,0,0,0,9,7,2,0,0,0,0,0,0,0
Lanús,,Banfield,Home,Liga Profesional Argentina,2019,4141,4411,0,0,0,0,0,18,1,5.5556,0.0000,1,0,0,0,0,10,0,0,65,68.2027649,0,440,21,0,0,35,0,0,0,0,21,16,4,0,0,0,0,0,0,0
Lanús,,Huracán,Away,Liga Profesional Argentina,2019,433,4411,1,0,0,0,0,7,4,57.1429,0.0000,0,0,0,0,0,8,0,0,62,68.6567164,0,533,16,0,0,23,0,0,0,0,12,12,2,0,3,0,0,0,0,0
Lanús,,Boca Juniors,Home,Liga Profesional Argentina,2019,433,4411,2,0,0,0,0,9,3,33.3333,0.0000,1,0,0,0,0,19,0,0,42,43.7185929,0,290,9,0,1,14,0,0,0,0,14,13,7,0,3,0,0,0,0,0
Lanús,,Talleres de Córdoba,Away,Liga Profesional Argentina,2019,451,4231,4,0,0,0,0,6,3,50.0000,0.0000,2,0,0,0,0,22,0,0,39,33.2,0,356,20,0,1,2,0,0,0,0,7,17,1,0,3,0,0,0,0,0
