Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Newell's Old Boys,,Tigre,Home,Liga Profesional Argentina,2017,4411,4222,2,0,0,0,0,13,2,15.3846,192.3077,1,0,0,0,0,11,0,0,45,51.5981735,0,354,19,0,2,20,0,0,0,0,10,18,3,0,3,0,0,0,0,0
Newell's Old Boys,,Belgrano,Home,Liga Profesional Argentina,2017,4231,4231,0,0,0,0,0,11,2,18.1818,0.0000,1,0,0,0,0,10,0,0,56,62.2807017,0,495,11,0,4,22,0,0,0,0,14,16,2,0,0,0,0,0,0,0
Newell's Old Boys,,Patronato,Away,Liga Profesional Argentina,2017,4231,442,0,0,0,0,0,11,6,54.5455,0.0000,0,0,0,0,0,10,0,0,44,34.5238095,0,393,10,0,0,9,0,0,0,0,10,15,1,1,1,0,0,0,0,0
Newell's Old Boys,,Chacarita Juniors,Home,Liga Profesional Argentina,2017,442,4321,2,0,0,0,0,14,5,35.7143,0.0000,1,0,0,0,0,17,0,0,51,47.0319634,0,383,12,0,3,13,0,0,0,0,17,16,2,0,3,0,0,0,0,0
Newell's Old Boys,,Vélez Sarsfield,Away,Liga Profesional Argentina,2017,4231,442,0,0,0,0,0,10,6,60.0000,0.0000,1,0,0,0,0,11,0,0,38,45.4935622,0,297,4,0,0,15,0,0,0,0,14,10,2,0,0,0,0,0,0,0
Newell's Old Boys,,Godoy Cruz,Home,Liga Profesional Argentina,2017,4231,4222,0,0,0,0,0,10,3,30.0000,0.0000,0,0,0,0,0,13,0,0,49,55.1440329,0,401,10,0,5,20,0,0,0,0,10,14,2,1,1,0,0,0,0,0
Newell's Old Boys,,Lanús,Away,Liga Profesional Argentina,2017,4231,433,0,0,0,0,0,11,2,18.1818,0.0000,1,0,0,0,0,10,0,0,37,48.3412322,0,320,8,0,4,16,0,0,0,0,17,16,4,0,0,0,0,0,0,0
Newell's Old Boys,,Olimpo,Home,Liga Profesional Argentina,2017,4231,442,2,0,0,0,0,12,5,41.6667,0.0000,0,0,0,0,0,15,0,0,55,58.7044534,0,415,12,0,3,24,0,0,0,0,13,12,5,0,3,0,0,0,0,0
Newell's Old Boys,,Gimnasia La Plata,Away,Liga Profesional Argentina,2017,4141,4231,0,0,0,0,0,12,4,33.3333,0.0000,2,0,0,0,0,19,0,0,64,46.6321243,0,455,12,0,1,21,0,0,0,0,14,17,2,0,0,0,0,0,0,0
Newell's Old Boys,,Defensa y Justicia,Home,Liga Profesional Argentina,2017,4132,433,1,0,0,0,0,11,2,18.1818,0.0000,0,0,0,0,0,10,0,0,45,44.7154471,0,397,10,0,1,17,0,0,0,0,10,15,4,0,3,0,0,0,0,0
Newell's Old Boys,,Independiente,Home,Liga Profesional Argentina,2017,4141,4231,0,0,0,0,0,19,2,10.5263,0.0000,1,0,0,0,0,12,0,0,63,56.0538116,0,500,8,0,0,30,0,0,0,0,7,15,3,0,0,0,0,0,0,0
Newell's Old Boys,,Boca Juniors,Away,Liga Profesional Argentina,2017,433,4231,1,0,0,0,0,7,4,57.1429,0.0000,3,0,0,0,0,10,0,0,55,62.1276595,0,528,13,0,3,16,0,0,0,0,10,22,5,0,0,0,0,0,0,0
Newell's Old Boys,,Talleres de Córdoba,Home,Liga Profesional Argentina,2017,442,433,2,0,0,0,0,14,5,35.7143,0.0000,1,0,0,0,0,6,0,0,36,43.0051813,0,302,15,0,3,15,0,0,0,0,7,17,2,0,3,0,0,0,0,0
Newell's Old Boys,,Atlético Tucumán,Away,Liga Profesional Argentina,2017,433,442,1,0,0,0,0,14,6,42.8571,0.0000,1,0,0,0,0,13,0,0,50,48.9082969,0,356,8,0,1,22,0,0,0,0,18,14,2,0,1,0,0,0,0,0
Newell's Old Boys,,Unión Santa Fe,Home,Liga Profesional Argentina,2017,4231,442,1,0,0,0,0,11,2,18.1818,0.0000,1,0,0,0,0,12,0,0,59,48.5981308,0,463,8,0,0,23,0,0,0,0,15,8,3,0,1,0,0,0,0,0
Newell's Old Boys,,Argentinos Juniors,Away,Liga Profesional Argentina,2017,4231,4231,0,0,0,0,0,4,1,25.0000,0.0000,1,0,0,0,0,13,0,0,51,48.4444444,0,359,14,0,0,22,0,0,0,0,17,18,2,0,0,0,0,0,0,0
