Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Platense,1,Godoy Cruz,Home,Liga Profesional Argentina,2022,4141,4231,2,2.368228124,0,0,0.666093523,11,6,54.5455,0.0000,1,1.192799508,0.9968795,0,0.195920037,15,3,32.97,52,43.3673469,0.4395472,336,8,20,0,29,1,9.2857,0.1389,0.0214,9,12,2,0,3,2.3004,0.5106,0.4070515,-0.0324957,0.4395472
Platense,2,Vélez Sarsfield,Away,Liga Profesional Argentina,2022,4132,442,1,0.70992192,0,0,0.201531862,10,2,20.0000,0.0000,0,0.809123546,0,0,0.247276498,16,4,27.09,37,41.0138248,0.3906272,286,10,17,0,13,2,12.2667,0.0185,0.0115,16,13,1,0,3,1.2462,1.3704,0.4848544,0.0942272,0.3906272
Platense,3,Gimnasia La Plata,Home,Liga Profesional Argentina,2022,3412,442,1,0.697033976,0,0,0.606020957,8,3,37.5000,0.0000,1,1.333127561,0,0,0.484052521,15,5,30.7125,50,41.0958904,0.2728106,379,10,21,0,23,3,11.7917,0.0373,0.0239,11,11,3,0,1,0.8474,1.8398,0.2270706,-0.04574,0.2728106
Platense,4,Aldosivi,Away,Liga Profesional Argentina,2022,3421,532,0,0.80501033,0,0,0.064595394,11,6,54.5455,0.0000,0,0.516424218,0,0,0.155815,11,2,32.97,40,45.7286432,0.2770964,295,10,13,0,27,1,13.1,0.0773,0.0215,9,12,2,0,1,1.6156,0.9946,0.4269595,0.1498631,0.2770964
Platense,5,Sarmiento,Home,Liga Profesional Argentina,2022,4231,442,0,0.685724446,0.3425414,0,0.343182966,19,5,26.3158,0.0000,0,0.560226005,0.3991492,0,0,7,5,34.23,59,50,0.3359568,366,12,20,0,15,3,4.8571,0.1011,0.0801,14,18,4,0,1,1.396,1.1866,0.5947124,0.2587556,0.3359568
Platense,6,Independiente,Away,Liga Profesional Argentina,2022,3412,4231,3,1.67291231,0,0.517478958,0.040991504,14,8,57.1429,0.0000,1,1.328915143,0,0.091879919,0.179959282,13,5,37.38,34,37.2197309,0.4721448,283,9,15,0,15,1,14.3929,0.0342,0.0124,15,11,2,0,3,1.6472,1.0622,0.5479802,0.0758354,0.4721448
Platense,7,Newell's Old Boys,Home,Liga Profesional Argentina,2022,4231,541,1,0.704749445,0,0,0.103036806,12,4,33.3333,91.6667,1,0.418335966,0,0,0.065707293,10,2,39.27,49,55.1020408,0.4357944,414,13,16,0,19,2,10.697,0.0752,0.0653,13,12,1,0,1,1.6304,0.9644,0.4533571,0.0175627,0.4357944
Platense,8,Arsenal de Sarandí,Away,Liga Profesional Argentina,2022,4231,442,1,0.827191649,0.2283234,0,0.557768766,15,4,26.6667,0.0000,1,0.17585496,0.175855,0,0,6,3,39.9,48,43.3179723,0.269935,298,10,18,0,22,2,6.9459,0.0522,0.0327,10,15,2,0,1,1.9868,0.6158,0.2710745,0.0011395,0.269935
Platense,9,Central Córdoba (Santiago del Estero),Home,Liga Profesional Argentina,2022,4231,4141,2,0.85174266,0,0,0.581370009,14,8,57.1429,0.0000,0,0.853590162,0.3308768,0,0.499072347,16,6,35.49,46,56.6666666,0.3642058,321,10,16,1,25,6,8.5946,0.0567,0.039,7,10,1,1,3,1.369,1.2718,0.2749749,-0.0892309,0.3642058
Platense,10,Tigre,Away,Liga Profesional Argentina,2022,4231,4231,0,0.833319248,0,0,0.068345268,8,2,25.0000,0.0000,3,2.541163003,0,0,0.78730952,20,6,44.2575,40,40.7239819,0.5309288,330,9,13,0,11,3,7.34,0.0304,0.0144,9,18,4,0,0,0.355,2.491,0.6291751,0.0982463,0.5309288
Platense,11,Barracas Central,Home,Liga Profesional Argentina,2022,4231,4132,0,1.282190954,0,0,0.091823313,18,5,27.7778,0.0000,0,0.43246677,0,0,0.065435924,5,2,40.74,55,52.2448979,0.5923966,398,13,16,0,26,3,6.8649,0.1052,0.0759,10,16,2,0,1,2.08,0.6286,0.6074872,0.0150906,0.5923966
Platense,12,Boca Juniors,Away,Liga Profesional Argentina,2022,343,433,1,0.836048412,0,0,0,8,1,12.5000,0.0000,2,1.15091057,0,0,0.244359015,20,6,31.5,44,41.3407821,0.2697575,284,8,11,0,10,2,8.1935,0.0263,0.0204,15,19,4,1,0,1.0662,1.6062,0.3075982,0.0378407,0.2697575
Platense,13,Banfield,Home,Liga Profesional Argentina,2022,4231,4231,3,3.069441625,0,0.429421961,0.164034415,16,5,31.2500,0.0000,1,0.186112824,0.1636325,0.040681478,0.022480236,7,1,38.64,42,48.5148514,0.3015297,285,8,19,0,20,3,8.359,0.1106,0.0386,12,11,2,1,3,2.9528,0.0278,0.4933555,0.1918258,0.3015297
Platense,14,San Lorenzo,Away,Liga Profesional Argentina,2022,4231,343,0,0.397818685,0.1187398,0,0.254808784,5,1,20.0000,0.0000,2,1.496199608,0.1371092,0,0.577341387,9,3,37.2225,52,49.4736842,0.469699,401,8,11,0,13,2,9.9286,0.1141,0.0399,18,13,2,0,0,0.3694,2.4172,0.6502742,0.1805752,0.469699
Platense,15,Talleres de Córdoba,Home,Liga Profesional Argentina,2022,4231,4231,0,2.063802738,0.6191532,0.016648225,0.662900571,15,4,26.6667,0.0000,0,1.285783186,1.2043477,0,0.038174193,15,2,29.4,36,34.9206349,0.2447733,287,9,19,0,18,1,11.5152,0.0243,0.0195,10,10,1,0,1,1.9066,0.8218,0.5130922,0.2683189,0.2447733
Platense,16,Argentinos Juniors,Away,Liga Profesional Argentina,2022,532,3412,2,0.3929621,0.2930512,0.131848142,0.0999109,8,3,37.5000,0.0000,0,0.68955898,0.1840294,0,0.5055297,12,3,30.66,31,37.5,0.2230808,237,6,8,0,6,2,13.5313,0.0918,0.0077,14,13,1,0,3,0.9592,1.6114,0.2621292,0.0390484,0.2230808
Platense,17,Estudiantes de La Plata,Home,Liga Profesional Argentina,2022,343,532,0,0.971334306,0.4815498,0,0.423178653,19,6,31.5789,0.0000,0,1.057787633,0.4922832,0,0.56550445,11,3,36.645,54,58.1151832,0.5265921,387,6,18,0,23,2,13.3333,0.0917,0.0358,17,10,2,0,1,1.2064,1.4602,0.5829722,0.0563801,0.5265921
Platense,18,Patronato,Away,Liga Profesional Argentina,2022,532,4132,0,0.639244381,0.6392445,0,0,9,4,44.4444,0.0000,1,0.459041429,0.2386398,0,0.114294894,11,2,23.4675,56,42.5438596,0.3879245,328,5,11,0,19,1,6.7407,0.0266,0.0135,21,12,5,1,0,1.4638,1.0948,0.4839019,0.0959774,0.3879245
Platense,19,Unión Santa Fe,Home,Liga Profesional Argentina,2022,532,3421,1,0.964386655,0.477099,0.337367475,0.463616904,9,3,33.3333,0.0000,0,0.879606814,0.6520803,0.545646787,0.22752651,9,4,37.5375,45,50,0.4221576,323,10,16,2,23,2,7.8205,0.0594,0.0281,17,11,2,0,3,1.3998,1.2282,0.4986255,0.0764679,0.4221576
Platense,20,Racing Club,Home,Liga Profesional Argentina,2022,532,433,0,0.979975052,0.8497692,0,0.130205801,11,3,27.2727,0.0000,1,0.407246146,0.3286988,0,0.053899918,8,3,40.95,39,44.3137254,0.4835037,311,7,20,1,14,0,11.9677,0.041,0.0299,12,21,5,1,0,1.8904,0.7642,0.6986699,0.2157218,0.4835037
Platense,21,Rosario Central,Away,Liga Profesional Argentina,2022,3412,433,1,0.809643099,0.1036513,0,0.677103212,7,2,28.5714,0.0000,1,0.773307868,0.2866959,0,0.463870108,22,6,22.89,36,35.0253807,0.1825744,234,3,10,0,10,0,16.5,0.0133,0.0064,18,10,2,1,1,1.4214,1.1982,0.0918488,-0.0919558,0.1825744
Platense,22,Defensa y Justicia,Home,Liga Profesional Argentina,2022,442,4231,0,1.220984719,1.1574833,0,0.041061329,15,3,20.0000,0.0000,0,0.224305586,0.140733,0,0.012313681,0,0,32.13,46,46.4454976,0.4101034,354,8,15,0,20,2,11.8966,0.0619,0.0557,11,9,3,0,1,2.2542,0.4626,0.3010881,-0.1090153,0.4101034
Platense,23,Atlético Tucumán,Away,Liga Profesional Argentina,2022,442,442,1,0.449736394,0.3980304,0,0.051705997,5,1,20.0000,0.0000,2,0.704719434,0.4493858,0.377303004,0.119305454,8,4,40.95,61,57.8703703,0.7364407,451,8,13,1,19,2,5.4889,0.0581,0.029,8,18,3,0,0,1.0148,1.5686,0.9105654,0.1741247,0.7364407
Platense,24,Colón Santa Fe,Home,Liga Profesional Argentina,2022,442,4231,1,0.8425996,0.807912,0.023885092,0.0346876,13,2,15.3846,92.3077,2,0.74282939,0.7183053,0.444595814,0.0245241,9,3,36.12,52,54.090909,0.6185405,377,9,26,1,26,6,8.0571,0.0537,0.0496,8,7,1,0,0,1.3418,1.2734,0.5427934,-0.0757471,0.6185405
