Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Racing Club,1,Vélez Sarsfield,Away,Liga Profesional Argentina,2021,4411,4231,0,0.557856079,0.5359641,0,0.021891924,9,3,33.3333,0.0000,0,0.34648478,0.1291029,0,0.148003601,9,2,36.5925,49,44,0.3230424,419,8,11,0,15,1,9.075,0.1251,0.1008,13,19,1,0,1,1.517,1.013,0.4404575,0.1174151,0.3230424
Racing Club,2,Gimnasia La Plata,Home,Liga Profesional Argentina,2021,4231,541,0,0.313915397,0.2604344,0,0.053480983,8,0,0.0000,0.0000,0,0.300571577,0.1661671,0,0.030688955,6,0,45.675,64,65.0224215,0.5317436,561,6,20,0,35,3,5.9333,0.0246,0.0072,16,19,3,0,1,1.2072,1.206,0.7219006,0.190157,0.5317436
Racing Club,3,Aldosivi,Away,Liga Profesional Argentina,2021,4231,433,2,2.654665937,1.8700287,0.688045556,0.72012341,20,2,10.0000,0.0000,0,2.274202925,1.378231,0,0.114222905,16,5,31.8675,52,43.4042553,0.927595,477,7,28,1,20,5,10.6774,0.0226,0.0142,8,14,1,0,3,1.6504,1.105,1.1265529,0.1989579,0.927595
Racing Club,4,Sarmiento,Home,Liga Profesional Argentina,2021,4231,4141,1,0.7878834,0.5010951,0,0.2867883,20,3,15.0000,0.0000,0,0.3426353,0.2514434,0.039466388,0.0911919,10,2,35.28,73,66.6666666,0.4922866,610,16,23,0,27,3,5.5455,0.0445,0.0379,10,10,1,0,3,1.732,0.8536,0.6210618,0.1287752,0.4922866
Racing Club,5,Independiente,Away,Liga Profesional Argentina,2021,4231,4231,0,1.083802,0.9789612,0,0.05393504,12,3,25.0000,0.0000,1,1.694885266,1.6948853,0,0,12,3,33.39,60,55.7377049,0.2811004,553,15,12,0,24,7,7.75,0.0622,0.0255,15,13,4,0,0,0.8234,1.8986,0.4764262,0.1953258,0.2811004
Racing Club,6,Newell's Old Boys,Home,Liga Profesional Argentina,2021,4231,433,2,0.675740585,0.4937342,0,0.135670703,9,4,44.4444,0.0000,0,0.48029526,0.3535303,0,0.082328951,9,2,31.29,49,43.5754189,0.3583325,376,8,17,1,16,2,9.3438,0.0304,0.0185,21,22,2,0,3,1.496,1.0826,0.475234,0.1169015,0.3583325
Racing Club,7,Arsenal de Sarandí,Away,Liga Profesional Argentina,2021,4231,532,3,1.627344598,1.4695539,0.244647116,0.100141544,17,6,35.2941,0.0000,0,0.533504578,0.3090161,0,0.145039562,13,2,29.4,48,37.3271889,0.2806719,409,10,24,2,13,3,13.2917,0.0943,0.0627,13,15,0,0,3,2.2302,0.531,0.5568285,0.2761566,0.2806719
Racing Club,8,Central Córdoba (Santiago del Estero),Home,Liga Profesional Argentina,2021,4231,442,0,1.105486409,0.8501775,0.017621765,0.208661256,17,2,11.7647,0.0000,0,0.844285285,0.7534773,0.517034054,0.068235638,11,1,32.97,63,58.1730769,0.298573,493,19,13,2,29,4,7.2,0.187,0.0565,12,6,3,0,1,1.5464,1.1132,0.447457,0.148884,0.298573
Racing Club,9,Boca Juniors,Away,Liga Profesional Argentina,2021,4231,4312,0,0.2218863,0.2218863,0,0,8,1,12.5000,0.0000,0,0.84428505,0.5890401,0,0.2552449,11,4,26.67,40,38.7234042,0.2585649,352,9,5,0,14,2,17.9048,0.0741,0.0696,12,8,1,0,1,0.6138,2.0088,0.4680291,0.2094642,0.2585649
Racing Club,10,Banfield,Home,Liga Profesional Argentina,2021,4231,4231,0,0.301756125,0.236698,0,0.043057185,12,2,16.6667,0.0000,0,0.916995287,0.7151243,0.072992936,0.201870984,18,4,29.19,59,48.8789237,0.2568513,558,11,15,0,16,2,7.4595,0.0264,0.0147,12,8,3,0,1,0.7156,1.9174,0.5430475,0.2861962,0.2568513
