Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
River Plate,,Lanús,Home,Liga Profesional Argentina,2019,442,433,3,0,0,0,0,25,12,48.0000,0.0000,0,0,0,0,0,4,0,0,55,70.7692307,0,427,9,0,3,14,0,0,0,0,15,20,4,0,3,0,0,0,0,0
River Plate,,Patronato,Home,Liga Profesional Argentina,2019,4132,442,2,0,0,0,0,21,8,38.0952,0.0000,0,0,0,0,0,10,0,0,78,78.1569965,0,764,14,0,1,17,0,0,0,0,15,8,1,0,3,0,0,0,0,0
River Plate,,Gimnasia La Plata,Away,Liga Profesional Argentina,2019,442,4231,2,0,0,0,0,18,3,16.6667,0.0000,0,0,0,0,0,24,0,0,51,52.8138528,0,361,8,0,1,22,0,0,0,0,8,23,2,0,3,0,0,0,0,0
River Plate,,Vélez Sarsfield,Home,Liga Profesional Argentina,2019,433,433,1,0,0,0,0,26,7,26.9231,0.0000,2,0,0,0,0,8,0,0,63,73.3870967,0,477,10,0,0,37,0,0,0,0,13,7,2,0,0,0,0,0,0,0
River Plate,,Huracán,Away,Liga Profesional Argentina,2019,4132,433,4,0,0,0,0,20,9,45.0000,0.0000,0,0,0,0,0,7,0,0,71,73.4693877,0,646,17,0,3,13,0,0,0,0,12,12,4,0,3,0,0,0,0,0
River Plate,,Boca Juniors,Home,Liga Profesional Argentina,2019,442,4141,0,0,0,0,0,17,5,29.4118,0.0000,0,0,0,0,0,5,0,0,64,67.8861788,0,430,15,0,1,24,0,0,0,0,22,19,3,0,1,0,0,0,0,0
River Plate,,Talleres de Córdoba,Home,Liga Profesional Argentina,2019,4222,3142,0,0,0,0,0,10,2,20.0000,0.0000,1,0,0,0,0,16,0,0,52,62.6666666,0,451,13,0,1,11,0,0,0,0,14,11,4,1,0,0,0,0,0,0
River Plate,,Racing Club,Away,Liga Profesional Argentina,2019,4222,4132,6,0,0,0,0,19,11,57.8947,0.0000,1,0,0,0,0,9,0,0,59,64.9789029,0,447,14,0,6,17,0,0,0,0,10,13,3,0,3,0,0,0,0,0
River Plate,,Atlético Tucumán,Away,Liga Profesional Argentina,2019,352,442,1,0,0,0,0,17,1,5.8824,0.0000,1,0,0,0,0,12,0,0,67,63.9455782,0,503,10,0,3,24,0,0,0,0,22,7,1,0,1,0,0,0,0,0
River Plate,,Defensa y Justicia,Home,Liga Profesional Argentina,2019,532,3421,1,0,0,0,0,15,7,46.6667,0.0000,1,0,0,0,0,10,0,0,50,59.6491228,0,447,10,0,4,22,0,0,0,0,15,11,3,0,1,0,0,0,0,0
River Plate,,Estudiantes de La Plata,Away,Liga Profesional Argentina,2019,532,4312,2,0,0,0,0,9,5,55.5556,0.0000,0,0,0,0,0,12,0,0,55,61.8867924,0,460,13,0,0,14,0,0,0,0,17,13,1,0,3,0,0,0,0,0
River Plate,,Banfield,Home,Liga Profesional Argentina,2019,532,4231,1,0,0,0,0,16,9,56.2500,0.0000,0,0,0,0,0,8,0,0,58,55.5045871,0,505,8,0,0,19,0,0,0,0,14,17,4,0,3,0,0,0,0,0
River Plate,,Argentinos Juniors,Away,Liga Profesional Argentina,2019,442,4231,1,0,0,0,0,10,6,60.0000,0.0000,1,0,0,0,0,10,0,0,55,40,0,419,14,0,1,11,0,0,0,0,20,16,5,0,1,0,0,0,0,0
River Plate,,Unión Santa Fe,Away,Liga Profesional Argentina,2019,532,541,2,0,0,0,0,13,3,23.0769,0.0000,1,0,0,0,0,12,0,0,64,66.4516129,0,597,12,0,0,13,0,0,0,0,11,16,3,0,3,0,0,0,0,0
River Plate,,Central Córdoba (Santiago del Estero),Home,Liga Profesional Argentina,2019,532,433,2,0,0,0,0,14,4,28.5714,0.0000,0,0,0,0,0,10,0,0,46,0,0,329,9,0,0,13,0,0,0,0,10,14,3,1,3,0,0,0,0,0
