Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Rosario Central,1,Godoy Cruz,Away,Liga Profesional Argentina,2021,442,433,1,1.417861077,0.3135458,0,0.933140013,8,4,50.0000,0.0000,2,2.547671554,2.0799628,0.335041404,0.467708804,21,9,27.72,43,38.2775119,0.3587134,304,2,10,0,11,0,11.3704,0.0329,0.0175,17,13,1,1,0,0.622,2.1634,0.3965606,0.0378472,0.3587134
Rosario Central,2,Vélez Sarsfield,Home,Liga Profesional Argentina,2021,442,4231,1,0.903147536,0.3877308,0,0.471871304,16,7,43.7500,0.0000,0,0.400602769,0.1982393,0.028409177,0.166767106,8,5,38.85,54,52.5423728,0.3311674,436,8,19,0,34,4,11.5,0.2341,0.2256,14,13,4,0,3,1.7698,0.8542,0.4550353,0.1238679,0.3311674
Rosario Central,3,Gimnasia La Plata,Away,Liga Profesional Argentina,2021,442,433,0,1.0514671,0.410607,0,0.6408601,15,2,13.3333,0.0000,1,1.3678686,0.765348,0.461694747,0.6025205,12,5,38.6925,62,59.0243902,0.4669355,551,10,23,0,28,1,10.3929,0.0317,0.0235,15,10,2,0,0,1.0838,1.6256,0.6821781,0.2152426,0.4669355
Rosario Central,4,Aldosivi,Home,Liga Profesional Argentina,2021,4222,433,1,1.321203164,0.8939041,0,0.354645494,14,4,28.5714,0.0000,2,1.636399472,1.5956261,0,0.020457862,13,5,42.21,56,58.7044534,0.8282281,487,5,24,0,29,3,8.0513,0.2173,0.0436,13,14,2,0,0,1.2024,1.5006,0.9726307,0.1444026,0.8282281
Rosario Central,5,Sarmiento,Away,Liga Profesional Argentina,2021,4222,442,0,0.196083976,0.196084,0,0,5,2,40.0000,0.0000,1,0.71536544,0.6420578,0.471112763,0.03632666,10,5,38.64,60,54,0.3027025,504,8,10,0,20,1,8.9677,0.0305,0.0228,11,11,3,0,0,0.6436,1.9408,0.4531963,0.1504938,0.3027025
Rosario Central,6,Independiente,Home,Liga Profesional Argentina,2021,4411,4231,1,0.218479646,0.1201643,0,0.098315228,10,3,30.0000,0.0000,2,1.704907456,1.5719391,0.042506471,0.071434151,11,4,35.49,41,41.2935323,0.2644436,400,8,12,0,24,1,13.5278,0.0286,0.0094,12,16,3,0,0,0.2552,2.5856,0.4368213,0.1723777,0.2644436
Rosario Central,7,Newell's Old Boys,Away,Liga Profesional Argentina,2021,4312,4231,1,0.857633259,0.720379,0,0.137254253,13,4,30.7692,0.0000,1,0.489454808,0.4607745,0.066107534,0,10,3,28.98,49,44.017094,0.5499249,324,11,22,0,25,1,7.9333,0.0178,0.01,12,15,4,0,1,1.6468,0.967,0.6085151,0.0585902,0.5499249
Rosario Central,8,Arsenal de Sarandí,Home,Liga Profesional Argentina,2021,4312,532,4,2.089722909,1.4108137,0,0.654797306,17,6,35.2941,0.0000,0,0.59340396,0.4115876,0,0.142091678,10,3,42.945,57,55.2238805,0.4543274,481,7,25,0,18,3,8.3939,0.0708,0.0435,10,14,1,0,3,2.4398,0.3818,0.7794418,0.3251144,0.4543274
Rosario Central,9,Central Córdoba (Santiago del Estero),Away,Liga Profesional Argentina,2021,4312,442,4,2.670722121,1.6017243,0.26122003,0.947845621,16,8,50.0000,0.0000,2,1.451186848,1.1136695,0,0.219497098,19,10,25.725,55,51.1494252,1.2819378,387,7,20,1,22,0,10.0769,0.1414,0.1014,10,9,1,0,3,2.0936,0.6962,1.4059379,0.1240001,1.2819378
Rosario Central,10,Boca Juniors,Home,Liga Profesional Argentina,2021,4312,41212,1,1.453082802,0.7478657,0.162542455,0.667948047,15,5,33.3333,93.3333,2,1.619433179,1.5451978,0,0.074235419,20,7,32.8125,40,37.556561,0.4091409,278,6,21,0,25,1,7.9444,0.0213,0.0091,7,11,1,0,0,1.284,1.4634,0.7072861,0.2981452,0.4091409
