Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
San Lorenzo,1,Arsenal de Sarandí,Away,Liga Profesional Argentina,2021,442,4321,1,0.614217201,0.6142171,0,0,7,1,14.2857,0.0000,1,0.676017247,0.2706327,0,0.335157087,10,2,37.38,48,50,0.2612395,343,7,14,1,22,2,8.1316,0.024,0.016,21,25,3,1,1,1.2334,1.354,0.2406392,-0.0206003,0.2612395
San Lorenzo,2,Central Córdoba (Santiago del Estero),Home,Liga Profesional Argentina,2021,442,343,1,0.4183562,0.385233,0,0.0331232,8,2,25.0000,0.0000,0,1.0140879,0.8789937,0,0.1350942,13,2,35.3325,49,46.3541666,0.4557247,376,5,15,0,10,7,8.8286,0.0502,0.0154,13,18,3,0,3,0.74,1.9238,0.3864243,-0.0693004,0.4557247
San Lorenzo,3,Boca Juniors,Away,Liga Profesional Argentina,2021,4231,4132,2,1.679784601,0.6981745,0,0.144258916,7,2,28.5714,0.0000,0,0.533470713,0.4149848,0.03895475,0,12,0,36.54,41,38.5057471,0.4825374,352,3,14,2,11,2,8.625,0.0632,0.031,12,24,4,0,3,2.4102,0.3918,0.549651,0.0671136,0.4825374
San Lorenzo,4,Banfield,Home,Liga Profesional Argentina,2021,4231,442,1,0.4721471,0.395803,0,0.0763442,12,1,8.3333,0.0000,1,1.0385087,0.9870945,0.092238359,0.0514141,10,4,31.92,53,52.5821596,0.1930447,441,13,19,2,22,4,12.6522,0.0105,0.0091,16,12,2,0,1,0.7962,1.8726,0.2827646,0.0897199,0.1930447
San Lorenzo,5,Unión Santa Fe,Away,Liga Profesional Argentina,2021,4231,343,0,0.460151417,0.3475219,0,0.078245576,10,1,10.0000,0.0000,4,1.738688575,1.7175153,0.282165974,0.021173194,12,5,29.19,64,59.0551181,0.5782257,595,9,14,1,26,5,14.2222,0.0338,0.0201,12,9,1,0,0,0.4098,2.3982,0.6858962,0.1076705,0.5782257
San Lorenzo,6,Talleres de Córdoba,Away,Liga Profesional Argentina,2021,4231,4231,0,0.8410072,0.6157862,0.524015367,0.225221,9,3,33.3333,0.0000,2,1.7359384,1.4783219,0.367774814,0.2576163,18,7,36.015,45,43.2748538,0.2217225,410,6,14,2,16,2,14.0345,0.0252,0.0017,12,13,2,2,0,0.7204,2.0332,0.2752398,0.0535173,0.2217225
San Lorenzo,7,Argentinos Juniors,Home,Liga Profesional Argentina,2021,4231,352,0,0.43711334,0.2619757,0,0.145016885,12,2,16.6667,0.0000,1,1.390908375,0.7457958,0,0.604328074,8,3,35.6475,40,48.1651376,0.4930994,363,6,18,1,22,3,14.1563,0.152,0.1346,7,13,3,0,0,0.5172,2.2398,0.5376073,0.0445079,0.4930994
San Lorenzo,8,Estudiantes de La Plata,Away,Liga Profesional Argentina,2021,532,442,0,0.283686565,0.1445322,0,0.093746656,8,1,12.5000,0.0000,2,2.709985882,1.7456952,0.721439898,0.96429076,17,6,32.2875,54,42.7807486,0.3747611,420,5,22,0,17,2,10.84,0.0355,0.0118,14,18,3,0,0,0.0912,2.8524,0.3817077,0.0069466,0.3747611
San Lorenzo,9,Patronato,Home,Liga Profesional Argentina,2021,343,4411,3,1.871490627,0.484658,0,0.605083577,8,6,75.0000,0.0000,0,0.123523458,0.0656488,0,0.018621812,5,2,34.125,51,36.8131868,0.3069882,457,10,11,1,13,2,9.2286,0.0275,0.0111,14,21,2,0,3,2.8108,0.1042,0.3470262,0.040038,0.3069882
San Lorenzo,10,Platense,Away,Liga Profesional Argentina,2021,3421,442,1,1.1065539,0.8480412,0,0.2585128,12,5,41.6667,0.0000,1,0.3776777,0.3096586,0.018648362,0.068019,11,3,36.96,56,49.7487437,0.2711481,428,8,18,1,21,0,8.7667,0.0298,0.0237,8,14,3,1,1,1.9768,0.6982,0.4619841,0.190836,0.2711481
