Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Sarmiento,1,Estudiantes de La Plata,Home,Liga Profesional Argentina,2021,442,442,0,0.212347388,0.1398397,0.019499037,0.022086865,9,1,11.1111,0.0000,3,2.200916403,2.1219951,0.374203881,0.078921352,14,5,26.88,49,46.6981132,0.3100005,360,6,13,0,20,2,8.5294,0.4047,0.3422,13,13,0,0,0,0.1184,2.8034,0.3920423,0.0820418,0.3100005
Sarmiento,2,Patronato,Away,Liga Profesional Argentina,2021,442,442,0,0.434668977,0.3084893,0,0.060535152,12,4,33.3333,0.0000,2,1.586409879,1.412308,0.77088213,0.056202461,12,3,37.5375,62,56.846473,0.4674939,449,9,24,0,32,3,6.6286,0.0729,0.0437,14,12,2,0,0,0.44,2.3372,0.4161483,-0.0513456,0.4674939
Sarmiento,3,Platense,Home,Liga Profesional Argentina,2021,442,442,1,1.321472143,0.7669458,0,0.415021985,19,3,15.7895,0.0000,0,0.262588265,0.2266884,0,0.035899862,8,0,29.4,62,55.1569506,0.5108691,432,5,26,0,34,1,6.7,0.0383,0.0248,12,11,0,0,3,2.2228,0.4984,0.642133,0.1312639,0.5108691
Sarmiento,4,Racing Club,Away,Liga Profesional Argentina,2021,4141,4231,0,0.3426353,0.2514434,0.039466388,0.0911919,10,2,20.0000,0.0000,1,0.7878834,0.5010951,0,0.2867883,20,3,28.875,27,33.3333333,0.2869155,223,13,10,1,14,1,13.4848,0.0317,0.0082,9,12,1,0,0,0.8536,1.732,0.3531064,0.0661909,0.2869155
Sarmiento,5,Rosario Central,Home,Liga Profesional Argentina,2021,442,4222,1,0.71536544,0.6420578,0.471112763,0.03632666,10,5,50.0000,0.0000,0,0.196083976,0.196084,0,0,5,2,37.38,40,46,0.4868033,329,13,20,0,20,1,11.6757,0.0277,0.0207,9,13,3,0,3,1.9408,0.6436,0.6120741,0.1252708,0.4868033
Sarmiento,6,Defensa y Justicia,Away,Liga Profesional Argentina,2021,442,442,2,0.5626432,0.4734531,0.017810805,0.0891901,12,4,33.3333,0.0000,4,1.9392564,1.8724416,0.619752318,0.0668148,13,4,41.6325,46,54.8717948,0.2844306,372,4,11,0,24,3,8.814,0.091,0.0138,12,12,3,0,0,0.4056,2.4186,0.4134243,0.1289937,0.2844306
Sarmiento,7,Atlético Tucumán,Home,Liga Profesional Argentina,2021,442,442,3,2.4637945,2.4469577,0.025737049,0.0168368,12,4,33.3333,0.0000,0,1.2554427,1.1226907,0,0.1327519,14,6,27.195,46,50.5747126,0.872345,402,13,18,2,22,4,11.7813,0.083,0.0126,12,14,2,0,3,2.2538,0.5594,1.0109039,0.1385589,0.872345
Sarmiento,8,Colón Santa Fe,Away,Liga Profesional Argentina,2021,541,433,1,1.2529044,0.9971241,0.267440945,0.1955246,18,7,38.8889,0.0000,1,0.7200611,0.5392309,0,0.137257,12,3,33.18,35,41.7040358,0.659077,290,9,22,1,15,0,13.9677,0.542857143,0.314285714,11,15,2,0,1,1.7772,0.924,0.7770801,0.1180031,0.659077
Sarmiento,9,River Plate,Home,Liga Profesional Argentina,2021,541,352,1,0.6517853,0.2284198,0,0.3802044,12,3,25.0000,0.0000,2,1.1561369,0.2790191,0.017123234,0.8771177,12,5,31.7625,30,40.7079646,0.2373747,230,13,17,0,15,0,13.7813,0.522727273,0.25,14,18,3,1,0,0.7984,1.8616,0.2225536,-0.0148211,0.2373747
Sarmiento,10,Lanús,Away,Liga Profesional Argentina,2021,541,442,1,1.7247249,0.6010331,0,0.3086615,16,2,12.5000,0.0000,1,1.1243268,0.9414353,0,0.1273223,9,2,36.3825,45,51.3157894,0.5663307,344,6,22,1,26,0,9.3846,0.536585366,0.268292683,14,13,2,0,1,1.8588,0.8772,0.798433,0.2321023,0.5663307
