Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Talleres de Córdoba,1,Newell's Old Boys,Away,Liga Profesional Argentina,2021,4321,4141,2,2.17165149,2.0978516,1.225226432,0.073799908,11,4,36.3636,0.0000,3,2.368524262,0.5321096,0,1.765445078,17,9,28.455,45,38.3495145,0.7712916,331,14,20,0,14,3,11.6154,0.0172,0.004,13,18,2,0,0,1.3718,1.3706,1.0105774,0.2392858,0.7712916
Talleres de Córdoba,2,Arsenal de Sarandí,Home,Liga Profesional Argentina,2021,4231,4132,2,1.633934854,1.5745811,0.55511878,0.059353761,15,3,20.0000,0.0000,0,0.199816078,0.1580548,0,0,7,1,32.76,58,53.6363636,0.412554,519,16,20,2,17,0,6.3953,0.0511,0.0168,4,14,2,0,3,2.5402,0.2716,0.8925537,0.4799997,0.412554
Talleres de Córdoba,3,Central Córdoba (Santiago del Estero),Away,Liga Profesional Argentina,2021,4231,3421,1,1.215569899,0.4087805,0,0.806789404,8,1,12.5000,87.5000,2,1.342014609,1.2029747,0,0.056167631,11,3,26.145,74,60.4651162,0.2427215,586,11,10,1,22,3,9.4444,0.0713,0.0225,18,12,3,0,0,1.2252,1.4658,0.4437863,0.2010648,0.2427215
Talleres de Córdoba,4,Boca Juniors,Home,Liga Profesional Argentina,2021,4231,4141,0,1.046342062,0.8932552,0,0.028980162,15,3,20.0000,0.0000,0,0.725941881,0.5020596,0.378504932,0.123745132,9,0,38.43,45,50,0.3735751,367,12,18,1,11,1,10.027,0.0172,0.0075,15,21,2,0,1,1.6388,1.0268,0.6322047,0.2586296,0.3735751
Talleres de Córdoba,5,Banfield,Away,Liga Profesional Argentina,2021,4231,433,1,0.941070493,0.8991799,0.031761441,0.041890565,13,6,46.1538,0.0000,0,1.84728033,0.9503054,0,0.831185594,25,5,33.705,48,48.2558139,0.4529546,322,18,15,1,7,1,7.8571,0.0357,0.0116,10,14,2,0,3,0.7574,1.9994,0.5658799,0.1129253,0.4529546
Talleres de Córdoba,6,San Lorenzo,Home,Liga Profesional Argentina,2021,4231,4231,2,1.7359384,1.4783219,0.367774814,0.2576163,18,7,38.8889,0.0000,0,0.8410072,0.6157862,0.524015367,0.225221,0,3,39.165,55,56.7251461,0.4985626,500,12,21,1,20,2,11.9667,0.019,0.0064,13,13,2,0,3,2.0332,0.7204,0.8277429,0.3291803,0.4985626
Talleres de Córdoba,7,Unión Santa Fe,Away,Liga Profesional Argentina,2021,433,343,2,0.803409904,0.8034098,0,0,7,2,28.5714,0.0000,1,0.788501654,0.6371722,0.070680007,0.120794931,11,3,34.755,52,37.0192307,0.1319454,418,5,5,0,11,1,9.0323,0.0317,0.0115,11,18,5,0,3,1.3422,1.2876,0.3132127,0.1812673,0.1319454
Talleres de Córdoba,8,Argentinos Juniors,Away,Liga Profesional Argentina,2021,4231,352,2,0.886366619,0.7627312,0,0.092694618,7,3,42.8571,0.0000,1,0.577431515,0.3604,0,0.217031432,12,4,25.5675,34,36.8421052,0.1955345,274,3,13,1,10,2,12.6571,0.0217,0.0133,13,17,2,0,3,1.6596,0.99,0.29317,0.0976355,0.1955345
Talleres de Córdoba,9,Estudiantes de La Plata,Home,Liga Profesional Argentina,2021,4231,442,2,0.3855894,0.3194976,0,0.0660918,7,2,28.5714,0.0000,0,0.664422,0.4073789,0,0.2570431,11,3,31.815,49,44.9704142,0.365728,351,9,11,0,9,3,8.6667,0.0255,0.0057,14,23,4,0,3,0.9638,1.5908,0.3676257,0.0018977,0.365728
Talleres de Córdoba,10,Patronato,Away,Liga Profesional Argentina,2021,4231,442,0,1.075523929,0.4506811,0,0.537057485,14,3,21.4286,0.0000,0,0.28539999,0.1172195,0,0.060829386,7,4,29.295,65,57.5471698,0.3999153,402,18,22,1,27,2,7.7143,0.0266,0.0129,16,14,3,0,1,2.0842,0.5866,0.5601868,0.1602715,0.3999153
