Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Tigre,1,Unión Santa Fe,Away,Liga Profesional Argentina,2022,4231,4231,2,0.567157304,0,0.115344062,0,10,4,40.0000,0.0000,1,1.44429927,0,0,0.610508148,13,2,20.4225,47,32.8571428,0.3679932,351,10,6,1,4,2,8.8214,0.0217,0.0104,11,15,2,0,3,0.6078,2.1198,0.5067422,0.138749,0.3679932
Tigre,2,Barracas Central,Home,Liga Profesional Argentina,2022,4231,4231,1,0.952847168,0,0,0.43884023,19,6,31.5789,0.0000,1,0.933667898,0,0,0.86553931,0,2,26.04,68,64.1414141,0.5885234,443,12,20,2,31,3,11.8125,0.0524,0.0387,20,10,1,1,1,1.2438,1.3938,0.7135779,0.1250545,0.5885234
Tigre,3,Boca Juniors,Away,Liga Profesional Argentina,2022,4231,4141,3,2.15824484,0,0.042301871,0.936874604,16,4,25.0000,293.7500,5,0.922474587,0,0,0.034373894,10,6,28.035,51,47.928994,0.4467239,450,6,21,1,24,0,19.5556,0.0273,0.0071,15,8,2,0,0,2.343,0.4638,0.3658853,-0.0808386,0.4467239
Tigre,4,Banfield,Home,Liga Profesional Argentina,2022,4231,4411,0,0.842784203,0,0,0.068784923,14,6,42.8571,0.0000,1,1.441765133,1.418284,0.079191588,0.02348127,9,4,32.76,49,43.3497536,0.358537,379,11,13,0,18,1,9.7576,0.0366,0.0269,12,13,2,0,0,0.9842,1.6532,0.4895555,0.1310185,0.358537
Tigre,5,San Lorenzo,Away,Liga Profesional Argentina,2022,4141,343,1,0.355226799,0,0,0.039107941,8,4,50.0000,0.0000,1,1.155849854,0,0,0.176126333,11,5,29.1375,55,43.6893203,0.3527965,544,11,14,1,13,2,9.0526,0.0639,0.0579,10,12,3,0,1,0.483,2.2452,0.5853436,0.2325471,0.3527965
Tigre,6,Talleres de Córdoba,Home,Liga Profesional Argentina,2022,4141,4231,1,1.754476484,0,0.17564249,0.420095706,21,8,38.0952,0.0000,1,1.223914827,0,0,0.875069644,7,2,30.6075,49,60.3238866,0.5416123,408,14,41,0,33,5,15.12,0.1483,0.1353,12,8,3,0,1,1.8512,0.8708,0.5173258,-0.0242865,0.5416123
Tigre,7,Argentinos Juniors,Away,Liga Profesional Argentina,2022,4141,352,1,1.8890855,0.7139457,0.096205734,0.3933908,11,4,36.3636,0.0000,2,0.9539479,0.8428225,0,0.1111254,13,4,33.18,54,51.6279069,0.4422944,402,13,20,2,18,6,15.625,0.387096774,0.35483871,11,7,2,1,0,2.1536,0.6158,0.6197676,0.1774732,0.4422944
Tigre,8,Estudiantes de La Plata,Home,Liga Profesional Argentina,2022,442,442,2,0.868863786,0,0.025750469,0.011104865,10,5,50.0000,0.0000,1,0.70846741,0.4683978,0,0.174679339,12,5,30.7125,38,43.5684647,0.4593421,313,11,12,0,11,4,10.4324,0.0816,0.0346,10,9,2,0,3,1.4878,1.141,0.5973418,0.1379997,0.4593421
Tigre,9,Patronato,Away,Liga Profesional Argentina,2022,4231,442,0,2.071400654,1.6350248,0.087610222,0.414495845,23,4,17.3913,0.0000,1,1.219412796,0.6659077,0,0.553505047,12,5,22.89,57,45.703125,0.8644329,384,9,24,0,35,3,12.9375,0.0617,0.0553,15,4,1,0,0,1.9714,0.7894,1.4226572,0.5582243,0.8644329
Tigre,10,Platense,Home,Liga Profesional Argentina,2022,4231,4231,3,2.541163003,0,0,0.78730952,20,6,30.0000,0.0000,0,0.833319248,0,0,0.068345268,8,2,31.92,60,59.276018,0.5462742,493,9,21,2,14,5,9.3333,0.1041,0.0832,17,9,2,0,3,2.491,0.355,0.7419622,0.195688,0.5462742
Tigre,11,Racing Club,Away,Liga Profesional Argentina,2022,4231,433,3,2.209262915,0,0,0.504646887,16,5,31.2500,0.0000,3,1.849522386,0,0,0.122827848,13,7,26.145,42,41.8848167,0.2139121,320,8,20,1,14,1,18.2222,0.0209,0.0136,12,11,2,0,1,1.58,1.1474,0.4824513,0.2685392,0.2139121
Tigre,12,Rosario Central,Home,Liga Profesional Argentina,2022,442,4141,3,1.345727626,1.3457277,0.248757906,0,10,5,50.0000,0.0000,1,1.09808905,0.5963456,0.030015754,0.47770837,11,3,38.3775,54,52.4064171,0.4289976,447,15,15,2,11,1,9.2857,0.0539,0.0202,9,7,1,0,3,1.518,1.1856,0.6849626,0.255965,0.4289976
Tigre,13,Defensa y Justicia,Away,Liga Profesional Argentina,2022,442,4141,0,1.110315433,0,0,0.106634458,14,4,28.5714,0.0000,0,1.065738251,0,0,0,13,5,25.4625,44,29.8165137,0.3210257,412,6,12,1,14,1,14.5769,0.14,0.1235,8,5,1,0,1,1.3948,1.2514,0.4840546,0.1630289,0.3210257
Tigre,14,Atlético Tucumán,Home,Liga Profesional Argentina,2022,442,442,0,0.3202587,0.3202587,0,0,8,3,37.5000,0.0000,0,0.98761764,0.8457454,0.019240174,0.1418723,10,5,43.68,60,62.0967741,0.6360152,547,7,19,1,23,4,8.025,0.0496,0.0431,5,11,3,0,1,0.6472,2.0134,0.8123473,0.1763321,0.6360152
Tigre,15,Colón Santa Fe,Away,Liga Profesional Argentina,2022,4231,4132,1,1.500328328,1.2858744,0,0.172253711,18,9,50.0000,0.0000,2,1.690216742,1.6388574,0,0.051359367,12,5,25.935,65,59.8425196,0.762182,501,6,31,1,26,7,9.3182,0.0701,0.0512,14,6,0,0,0,1.1922,1.4934,1.0311924,0.2690104,0.762182
Tigre,16,River Plate,Home,Liga Profesional Argentina,2022,442,4132,1,1.051447568,0.1367611,0,0.132937439,12,2,16.6667,0.0000,1,0.804220369,0.8042203,0,0,8,2,36.645,47,48.5849056,0.3209793,401,11,18,0,17,3,7.9783,0.0603,0.0443,8,15,2,1,1,1.65,1.0014,0.3685663,0.047587,0.3209793
Tigre,17,Lanús,Away,Liga Profesional Argentina,2022,4132,451,2,1.859921856,1.5439717,0.117854781,0.293544831,20,8,40.0000,0.0000,1,0.300118195,0.187654,0,0.071041524,9,3,32.97,52,50.490196,0.5096151,426,8,26,1,19,2,8.7429,0.0398,0.0275,11,17,2,0,3,2.5064,0.3152,0.7043143,0.1946992,0.5096151
Tigre,18,Huracán,Home,Liga Profesional Argentina,2022,4132,4231,1,1.054645795,0.9214249,0,0.133220725,14,3,21.4286,0.0000,1,1.22152581,0.299946,0,0.139830756,9,3,25.515,44,41.2322274,0.2892203,335,9,19,0,21,4,12.84,0.0667,0.0595,10,10,1,1,1,1.143,1.5102,0.420218,0.1309977,0.2892203
Tigre,19,Godoy Cruz,Away,Liga Profesional Argentina,2022,4231,4231,1,0.46779146,0.3653559,0,0.077949371,8,3,37.5000,0.0000,1,1.786268193,1.5960103,0,0.165018694,20,4,26.355,48,42.1052631,0.3439309,357,2,16,1,14,0,19,0.034,0.0329,10,10,3,0,1,0.3942,2.4144,0.4319229,0.087992,0.3439309
Tigre,20,Vélez Sarsfield,Home,Liga Profesional Argentina,2022,4312,433,2,1.421381001,1.0967915,0.141893253,0.301521211,16,5,31.2500,0.0000,0,0.552598012,0.5269762,0,0.025621856,8,2,40.4775,44,50.2857142,0.6419796,357,10,17,0,15,2,9.5,0.0418,0.0293,14,12,3,0,3,2.0732,0.6584,0.8236814,0.1809769,0.6419796
Tigre,21,Gimnasia La Plata,Away,Liga Profesional Argentina,2022,433,442,1,1.150353283,1.0347767,0.592246689,0.115576586,12,2,16.6667,0.0000,0,0.493097713,0.3308708,0,0.035536006,12,2,36.12,51,44.4444444,0.5831005,382,8,20,3,18,2,9.8,0.0531,0.0333,7,6,3,0,3,1.956,0.741,0.5099848,-0.0731157,0.5831005
Tigre,22,Aldosivi,Home,Liga Profesional Argentina,2022,433,4312,3,2.111832064,1.8817275,0.095790215,0.206683712,22,9,40.9091,0.0000,0,0.363679714,0.3636798,0,0,3,1,43.7325,57,56.2790697,0.6843659,452,3,27,2,30,1,9.4333,0.1045,0.0923,17,11,0,0,3,2.5886,0.2648,0.88483,0.2004641,0.6843659
Tigre,23,Sarmiento,Away,Liga Profesional Argentina,2022,433,442,2,1.3630315,1.3265812,0.020124292,0.0364503,22,5,22.7273,0.0000,2,1.97088565,0.5001546,0,1.470731,17,8,28.14,58,53.076923,0.6067168,428,8,16,1,14,3,7.2759,0.0778,0.0693,12,12,5,0,1,0.9326,1.8218,0.7774755,0.1707587,0.6067168
Tigre,24,Independiente,Home,Liga Profesional Argentina,2022,4231,442,2,1.41083537,1.0411505,0.467882782,0.346176408,15,6,40.0000,0.0000,1,0.422967058,0.286668,0,0.136299096,7,2,27.825,47,44.1860465,0.4259303,338,2,23,1,24,4,9.2333,0.0374,0.0214,12,9,0,0,3,2.2152,0.5364,0.601426,0.1754957,0.4259303
Tigre,25,Newell's Old Boys,Away,Liga Profesional Argentina,2022,4231,4231,2,1.382077973,0.6003289,0,0,7,3,42.8571,0.0000,0,2.584464048,0.9412142,0,0.86150071,21,13,17.6925,33,25.1063829,0.3529047,242,3,8,5,6,2,16.6667,0.096,0.058,12,12,2,1,3,0.5628,2.2254,0.488903,0.1359983,0.3529047
Tigre,26,Central Córdoba (Santiago del Estero),Away,Liga Profesional Argentina,2022,4231,442,2,1.983381362,0.5441547,0,0.63297892,21,8,38.0952,0.0000,1,2.355520911,1.8232347,0.539747868,0.451757757,20,6,26.4075,59,54.6341463,0.40211,474,6,20,2,13,2,11.5,0.0359,0.0305,9,11,1,0,3,1.164,1.6008,0.723277,0.321167,0.40211
Tigre,27,Arsenal de Sarandí,Home,Liga Profesional Argentina,2022,4231,442,1,1.259197083,1.1269514,0.161389202,0.11106034,18,12,66.6667,0.0000,4,1.232557753,1.2325577,0,0,10,6,37.485,63,62.9343629,0.7790071,578,11,26,1,27,5,8.5,0.0165,0.0108,6,9,3,0,0,1.3708,1.339,1.0102891,0.231282,0.7790071
