Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Atlético Tucumán,1,Colón Santa Fe,Home,Liga Profesional Argentina,2022,442,451,1,1.515270512,0,0,0.126434639,19,4,21.0526,0.0000,1,1.667267957,0,0.302128464,0.03451772,7,3,33.6,53,57.2972972,0.4582366,386,8,25,0,27,2,9.6897,0.1078,0.0936,10,13,3,1,1,1.1828,1.5134,0.502984,0.0447474,0.4582366
Atlético Tucumán,2,River Plate,Away,Liga Profesional Argentina,2022,442,4141,0,0.095078325,0,0.022268236,0,3,1,33.3333,0.0000,0,1.275422729,0,0.025250129,0.246964151,21,8,15.12,26,18.6206896,0.1170499,249,7,3,1,8,1,22.7059,0.0183,0.0086,5,12,0,0,1,0.3358,2.395,0.0104783,-0.1065716,0.1170499
Atlético Tucumán,3,Lanús,Home,Liga Profesional Argentina,2022,442,433,2,1.154648108,0,0,0.068394087,12,4,33.3333,0.0000,1,0.435597217,0,0,0,2,1,44.625,42,48.2517482,0.2562107,354,8,26,0,22,0,8.3148,0.0744,0.0581,15,16,3,0,3,2.121,0.5484,0.4088035,0.1525928,0.2562107
Atlético Tucumán,4,Huracán,Away,Liga Profesional Argentina,2022,442,433,0,0.12502554,0,0,0,5,1,20.0000,0.0000,0,0.908525404,0.5133283,0,0.306343032,14,1,28.35,42,36.683417,0.2295455,323,4,7,0,12,1,12.92,0.025,0.0133,8,17,6,0,1,0.5314,2.0836,0.3021977,0.0726522,0.2295455
Atlético Tucumán,5,Godoy Cruz,Home,Liga Profesional Argentina,2022,442,4231,1,1.229436307,0,0.085440949,0.121150146,19,7,36.8421,0.0000,1,1.574298527,0,0,0.614401685,13,3,27.72,45,38.53211,0.3617417,291,12,15,0,29,1,8.3226,0.0317,0.0291,9,11,3,0,1,1.0666,1.6522,0.4320637,0.070322,0.3617417
Atlético Tucumán,6,Vélez Sarsfield,Away,Liga Profesional Argentina,2022,442,433,1,1.021947443,0.1510313,0,0.806095665,13,5,38.4615,0.0000,0,1.017882783,1.0178829,0.02082436,0,12,2,31.08,32,33.7552742,0.3828498,280,10,22,2,11,1,14.5667,0.0382,0.0198,14,11,2,0,3,1.3854,1.2102,0.4903911,0.1075413,0.3828498
Atlético Tucumán,7,Gimnasia La Plata,Home,Liga Profesional Argentina,2022,442,442,2,0.595776145,0.4016738,0.069180839,0.153394263,11,5,45.4545,0.0000,0,0.11805158,0.063208,0,0.031676569,7,3,30.765,47,47.7528089,0.5015933,345,5,17,1,13,1,9.75,0.0346,0.0188,13,15,3,0,3,1.8036,0.6864,0.5882285,0.0866352,0.5015933
Atlético Tucumán,8,Aldosivi,Away,Liga Profesional Argentina,2022,442,433,1,1.047690544,0,0.200645417,0.150340404,18,4,22.2222,0.0000,0,0.350031942,0,0,0.053335968,7,1,36.75,43,41.826923,0.7456012,330,14,34,1,12,3,11.3871,0.0649,0.0525,15,17,2,0,3,1.9824,0.6858,0.898577,0.1529758,0.7456012
Atlético Tucumán,9,Sarmiento,Home,Liga Profesional Argentina,2022,442,532,1,1.804880718,0,0,0.137635553,25,8,32.0000,0.0000,0,0.957277763,0,0,0,7,2,42.6825,63,62.882096,0.550799,459,12,26,0,34,3,5.3,0.0536,0.0447,8,12,2,0,3,1.9706,0.7784,1.1837344,0.6329354,0.550799
Atlético Tucumán,10,Independiente,Away,Liga Profesional Argentina,2022,442,4231,1,1.000882581,0,0,0.042778097,6,3,50.0000,0.0000,0,0.823663548,0,0,0.019065373,11,3,20.475,37,23.1939163,0.3340136,332,10,15,0,8,1,18.25,0.0243,0.0175,16,9,2,0,3,1.571,1.0532,0.4033035,0.0692899,0.3340136
