Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Unión Santa Fe,1,Boca Juniors,Home,Liga Profesional Argentina,2021,532,442,1,0.761423367,0.6614974,0,0.055966607,14,6,42.8571,0.0000,1,0.49395246,0.4189151,0,0.075037345,5,2,46.1475,55,62.2807017,0.4960863,448,6,23,1,28,5,8.3,0.0381,0.01,23,19,4,0,1,1.519,1.0726,0.8549558,0.3588695,0.4960863
Unión Santa Fe,2,River Plate,Away,Liga Profesional Argentina,2021,3412,442,0,0.397645492,0.3778012,0,0.019844297,5,0,0.0000,0.0000,4,2.018381536,1.9693617,0,0.026675211,15,5,27.3,25,22.9885057,0.2025088,222,13,9,0,18,1,13.7879,0.0238,0.0133,14,19,1,0,0,0.273,2.5806,0.4481177,0.2456089,0.2025088
Unión Santa Fe,3,Banfield,Home,Liga Profesional Argentina,2021,4132,4222,0,0.317334114,0.1956458,0,0.055025821,13,2,15.3846,0.0000,1,2.448387928,0.7458317,0.049144946,1.676097075,24,7,22.785,46,44.347826,0.213856,346,4,15,0,16,1,9.8667,0.0355,0.0107,14,11,2,1,0,0.1126,2.8126,0.2964813,0.0826253,0.213856
Unión Santa Fe,4,Lanús,Away,Liga Profesional Argentina,2021,3412,442,1,0.5068447,0.4133348,0,0.073642214,14,3,21.4286,0.0000,1,1.047923297,0.09539,0,0.95253332,6,2,33.495,56,55.6053811,0.3258902,406,12,18,1,33,1,7.2727,0.0245,0.0158,9,9,0,0,1,0.721,1.9714,0.0626466,-0.2632436,0.3258902
Unión Santa Fe,5,San Lorenzo,Home,Liga Profesional Argentina,2021,343,4231,4,1.738688575,1.7175153,0.282165974,0.021173194,11,5,45.4545,0.0000,0,0.460151417,0.3475219,0,0.078245576,10,1,24.3075,36,40.9448818,0.4086376,338,11,18,1,12,3,21.2381,0.185,0.0572,9,12,1,0,3,2.3982,0.4098,0.2982471,-0.1103905,0.4086376
Unión Santa Fe,6,Huracán,Away,Liga Profesional Argentina,2021,343,532,0,0.31139336,0.2915006,0.025644291,0.019892851,7,1,14.2857,0.0000,0,0.788964668,0.1132224,0,0.654245957,13,4,30.66,45,45.5882352,0.432794,330,13,11,0,16,1,13.1818,0.0249,0.0078,14,16,2,1,1,0.7854,1.8012,0.6542439,0.2214499,0.432794
Unión Santa Fe,7,Talleres de Córdoba,Home,Liga Profesional Argentina,2021,343,433,1,0.788501654,0.6371722,0.070680007,0.120794931,11,3,27.2727,0.0000,2,0.803409904,0.8034098,0,0,7,2,44.8875,48,62.9807692,0.2449697,380,4,24,0,22,0,9.122,0.0602,0.0436,13,11,2,0,0,1.2876,1.3422,0.5455122,0.3005425,0.2449697
Unión Santa Fe,8,Godoy Cruz,Away,Liga Profesional Argentina,2021,3421,4231,2,0.764150756,0.2004181,0,0.563732671,7,2,28.5714,0.0000,1,0.685206737,0.5994985,0.136599146,0.053167902,13,6,33.6,47,51.7094017,0.6408127,338,8,24,2,18,4,8.3056,0.0444,0.0205,14,8,1,0,3,1.4692,1.1488,0.7279673,0.0871546,0.6408127
Unión Santa Fe,9,Argentinos Juniors,Home,Liga Profesional Argentina,2021,343,3511,1,1.179421683,0.2134187,0,0.102653412,8,3,37.5000,0.0000,0,1.050604452,0.888445,0,0.097770873,12,2,15.645,27,25.8181818,0.2555794,222,4,13,0,12,2,15.875,0.0236,0.0198,12,17,1,0,3,1.518,1.101,0.1820568,-0.0735226,0.2555794
Unión Santa Fe,10,Vélez Sarsfield,Away,Liga Profesional Argentina,2021,343,4231,0,0.61152833,0.5594537,0,0.052074608,11,2,18.1818,0.0000,4,3.606591499,2.0866434,0,0.738199092,20,7,43.785,37,39.3364928,0.2362883,313,11,12,0,20,1,9.8718,0.0358,0.0091,14,15,0,1,0,0.0742,2.8804,0.3688557,0.1325674,0.2362883
