Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
América Mineiro,,Palmeiras,Away,Brazilian Serie A,2018,4231,4231,0,0,0,0,0,1,1,100.0000,0.0000,4,0,0,0,0,24,0,0,51,45.0643776,0,370,5,0,0,16,0,0,0,0,11,20,6,0,0,0,0,0,0,0
América Mineiro,,Athletico Paranaense,Away,Brazilian Serie A,2018,4231,4231,0,0,0,0,0,6,3,50.0000,0.0000,4,0,0,0,0,10,0,0,37,30.0469483,0,397,0,0,2,9,0,0,0,0,9,13,3,0,0,0,0,0,0,0
América Mineiro,,Atlético Mineiro,Away,Brazilian Serie A,2018,4240,4141,0,0,0,0,0,15,8,53.3333,0.0000,0,0,0,0,0,10,0,0,41,40.9574468,0,362,10,0,1,11,0,0,0,0,16,15,0,0,1,0,0,0,0,0
América Mineiro,,Vitória,Home,Brazilian Serie A,2018,4231,4231,2,0,0,0,0,15,8,53.3333,0.0000,1,0,0,0,0,14,0,0,41,42.6229508,0,305,8,0,0,27,0,0,0,0,12,14,1,1,3,0,0,0,0,0
América Mineiro,,Grêmio,Home,Brazilian Serie A,2018,4231,4231,1,0,0,0,0,10,3,30.0000,0.0000,1,0,0,0,0,13,0,0,52,54.9800796,0,486,7,0,0,21,0,0,0,0,7,17,0,0,1,0,0,0,0,0
América Mineiro,,Chapecoense,Away,Brazilian Serie A,2018,4231,4141,0,0,0,0,0,8,2,25.0000,0.0000,1,0,0,0,0,10,0,0,60,51.3043478,0,486,5,0,0,19,0,0,0,0,11,24,4,0,0,0,0,0,0,0
América Mineiro,,Cruzeiro,Home,Brazilian Serie A,2018,4231,4231,1,0,0,0,0,16,5,31.2500,0.0000,2,0,0,0,0,10,0,0,54,65.3284671,0,506,8,0,1,31,0,0,0,0,7,18,3,0,0,0,0,0,0,0
América Mineiro,,Paraná,Home,Brazilian Serie A,2018,4231,4141,0,0,0,0,0,17,1,5.8824,0.0000,1,0,0,0,0,8,0,0,65,63.8211382,0,508,7,0,0,27,0,0,0,0,9,10,2,1,0,0,0,0,0,0
América Mineiro,,Internacional,Away,Brazilian Serie A,2018,4231,4141,0,0,0,0,0,10,2,20.0000,0.0000,2,0,0,0,0,12,0,0,53,54.5,0,458,8,0,1,19,0,0,0,0,18,20,2,0,0,0,0,0,0,0
América Mineiro,,Santos,Home,Brazilian Serie A,2018,4231,4231,2,0,0,0,0,16,7,43.7500,0.0000,1,0,0,0,0,8,0,0,49,67.755102,0,420,12,0,2,21,0,0,0,0,11,20,6,0,3,0,0,0,0,0
