Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Botafogo,,São Paulo,Away,Brazilian Serie A,2017,4231,451,0,0,0,0,0,11,4,36.3636,0.0000,0,0,0,0,0,9,0,0,37,41.4225941,0,327,5,0,0,24,0,0,0,0,13,17,3,0,1,0,0,0,0,0
Botafogo,,Vasco da Gama,Away,Brazilian Serie A,2017,4231,4411,0,0,0,0,0,17,2,11.7647,0.0000,1,0,0,0,0,11,0,0,61,65.3658536,0,513,7,0,1,24,0,0,0,0,13,13,3,0,0,0,0,0,0,0
Botafogo,,Avaí,Away,Brazilian Serie A,2017,4411,4231,1,0,0,0,0,10,2,20.0000,0.0000,1,0,0,0,0,17,0,0,59,55.2036199,0,503,15,0,0,19,0,0,0,0,17,22,4,0,1,0,0,0,0,0
Botafogo,,Bahia,Home,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,11,4,36.3636,0.0000,0,0,0,0,0,17,0,0,48,38.9189189,0,372,4,0,1,16,0,0,0,0,17,20,1,0,3,0,0,0,0,0
Botafogo,,Corinthians,Home,Brazilian Serie A,2017,4411,4231,2,0,0,0,0,17,6,35.2941,0.0000,1,0,0,0,0,8,0,0,38,42.9166666,0,375,10,0,2,26,0,0,0,0,14,19,3,0,3,0,0,0,0,0
Botafogo,,Atlético Mineiro,Away,Brazilian Serie A,2017,442,4411,0,0,0,0,0,9,1,11.1111,0.0000,0,0,0,0,0,16,0,0,40,33.6206896,0,317,10,0,0,21,0,0,0,0,20,16,2,0,1,0,0,0,0,0
Botafogo,,Fluminense,Home,Brazilian Serie A,2017,4411,4231,1,0,0,0,0,6,3,50.0000,0.0000,2,0,0,0,0,17,0,0,41,29.004329,0,351,8,0,1,15,0,0,0,0,16,16,3,0,0,0,0,0,0,0
Botafogo,,Sport,Away,Brazilian Serie A,2017,4411,4231,2,0,0,0,0,6,3,50.0000,0.0000,1,0,0,0,0,15,0,0,36,18.076923,0,346,5,0,2,5,0,0,0,0,13,20,4,0,3,0,0,0,0,0
Botafogo,,Athletico Paranaense,Home,Brazilian Serie A,2017,4411,4231,0,0,0,0,0,14,4,28.5714,0.0000,1,0,0,0,0,6,0,0,57,49.090909,0,627,6,0,1,32,0,0,0,0,14,13,0,0,0,0,0,0,0,0
Botafogo,,Atlético Goianiense,Home,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,19,3,15.7895,0.0000,2,0,0,0,0,13,0,0,64,59.030837,0,537,4,0,1,43,0,0,0,0,17,12,1,0,0,0,0,0,0,0
Botafogo,,Chapecoense,Home,Brazilian Serie A,2017,4231,4141,2,0,0,0,0,12,2,16.6667,0.0000,1,0,0,0,0,6,0,0,64,56.1497326,0,577,7,0,3,27,0,0,0,0,18,12,1,0,3,0,0,0,0,0
Botafogo,,Palmeiras,Away,Brazilian Serie A,2017,4231,4231,0,0,0,0,0,14,3,21.4286,0.0000,2,0,0,0,0,11,0,0,37,35.5329949,0,314,7,0,0,13,0,0,0,0,18,17,4,0,0,0,0,0,0,0
Botafogo,,Cruzeiro,Home,Brazilian Serie A,2017,4141,4231,2,0,0,0,0,13,6,46.1538,0.0000,2,0,0,0,0,8,0,0,44,46.2686567,0,348,15,0,0,18,0,0,0,0,26,13,1,0,1,0,0,0,0,0
Botafogo,,Flamengo,Away,Brazilian Serie A,2017,4141,4231,0,0,0,0,0,5,1,20.0000,0.0000,0,0,0,0,0,19,0,0,35,30.3191489,0,239,3,0,0,10,0,0,0,0,17,19,2,0,1,0,0,0,0,0
Botafogo,,Santos,Away,Brazilian Serie A,2017,4411,4141,0,0,0,0,0,8,2,25.0000,0.0000,1,0,0,0,0,8,0,0,39,43.2558139,0,367,2,0,0,23,0,0,0,0,12,9,2,0,0,0,0,0,0,0
Botafogo,,Coritiba,Home,Brazilian Serie A,2017,4312,442,2,0,0,0,0,13,6,46.1538,0.0000,2,0,0,0,0,8,0,0,53,56.8181818,0,409,7,0,2,27,0,0,0,0,25,14,4,0,1,0,0,0,0,0
Botafogo,,Vitória,Away,Brazilian Serie A,2017,4411,4231,2,0,0,0,0,17,8,47.0588,0.0000,2,0,0,0,0,15,0,0,45,49.6688741,0,378,4,0,1,19,0,0,0,0,9,10,1,0,1,0,0,0,0,0
Botafogo,,Chapecoense,Away,Brazilian Serie A,2017,4141,4141,2,0,0,0,0,7,4,57.1429,0.0000,0,0,0,0,0,21,0,0,41,36.8159203,0,309,4,0,0,12,0,0,0,0,9,13,2,0,3,0,0,0,0,0
Botafogo,,Vasco da Gama,Home,Brazilian Serie A,2017,4231,4231,3,0,0,0,0,7,3,42.8571,0.0000,1,0,0,0,0,19,0,0,44,38.5786802,0,360,5,0,0,12,0,0,0,0,9,20,5,0,3,0,0,0,0,0
Botafogo,,Cruzeiro,Away,Brazilian Serie A,2017,4231,4231,0,0,0,0,0,7,1,14.2857,0.0000,0,0,0,0,0,22,0,0,39,23.3716475,0,335,3,0,0,8,0,0,0,0,16,15,3,0,1,0,0,0,0,0
Botafogo,,Avaí,Home,Brazilian Serie A,2017,4141,4231,0,0,0,0,0,31,9,29.0323,0.0000,2,0,0,0,0,8,0,0,73,71.4859437,0,588,14,0,1,59,0,0,0,0,10,11,1,0,0,0,0,0,0,0
Botafogo,,Corinthians,Away,Brazilian Serie A,2017,4141,4231,0,0,0,0,0,3,0,0.0000,0.0000,1,0,0,0,0,19,0,0,34,20.5882352,0,342,1,0,0,3,0,0,0,0,13,14,2,0,0,0,0,0,0,0
Botafogo,,Atlético Mineiro,Home,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,11,3,27.2727,0.0000,1,0,0,0,0,9,0,0,56,46.6019417,0,503,8,0,0,30,0,0,0,0,24,14,1,0,1,0,0,0,0,0
Botafogo,,Fluminense,Away,Brazilian Serie A,2017,4411,4231,1,0,0,0,0,16,5,31.2500,0.0000,0,0,0,0,0,12,0,0,42,39.6825396,0,360,5,0,0,22,0,0,0,0,11,20,4,0,3,0,0,0,0,0
Botafogo,,Sport,Home,Brazilian Serie A,2017,4411,4231,2,0,0,0,0,11,6,54.5455,0.0000,1,0,0,0,0,10,0,0,43,38.5416666,0,407,11,0,0,12,0,0,0,0,16,14,4,0,3,0,0,0,0,0
Botafogo,,Athletico Paranaense,Away,Brazilian Serie A,2017,4231,4141,0,0,0,0,0,9,1,11.1111,0.0000,0,0,0,0,0,13,0,0,40,32.4675324,0,353,4,0,0,16,0,0,0,0,13,21,4,1,1,0,0,0,0,0
Botafogo,,Atlético Goianiense,Away,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,12,4,33.3333,0.0000,1,0,0,0,0,27,0,0,49,31.8181818,0,407,7,0,1,16,0,0,0,0,12,20,4,0,1,0,0,0,0,0
Botafogo,,São Paulo,Home,Brazilian Serie A,2017,4231,4141,3,0,0,0,0,8,4,50.0000,0.0000,4,0,0,0,0,24,0,0,36,32.0675105,0,314,5,0,0,15,0,0,0,0,10,9,0,0,0,0,0,0,0,0
Botafogo,,Palmeiras,Home,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,12,3,25.0000,91.6667,2,0,0,0,0,16,0,0,55,51.2690355,0,407,8,0,0,25,0,0,0,0,11,22,5,0,0,0,0,0,0,0
Botafogo,,Grêmio,Away,Brazilian Serie A,2017,4321,4231,0,0,0,0,0,9,0,0.0000,0.0000,2,0,0,0,0,20,0,0,48,41.0958904,0,415,7,0,0,13,0,0,0,0,13,19,5,0,0,0,0,0,0,0
Botafogo,,Ponte Preta,Home,Brazilian Serie A,2017,4411,442,2,0,0,0,0,11,6,54.5455,0.0000,0,0,0,0,0,15,0,0,40,37.3831775,0,446,6,0,0,12,0,0,0,0,11,15,1,0,3,0,0,0,0,0
Botafogo,,Grêmio,Home,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,13,7,53.8462,0.0000,0,0,0,0,0,14,0,0,38,39.4736842,0,326,6,0,0,15,0,0,0,0,15,18,3,0,3,0,0,0,0,0
Botafogo,,Ponte Preta,Away,Brazilian Serie A,2017,4231,4141,1,0,0,0,0,14,1,7.1429,0.0000,2,0,0,0,0,12,0,0,49,45.0495049,0,397,7,0,0,17,0,0,0,0,16,18,4,0,0,0,0,0,0,0
Botafogo,,Bahia,Away,Brazilian Serie A,2017,4231,4231,2,0,0,0,0,12,4,33.3333,0.0000,1,0,0,0,0,13,0,0,61,58.6956521,0,520,9,0,0,16,0,0,0,0,13,9,0,0,3,0,0,0,0,0
Botafogo,,Flamengo,Home,Brazilian Serie A,2017,4231,4231,2,0,0,0,0,16,5,31.2500,0.0000,0,0,0,0,0,17,0,0,43,30.5418719,0,332,5,0,1,17,0,0,0,0,16,10,0,0,3,0,0,0,0,0
Botafogo,,Santos,Home,Brazilian Serie A,2017,4231,4231,2,0,0,0,0,15,8,53.3333,0.0000,0,0,0,0,0,15,0,0,51,56.779661,0,459,3,0,4,22,0,0,0,0,10,14,2,0,3,0,0,0,0,0
Botafogo,,Coritiba,Away,Brazilian Serie A,2017,4231,4231,3,0,0,0,0,9,5,55.5556,0.0000,2,0,0,0,0,16,0,0,51,42.4242424,0,361,6,0,0,16,0,0,0,0,20,19,3,0,3,0,0,0,0,0
Botafogo,,Vitória,Home,Brazilian Serie A,2017,4231,4231,2,0,0,0,0,11,5,45.4545,0.0000,3,0,0,0,0,14,0,0,53,39.8268398,0,429,4,0,1,13,0,0,0,0,18,11,2,1,0,0,0,0,0,0
