Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Red Bull Bragantino,1,Chapecoense,Away,Brazilian Serie A,2021,4231,4321,3,2.60773186,2.2988177,0.050177835,0.283061236,18,8,44.4444,0.0000,0,0.651149307,0.2899422,0,0.361207126,10,2,43.365,56,68.6274509,0.8466014,552,14,28,2,29,6,8.619,0.081,0.0576,8,12,0,0,3,2.6532,0.2424,1.1808844,0.334283,0.8466014
Red Bull Bragantino,2,Bahia,Home,Brazilian Serie A,2021,442,433,3,1.317146013,1.1368743,0.080338992,0.136545412,24,6,25.0000,0.0000,3,0.404524878,0.0942546,0,0.288436854,9,3,48.51,61,73.6318407,0.7246773,442,10,32,0,39,1,6.9744,0.0906,0.0254,13,12,2,0,1,2.091,0.6258,1.2485098,0.5238325,0.7246773
Red Bull Bragantino,3,Fluminense,Home,Brazilian Serie A,2021,4231,4231,2,1.301267488,1.2266605,0,0.074606948,16,5,31.2500,0.0000,2,1.792468762,0.3749144,0,0.616006536,15,4,26.46,47,47.1774193,0.4432569,390,9,19,5,20,6,11.1034,0.0483,0.0327,8,11,3,0,1,0.9754,1.7584,0.6698261,0.2265692,0.4432569
Red Bull Bragantino,4,Corinthians,Away,Brazilian Serie A,2021,4231,4231,2,1.730357261,0.9538844,0.099430896,0.620698725,21,5,23.8095,0.0000,1,0.676913837,0.6334807,0,0.043433171,5,2,39.06,58,69.7297297,0.6546943,494,5,22,2,33,3,11.3448,0.0348,0.0084,10,15,0,0,3,2.1818,0.584,0.7799847,0.1252904,0.6546943
Red Bull Bragantino,5,Flamengo,Away,Brazilian Serie A,2021,4231,4231,3,0.766888253,0.6752502,0.104357377,0.091638099,9,4,44.4444,0.0000,2,2.373323251,1.0510443,0,1.29954955,20,9,27.615,32,25.2873563,0.3701058,272,11,14,1,14,2,9.6944,0.0284,0.0121,14,13,3,0,3,0.392,2.4428,0.4965912,0.1264854,0.3701058
Red Bull Bragantino,6,Palmeiras,Home,Brazilian Serie A,2021,4231,352,3,2.5975152,2.5038569,0.2017233,0.0936584,12,6,50.0000,0.0000,1,0.84610978,0.6389082,0,0.2072016,17,5,29.19,48,43.8297872,0.2065669,428,10,11,2,13,1,10.0606,0.0178,0.0154,12,13,3,0,3,2.5244,0.3356,0.5471041,0.3405372,0.2065669
Red Bull Bragantino,7,Atlético Goianiense,Away,Brazilian Serie A,2021,4231,4231,1,0.643222201,0.507641,0,0.13558124,12,5,41.6667,0.0000,0,1.167820363,0.3074484,0,0.789402369,12,2,33.39,58,57.1428571,0.4105431,468,8,21,1,26,4,7.1944,0.053,0.0268,23,16,2,0,3,0.8334,1.845,0.6141846,0.2036415,0.4105431
Red Bull Bragantino,8,Ceará,Home,Brazilian Serie A,2021,4231,4231,0,1.078271479,1.0113915,0,0.066879913,13,2,15.3846,0.0000,0,0.420170535,0.3133673,0.050269261,0,8,3,27.72,64,58.1227436,0.5313366,532,6,15,0,35,2,9.1364,0.1494,0.1467,17,11,1,0,1,2.0456,0.6416,0.8699935,0.3386569,0.5313366
Red Bull Bragantino,9,São Paulo,Away,Brazilian Serie A,2021,4231,3412,2,1.1409634,0.8716724,0,0.2692909,12,5,41.6667,0.0000,1,0.56397245,0.5398714,0,0.0241011,9,6,41.0025,52,56.0538116,0.9570209,483,8,22,4,24,3,10.2703,0.0303,0.0222,24,14,2,0,3,1.8766,0.8044,1.0921897,0.1351688,0.9570209
Red Bull Bragantino,10,Cuiabá,Home,Brazilian Serie A,2021,4231,4231,1,0.4931326,0.3728013,0,0.1203314,10,1,10.0000,0.0000,1,0.89515863,0.8344376,0,0.060721,9,2,36.3825,53,58.0188679,0.2714867,436,9,17,2,21,2,7.5122,0.056,0.006,20,15,3,0,1,0.908,1.7336,0.3590901,0.0876034,0.2714867
Red Bull Bragantino,11,Athletico Paranaense,Away,Brazilian Serie A,2021,4231,4231,2,0.803410899,0.5620166,0.026797259,0.093825322,16,4,25.0000,0.0000,2,1.084028573,0.9158775,0,0.142696004,22,6,33.39,46,43.3476394,0.3248244,409,9,17,1,14,9,13.3846,0.0162,0.0117,18,16,4,0,1,1.0862,1.5884,0.5041794,0.179355,0.3248244
Red Bull Bragantino,12,Santos,Home,Brazilian Serie A,2021,4231,433,2,1.577840544,1.543679,0.030460309,0.034161445,11,5,45.4545,0.0000,2,1.741000984,1.448472,0,0.250251167,16,5,30.8175,40,50.9345794,0.4032884,316,15,15,1,13,0,17.3913,0.0322,0.0176,13,17,3,0,1,1.2452,1.448,0.6156461,0.2123577,0.4032884
Red Bull Bragantino,13,Fortaleza EC,Away,Brazilian Serie A,2021,4231,3412,0,0.8653402,0.7734225,0.033558909,0.0919177,13,4,30.7692,0.0000,1,0.84279468,0.7616134,0,0.0811814,14,4,36.9075,65,57.7889447,0.3933613,513,10,17,1,30,2,7.0333,0.0208,0.0146,18,14,2,0,0,1.3468,1.3012,0.6043804,0.2110191,0.3933613
Red Bull Bragantino,14,Grêmio,Home,Brazilian Serie A,2021,4231,4231,1,0.444160812,0.2457329,0,0.094236031,12,3,25.0000,0.0000,0,0.125824574,0.0894987,0,0.036325838,7,1,39.69,53,53.4296028,0.296674,531,5,10,0,15,4,9.7368,0.0578,0.0487,18,13,1,0,3,1.5748,0.8338,0.5211467,0.2244727,0.296674
Red Bull Bragantino,15,Sport,Away,Brazilian Serie A,2021,4141,4231,0,0.6135402,0.6135402,0.032254882,0,13,4,30.7692,0.0000,0,1.28958579,1.0444507,0.189876651,0.245135,17,7,32.34,62,57.2687224,0.244848,451,6,17,0,25,3,6.7419,0.016,0.0096,17,14,1,0,1,0.7564,1.9492,0.4642004,0.2193524,0.244848
Red Bull Bragantino,16,Juventude,Home,Brazilian Serie A,2021,433,4231,1,0.238868752,0.1845779,0,0.024352696,5,1,20.0000,0.0000,2,1.631579067,1.5214473,0,0.110131665,13,6,33.39,54,54.4247787,0.1291554,456,12,7,0,17,2,10.2667,0.0262,0.0047,13,14,4,0,0,0.297,2.5218,0.2224725,0.0933171,0.1291554
Red Bull Bragantino,17,América Mineiro,Away,Brazilian Serie A,2021,4231,4231,2,0.56159525,0.4914698,0,0.023889802,10,3,30.0000,0.0000,0,0.601959097,0.4456084,0.067090593,0.156350749,14,3,24.78,50,32.9317269,0.2283931,449,17,7,0,11,2,8.5882,0.017,0.0107,14,15,0,0,3,1.2752,1.3058,0.4881406,0.2597475,0.2283931
Red Bull Bragantino,18,Atlético Mineiro,Home,Brazilian Serie A,2021,4231,4231,1,0.243465973,0.2434659,0,0,5,0,0.0000,0.0000,1,2.247152765,1.4829886,0,0.715271149,26,8,21.525,33,20.5035971,0.3042353,333,7,11,0,9,0,15.2222,0.0656,0.0075,18,16,3,0,1,0.1664,2.7188,0.5763634,0.2721281,0.3042353
