Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Corinthians,,Flamengo,Away,Brazilian Serie A,2017,4231,4231,0,0,0,0,0,14,6,42.8571,0.0000,3,0,0,0,0,16,0,0,51,41.0628019,0,438,14,0,0,19,0,0,0,0,16,16,4,0,0,0,0,0,0,0
Corinthians,,Bahia,Away,Brazilian Serie A,2017,4231,4231,0,0,0,0,0,8,3,37.5000,0.0000,2,0,0,0,0,7,0,0,53,47.65625,0,515,4,0,1,18,0,0,0,0,10,16,2,0,0,0,0,0,0,0
Corinthians,,Grêmio,Home,Brazilian Serie A,2017,4231,4231,0,0,0,0,0,7,0,0.0000,0.0000,0,0,0,0,0,10,0,0,55,41.090909,0,559,6,0,3,14,0,0,0,0,14,13,1,0,1,0,0,0,0,0
Corinthians,,Atlético Goianiense,Away,Brazilian Serie A,2017,4141,4231,1,0,0,0,0,15,8,53.3333,0.0000,0,0,0,0,0,14,0,0,52,45.5445544,0,430,3,0,2,23,0,0,0,0,19,11,0,0,3,0,0,0,0,0
Corinthians,,Botafogo,Away,Brazilian Serie A,2017,4231,4411,1,0,0,0,0,8,3,37.5000,0.0000,2,0,0,0,0,17,0,0,62,57.0833333,0,629,13,0,2,16,0,0,0,0,18,14,2,0,0,0,0,0,0,0
Corinthians,,Ponte Preta,Away,Brazilian Serie A,2017,4231,4141,0,0,0,0,0,19,7,36.8421,0.0000,1,0,0,0,0,8,0,0,68,63.4020618,0,567,6,0,4,24,0,0,0,0,18,12,1,0,0,0,0,0,0,0
Corinthians,,Palmeiras,Home,Brazilian Serie A,2017,4231,4231,3,0,0,0,0,13,8,61.5385,0.0000,2,0,0,0,0,16,0,0,39,39.4495412,0,250,8,0,1,17,0,0,0,0,11,21,6,0,3,0,0,0,0,0
Corinthians,,Athletico Paranaense,Away,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,7,3,42.8571,0.0000,0,0,0,0,0,16,0,0,38,36.7965367,0,347,6,0,1,13,0,0,0,0,11,11,1,0,3,0,0,0,0,0
Corinthians,,Avaí,Home,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,17,5,29.4118,0.0000,0,0,0,0,0,7,0,0,66,67.6348547,0,651,5,0,4,32,0,0,0,0,11,15,3,0,3,0,0,0,0,0
Corinthians,,Fluminense,Home,Brazilian Serie A,2017,4231,433,3,0,0,0,0,14,4,28.5714,0.0000,1,0,0,0,0,11,0,0,62,60.6837606,0,503,10,0,0,27,0,0,0,0,24,12,1,0,3,0,0,0,0,0
Corinthians,,Coritiba,Home,Brazilian Serie A,2017,4231,4141,3,0,0,0,0,16,5,31.2500,0.0000,1,0,0,0,0,11,0,0,57,54,0,539,10,0,5,20,0,0,0,0,15,8,1,0,3,0,0,0,0,0
Corinthians,,Atlético Mineiro,Home,Brazilian Serie A,2017,4231,4231,2,0,0,0,0,19,5,26.3158,0.0000,2,0,0,0,0,9,0,0,58,56.3139931,0,508,12,0,0,25,0,0,0,0,10,15,4,0,1,0,0,0,0,0
Corinthians,,Sport,Away,Brazilian Serie A,2017,4231,4231,0,0,0,0,0,9,4,44.4444,0.0000,1,0,0,0,0,9,0,0,53,37.3076923,0,504,7,0,1,8,0,0,0,0,18,18,2,0,0,0,0,0,0,0
Corinthians,,Santos,Home,Brazilian Serie A,2017,4231,4231,2,0,0,0,0,19,4,21.0526,0.0000,0,0,0,0,0,5,0,0,50,57.1428571,0,442,5,0,1,29,0,0,0,0,6,11,0,0,3,0,0,0,0,0
Corinthians,,Vasco da Gama,Away,Brazilian Serie A,2017,4231,4231,5,0,0,0,0,10,6,60.0000,0.0000,2,0,0,0,0,27,0,0,43,31.8181818,0,357,7,0,3,10,0,0,0,0,8,14,3,0,3,0,0,0,0,0
Corinthians,,São Paulo,Home,Brazilian Serie A,2017,4231,3142,3,0,0,0,0,11,6,54.5455,0.0000,2,0,0,0,0,13,0,0,55,49.7797356,0,492,2,0,3,15,0,0,0,0,15,11,1,0,3,0,0,0,0,0
