Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Coritiba,1,Internacional,Home,Brazilian Serie A,2020,4231,4231,0,0.0631679,0.0631679,0,0,2,0,0.0000,0.0000,1,0.96613317,0.9217449,0,0.0443882,11,4,26.46,43,34,0.2361379,382,5,5,0,12,2,15.2273,0.1991,0.1939,18,11,3,0,0,0.3864,2.2794,0.298119,0.0619811,0.2361379
Coritiba,2,Bahia,Away,Brazilian Serie A,2020,4231,41212,0,1.012927064,0.5766042,0,0.436322912,15,3,20.0000,0.0000,1,1.995646128,1.0916641,0.471306771,0.04513349,12,5,38.85,54,52.9914529,0.4754448,486,13,28,1,29,2,13.8696,0.0416,0.0142,14,18,5,0,0,0.5962,2.1838,0.8162892,0.3408444,0.4754448
Coritiba,3,Flamengo,Home,Brazilian Serie A,2020,442,4231,0,0.353405229,0.2873781,0,0.042379889,9,2,22.2222,0.0000,1,1.62610804,1.4025108,0,0.126156952,18,7,32.76,35,31.277533,0.3079616,286,10,12,0,15,2,11.2424,0.0155,0.0047,16,25,4,1,0,0.4156,2.3704,0.1848155,-0.1231461,0.3079616
Coritiba,4,Corinthians,Away,Brazilian Serie A,2020,4231,4231,1,0.579339801,0.5793398,0.340064526,0,9,4,44.4444,0.0000,3,2.696815458,1.6542077,0,0.26085875,23,13,16.275,37,27.3913043,0.2753938,352,11,13,0,8,4,39.2,0.011,0.0006,15,7,1,1,0,0.1792,2.7262,0.498328,0.2229342,0.2753938
Coritiba,5,Red Bull Bragantino,Away,Brazilian Serie A,2020,4231,433,2,1.364572245,0.5391766,0.120281137,0,7,4,57.1429,0.0000,1,0.718931305,0.602807,0,0.014880758,15,2,30.87,53,40,0.0786845,397,11,8,1,8,1,5.6757,0.0183,0.0052,14,18,0,0,3,2.0126,0.701,0.2928891,0.2142046,0.0786845
Coritiba,6,Sport,Home,Brazilian Serie A,2020,433,442,1,1.379724149,0.4625464,0,0.07976494,13,3,23.0769,0.0000,0,0.880979737,0.8809797,0,0,6,2,33.075,58,51.0204081,0.5186371,562,6,18,0,15,0,10.52,0.0321,0.0248,17,14,1,0,3,1.945,0.6898,0.4010976,-0.1175395,0.5186371
Coritiba,7,Botafogo,Away,Brazilian Serie A,2020,433,4231,0,0.557541292,0.5363419,0,0,7,3,42.8571,0.0000,0,0.774434347,0.6748029,0,0.09963155,17,6,35.1225,46,40.077821,0.3692978,433,18,11,0,16,1,12.2333,0.0098,0.0021,22,21,1,0,1,1.1238,1.476,0.4720007,0.1027029,0.3692978
Coritiba,8,Atlético Mineiro,Home,Brazilian Serie A,2020,4231,4141,0,1.284796886,1.2604459,0,0.024350941,13,3,23.0769,0.0000,1,1.955829904,1.1874102,0.317998532,0.7684197,21,2,26.985,48,27.5590551,0.2631997,440,12,15,1,18,2,12.8696,0.0102,0.0024,16,14,1,0,0,0.8546,1.8908,0.3779738,0.1147741,0.2631997
Coritiba,9,Goiás,Away,Brazilian Serie A,2020,4231,433,3,2.233500193,1.3342881,0,0.08514992,13,3,23.0769,292.3077,3,1.806536682,0.8803432,0,0.144444302,19,6,24.045,46,36.1702127,0.2464343,396,13,13,1,16,1,13.1739,0.0469,0.0239,25,13,2,1,1,1.6786,1.0582,0.1488941,-0.0975402,0.2464343
Coritiba,10,Athletico Paranaense,Away,Brazilian Serie A,2020,4231,442,0,0.1622616,0.1523115,0,0.0099501,5,1,20.0000,0.0000,1,0.87087337,0.7825277,0,0.0883457,10,2,26.3025,56,51.552795,0.2744259,463,9,7,0,22,0,11.36,0.0215,0.0126,21,12,0,1,0,0.5324,2.1128,0.3922682,0.1178423,0.2744259
