Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Cuiabá,1,Fortaleza EC,Away,Brazilian Serie A,2022,442,352,1,0.402997687,0,0,0.186725538,9,4,44.4444,0.0000,0,1.311756175,0.8258537,0.105668982,0.263747208,22,5,27.72,35,30.8457711,0.072691,245,4,2,0,5,1,11.9231,0.0496,0.008,21,23,3,0,3,0.5958,2.127,0.1577618,0.0850708,0.072691
Cuiabá,2,Fluminense,Home,Brazilian Serie A,2022,442,433,0,0.16672215,0.0931838,0.039031561,0.073538445,5,1,20.0000,0.0000,1,0.433961985,0.2897338,0,0.091703184,13,3,32.34,39,38.8625592,0.256662,333,6,9,0,10,2,11.9063,0.0251,0.0026,13,18,2,0,0,0.9106,1.5022,0.3853774,0.1287154,0.256662
Cuiabá,3,Juventude,Away,Brazilian Serie A,2022,442,4231,1,1.799586768,0.9712407,0,0.023962956,10,4,40.0000,0.0000,0,1.796685751,0.9816153,0,0.033321381,13,2,31.08,42,41.6666666,0.21039,314,2,14,1,19,0,11.7037,0.0368,0.0181,15,19,4,0,3,1.4018,1.2968,0.4988281,0.2884381,0.21039
Cuiabá,4,Atlético Goianiense,Home,Brazilian Serie A,2022,4231,4231,1,2.864499621,0,0,1.056215391,17,5,29.4118,0.0000,1,1.692626549,0,0.041760538,0.027255619,14,7,33.285,51,44.6280991,0.6975932,475,17,29,1,25,5,13.75,0.1568,0.1405,14,12,2,0,1,2.0752,0.7102,1.1537526,0.4561594,0.6975932
Cuiabá,5,Santos,Away,Brazilian Serie A,2022,4231,4231,1,0.772127457,0,0,0.373142187,16,3,18.7500,0.0000,4,2.439101814,0,0.545131326,1.217156123,12,7,35.6475,53,61.025641,0.2570144,454,6,17,1,29,5,10.1212,0.0571,0.0475,12,12,2,0,0,0.3288,2.5338,0.427784,0.1707696,0.2570144
Cuiabá,6,São Paulo,Away,Brazilian Serie A,2022,4231,41212,1,1.192076365,0,0,0,6,3,50.0000,0.0000,2,1.927086383,0,0,0.279672384,21,9,14.7525,27,27.3109243,0.202753,215,3,7,0,15,0,20.6316,0.0812,0.0719,5,15,1,1,0,0.651,2.0796,0.3315821,0.1288291,0.202753
Cuiabá,7,Internacional,Home,Brazilian Serie A,2022,4231,4411,1,0.596163993,0,0,0.171950389,11,3,27.2727,0.0000,1,1.398128569,0.4324127,0,0.183966866,14,4,26.985,42,42.5,0.3595729,319,3,18,0,13,3,16.4444,0.0123,0.0022,12,9,1,2,1,0.605,2.129,0.4654643,0.1058914,0.3595729
Cuiabá,8,Athletico Paranaense,Home,Brazilian Serie A,2022,4231,4231,0,0.336731903,0,0.04873801,0,10,0,0.0000,0.0000,1,1.125129512,0,0.148596948,0.096695232,19,8,27.825,58,52.7522935,0.5118206,460,7,13,2,27,4,10.6087,0.0244,0.0197,17,9,5,0,0,0.6404,2.048,0.7742873,0.2624667,0.5118206
Cuiabá,9,América Mineiro,Away,Brazilian Serie A,2022,4231,4141,1,0.614500746,0,0,0,5,2,40.0000,0.0000,2,0.852861416,0,0,0.097865783,16,6,25.095,48,36.2369337,0.6194153,421,11,13,1,18,1,13.5238,0.0418,0.0337,11,11,1,0,0,1.1254,1.4884,0.6954423,0.076027,0.6194153
Cuiabá,10,Corinthians,Home,Brazilian Serie A,2022,4231,343,1,0.881936727,0.5453572,0.044733279,0.33657955,11,4,36.3636,0.0000,0,0.632341994,0.4837512,0,0.08278794,11,4,17.64,39,45.4212454,0.3154422,354,17,21,0,20,7,24.5,0.011,0.0087,10,10,1,1,3,1.569,1.077,0.4649185,0.1494763,0.3154422
Cuiabá,11,Red Bull Bragantino,Home,Brazilian Serie A,2022,433,4231,1,1.837353274,0.5197475,0,0.211790614,19,5,26.3158,0.0000,1,1.156124309,1.1438106,0,0.012313681,8,4,30.5025,43,42.173913,1.0433089,334,10,27,0,26,5,12.16,0.0352,0.0165,15,14,1,0,1,1.9132,0.8182,0.9563919,-0.086917,1.0433089
