Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Fluminense,1,Santos,Home,Brazilian Serie A,2022,3421,442,0,1.6577807,0.8321244,0,0.8256562,26,6,23.0769,0.0000,0,0.0911129,0.0640921,0,0.0270208,3,1,40.425,66,68.7804878,0.4632164,545,14,26,0,29,3,8.1333,0.045,0.0203,18,14,1,0,1,2.6514,0.192,0.8150128,0.3517964,0.4632164
Fluminense,2,Cuiabá,Away,Brazilian Serie A,2022,433,442,1,0.433961985,0.2897338,0,0.091703184,12,3,25.0000,0.0000,0,0.16672215,0.0931838,0.039031561,0.073538445,5,1,34.4925,61,61.1374407,0.4724452,525,4,15,0,17,2,8.8929,0.0307,0.0184,16,14,1,0,3,1.5022,0.9106,0.5902047,0.1177595,0.4724452
Fluminense,3,Internacional,Home,Brazilian Serie A,2022,3412,433,0,0.720127043,0,0,0.050215693,12,2,16.6667,0.0000,1,1.266258333,0,0.052806452,0.402300583,12,4,31.92,57,45.9915611,0.3513651,503,13,17,1,23,0,9.3704,0.0213,0.004,12,15,5,0,0,0.8306,1.8794,0.6243176,0.2729525,0.3513651
Fluminense,4,Coritiba,Away,Brazilian Serie A,2022,41212,4231,2,0.527598913,0,0,0,7,4,57.1429,0.0000,3,3.271598961,2.4515738,0,0.01393432,20,8,15.015,45,28.8888888,0.2351047,386,10,9,2,5,0,14.6111,0.0058,0.0058,13,16,2,1,0,0.082,2.8636,0.4224785,0.1873738,0.2351047
Fluminense,5,Palmeiras,Away,Brazilian Serie A,2022,4231,4231,1,0.627502755,0,0,0.068580333,8,2,25.0000,0.0000,1,1.898066882,0,0,0.55057773,19,5,20.79,52,27.2727272,0.2192279,403,8,6,2,6,2,15.7143,0.0138,0.0125,10,13,2,0,1,0.4556,2.3396,0.3532039,0.133976,0.2192279
Fluminense,6,Athletico Paranaense,Home,Brazilian Serie A,2022,41212,433,2,0.817406768,0,0.024243433,0.049026165,11,6,54.5455,0.0000,1,1.471949646,0,0.1057496,0.24125144,12,3,39.48,63,63.4615384,0.5865875,525,3,18,0,11,4,6.5946,0.0746,0.0619,11,12,3,0,3,0.7036,2.0152,0.525041,-0.0615465,0.5865875
Fluminense,7,Fortaleza EC,Away,Brazilian Serie A,2022,4411,3412,1,0.884923894,0,0,0.089634459,7,3,42.8571,0.0000,0,1.513488112,0.8703922,0,0.619774612,23,8,23.31,37,25.2136752,0.3875299,290,9,9,2,10,2,11.0417,0.0402,0.0345,11,14,1,0,3,0.9164,1.8044,0.3888425,0.0013126,0.3875299
Fluminense,8,Flamengo,Home,Brazilian Serie A,2022,4411,4231,1,1.635118795,0,0,0.931310559,17,6,35.2941,0.0000,2,1.207994867,0,0,0,7,3,33.39,62,52.5345622,0.4290531,505,19,22,3,23,2,15.4286,0.0327,0.0287,15,9,3,1,0,1.6852,1.0168,0.7700626,0.3410095,0.4290531
Fluminense,9,Juventude,Away,Brazilian Serie A,2022,4231,433,0,0.297052391,0.1202533,0,0.126127232,6,2,33.3333,0.0000,1,1.26193659,0.8642583,0,0.397678165,12,3,21.8925,51,55.1111111,0.2787287,259,8,10,0,25,0,9.3333,0.304,0.2753,21,10,4,1,0,0.4756,2.2642,0.2511704,-0.0275583,0.2787287
Fluminense,10,Atlético Mineiro,Home,Brazilian Serie A,2022,4411,442,5,2.122624176,2.0352066,0.028437186,0,13,9,69.2308,0.0000,3,1.072258088,0.7140205,0,0.334797539,11,6,31.29,43,39.1509433,0.5502594,332,14,12,4,8,3,11.0385,0.0473,0.036,14,13,3,0,3,2.1532,0.6286,0.7830016,0.2327422,0.5502594
Fluminense,11,Atlético Goianiense,Home,Brazilian Serie A,2022,4231,4231,0,1.48395449,1.0320225,0,0.430013861,15,4,26.6667,0.0000,2,2.236494756,2.1970063,0.616687283,0.017488532,17,9,38.115,47,59.0243902,0.5240956,404,18,28,1,32,4,14.6538,0.0431,0.0345,13,10,3,1,0,0.8648,1.8944,0.6715507,0.1474551,0.5240956
Fluminense,12,América Mineiro,Away,Brazilian Serie A,2022,4231,4141,0,1.194039513,1.0369192,0,0.134171418,20,3,15.0000,0.0000,0,1.2556629,1.1759725,0.231506914,0.079690438,9,4,56.91,78,80.1302931,0.9148056,685,10,37,0,26,4,6.4091,0.0473,0.0333,11,9,1,0,1,1.2504,1.4322,1.1948774,0.2800718,0.9148056
Fluminense,13,Avaí,Home,Brazilian Serie A,2022,4231,4141,2,1.876456974,0,0,0.060286896,19,3,15.7895,0.0000,0,0.213431962,0.213432,0,0,9,4,35.3325,50,46.6981132,0.6507803,479,17,30,1,15,6,11.4333,0.048,0.0424,15,8,0,0,3,2.6178,0.2316,0.9226027,0.2718224,0.6507803
Fluminense,14,Botafogo,Away,Brazilian Serie A,2022,4231,343,1,0.901149,0.4791506,0,0.4219984,11,3,27.2727,0.0000,0,0.6197588,0.5980378,0,0.021721,9,1,57.645,80,89.716312,0.6923362,730,18,27,2,19,5,3.9545,0.0501,0.0091,17,14,2,0,3,1.6054,1.0378,1.0958578,0.4035216,0.6923362
Fluminense,15,Corinthians,Home,Brazilian Serie A,2022,4231,343,4,2.605417301,0,0,0.776165068,15,6,40.0000,0.0000,0,0.18896763,0.1398414,0.078871764,0.049126308,3,2,34.125,58,61.4406779,0.5000695,519,15,32,3,20,4,9.7037,0.0161,0.0069,12,11,0,0,3,2.8598,0.0824,0.7385955,0.238526,0.5000695
Fluminense,16,Ceará,Home,Brazilian Serie A,2022,4231,4240,2,1.818470461,1.4028064,0,0.415664129,18,6,33.3333,0.0000,1,1.882616729,1.0229105,0,0.817398688,17,6,39.165,59,56.3559322,0.4917809,501,4,33,1,23,3,6.4054,0.0562,0.0486,17,16,2,0,3,1.3724,1.3844,0.7757578,0.2839769,0.4917809
Fluminense,17,São Paulo,Away,Brazilian Serie A,2022,4231,442,2,1.1356198,0.9675535,0.054250009,0.019703925,15,3,20.0000,0.0000,2,0.829636857,0.5219677,0,0.307669155,6,2,56.5425,63,72.8643216,0.2703962,583,18,17,2,11,4,8.3939,0.0472,0.0096,16,7,2,0,1,1.5674,1.115,0.5058513,0.2354551,0.2703962
