Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Fortaleza EC,,Fluminense,Away,Brazilian Serie A,2019,4231,4231,0,0,0,0,0,13,4,30.7692,0.0000,0,0,0,0,0,13,0,0,42,32.80632411,0,411,14,0,0,6,0,0,0,0,16,9,0,1,1,0,0,0,0,0
Fortaleza EC,,Athletico Paranaense,Away,Brazilian Serie A,2019,4231,4141,1,0,0,0,0,11,3,27.2727,0.0000,4,0,0,0,0,20,0,0,35,19.36758893,0,321,9,0,2,16,0,0,0,0,10,8,0,0,0,0,0,0,0,0
Fortaleza EC,,Botafogo,Home,Brazilian Serie A,2019,4231,4141,1,0,0,0,0,16,3,18.7500,0.0000,0,0,0,0,0,6,0,0,46,61.23348018,0,410,8,0,0,28,0,0,0,0,12,15,3,0,3,0,0,0,0,0
Fortaleza EC,,São Paulo,Away,Brazilian Serie A,2019,4231,4141,1,0,0,0,0,7,2,28.5714,0.0000,2,0,0,0,0,19,0,0,38,37.5,0,300,6,0,0,15,0,0,0,0,12,14,2,0,0,0,0,0,0,0
Fortaleza EC,,Chapecoense,Home,Brazilian Serie A,2019,4231,4240,2,0,0,0,0,10,5,50.0000,0.0000,0,0,0,0,0,16,0,0,53,47.36842105,0,446,14,0,1,15,0,0,0,0,16,18,4,0,3,0,0,0,0,0
Fortaleza EC,,Ceará,Home,Brazilian Serie A,2019,4231,3421,1,0,0,0,0,9,2,22.2222,0.0000,0,0,0,0,0,15,0,0,37,31.77570093,0,283,11,0,1,12,0,0,0,0,17,13,4,0,3,0,0,0,0,0
Fortaleza EC,,CSA,Home,Brazilian Serie A,2019,4231,4231,3,0,0,0,0,15,6,40.0000,0.0000,0,0,0,0,0,8,0,0,64,57.30994152,0,516,6,0,0,18,0,0,0,0,19,10,0,0,3,0,0,0,0,0
Fortaleza EC,,Internacional,Away,Brazilian Serie A,2019,4231,4231,2,0,0,0,0,6,3,50.0000,0.0000,2,0,0,0,0,23,0,0,40,32.96296296,0,366,8,0,2,12,0,0,0,0,14,12,2,0,1,0,0,0,0,0
Fortaleza EC,,Santos,Home,Brazilian Serie A,2019,4231,433,2,0,0,0,0,11,3,27.2727,0.0000,1,0,0,0,0,14,0,0,37,36.15819209,0,246,12,0,0,15,0,0,0,0,15,16,2,0,3,0,0,0,0,0
Fortaleza EC,,Goiás,Away,Brazilian Serie A,2019,4231,4231,2,0,0,0,0,11,6,54.5455,0.0000,1,0,0,0,0,19,0,0,42,36.50793651,0,334,5,0,2,8,0,0,0,0,8,15,4,0,3,0,0,0,0,0
Fortaleza EC,,Palmeiras,Home,Brazilian Serie A,2019,4231,4231,0,0,0,0,0,12,1,8.3333,0.0000,1,0,0,0,0,14,0,0,44,45.85152838,0,346,11,0,0,22,0,0,0,0,10,16,4,0,0,0,0,0,0,0
Fortaleza EC,,Cruzeiro,Away,Brazilian Serie A,2019,4411,4231,1,0,0,0,0,7,2,28.5714,0.0000,1,0,0,0,0,21,0,0,33,25.20325203,0,282,9,0,1,12,0,0,0,0,13,9,1,0,1,0,0,0,0,0
Fortaleza EC,,Avaí,Away,Brazilian Serie A,2019,442,433,3,0,0,0,0,11,6,54.5455,0.0000,1,0,0,0,0,11,0,0,50,36.09756098,0,448,15,0,0,9,0,0,0,0,18,10,1,0,3,0,0,0,0,0
Fortaleza EC,,Atlético Mineiro,Home,Brazilian Serie A,2019,4231,4231,2,0,0,0,0,18,6,33.3333,0.0000,2,0,0,0,0,16,0,0,59,47.75280899,0,433,9,0,0,15,0,0,0,0,17,18,3,0,1,0,0,0,0,0
Fortaleza EC,,Corinthians,Away,Brazilian Serie A,2019,4231,4231,2,0,0,0,0,15,8,53.3333,0.0000,3,0,0,0,0,15,0,0,42,38.99082569,0,388,10,0,0,22,0,0,0,0,18,9,3,0,0,0,0,0,0,0
Fortaleza EC,,Bahia,Home,Brazilian Serie A,2019,4231,433,2,0,0,0,0,8,4,50.0000,0.0000,1,0,0,0,0,11,0,0,57,42.77108434,0,417,7,0,2,15,0,0,0,0,13,9,2,0,3,0,0,0,0,0
Fortaleza EC,,Vasco da Gama,Away,Brazilian Serie A,2019,4231,4231,0,0,0,0,0,7,2,28.5714,0.0000,1,0,0,0,0,16,0,0,42,25.92592593,0,301,4,0,0,12,0,0,0,0,13,19,3,1,0,0,0,0,0,0
Fortaleza EC,,Flamengo,Home,Brazilian Serie A,2019,442,442,1,0,0,0,0,6,3,50.0000,0.0000,2,0,0,0,0,11,0,0,30,28.33333333,0,203,7,0,0,11,0,0,0,0,13,8,1,0,0,0,0,0,0,0
