Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Goiás,1,São Paulo,Home,Brazilian Serie A,2020,343,4222,0,0.592831442,0.4402989,0,0.096563961,9,3,33.3333,0.0000,3,1.616283102,1.4839968,0,0.063147787,15,6,24.99,41,41.6666666,0.1662731,324,4,6,0,21,0,13.5769,0.0081,0.0062,18,16,3,0,0,0.4914,2.2848,0.2713003,0.1050272,0.1662731
Goiás,2,Athletico Paranaense,Away,Brazilian Serie A,2020,442,433,1,1.676282147,0.3027818,0,0.542272428,13,3,23.0769,0.0000,2,2.077590501,1.917999,0,0.054355504,19,4,26.355,22,32.4675324,0.2797822,196,8,15,0,9,1,24.5455,0.0165,0.0153,15,18,3,0,0,1.0642,1.6408,0.3920216,0.1122394,0.2797822
Goiás,3,Palmeiras,Away,Brazilian Serie A,2020,343,4231,1,0.407702451,0.2257961,0,0.140252894,11,5,45.4545,0.0000,1,0.430174086,0.2874527,0,0.118598124,12,3,29.19,35,35.3135313,0.1563191,369,15,7,0,6,2,13.7813,0.0194,0.0084,10,16,3,0,1,1.2188,1.2746,0.2075787,0.0512596,0.1563191
Goiás,4,Fortaleza EC,Home,Brazilian Serie A,2020,343,4231,1,0.753333925,0.525926,0,0.14652765,13,4,30.7692,0.0000,3,1.832954627,1.3484575,0,0.458273068,13,3,35.28,48,56.3157894,0.4934716,379,17,11,1,16,3,9.2973,0.035,0.0215,14,16,4,0,0,0.569,2.2106,0.6880593,0.1945877,0.4934716
Goiás,5,Atlético Goianiense,Home,Brazilian Serie A,2020,433,4231,2,0.4709031,0.3991752,0.065173328,0.0717279,6,2,33.3333,0.0000,0,0.5626603,0.3651813,0,0.197479,16,4,26.145,34,33.2103321,0.2316015,275,8,9,0,13,3,9.7895,0.0072,0.0008,18,26,5,0,3,1.1756,1.3694,0.3326167,0.1010152,0.2316015
Goiás,6,Grêmio,Away,Brazilian Serie A,2020,433,4231,1,1.125185303,0.6314763,0,0.493708961,5,2,40.0000,0.0000,2,2.481401863,2.2552071,0.342305899,0.149476424,26,10,28.6125,34,30.5263157,0.5060375,353,7,7,1,9,3,18.2917,0.0166,0.004,15,17,2,0,0,0.5258,2.2922,0.584128,0.0780905,0.5060375
Goiás,7,Corinthians,Home,Brazilian Serie A,2020,433,4231,1,1.290719995,0.9367564,0,0.333461834,11,3,27.2727,90.9091,2,1.182820579,0.9972024,0,0.185618121,12,4,25.515,46,48.7704918,0.3634371,446,8,17,1,15,3,14.4286,0.0091,0.004,12,16,1,0,0,1.5628,1.123,0.7288907,0.3654536,0.3634371
Goiás,8,Sport,Away,Brazilian Serie A,2020,433,4231,1,0.7771072,0.7771072,0.083560452,0,10,4,40.0000,0.0000,2,1.4479723,1.2137794,0,0.234193,17,6,23.6775,48,33.6448598,0.3589399,452,18,9,1,13,2,10.5,0.0073,0.0026,16,17,0,0,0,0.7754,1.9478,0.4596625,0.1007226,0.3589399
Goiás,9,Coritiba,Home,Brazilian Serie A,2020,433,4231,3,1.806536682,0.8803432,0,0.144444302,18,6,33.3333,0.0000,3,2.233500193,1.3342881,0,0.08514992,13,3,39.9525,54,63.8297872,0.5787003,458,11,23,0,28,4,8.359,0.0391,0.0122,11,27,4,1,1,1.0582,1.6786,0.8603864,0.2816861,0.5787003
Goiás,10,Internacional,Home,Brazilian Serie A,2020,4141,4231,1,0.250144523,0.077666,0,0.144129198,6,1,16.6667,0.0000,0,2.265922526,0.4078542,0,1.785791758,15,4,10.815,22,15.4838709,0.1306184,170,7,5,1,2,2,23.6364,0.0173,0.0078,14,10,4,1,3,0.1028,2.8256,0.0833704,-0.047248,0.1306184
Goiás,11,Flamengo,Away,Brazilian Serie A,2020,433,4231,1,0.302805583,0.2471419,0,0,7,4,57.1429,0.0000,2,3.009683537,2.215795,0.143251955,0.793888506,31,12,15.3825,34,23.7012987,0.2160702,299,16,10,0,11,2,14.3333,0.0248,0.0115,12,12,4,0,0,0.0902,2.8526,0.309152,0.0930818,0.2160702
Goiás,12,Ceará,Away,Brazilian Serie A,2020,4141,4231,2,1.809441695,0.7773908,0,0.945845393,10,7,70.0000,0.0000,2,1.237689423,1.0279295,0,0.153935229,19,5,21.42,40,33.9055793,0.1929766,286,15,17,0,18,3,12.1429,0.1072,0.0999,11,14,4,0,1,1.806,0.936,0.3636562,0.1706796,0.1929766
Goiás,13,Santos,Home,Brazilian Serie A,2020,4141,4141,2,0.943648114,0.791025,0,0.066294391,14,4,28.5714,192.8571,3,2.332629408,1.3481168,0,0.127050055,11,4,39.795,55,65.8163265,0.6755543,384,9,12,0,17,1,9.7,0.1339,0.0166,15,16,3,1,0,0.3966,2.4378,0.9502161,0.2746618,0.6755543
Goiás,14,Fluminense,Home,Brazilian Serie A,2020,442,4231,2,1.733844973,0.4277345,0,0.524361394,12,3,25.0000,0.0000,4,1.056688789,0.1543808,0,0.842232231,10,5,33.075,43,49.484536,0.3421451,348,13,21,1,22,2,13.3103,0.0285,0.0118,14,19,3,0,0,2.0056,0.7078,0.4069946,0.0648495,0.3421451
Goiás,15,Atlético Mineiro,Away,Brazilian Serie A,2020,4231,4141,0,0.193894492,0.1715947,0,0,4,3,75.0000,0.0000,3,3.477966722,2.0375072,0,0.658710444,23,11,24.36,34,27.5409836,0.1748354,315,13,9,2,12,4,18.1364,0.007,0.0012,13,11,1,0,0,0.0288,2.9484,0.2221552,0.0473198,0.1748354
Goiás,16,Bahia,Home,Brazilian Serie A,2020,4231,4231,1,1.406223434,1.3638983,0,0.020815585,10,4,40.0000,0.0000,1,1.503686976,1.1053737,0,0.056243637,13,3,27.72,49,48.9795918,0.590872,402,6,12,0,17,1,7.4524,0.0255,0.017,16,16,5,0,1,1.281,1.4244,0.7691383,0.1782663,0.590872
Goiás,17,Botafogo,Away,Brazilian Serie A,2020,4231,433,0,0.424146472,0.3369633,0.025454741,0.044160582,12,4,33.3333,0.0000,0,1.133873466,0.8827017,0,0.251171725,23,6,18.5325,38,29.6875,0.2841624,326,12,10,2,15,2,16.8,0.0499,0.0119,17,11,1,0,1,0.7288,1.954,0.3661824,0.08202,0.2841624
Goiás,18,Red Bull Bragantino,Away,Brazilian Serie A,2020,4231,433,0,0.828859556,0.2917654,0,0.485276997,7,1,14.2857,0.0000,2,2.02551367,1.2437646,0,0,14,5,27.195,47,42.5,0.4889806,361,10,9,0,15,2,11.76,0.0219,0.0213,17,15,3,0,0,0.4282,2.374,0.4747819,-0.0141987,0.4889806
Goiás,19,Vasco da Gama,Home,Brazilian Serie A,2020,4231,4231,1,2.020044063,1.8869905,0.085787736,0.133053459,19,10,52.6316,0.0000,1,0.351268215,0.164014,0,0.076465977,7,1,24.885,46,50.4237288,0.7669376,354,7,30,0,20,1,13.7619,0.0246,0.0079,18,16,5,0,1,2.5786,0.2728,0.8414386,0.074501,0.7669376
Goiás,20,São Paulo,Away,Brazilian Serie A,2020,4231,41212,1,0.544981632,0.5258521,0,0.019129345,8,3,37.5000,0.0000,2,1.136400803,0.9118593,0,0.200695446,20,9,20.79,35,32.9113924,0.1101457,272,7,12,0,17,1,16.6667,0.0088,0.0051,8,19,0,1,0,0.8004,1.8798,0.558134,0.4479883,0.1101457
Goiás,21,Athletico Paranaense,Home,Brazilian Serie A,2020,4231,433,0,0.4004213,0.2422268,0,0.1581945,11,1,9.0909,0.0000,1,1.71279447,1.5586836,0,0.154111,16,8,18.06,48,44.5783132,0.4685514,347,3,21,0,26,1,11.9091,0.0174,0.0093,12,14,5,0,0,0.3868,2.4196,0.6756707,0.2071193,0.4685514
Goiás,22,Palmeiras,Home,Brazilian Serie A,2020,4231,3412,1,0.317339792,0.266272,0,0.05106781,8,2,25.0000,0.0000,0,0.527790343,0.2820582,0,0.202759277,14,3,32.13,60,53.9473684,0.6793104,487,15,16,0,25,5,12.8,0.0233,0.0196,15,20,2,0,3,1.0116,1.482,0.8854724,0.206162,0.6793104
Goiás,23,Fortaleza EC,Away,Brazilian Serie A,2020,433,442,1,0.589784799,0.4775602,0,0.069178061,6,1,16.6667,0.0000,1,1.987571469,1.9061404,0,0.081430986,15,8,33.7575,30,27.8538812,0.3318052,266,7,7,2,6,1,15.88,0.0226,0.0016,15,19,0,0,1,0.3484,2.4706,0.3096183,-0.0221869,0.3318052
Goiás,24,Atlético Goianiense,Away,Brazilian Serie A,2020,532,4231,1,0.859279425,0.6908481,0.073848851,0.113777354,10,2,20.0000,0.0000,0,0.482839321,0.3546739,0,0.104948602,12,3,25.725,33,31.3304721,0.4362351,207,3,7,0,10,0,11.8261,0.1439,0.0309,16,21,3,0,3,1.7276,0.8984,0.4711513,0.0349162,0.4362351
Goiás,25,Grêmio,Home,Brazilian Serie A,2020,532,4231,0,0.435955487,0.3240393,0,0.111916194,12,2,16.6667,0.0000,0,0.969315567,0.6694836,0,0.196346852,17,5,25.41,40,29.2604501,0.4995359,298,9,11,0,13,1,7.2414,0.0315,0.0278,10,12,4,0,1,0.822,1.8216,0.524132,0.0245961,0.4995359
Goiás,26,Corinthians,Away,Brazilian Serie A,2020,532,4231,1,1.469619,1.1040521,0,0.3655669,17,7,41.1765,0.0000,2,2.15628123,1.4101219,0,0.7461593,19,6,22.155,36,34.1853035,0.8514858,304,6,19,0,19,1,11.8621,0.0394,0.0097,11,15,0,0,0,0.9436,1.825,0.9795122,0.1280264,0.8514858
Goiás,27,Sport,Home,Brazilian Serie A,2020,532,4231,1,0.511746626,0.3592703,0,0.152476361,10,3,30.0000,0.0000,0,0.64350161,0.40837,0,0.150346005,16,4,30.87,39,38.9344262,0.1640325,315,3,18,1,15,6,10.9394,0.1236,0.1114,18,22,4,0,3,1.1768,1.3958,0.2952086,0.1311761,0.1640325
Goiás,28,Coritiba,Away,Brazilian Serie A,2020,532,433,2,1.922648521,1.4851283,0,0.415610664,11,5,45.4545,0.0000,1,0.964634286,0.860671,0.019975649,0.103963285,16,2,25.2,43,47.368421,0.419426,359,4,17,0,13,1,10.8929,0.0391,0.0273,11,17,3,0,3,2.1442,0.6364,0.4267025,0.0072765,0.419426
