Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Grêmio,1,Fluminense,Home,Brazilian Serie A,2020,4231,433,1,1.367982535,1.2278733,0,0.118062913,15,4,26.6667,0.0000,0,0.442357088,0.3244205,0,0.037532974,10,4,34.5975,52,65.3386454,0.5168906,496,10,30,0,17,3,10.7143,0.0865,0.0835,15,24,2,0,3,2.178,0.5622,0.6011404,0.0842498,0.5168906
Grêmio,2,Ceará,Away,Brazilian Serie A,2020,4231,4231,1,1.3870586,1.3034219,0,0.0836366,14,8,57.1429,0.0000,1,1.07859834,1.0109589,0,0.0676393,11,5,37.4325,58,61.7391304,0.5580313,571,18,19,2,19,3,11.5,0.0273,0.0172,15,7,1,0,1,1.5922,1.1068,0.8501443,0.292113,0.5580313
Grêmio,3,Corinthians,Home,Brazilian Serie A,2020,4231,4231,0,2.915813612,1.9215797,0.133729667,0.176654823,24,8,33.3333,0.0000,0,0.260015659,0.1596385,0,0.100377172,5,2,44.415,48,68.852459,0.5239677,491,28,54,3,36,8,13.0294,0.0589,0.0432,14,16,2,0,1,2.8778,0.0704,0.9336889,0.4097212,0.5239677
Grêmio,4,Flamengo,Away,Brazilian Serie A,2020,433,4231,1,1.495691892,1.4273666,0.556734681,0,10,2,20.0000,0.0000,1,0.989069902,0.1461192,0,0.037869214,8,2,32.76,40,33.8645418,0.4995921,390,11,13,0,7,1,16.5833,0.0195,0.0044,16,20,3,0,1,1.8172,0.8572,0.6613961,0.161804,0.4995921
Grêmio,5,Vasco da Gama,Away,Brazilian Serie A,2020,4231,4141,0,0.667436876,0.4881748,0,0.12578432,14,4,28.5714,0.0000,0,0.444743352,0.1146878,0.02312365,0.330055444,10,3,46.725,53,64.3518518,0.484175,474,18,15,0,13,5,7.5111,0.0465,0.0213,23,17,2,0,1,1.5406,1.0288,0.6630681,0.1788931,0.484175
Grêmio,6,Goiás,Home,Brazilian Serie A,2020,4231,433,2,2.481401863,2.2552071,0.342305899,0.149476424,26,10,38.4615,0.0000,1,1.125185303,0.6314763,0,0.493708961,0,2,43.47,66,69.4736842,1.0458841,680,8,41,3,15,8,7.5278,0.028,0.01,17,15,2,0,3,2.2922,0.5258,1.509926,0.4640419,1.0458841
Grêmio,7,Sport,Home,Brazilian Serie A,2020,4231,4231,1,2.319810175,1.7226224,0,0.550400937,29,7,24.1379,0.0000,2,0.984666781,0.2029177,0,0,5,3,32.76,72,74.6081504,1.0803864,680,18,44,1,47,6,14.7333,0.0531,0.0409,11,10,1,0,0,2.2996,0.496,1.5660649,0.4856785,1.0803864
Grêmio,8,Atlético Goianiense,Away,Brazilian Serie A,2020,4231,4231,1,0.413849427,0.371152,0,0.042697523,6,2,33.3333,0.0000,1,1.032810552,0.5855924,0.43905586,0.421223428,8,2,33.285,51,49.6428571,0.4720471,471,8,15,3,22,1,12.1154,0.0303,0.02,16,13,2,1,1,0.6918,1.9782,0.6578072,0.1857601,0.4720471
Grêmio,9,Bahia,Away,Brazilian Serie A,2020,4231,4312,2,2.058982098,1.9188912,0.168139085,0.140090831,18,6,33.3333,0.0000,0,0.905839108,0.7945267,0.124652566,0.077663422,17,6,20.895,50,47.7832512,0.4084014,479,12,26,2,13,3,19.6667,0.0268,0.0191,12,9,2,1,3,2.1286,0.634,0.7429742,0.3345728,0.4084014
Grêmio,10,Fortaleza EC,Home,Brazilian Serie A,2020,4231,4231,1,1.822157745,0.6555815,0,0.36402965,14,3,21.4286,0.0000,1,0.150839943,0.0291781,0,0.121661885,3,2,38.43,56,75.1054852,0.9378628,532,12,38,0,23,6,14.25,0.0238,0.0211,12,11,1,1,1,2.7472,0.1444,1.0042129,0.0663501,0.9378628
Grêmio,11,Palmeiras,Home,Brazilian Serie A,2020,451,4321,1,1.128425999,0.9156532,0.016225386,0.134072088,13,3,23.0769,0.0000,1,0.346765056,0.3028209,0.026864111,0.043944001,9,2,41.8425,64,73.7704918,0.6839268,590,11,18,1,19,5,8.4848,0.0202,0.0054,19,21,2,0,1,2.1702,0.5376,0.8223487,0.1384219,0.6839268
