Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Internacional,1,Sport,Home,Brazilian Serie A,2021,433,4231,2,1.316020164,0.4091357,0,0.093395496,11,4,36.3636,0.0000,2,1.83807495,0.7492425,0,0.285428319,8,5,42.315,57,66.025641,0.1643558,485,13,23,0,13,3,9.3939,0.0469,0.0415,13,24,4,0,1,0.9594,1.7262,0.3706202,0.2062644,0.1643558
Internacional,2,Fortaleza EC,Away,Brazilian Serie A,2021,433,3412,1,0.465387694,0.104123,0.092241198,0.334959159,5,3,60.0000,80.0000,5,2.372635562,1.4562274,0.134103224,0.895424901,15,8,44.625,48,35.1145038,0.0532599,353,6,6,0,16,1,8.4167,0.0464,0.0255,17,21,4,2,0,0.2222,2.6522,0.1766856,0.1234257,0.0532599
Internacional,3,Bahia,Away,Brazilian Serie A,2021,433,433,1,1.78121102,0.9759294,0.511117756,0.023532631,6,4,66.6667,0.0000,0,0.816949955,0.81695,0,0,14,3,35.07,33,38.6956521,0.3949847,244,10,16,6,15,1,9.6857,0.092,0.0782,14,16,4,1,3,2.2174,0.5536,0.5597145,0.1647298,0.3949847
Internacional,4,Atlético Mineiro,Home,Brazilian Serie A,2021,4231,4141,0,1.2049336,1.0887915,0,0.1161422,11,1,9.0909,0.0000,1,0.65134093,0.6513409,0.060790744,0,6,2,46.41,57,67.3835125,0.6400952,561,8,21,1,33,3,8.7692,0.0696,0.0355,12,13,3,0,0,1.8636,0.825,0.8787534,0.2386582,0.6400952
Internacional,5,Ceará,Home,Brazilian Serie A,2021,442,4231,1,1.161874748,0.3418112,0,0.038314504,10,3,30.0000,0.0000,1,1.772136058,1.3400074,0.414378479,0.409168512,14,2,32.55,61,51.7241379,0.1445702,407,10,11,0,24,3,5.1538,0.0544,0.033,21,16,2,0,1,0.8832,1.8276,0.2620816,0.1175114,0.1445702
Internacional,6,Chapecoense,Away,Brazilian Serie A,2021,4231,4312,2,2.44759025,1.6753334,0,0.748365478,25,11,44.0000,0.0000,1,1.306521906,0.3248343,0,0.959128004,11,5,29.085,48,55.2631578,0.5153973,345,4,26,2,22,3,10.4828,0.0836,0.0065,11,19,3,2,3,2.1182,0.6638,0.7230758,0.2076785,0.5153973
Internacional,7,América Mineiro,Away,Brazilian Serie A,2021,433,4141,1,1.000541313,0.9690823,0,0.031459071,10,3,30.0000,0.0000,1,1.321944704,0.6370935,0,0.533694415,13,6,29.6625,60,53.9170506,0.5539714,474,7,11,1,24,0,6.6857,0.0347,0.0136,14,20,3,0,1,1.0958,1.6034,0.7714201,0.2174487,0.5539714
Internacional,8,Palmeiras,Home,Brazilian Serie A,2021,4231,4231,1,2.331306758,1.3637947,0,0.185763011,16,5,31.2500,0.0000,2,2.373416346,1.5395284,0.880426317,0.833887916,14,6,37.59,66,66.9767441,0.5045537,544,15,25,1,29,4,7.3548,0.0239,0.0168,13,14,3,0,0,1.3602,1.3956,0.7324993,0.2279456,0.5045537
Internacional,9,Corinthians,Away,Brazilian Serie A,2021,4231,4231,1,1.107765568,0.3033188,0,0,7,3,42.8571,0.0000,1,1.515395171,1.3427721,0,0.076842583,20,9,31.605,43,44.7004608,0.1956789,407,7,8,0,9,0,12.4412,0.0311,0.006,11,17,2,0,1,0.9756,1.6398,0.4063187,0.2106398,0.1956789
Internacional,10,São Paulo,Home,Brazilian Serie A,2021,4141,3142,0,0.920155946,0.8639575,0,0,9,2,22.2222,0.0000,2,1.477782952,0.9774107,0,0.50037236,11,5,41.685,51,56.9948186,0.3874414,416,11,12,1,19,1,8.6154,0.0197,0.0141,24,21,2,0,0,0.9374,1.7762,0.5913062,0.2038648,0.3874414
Internacional,11,Grêmio,Away,Brazilian Serie A,2021,4141,4231,0,0.725789996,0.6343199,0.021329015,0.091470122,16,8,50.0000,0.0000,0,0.411424071,0.2572817,0.059333317,0.122789895,11,2,41.79,50,50.7853403,0.6276382,401,10,15,1,14,7,8.1951,0.0387,0.0186,12,19,2,0,1,1.6006,0.97,0.7121924,0.0845542,0.6276382
Internacional,12,Juventude,Home,Brazilian Serie A,2021,433,4231,1,1.563361066,1.4547352,0,0.083229091,14,5,35.7143,0.0000,0,0.353670567,0.1963306,0,0.064896051,11,4,39.48,50,67.3913043,0.4862184,428,13,19,3,23,6,10.1111,0.0412,0.0206,13,19,4,0,3,2.3622,0.4182,0.7085615,0.2223431,0.4862184
Internacional,13,Athletico Paranaense,Away,Brazilian Serie A,2021,4141,4231,1,1.346042451,0.5163523,0.040753998,0.047941208,13,3,23.0769,0.0000,2,0.786926717,0.5990965,0,0.088222682,11,4,24.9375,48,50,0.4369956,373,8,16,0,21,4,19.8824,0.0114,0.0058,11,13,3,0,0,1.912,0.7834,0.6445685,0.2075729,0.4369956
Internacional,14,Cuiabá,Home,Brazilian Serie A,2021,442,4411,0,0.4672886,0.3758011,0,0.0914875,12,3,25.0000,0.0000,0,0.68551984,0.5949194,0.127992373,0.0906005,13,4,39.48,58,54.2735042,0.359453,510,9,19,0,20,0,8.5938,0.105,0.0982,18,20,1,1,1,1.0348,1.552,0.6142442,0.2547912,0.359453
Internacional,15,Flamengo,Away,Brazilian Serie A,2021,4231,4222,4,2.4053889,2.4053889,0.155515864,0,9,5,55.5556,0.0000,0,1.43537737,1.2805089,0,0.1548685,11,7,26.3025,37,27.0462633,0.3391958,331,13,11,4,5,4,14.5217,0.046,0.0102,9,15,2,0,3,2.0612,0.725,0.5826316,0.2434358,0.3391958
Internacional,16,Fluminense,Home,Brazilian Serie A,2021,442,4312,4,2.5964691,2.1036235,0.693637364,0.4928456,17,7,41.1765,0.0000,2,1.24022692,0.7761159,0,0.464111,10,5,30.3975,36,45.0980392,0.4559782,347,13,20,0,16,2,25,0.0183,0.0102,7,14,2,0,3,2.2966,0.5266,0.3137798,-0.1421984,0.4559782
