Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Atlético Mineiro,1,Flamengo,Away,Brazilian Serie A,2020,352,4231,1,0.6702064,0.6702064,0.352877051,0,10,4,40.0000,0.0000,0,1.86370949,1.8340931,0.505194306,0.0296165,17,2,35.28,38,42.5120772,0.1548497,321,6,8,1,6,1,8.6042,0.0143,0.0038,10,24,2,0,3,0.4622,2.3444,0.3065594,0.1517097,0.1548497
Atlético Mineiro,2,Corinthians,Home,Brazilian Serie A,2020,433,4231,3,2.5377975,2.4318656,0,0.1059318,25,13,52.0000,0.0000,2,0.90953713,0.8490105,0,0.0605267,8,5,50.4,55,69.7674418,0.8657221,515,12,44,2,30,4,8,0.1984,0.1878,11,19,0,0,3,2.4096,0.4176,1.1037773,0.2380552,0.8657221
Atlético Mineiro,3,Ceará,Home,Brazilian Serie A,2020,4231,4231,2,1.805271471,0.8680065,0.545597136,0.012666696,11,6,54.5455,0.0000,0,0.818781589,0.7234934,0.077215694,0.024814429,13,1,37.8,61,57.8059071,0.6650166,475,16,23,3,21,1,8.3214,0.0428,0.0275,12,14,2,0,3,2.2416,0.5262,0.8411212,0.1761046,0.6650166
Atlético Mineiro,4,Botafogo,Away,Brazilian Serie A,2020,4231,442,1,2.0773958,1.8902836,0.207269564,0.1871122,31,9,29.0323,0.0000,2,2.51070446,2.4393129,0.181008317,0.0713914,10,5,39.7425,74,78.7581699,0.8314077,609,15,58,0,33,3,5.7931,0.1019,0.0759,6,10,0,0,0,1.042,1.7182,1.4709774,0.6395697,0.8314077
Atlético Mineiro,5,Internacional,Away,Brazilian Serie A,2020,3412,4231,0,0.33555776,0.26438,0,0.030014784,11,1,9.0909,0.0000,1,0.637185281,0.6115843,0,0,6,3,58.38,67,65.5172413,0.4582089,620,20,14,0,16,4,5.75,0.0792,0.0266,19,21,2,0,0,0.8702,1.685,0.6492232,0.1910143,0.4582089
Atlético Mineiro,6,Athletico Paranaense,Home,Brazilian Serie A,2020,4141,442,0,0.649270521,0.4878316,0,0.082457097,21,6,28.5714,0.0000,2,0.896590423,0.8751899,0.098217688,0.021400476,10,6,38.9025,64,65.0862068,0.3597305,550,13,29,0,27,7,11.3913,0.0276,0.0093,24,8,1,0,0,1.0466,1.5944,0.6363263,0.2765958,0.3597305
Atlético Mineiro,7,São Paulo,Home,Brazilian Serie A,2020,4231,4231,3,1.876762861,1.3216163,0.054601192,0.555146526,14,8,57.1429,0.0000,0,0.987599286,0.9135382,0,0.0533338,13,4,57.6975,51,54.4642857,0.6560565,496,4,17,1,13,2,8.2857,0.0199,0.0121,10,18,0,0,3,2.0466,0.714,0.8746242,0.2185677,0.6560565
Atlético Mineiro,8,Coritiba,Away,Brazilian Serie A,2020,4141,4231,1,1.955829904,1.1874102,0.317998532,0.7684197,21,2,9.5238,0.0000,0,1.284796886,1.2604459,0,0.024350941,13,3,44.2575,52,72.4409448,0.7190346,476,12,30,1,23,3,8.1458,0.0366,0.0273,13,19,3,0,3,1.8908,0.8546,0.8515081,0.1324735,0.7190346
Atlético Mineiro,9,Santos,Away,Brazilian Serie A,2020,4231,433,1,2.286590666,1.4835599,0.220470026,0.803030703,16,4,25.0000,0.0000,3,1.39833039,0.5666164,0,0.027991358,8,4,31.92,59,54.9222797,0.4186458,424,4,21,1,17,6,10.6818,0.0958,0.0211,7,15,2,1,0,1.875,0.8532,0.515251,0.0966052,0.4186458
Atlético Mineiro,10,Red Bull Bragantino,Home,Brazilian Serie A,2020,352,541,2,1.929397382,0.5826921,0,0.539453778,14,7,50.0000,0.0000,1,1.118648969,1.1076876,0.046859957,0.010961413,12,4,39.27,64,62.085308,0.5531761,556,12,28,0,19,4,7.4688,0.0337,0.0209,18,13,1,0,3,2.0978,0.6242,0.7322579,0.1790818,0.5531761
Atlético Mineiro,11,Atlético Goianiense,Away,Brazilian Serie A,2020,433,4231,4,2.940875421,1.8907409,0,0.024227848,14,8,57.1429,0.0000,3,1.331525298,1.2957452,0.156686097,0.035780076,15,9,30.975,56,47.6595744,0.5178087,468,9,22,3,20,2,9.7407,0.0644,0.0218,16,14,0,0,3,2.415,0.432,0.7649872,0.2471785,0.5178087
