Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Palmeiras,1,Flamengo,Away,Brazilian Serie A,2021,352,4231,0,1.139864221,1.0146637,0.129608616,0.053714438,12,5,41.6667,0.0000,1,2.918220651,1.907101,0,0.985107064,14,10,31.5,38,30.9178743,0.4855313,300,5,12,2,13,1,10.6471,0.0116,0.0049,25,21,3,0,0,0.5392,2.2342,0.5230382,0.0375069,0.4855313
Palmeiras,2,Chapecoense,Home,Brazilian Serie A,2021,433,433,3,2.819470443,2.2138283,0.061747916,0.574721798,17,4,23.5294,0.0000,1,0.588784542,0.3239898,0,0.186082084,6,4,38.4825,66,68.0751173,0.4203322,550,10,29,1,22,5,8.1111,0.0155,0.0095,10,10,2,0,3,2.7744,0.141,0.7606126,0.3402804,0.4203322
Palmeiras,3,Corinthians,Home,Brazilian Serie A,2021,433,4141,1,0.983002322,0.8308186,0,0.152183695,12,3,25.0000,0.0000,1,0.700925738,0.6332473,0,0.012031386,9,4,32.97,52,44.680851,0.2263153,491,8,10,0,17,1,15.3913,0.0199,0.0117,13,14,3,0,1,1.543,1.0954,0.8353072,0.6089919,0.2263153
Palmeiras,4,Juventude,Away,Brazilian Serie A,2021,4141,41212,3,0.857480842,0.5437025,0,0.313778348,13,5,38.4615,0.0000,0,0.687654226,0.392713,0,0.235172182,11,2,37.2225,58,57.5129533,0.3772798,527,11,12,1,23,1,7.6,0.0364,0.0119,10,24,3,0,3,1.4802,1.1568,0.5124331,0.1351533,0.3772798
Palmeiras,5,América Mineiro,Home,Brazilian Serie A,2021,4141,4231,2,1.300521702,1.1690589,0,0.131462809,15,6,40.0000,0.0000,1,1.28683369,0.4047315,0.033405662,0.100353256,12,5,29.19,58,58.685446,0.5875098,422,9,26,0,34,3,7.875,0.0182,0.0125,10,15,3,0,3,1.3282,1.3576,0.6981369,0.1106271,0.5875098
Palmeiras,6,Red Bull Bragantino,Away,Brazilian Serie A,2021,352,4231,1,0.8461096,0.6389082,0,0.2072016,17,5,29.4118,0.0000,3,2.59751528,2.5038569,0.2017233,0.0936584,12,6,38.01,52,56.1702127,0.3966475,446,13,20,1,37,3,9.8485,0.1192,0.0109,13,13,3,0,0,0.3356,2.5244,0.8988191,0.5021716,0.3966475
Palmeiras,7,Bahia,Home,Brazilian Serie A,2021,4231,4231,3,1.739946662,1.4904046,0,0.151261572,19,8,42.1053,0.0000,2,1.608077722,0.817996,0.134792494,0.790081874,18,4,28.035,57,55.0847457,0.3815819,437,7,20,0,28,0,8.8621,0.068,0.0553,15,10,3,0,3,1.2876,1.4286,0.4686904,0.0871085,0.3815819
Palmeiras,8,Internacional,Away,Brazilian Serie A,2021,4231,4231,2,2.373416346,1.5395284,0.880426317,0.833887916,14,6,42.8571,0.0000,1,2.331306758,1.3637947,0,0.185763011,16,5,24.8325,34,33.0232558,0.3823748,269,6,26,2,16,2,15.6667,0.049,0.0389,14,13,2,1,3,1.3956,1.3602,0.3592757,-0.0230991,0.3823748
Palmeiras,9,Sport,Away,Brazilian Serie A,2021,4231,4231,1,1.680406051,1.6079382,0.067180648,0,14,5,35.7143,0.0000,0,0.656645141,0.4326458,0.079711609,0.223999426,13,1,29.085,51,55.9633027,0.4436592,436,5,20,0,22,3,9.7273,0.0466,0.0205,23,13,1,0,3,2.2102,0.5614,0.5901548,0.1464956,0.4436592
Palmeiras,10,Grêmio,Home,Brazilian Serie A,2021,4231,4231,2,2.211210353,1.971745,0.140347868,0.088622378,18,6,33.3333,0.0000,0,0.70759792,0.5754761,0,0.078743462,12,4,30.45,47,40.4166666,0.4168201,429,15,20,0,12,0,10.6207,0.0165,0.0079,15,15,2,0,3,2.4148,0.4108,0.7233512,0.3065311,0.4168201
Palmeiras,11,Santos,Home,Brazilian Serie A,2021,4222,4231,3,1.891409557,1.4232921,0,0.442229578,14,7,50.0000,0.0000,2,1.87463879,0.1553167,0,0.079000957,12,2,28.14,36,43.7125748,0.3153462,280,6,19,1,11,1,17.2381,0.0036,0.0022,20,19,1,0,3,1.3174,1.3924,0.4714756,0.1561294,0.3153462
Palmeiras,12,Atlético Goianiense,Away,Brazilian Serie A,2021,4231,4231,3,1.604131173,1.4933187,0.742780507,0.110812463,15,6,40.0000,0.0000,0,0.62366567,0.2876219,0,0.129753869,11,1,31.5,42,52.7522935,0.7453135,337,5,23,0,20,3,11.3824,0.0217,0.0093,8,16,1,0,3,2.2204,0.5452,0.9808795,0.235566,0.7453135
Palmeiras,13,Fluminense,Home,Brazilian Serie A,2021,4231,4231,1,0.6721057,0.5524338,0,0.1196719,10,1,10.0000,0.0000,0,1.14081946,0.9685231,0,0.1722964,9,3,28.875,50,51.8691588,0.335128,484,4,13,1,15,3,15.0833,0.031,0.0099,9,13,1,0,3,0.9292,1.7128,0.4892601,0.1541321,0.335128
Palmeiras,14,São Paulo,Away,Brazilian Serie A,2021,4231,442,0,0.6108868,0.2665945,0,0.3442923,7,3,42.8571,0.0000,0,0.63537529,0.6245451,0,0.0108301,12,3,24.0975,46,43.8144329,0.1408315,350,8,7,0,15,1,12.9583,0.0208,0.0118,19,15,3,0,1,1.2644,1.322,-0.0241241,-0.1649556,0.1408315
Palmeiras,15,Fortaleza EC,Home,Brazilian Serie A,2021,4231,352,2,1.777576225,1.6735805,0,0.103995716,20,2,10.0000,0.0000,3,1.729343827,1.2023954,0,0.469460605,15,6,41.16,62,64.1921397,0.6918541,507,8,32,1,31,4,6.9429,0.0269,0.0174,12,22,4,1,0,1.364,1.3754,0.9201071,0.228253,0.6918541
Palmeiras,16,Atlético Mineiro,Away,Brazilian Serie A,2021,4231,4231,0,0.039051477,0.0390515,0,0,1,1,100.0000,0.0000,2,1.674542029,1.468512,0.127917916,0.178152964,15,6,23.625,33,26.7657992,0.1962464,322,8,2,2,11,2,17.7391,0.025,0.0107,13,14,0,1,0,0.1476,2.7204,0.2820823,0.0858359,0.1962464
Palmeiras,17,Cuiabá,Home,Brazilian Serie A,2021,4231,442,0,3.613369776,3.3514659,0,0.173193141,31,7,22.5806,0.0000,2,0.907475477,0.7721132,0.126803815,0.135362238,9,4,45.57,66,74.137931,1.1539017,544,20,59,0,52,5,9.037,0.035,0.0276,13,8,1,0,0,2.7168,0.1914,1.4703788,0.3164771,1.1539017
Palmeiras,18,Athletico Paranaense,Home,Brazilian Serie A,2021,4231,4231,2,0.672156252,0.4687101,0,0.17769482,16,3,18.7500,0.0000,1,0.324416978,0.2410281,0,0.083388909,11,4,36.54,49,52.6315789,0.6116845,459,8,25,0,22,3,14.8077,0.0961,0.0728,14,10,3,0,3,1.623,0.924,0.8401125,0.228428,0.6116845
Palmeiras,19,Ceará,Away,Brazilian Serie A,2021,4231,4231,2,1.548650272,1.3448526,0.369796693,0.111632958,12,5,41.6667,0.0000,1,0.514501008,0.3476212,0,0.166879863,14,5,23.6775,52,39.9082568,0.5231363,427,10,16,0,15,2,9.1786,0.0347,0.0066,18,11,2,0,3,2.2402,0.5368,0.7919292,0.2687929,0.5231363
Palmeiras,20,Flamengo,Home,Brazilian Serie A,2021,4231,4231,1,0.577841766,0.5132038,0,0,12,5,41.6667,0.0000,3,0.716279296,0.5360888,0.106064461,0.18019039,11,4,43.785,58,64.2570281,0.437654,509,12,20,1,30,3,9.0606,0.0269,0.0227,15,14,0,1,0,1.1426,1.4516,0.6225815,0.1849275,0.437654
Palmeiras,21,Chapecoense,Away,Brazilian Serie A,2021,4231,442,2,1.722311867,1.722312,0.305508494,0,13,7,53.8462,0.0000,0,0.428085068,0.3741516,0,0.033476613,15,3,28.77,47,37.2881355,0.5863799,419,9,19,1,7,3,9.7097,0.0514,0.014,13,14,2,0,3,2.4154,0.3886,0.7464037,0.1600238,0.5863799
Palmeiras,22,Corinthians,Away,Brazilian Serie A,2021,4231,433,1,1.111491328,0.4493501,0,0.592129715,16,5,31.2500,0.0000,2,0.574388063,0.5743881,0,0,8,3,35.385,51,55.940594,0.2324181,430,10,18,0,20,0,10.875,0.1116,0.0331,7,11,1,0,0,1.812,0.8658,0.3930561,0.160638,0.2324181
Palmeiras,23,Juventude,Home,Brazilian Serie A,2021,4141,4141,1,1.375688269,0.3601792,0,0.991952818,15,3,20.0000,0.0000,1,0.747738475,0.6579594,0.056929503,0.067273671,10,4,45.99,73,63.681592,0.3270948,602,5,25,0,26,6,6.069,0.0261,0.0084,12,19,1,0,1,1.9464,0.7584,0.7410678,0.413973,0.3270948
Palmeiras,24,América Mineiro,Away,Brazilian Serie A,2021,3421,4231,1,1.042247014,0.8982979,0,0.143949186,14,5,35.7143,0.0000,2,3.071050965,1.3776672,0.506362855,0.129885843,27,6,25.41,40,32.7935222,0.2588906,301,10,19,2,7,2,15.8235,0.0122,0.0122,13,17,3,0,0,0.2534,2.6378,0.5712887,0.3123981,0.2588906
Palmeiras,25,Red Bull Bragantino,Home,Brazilian Serie A,2021,352,4231,2,2.527489442,1.3759134,0,0.369827087,20,6,30.0000,0.0000,4,1.637662498,1.5922675,0.109433256,0.045395115,12,6,35.07,55,59.2436974,0.6295398,457,10,31,1,27,8,10.4643,0.0816,0.0766,15,14,1,0,0,1.9716,0.8142,0.9035296,0.2739898,0.6295398
Palmeiras,26,Bahia,Away,Brazilian Serie A,2021,442,4231,0,0.266846144,0.1383397,0.027697176,0.128506374,9,2,22.2222,0.0000,0,0.784801214,0.457157,0.023943853,0.279088078,17,5,18.6375,48,39.3162393,0.1026262,374,13,9,0,11,3,12.3684,0.0196,0.0063,21,13,2,1,1,0.771,1.794,-0.0483188,-0.150945,0.1026262
Palmeiras,27,Internacional,Home,Brazilian Serie A,2021,442,4231,1,1.544204661,0.6522771,0,0.061716052,16,3,18.7500,0.0000,0,0.61253695,0.5415791,0.061247826,0.05049218,14,4,41.685,52,54.054054,0.3471139,449,10,23,1,22,1,9.3611,0.0812,0.0144,19,13,3,0,3,2.1934,0.568,0.7171892,0.3700753,0.3471139
Palmeiras,28,Sport,Home,Brazilian Serie A,2021,4231,4231,2,2.543717448,0.7812849,0.032118626,1.730064446,37,16,43.2432,0.0000,1,0.656731806,0.553895,0.485886425,0,6,1,42.21,65,73.9130434,0.9047967,472,12,50,0,59,2,10.4783,0.1312,0.1173,19,10,1,0,3,2.5658,0.287,0.8819841,-0.0228126,0.9047967
Palmeiras,29,Grêmio,Away,Brazilian Serie A,2021,4231,4231,3,1.502551534,0.5035395,0,0,11,5,45.4545,0.0000,1,0.846481052,0.7897689,0,0.012728686,15,5,30.45,50,40.8730158,0.3601914,410,10,18,0,5,2,9.9231,0.0179,0.009,24,12,2,0,3,1.952,0.7466,0.6797366,0.3195452,0.3601914
Palmeiras,30,Santos,Away,Brazilian Serie A,2021,4231,541,2,1.493584878,1.0083976,0.107654676,0.460992813,15,6,40.0000,0.0000,0,0.635956655,0.4031144,0,0.100765232,12,4,25.305,50,47.4178403,0.7743395,453,7,18,3,5,1,10.5484,0.0307,0.0105,13,17,2,0,3,2.0888,0.6596,0.962133,0.1877935,0.7743395
Palmeiras,31,Atlético Goianiense,Home,Brazilian Serie A,2021,4231,4141,4,2.268688566,1.329436,0,0.157503646,14,7,50.0000,0.0000,0,0.593032827,0.4755434,0,0.117489436,10,0,39.1125,50,45.9574468,0.2638494,443,9,28,2,15,1,12.52,0.0198,0.0058,12,10,1,0,3,2.601,0.2574,0.8032468,0.5393974,0.2638494
Palmeiras,32,Fluminense,Away,Brazilian Serie A,2021,4231,4231,1,0.858661216,0.7783577,0.047249906,0.05832252,11,4,36.3636,0.0000,2,0.827915791,0.7519866,0,0.053528529,9,3,27.615,48,35.07109,0.3734801,443,10,13,0,9,3,16.5714,0.0177,0.009,12,20,4,2,0,1.286,1.3364,0.5601198,0.1866397,0.3734801
Palmeiras,33,São Paulo,Home,Brazilian Serie A,2021,4141,442,0,0.765504095,0.5577658,0,0.188019833,16,4,25.0000,0.0000,2,1.483028429,1.4063307,0,0.076697551,16,6,39.06,56,58.9743589,0.5420794,422,2,18,1,26,4,10.4074,0.1167,0.0265,17,12,1,0,0,0.8504,1.8668,0.8235454,0.281466,0.5420794
Palmeiras,34,Fortaleza EC,Away,Brazilian Serie A,2021,4141,3412,0,0.683608862,0.5590505,0,0.090394417,13,4,30.7692,0.0000,1,0.900308294,0.6815329,0,0.218775466,8,3,41.58,67,61.6161616,0.2354374,528,22,15,1,16,3,9.0417,0.0249,0.0121,22,12,2,0,0,1.1144,1.5182,0.497609,0.2621716,0.2354374
Palmeiras,35,Atlético Mineiro,Home,Brazilian Serie A,2021,343,4222,2,1.762665395,0.6230083,0,0.33687254,11,7,63.6364,0.0000,2,1.305726739,0.866153,0,0.439573834,15,5,23.94,43,37.037037,0.2734593,314,13,10,4,10,0,14.15,0.1352,0.1115,21,16,4,0,1,1.784,0.95,0.4168014,0.1433421,0.2734593
Palmeiras,36,Cuiabá,Away,Brazilian Serie A,2021,343,442,3,1.113032935,1.0009322,0.293931812,0.112100754,13,5,38.4615,0.0000,1,2.083644204,0.5013933,0,1.582250838,21,6,16.275,41,29.6482412,0.3334893,337,5,14,0,10,2,19.375,0.0927,0.0918,15,10,1,1,3,0.7068,2.0706,0.6095557,0.2760664,0.3334893
Palmeiras,37,Athletico Paranaense,Away,Brazilian Serie A,2021,343,3421,0,0.328095,0.328095,0,0,4,0,0.0000,0.0000,0,1.27255386,0.8742716,0,0.3982822,23,4,20.16,28,26.5560165,0.1964048,249,6,4,1,6,1,28.3571,0.0265,0.0179,9,10,1,0,1,0.514,2.2084,0.2207622,0.0243574,0.1964048
Palmeiras,38,Ceará,Home,Brazilian Serie A,2021,3412,4231,1,2.3482575,1.5280835,0.033701651,0.8201741,12,2,16.6667,0.0000,0,2.69640346,1.9272665,0,0.7691372,31,9,17.745,32,26.4705882,0.6091425,289,8,23,2,12,0,22.6667,0.0391,0.0187,3,18,2,0,3,1.0656,1.704,0.9458873,0.3367448,0.6091425
