Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Athletico Paranaense,,Vasco da Gama,Home,Brazilian Serie A,2017,4231,4231,3,0,0,0,0,19,6,31.5789,294.7368,1,0,0,0,0,14,0,0,42,40.9252669,0,366,5,0,1,27,0,0,0,0,8,8,1,0,3,0,0,0,0,0
Athletico Paranaense,,São Paulo,Away,Brazilian Serie A,2017,442,4141,1,0,0,0,0,7,2,28.5714,0.0000,2,0,0,0,0,23,0,0,44,36.9649805,0,461,1,0,0,10,0,0,0,0,6,12,2,1,0,0,0,0,0,0
Athletico Paranaense,,Vitória,Away,Brazilian Serie A,2017,4231,4231,3,0,0,0,0,9,7,77.7778,0.0000,2,0,0,0,0,20,0,0,38,27.6363636,0,328,6,0,1,10,0,0,0,0,11,12,3,0,3,0,0,0,0,0
Athletico Paranaense,,Flamengo,Home,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,13,6,46.1538,0.0000,1,0,0,0,0,14,0,0,43,40.5063291,0,430,9,0,0,12,0,0,0,0,9,10,1,0,1,0,0,0,0,0
Athletico Paranaense,,Sport,Home,Brazilian Serie A,2017,4231,4231,2,0,0,0,0,17,8,47.0588,0.0000,1,0,0,0,0,9,0,0,56,60.6557377,0,488,6,0,1,21,0,0,0,0,12,15,0,0,3,0,0,0,0,0
Athletico Paranaense,,Chapecoense,Home,Brazilian Serie A,2017,4231,442,0,0,0,0,0,15,4,26.6667,0.0000,0,0,0,0,0,6,0,0,62,71.0843373,0,630,2,0,1,29,0,0,0,0,18,6,1,0,1,0,0,0,0,0
Athletico Paranaense,,Cruzeiro,Away,Brazilian Serie A,2017,4231,4231,0,0,0,0,0,9,2,22.2222,0.0000,1,0,0,0,0,16,0,0,52,53.0701754,0,536,4,0,1,20,0,0,0,0,8,13,2,0,0,0,0,0,0,0
Athletico Paranaense,,Corinthians,Home,Brazilian Serie A,2017,4231,4231,0,0,0,0,0,16,1,6.2500,0.0000,1,0,0,0,0,7,0,0,62,63.2034632,0,549,8,0,1,32,0,0,0,0,10,11,2,0,0,0,0,0,0,0
Athletico Paranaense,,Botafogo,Away,Brazilian Serie A,2017,4231,4411,1,0,0,0,0,6,3,50.0000,0.0000,0,0,0,0,0,14,0,0,43,50.9090909,0,488,9,0,0,8,0,0,0,0,9,14,1,0,3,0,0,0,0,0
Athletico Paranaense,,Ponte Preta,Away,Brazilian Serie A,2017,4231,4141,1,0,0,0,0,5,2,40.0000,0.0000,2,0,0,0,0,8,0,0,60,50,0,507,10,0,0,19,0,0,0,0,12,10,3,0,0,0,0,0,0,0
Athletico Paranaense,,Atlético Goianiense,Home,Brazilian Serie A,2017,4231,4231,2,0,0,0,0,16,6,37.5000,0.0000,2,0,0,0,0,9,0,0,62,62.0553359,0,605,1,0,2,25,0,0,0,0,15,15,3,0,1,0,0,0,0,0
Athletico Paranaense,,Avaí,Away,Brazilian Serie A,2017,4231,4240,0,0,0,0,0,14,2,14.2857,0.0000,1,0,0,0,0,13,0,0,63,58.3333333,0,459,7,0,0,27,0,0,0,0,18,15,1,0,0,0,0,0,0,0
Athletico Paranaense,,Palmeiras,Home,Brazilian Serie A,2017,4231,433,3,0,0,0,0,10,6,60.0000,0.0000,0,0,0,0,0,17,0,0,35,26.7716535,0,332,9,0,1,11,0,0,0,0,14,16,3,0,3,0,0,0,0,0
Athletico Paranaense,,Coritiba,Away,Brazilian Serie A,2017,4231,433,0,0,0,0,0,9,2,22.2222,0.0000,1,0,0,0,0,11,0,0,51,42.5101214,0,392,11,0,0,22,0,0,0,0,12,11,2,0,0,0,0,0,0,0
Athletico Paranaense,,Fluminense,Away,Brazilian Serie A,2017,4141,4231,1,0,0,0,0,7,1,14.2857,0.0000,1,0,0,0,0,15,0,0,46,38.172043,0,346,6,0,0,15,0,0,0,0,19,16,3,0,1,0,0,0,0,0
Athletico Paranaense,,Santos,Home,Brazilian Serie A,2017,4141,4231,0,0,0,0,0,16,2,12.5000,0.0000,2,0,0,0,0,10,0,0,56,69.2640692,0,495,7,0,0,30,0,0,0,0,11,15,1,0,0,0,0,0,0,0
Athletico Paranaense,,Atlético Mineiro,Away,Brazilian Serie A,2017,4141,4231,1,0,0,0,0,6,2,33.3333,0.0000,0,0,0,0,0,24,0,0,31,22.2222222,0,243,6,0,0,11,0,0,0,0,10,10,4,1,3,0,0,0,0,0
Athletico Paranaense,,Atlético Goianiense,Away,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,9,3,33.3333,0.0000,0,0,0,0,0,24,0,0,34,31.6964285,0,332,4,0,0,4,0,0,0,0,15,15,5,0,3,0,0,0,0,0
Athletico Paranaense,,São Paulo,Home,Brazilian Serie A,2017,4141,343,1,0,0,0,0,12,7,58.3333,0.0000,0,0,0,0,0,28,0,0,34,26.4227642,0,299,4,0,1,9,0,0,0,0,14,17,3,0,3,0,0,0,0,0
Athletico Paranaense,,Palmeiras,Away,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,7,5,71.4286,0.0000,0,0,0,0,0,19,0,0,34,33.6683417,0,338,4,0,0,9,0,0,0,0,9,22,3,0,3,0,0,0,0,0
Athletico Paranaense,,Vitória,Home,Brazilian Serie A,2017,4141,4231,4,0,0,0,0,15,11,73.3333,0.0000,1,0,0,0,0,12,0,0,48,52.9953917,0,473,7,0,0,23,0,0,0,0,11,10,0,0,3,0,0,0,0,0
Athletico Paranaense,,Sport,Away,Brazilian Serie A,2017,451,4231,0,0,0,0,0,2,1,50.0000,0.0000,1,0,0,0,0,19,0,0,43,35.6783919,0,353,4,0,0,13,0,0,0,0,12,18,3,0,0,0,0,0,0,0
Athletico Paranaense,,Chapecoense,Away,Brazilian Serie A,2017,4141,4141,1,0,0,0,0,4,3,75.0000,0.0000,1,0,0,0,0,26,0,0,56,35.3773584,0,504,8,0,0,11,0,0,0,0,18,13,3,0,1,0,0,0,0,0
Athletico Paranaense,,Cruzeiro,Home,Brazilian Serie A,2017,4231,4231,0,0,0,0,0,14,6,42.8571,0.0000,2,0,0,0,0,15,0,0,62,65.5601659,0,621,4,0,0,44,0,0,0,0,8,16,3,0,0,0,0,0,0,0
Athletico Paranaense,,Corinthians,Away,Brazilian Serie A,2017,4231,4231,2,0,0,0,0,11,4,36.3636,0.0000,2,0,0,0,0,19,0,0,37,39.5522388,0,372,16,0,0,9,0,0,0,0,4,11,0,0,1,0,0,0,0,0
Athletico Paranaense,,Botafogo,Home,Brazilian Serie A,2017,4141,4231,0,0,0,0,0,13,3,23.0769,0.0000,0,0,0,0,0,9,0,0,60,67.5324675,0,531,7,0,0,23,0,0,0,0,21,16,3,0,1,0,0,0,0,0
Athletico Paranaense,,Ponte Preta,Home,Brazilian Serie A,2017,4231,4231,0,0,0,0,0,20,8,40.0000,0.0000,2,0,0,0,0,4,0,0,71,65.8008658,0,614,5,0,0,34,0,0,0,0,15,25,2,0,0,0,0,0,0,0
Athletico Paranaense,,Vasco da Gama,Away,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,7,3,42.8571,0.0000,0,0,0,0,0,18,0,0,44,39.4067796,0,365,7,0,0,14,0,0,0,0,13,20,3,0,3,0,0,0,0,0
