Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Santos,1,Bahia,Away,Brazilian Serie A,2021,433,433,0,0.326913686,0.1834818,0,0.082651079,12,4,33.3333,0.0000,3,1.466088366,1.0651627,0,0.40092564,5,3,32.55,66,71.2062256,0.3179216,563,8,21,0,37,2,9.56,0.0149,0.0061,18,9,3,0,0,0.3506,2.4458,0.2452039,-0.0727177,0.3179216
Santos,2,Ceará,Home,Brazilian Serie A,2021,4231,442,3,1.784536655,0.8325674,0.036135476,0.170220137,15,5,33.3333,0.0000,1,0.933734111,0.0956604,0,0.03610171,6,3,34.86,57,53.3039647,0.3322249,548,7,20,0,18,1,13.0435,0.0244,0.0114,17,18,3,0,3,2.148,0.57,0.4090596,0.0768347,0.3322249
Santos,3,Juventude,Home,Brazilian Serie A,2021,433,442,0,0.990524494,0.7344211,0,0.209165182,18,2,11.1111,0.0000,0,0.048483854,0.0274391,0,0.021044766,0,0,58.8,75,81.9512195,0.2162719,703,14,14,0,38,4,5.8108,0.0435,0.0292,17,14,2,0,1,2.2754,0.389,0.7337294,0.5174575,0.2162719
Santos,4,Fluminense,Away,Brazilian Serie A,2021,4231,433,0,0.857176678,0.668671,0,0.118790459,18,8,44.4444,0.0000,1,1.954387343,1.8637375,0,0.090649936,9,5,33.705,71,69.7368421,0.3610635,616,11,17,2,17,2,10.0526,0.0234,0.0172,13,9,3,0,0,0.4696,2.3278,0.6775056,0.3164421,0.3610635
Santos,5,São Paulo,Home,Brazilian Serie A,2021,4231,3142,2,2.066868188,1.6314535,0,0.244319141,11,5,45.4545,0.0000,0,0.240479153,0.096954,0,0.086534293,8,1,24.255,39,41.7085427,0.4038401,271,7,11,0,9,0,9.3125,0.0356,0.0299,20,22,2,0,3,2.7546,0.1458,0.6425462,0.2387061,0.4038401
Santos,6,Grêmio,Away,Brazilian Serie A,2021,4231,4231,2,0.675385304,0.6555175,0,0,6,3,50.0000,0.0000,2,1.751830045,1.582436,0,0.169393975,19,6,34.335,53,45.412844,0.608375,483,10,14,1,8,2,9.1563,0.0455,0.0346,20,14,3,0,1,0.491,2.2772,0.8008148,0.1924398,0.608375
Santos,7,Atlético Mineiro,Home,Brazilian Serie A,2021,433,4141,2,1.093867435,1.0506405,0.781865478,0,11,6,54.5455,0.0000,0,0.349815262,0.1944079,0,0.078524712,11,3,31.71,50,58.490566,0.5951631,406,12,14,0,19,1,10.4706,0.0394,0.0172,15,20,4,0,3,2.203,0.5104,0.8161132,0.2209501,0.5951631
Santos,8,Sport,Home,Brazilian Serie A,2021,433,4231,0,0.517687101,0.4514181,0,0.066269053,13,1,7.6923,0.0000,0,0.311888467,0.1577037,0.113057472,0.10995444,8,2,38.3775,68,71.0247349,0.5871209,592,8,26,1,36,1,8.5926,0.0939,0.0764,18,11,1,0,1,1.4868,1.008,0.99723,0.4101091,0.5871209
Santos,9,América Mineiro,Away,Brazilian Serie A,2021,4231,4222,0,1.051006029,0.8675486,0,0.127892693,21,8,38.0952,0.0000,2,0.618974665,0.6189746,0.408075258,0,8,4,41.58,72,80.3636363,0.9439184,636,9,32,3,33,2,10.45,0.0509,0.0446,13,6,3,0,0,1.703,0.9554,1.5400104,0.596092,0.9439184
Santos,10,Athletico Paranaense,Home,Brazilian Serie A,2021,4141,3421,2,1.9804333,1.8962127,0.039974615,0.0842207,18,9,50.0000,0.0000,1,1.30986043,1.1747622,0.058944698,0.1350981,11,2,40.845,54,64.4268774,0.3614607,503,7,21,1,25,4,10.9688,0.0523,0.045,13,17,2,0,3,1.877,0.8726,0.7739076,0.4124469,0.3614607
