Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
São Paulo,,Botafogo,Home,Brazilian Serie A,2017,451,4231,0,0,0,0,0,9,2,22.2222,0.0000,0,0,0,0,0,11,0,0,63,58.5774058,0,588,12,0,2,18,0,0,0,0,14,13,2,0,1,0,0,0,0,0
São Paulo,,Athletico Paranaense,Home,Brazilian Serie A,2017,4141,442,2,0,0,0,0,23,8,34.7826,0.0000,1,0,0,0,0,7,0,0,56,63.0350194,0,583,11,0,2,29,0,0,0,0,12,6,1,0,3,0,0,0,0,0
São Paulo,,Fluminense,Away,Brazilian Serie A,2017,4141,4231,1,0,0,0,0,10,2,20.0000,0.0000,3,0,0,0,0,12,0,0,64,61.4173228,0,596,13,0,0,14,0,0,0,0,23,12,0,0,0,0,0,0,0,0
São Paulo,,Palmeiras,Home,Brazilian Serie A,2017,343,4321,2,0,0,0,0,8,5,62.5000,0.0000,0,0,0,0,0,10,0,0,37,37.3134328,0,323,9,0,1,19,0,0,0,0,15,13,3,0,3,0,0,0,0,0
São Paulo,,Flamengo,Home,Brazilian Serie A,2017,4141,442,2,0,0,0,0,5,3,60.0000,0.0000,0,0,0,0,0,10,0,0,40,34.5381526,0,374,4,0,1,9,0,0,0,0,12,14,1,0,3,0,0,0,0,0
São Paulo,,Santos,Home,Brazilian Serie A,2017,4141,4231,2,0,0,0,0,15,5,33.3333,0.0000,1,0,0,0,0,7,0,0,46,55.5555555,0,384,8,0,2,24,0,0,0,0,29,12,1,0,3,0,0,0,0,0
São Paulo,,Atlético Goianiense,Away,Brazilian Serie A,2017,4141,4231,1,0,0,0,0,12,2,16.6667,0.0000,0,0,0,0,0,6,0,0,60,44.4444444,0,637,5,0,4,8,0,0,0,0,16,9,0,0,3,0,0,0,0,0
São Paulo,,Chapecoense,Home,Brazilian Serie A,2017,4141,4411,2,0,0,0,0,17,5,29.4118,0.0000,2,0,0,0,0,6,0,0,68,64.1791044,0,604,9,0,1,41,0,0,0,0,12,8,1,0,1,0,0,0,0,0
São Paulo,,Vasco da Gama,Away,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,7,1,14.2857,0.0000,1,0,0,0,0,25,0,0,49,38.8888888,0,386,9,0,0,11,0,0,0,0,15,15,2,1,1,0,0,0,0,0
São Paulo,,Grêmio,Away,Brazilian Serie A,2017,4141,4231,0,0,0,0,0,9,4,44.4444,0.0000,1,0,0,0,0,13,0,0,61,59.0504451,0,679,7,0,0,17,0,0,0,0,16,12,3,0,0,0,0,0,0,0
São Paulo,,Atlético Mineiro,Away,Brazilian Serie A,2017,4141,4231,0,0,0,0,0,9,2,22.2222,0.0000,1,0,0,0,0,25,0,0,53,35.5633802,0,448,11,0,1,25,0,0,0,0,16,12,3,0,0,0,0,0,0,0
São Paulo,,Coritiba,Away,Brazilian Serie A,2017,433,4231,2,0,0,0,0,9,3,33.3333,0.0000,1,0,0,0,0,12,0,0,62,59.1397849,0,485,5,0,0,15,0,0,0,0,15,12,1,0,3,0,0,0,0,0
São Paulo,,Bahia,Home,Brazilian Serie A,2017,4231,4231,1,0,0,0,0,13,3,23.0769,0.0000,1,0,0,0,0,10,0,0,60,61.5384615,0,450,8,0,0,22,0,0,0,0,28,20,4,1,1,0,0,0,0,0
São Paulo,,Ponte Preta,Away,Brazilian Serie A,2017,3421,4231,0,0,0,0,0,11,3,27.2727,0.0000,1,0,0,0,0,10,0,0,55,57.0754716,0,436,7,0,3,26,0,0,0,0,11,12,5,0,0,0,0,0,0,0
São Paulo,,Vitória,Home,Brazilian Serie A,2017,3421,4231,2,0,0,0,0,18,9,50.0000,0.0000,0,0,0,0,0,11,0,0,51,50.4854368,0,370,6,0,0,30,0,0,0,0,16,14,1,0,3,0,0,0,0,0
São Paulo,,Corinthians,Away,Brazilian Serie A,2017,3142,4231,2,0,0,0,0,13,4,30.7692,0.0000,3,0,0,0,0,11,0,0,45,50.2202643,0,386,10,0,0,26,0,0,0,0,11,15,1,0,0,0,0,0,0,0
São Paulo,,Sport,Away,Brazilian Serie A,2017,3421,433,0,0,0,0,0,7,1,14.2857,0.0000,0,0,0,0,0,7,0,0,43,38.8625592,0,355,8,0,0,14,0,0,0,0,19,14,1,0,1,0,0,0,0,0
São Paulo,,Atlético Mineiro,Home,Brazilian Serie A,2017,343,442,1,0,0,0,0,12,2,16.6667,0.0000,2,0,0,0,0,8,0,0,60,51.3368983,0,445,10,0,1,31,0,0,0,0,21,12,2,0,0,0,0,0,0,0
São Paulo,,Athletico Paranaense,Away,Brazilian Serie A,2017,343,4141,0,0,0,0,0,28,5,17.8571,0.0000,1,0,0,0,0,12,0,0,66,73.5772357,0,553,13,0,0,43,0,0,0,0,17,15,3,0,0,0,0,0,0,0
São Paulo,,Bahia,Away,Brazilian Serie A,2017,4141,4231,1,0,0,0,0,11,4,36.3636,0.0000,2,0,0,0,0,11,0,0,67,74.7292418,0,567,7,0,0,23,0,0,0,0,20,12,2,0,0,0,0,0,0,0
