Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Vasco da Gama,,São Paulo,Home,Brazilian Serie A,2018,4231,4231,2,0,0,0,0,8,2,25.0000,0.0000,0,0,0,0,0,10,0,0,35,35.6807511,0,246,5,0,1,12,0,0,0,0,18,19,2,0,3,0,0,0,0,0
Vasco da Gama,,Botafogo,Away,Brazilian Serie A,2018,4231,433,1,0,0,0,0,10,4,40.0000,0.0000,1,0,0,0,0,18,0,0,49,50,0,428,3,0,0,24,0,0,0,0,13,13,2,0,1,0,0,0,0,0
Vasco da Gama,,Cruzeiro,Home,Brazilian Serie A,2018,4321,442,2,0,0,0,0,18,6,33.3333,0.0000,0,0,0,0,0,14,0,0,56,53.1645569,0,511,3,0,1,26,0,0,0,0,16,14,6,0,3,0,0,0,0,0
Vasco da Gama,,Santos,Away,Brazilian Serie A,2018,4321,433,1,0,0,0,0,14,3,21.4286,0.0000,1,0,0,0,0,13,0,0,47,43.852459,0,397,8,0,1,17,0,0,0,0,10,17,2,1,1,0,0,0,0,0
Vasco da Gama,,Sport,Away,Brazilian Serie A,2018,4321,4231,1,0,0,0,0,12,3,25.0000,0.0000,2,0,0,0,0,15,0,0,52,41.3953488,0,468,5,0,0,15,0,0,0,0,14,18,3,0,0,0,0,0,0,0
Vasco da Gama,,Internacional,Home,Brazilian Serie A,2018,4231,4231,1,0,0,0,0,16,7,43.7500,0.0000,1,0,0,0,0,10,0,0,49,48.076923,0,372,11,0,0,17,0,0,0,0,19,17,3,0,1,0,0,0,0,0
Vasco da Gama,,Fluminense,Away,Brazilian Serie A,2018,4231,3412,1,0,0,0,0,10,4,40.0000,0.0000,0,0,0,0,0,23,0,0,34,28.7037037,0,273,5,0,0,14,0,0,0,0,13,12,3,0,3,0,0,0,0,0
Vasco da Gama,,Grêmio,Away,Brazilian Serie A,2018,4231,4231,1,0,0,0,0,6,2,33.3333,0.0000,2,0,0,0,0,19,0,0,29,28.8461538,0,256,8,0,0,10,0,0,0,0,10,17,4,0,0,0,0,0,0,0
Vasco da Gama,,Athletico Paranaense,Home,Brazilian Serie A,2018,4231,4231,1,0,0,0,0,15,8,53.3333,0.0000,1,0,0,0,0,17,0,0,46,39.1304347,0,396,7,0,1,22,0,0,0,0,9,13,1,0,1,0,0,0,0,0
Vasco da Gama,,Corinthians,Away,Brazilian Serie A,2018,4231,4231,0,0,0,0,0,16,3,18.7500,0.0000,1,0,0,0,0,12,0,0,57,54.2372881,0,442,3,0,0,21,0,0,0,0,20,14,2,0,0,0,0,0,0,0
