Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Arsenal,1,Fulham,Away,Premier League,2020,343,4231,3,2.598553017,1.9321351,0,0.499337975,13,6,46.1538,0.0000,0,0.133219911,0.1114572,0,0.021762613,5,2,31.08,54,51.6806722,0.3705731,626,6,26,2,16,0,20.4211,0.0867,0.08,12,12,2,0,3,2.8654,0.0748,0.6424963,0.2719232,0.3705731
Arsenal,2,West Ham United,Home,Premier League,2020,343,541,2,1.174562272,1.1745623,0,0,7,3,42.8571,0.0000,1,1.882568215,1.8022472,0.105374564,0.055213228,14,3,27.3,63,61.6666666,0.7475911,669,8,29,3,17,1,13.7727,0.0268,0.022,12,11,0,0,3,0.8236,1.9252,1.0493722,0.3017811,0.7475911
Arsenal,3,Liverpool,Away,Premier League,2020,343,433,1,1.2696513,1.2696513,0,0,4,3,75.0000,0.0000,3,2.72361163,2.5911914,0.047419619,0.1324201,21,8,14.28,34,22.5663716,0.1675502,395,5,11,4,8,0,32.3333,0.0105,0.0087,11,7,2,0,0,0.496,2.329,0.343833,0.1762828,0.1675502
Arsenal,4,Sheffield United,Home,Premier League,2020,433,352,2,0.527601292,0.5276013,0,0,6,5,83.3333,0.0000,1,0.146903471,0.1296859,0,0.017217634,6,2,32.34,64,54.8148148,0.5775256,699,12,14,1,18,5,12.6667,0.3031,0.2835,8,3,0,0,3,1.698,0.7776,0.9337514,0.3562258,0.5775256
Arsenal,5,Manchester City,Away,Premier League,2020,433,3142,0,0.769820983,0.467868,0,0.163736808,11,3,27.2727,0.0000,1,1.474728899,1.4072284,0,0.067500455,13,5,26.46,42,29.0076335,0.2314941,462,9,14,2,13,2,17.7826,0.0033,0.0012,15,10,1,0,0,0.8248,1.8862,0.3448163,0.1133222,0.2314941
Arsenal,6,Leicester City,Home,Premier League,2020,343,3421,0,0.971636817,0.4301495,0,0.48590962,12,4,33.3333,0.0000,1,0.642737849,0.6173973,0,0,6,2,42.4725,56,58.2644628,0.3374026,575,2,22,0,20,2,10.9063,0.0209,0.0091,9,13,3,0,0,1.6014,1.056,0.5872195,0.2498169,0.3374026
Arsenal,7,Manchester United,Away,Premier League,2020,343,41212,1,1.024617598,0.2318506,0,0.011017878,7,2,28.5714,0.0000,0,0.299370617,0.1908636,0,0.108506989,8,2,21.63,47,46.8879668,0.279708,501,6,15,0,16,3,13.9667,0.1387,0.0946,11,12,3,0,3,2.2308,0.4806,0.4866517,0.2069437,0.279708
Arsenal,8,Aston Villa,Home,Premier League,2020,343,4231,0,1.36963092,1.1405223,0,0.229108632,13,2,15.3846,0.0000,3,2.258361904,2.0291182,0.455075495,0.229243688,16,6,27.2475,59,50,0.2057948,538,8,26,0,25,3,12.5789,0.017,0.0127,13,11,0,0,0,0.7724,2.0012,0.3558061,0.1500113,0.2057948
Arsenal,9,Leeds United,Away,Premier League,2020,4231,4141,0,0.868641585,0.7273498,0.463658959,0.076059416,9,2,22.2222,0.0000,0,1.783256099,1.6634946,0,0.119761541,25,4,14.595,34,22.007722,0.3059086,310,14,14,1,13,1,18.2381,0.0477,0.0101,9,8,0,1,1,0.715,2.0464,0.4847326,0.178824,0.3059086
Arsenal,10,Wolverhampton Wanderers,Home,Premier League,2020,4231,4231,1,1.380005859,1.1527097,0,0.15146688,13,2,15.3846,0.0000,2,2.491520572,2.4155404,0,0.075980067,11,5,42.315,56,67.8832116,1.1298719,494,2,37,2,35,4,8.7778,0.0184,0.0042,12,13,3,0,0,0.8096,1.9364,1.5947179,0.464846,1.1298719
Arsenal,11,Tottenham Hotspur,Away,Premier League,2020,4231,4231,0,0.53948064,0.4453259,0,0.028917156,11,2,18.1818,0.0000,2,0.258329287,0.2058987,0.118552826,0,5,3,63.84,70,85.9437751,0.3395827,632,11,36,0,44,1,7.3429,0.0924,0.0561,15,12,2,0,0,1.5458,0.9446,0.5716488,0.2320661,0.3395827
Arsenal,12,Burnley,Home,Premier League,2020,4231,4411,0,1.7274436,1.3221658,0,0.4052779,18,6,33.3333,0.0000,1,1.15311138,0.785193,0,0.3679184,11,2,31.71,65,65.3429602,0.6476299,557,4,39,0,38,0,12,0.0345,0.0272,10,5,2,1,0,1.73,0.9872,0.9309673,0.2833374,0.6476299
Arsenal,13,Southampton,Home,Premier League,2020,343,442,1,0.601803,0.5633665,0,0.0384365,9,4,44.4444,0.0000,1,1.14234422,1.0910446,0,0.0512998,13,3,19.11,35,34.7014925,0.4756567,340,8,15,0,11,0,19.4545,0.0375,0.0177,13,13,1,1,1,0.8164,1.8694,0.6368085,0.1611518,0.4756567
Arsenal,14,Everton,Away,Premier League,2020,343,4231,1,1.479389641,0.634364,0,0.02685404,13,2,15.3846,92.3077,2,0.568693717,0.3168375,0,0.164071022,10,2,30.6075,58,64.1509433,0.56685,551,9,39,0,19,4,14.95,0.0227,0.0173,9,9,3,0,0,2.2136,0.5396,0.9228146,0.3559646,0.56685
Arsenal,15,Chelsea,Home,Premier League,2020,4231,433,3,2.134739292,1.2075153,0,0.109053891,15,7,46.6667,0.0000,1,2.494745205,1.396557,0.077478267,0.23799671,19,3,21.9975,39,41.6988416,0.2805306,328,7,24,0,16,3,16.1364,0.0355,0.0278,10,13,2,0,3,1.1144,1.6328,0.2029982,-0.0775324,0.2805306
Arsenal,16,Brighton and Hove Albion,Away,Premier League,2020,4231,352,1,1.021231906,0.8938227,0,0.10563766,11,3,27.2727,0.0000,0,0.691262836,0.3563752,0,0.334887721,13,2,27.615,50,41.5929203,0.3768134,511,5,16,1,13,4,17.7619,0.0689,0.0571,11,4,0,0,3,1.6828,0.9778,0.6794437,0.3026303,0.3768134
Arsenal,17,West Bromwich Albion,Away,Premier League,2020,4231,4411,4,3.6882539,3.6063544,0.09046682,0.0818994,21,12,57.1429,0.0000,0,0.83308629,0.7769823,0.275545299,0.0561039,7,3,31.92,62,53.7162162,0.5647824,623,12,35,1,21,3,12.9474,0.0107,0.0083,7,4,2,0,3,2.87,0.0854,0.9050684,0.340286,0.5647824
Arsenal,18,Crystal Palace,Home,Premier League,2020,4231,442,0,0.388901561,0.1693542,0,0.219547367,11,4,36.3636,0.0000,0,0.547934121,0.3027043,0.079319932,0.201920547,12,2,39.9,67,69.8675496,0.402755,692,18,24,0,25,3,7.1351,0.0553,0.04,11,11,1,0,1,1.1098,1.4062,0.8481238,0.4453688,0.402755
Arsenal,19,Newcastle United,Home,Premier League,2020,4231,442,3,2.093063448,1.8285324,0.103118904,0.175058995,20,6,30.0000,0.0000,0,0.179126561,0.1561304,0,0.022996116,4,1,41.37,66,69.7318007,0.8447763,634,9,35,0,26,4,10.9583,0.0481,0.0313,8,9,0,0,3,2.7112,0.1702,1.3030588,0.4582825,0.8447763
Arsenal,20,Southampton,Away,Premier League,2020,4231,442,3,2.095416952,2.048428,0.137323163,0.046988931,9,5,55.5556,0.0000,1,0.775809046,0.4099574,0,0.292206358,13,5,32.34,42,56.3636363,0.8379814,353,12,22,3,16,5,14.963,0.0296,0.0207,11,6,2,0,3,2.3946,0.4236,1.0433739,0.2053925,0.8379814
Arsenal,21,Manchester United,Home,Premier League,2020,4231,4231,0,0.740474472,0.5342171,0.09133051,0.08114671,17,3,17.6471,0.0000,0,1.637440836,1.4290682,0,0.12049575,14,3,25.305,43,44.6494464,0.2410755,436,6,17,1,12,4,13.963,0.0254,0.024,16,9,1,0,1,0.6586,2.1016,0.3633266,0.1222511,0.2410755
Arsenal,22,Wolverhampton Wanderers,Away,Premier League,2020,4231,4231,1,0.816122425,0.7931189,0,0.023003489,9,3,33.3333,0.0000,2,1.481806525,0.5346734,0,0.165384052,11,7,17.745,45,42.6086956,0.4636481,488,8,23,1,12,2,15.6154,0.1008,0.0736,10,8,2,2,0,0.741,1.9728,0.8027861,0.339138,0.4636481
Arsenal,23,Aston Villa,Away,Premier League,2020,4231,4231,0,0.679207599,0.5258735,0,0.129495602,14,3,21.4286,0.0000,1,1.529234944,1.4742655,0.047428798,0.054969434,12,8,31.71,66,63.6942675,0.5787273,597,5,44,0,40,2,8.96,0.0234,0.0169,11,12,2,0,0,0.673,2.0728,1.1259561,0.5472288,0.5787273
Arsenal,24,Leeds United,Home,Premier League,2020,4231,4141,4,2.421164881,1.6394159,0,0,13,5,38.4615,0.0000,2,0.729189533,0.6237481,0,0.105441496,9,5,40.1625,46,43.5779816,0.4542223,423,7,35,0,9,3,13.5862,0.0486,0.0389,15,8,0,0,3,2.6098,0.2608,0.7628786,0.3086563,0.4542223
Arsenal,25,Manchester City,Home,Premier League,2020,4231,433,0,0.3170586,0.3170586,0,0,7,1,14.2857,0.0000,1,2.09412683,2.0295288,0.1074901,0.0645979,15,3,24.2025,45,34.5195729,0.3393793,479,10,19,1,14,2,19.0526,0.0143,0.0074,8,11,2,0,0,0.2252,2.6342,0.5579475,0.2185682,0.3393793
Arsenal,26,Leicester City,Away,Premier League,2020,4231,442,3,2.156748567,1.2043559,0,0.170643657,12,4,33.3333,0.0000,1,0.717235766,0.47006,0,0.247175775,8,3,25.2,56,63.5555555,0.5273369,507,9,21,0,23,2,22.1333,0.0487,0.0407,14,3,1,0,3,2.5118,0.3182,0.81813,0.2907931,0.5273369
Arsenal,27,Burnley,Away,Premier League,2020,4231,442,1,2.3167189,2.3167189,0,0,15,3,20.0000,0.0000,1,1.11088913,1.0667052,0,0.044184,9,5,29.925,59,51.9867549,0.4883093,595,3,37,0,16,5,13.8182,0.0242,0.0174,4,12,1,0,1,2.2124,0.5828,1.0575838,0.5692745,0.4883093
Arsenal,28,Tottenham Hotspur,Home,Premier League,2020,4231,4231,2,1.742385754,0.9606367,0,0,13,3,23.0769,0.0000,1,0.2848102,0.1004185,0,0.098081946,6,3,42,53,70.4918032,0.5323818,519,9,25,0,26,2,12.2059,0.0503,0.0362,13,12,1,0,3,2.628,0.2316,0.8313174,0.2989356,0.5323818
Arsenal,29,West Ham United,Away,Premier League,2020,4231,4231,3,1.4873197,1.4376513,0,0.0496684,16,7,43.7500,0.0000,3,2.32993157,2.0837431,0.025783295,0.2461886,0,5,26.355,63,62.9411764,0.5482964,606,9,27,2,27,0,12.1905,0.0301,0.0249,15,8,1,0,1,0.808,1.9774,1.0989203,0.5506239,0.5482964
Arsenal,30,Liverpool,Home,Premier League,2020,4231,433,0,0.0961614,0.083324,0,0.0128374,3,2,66.6667,0.0000,3,2.76486704,2.4544408,0,0.3104261,16,7,30.345,36,35.3191489,0.0377174,395,6,7,0,7,2,19.5185,0.0153,0.0066,10,10,1,0,0,0.0548,2.9012,0.1382335,0.1005161,0.0377174
Arsenal,31,Sheffield United,Away,Premier League,2020,4231,352,3,2.008988986,1.9231912,0.072787263,0.058240548,14,5,35.7143,0.0000,0,0.483728327,0.4691904,0,0.014537985,7,2,37.275,55,56.3106796,0.7184007,577,8,29,3,9,1,20.2105,0.0183,0.0145,9,6,1,0,3,2.5036,0.3358,1.0266993,0.3082986,0.7184007
Arsenal,32,Fulham,Home,Premier League,2020,4231,442,1,2.76330394,1.718685,0,0.965533286,18,5,27.7778,0.0000,1,0.884163122,0.1024141,0,0,3,1,41.16,70,76.0299625,0.5681462,633,11,38,2,30,3,9.0741,0.0332,0.0085,11,9,0,0,1,2.5836,0.2676,1.0518635,0.4837173,0.5681462
Arsenal,33,Everton,Home,Premier League,2020,4231,4231,0,0.726406257,0.5847397,0,0.141666599,14,3,21.4286,0.0000,1,0.422711029,0.2996612,0,0.071671975,9,1,35.8575,59,78,0.6080756,627,6,30,0,27,4,13.8571,0.0562,0.0445,10,13,1,0,0,1.5902,0.992,1.0935358,0.4854602,0.6080756
Arsenal,34,Newcastle United,Away,Premier League,2020,4231,532,2,1.713586216,1.3392954,0.096799307,0.298778711,19,5,26.3158,0.0000,0,0.220769798,0.1284228,0,0.092346968,5,1,36.225,61,76.433121,0.4961118,641,8,24,1,17,2,14,0.062,0.0234,10,9,1,0,3,2.5746,0.2556,0.617707,0.1215952,0.4961118
Arsenal,35,West Bromwich Albion,Home,Premier League,2020,4231,4411,3,1.038513263,0.7394617,0,0.206093967,15,7,46.6667,0.0000,1,1.613844254,1.5535551,0.109207746,0.060289081,12,1,20.685,66,57.9166666,0.1780145,576,7,24,0,16,2,14.8,0.0556,0.0529,8,7,1,0,3,0.8714,1.853,0.6927488,0.5147343,0.1780145
Arsenal,36,Chelsea,Away,Premier League,2020,3421,3421,1,0.6081021,0.590114,0,0.0179881,5,2,40.0000,0.0000,0,1.36434555,1.1130224,0.088236682,0.2513231,19,5,13.5975,32,22.6415094,0.2810984,369,4,8,0,9,2,18.7826,0.0155,0.012,5,6,1,0,3,0.6996,2.0028,0.4169608,0.1358624,0.2810984
Arsenal,37,Crystal Palace,Away,Premier League,2020,4231,433,3,1.8238704,1.8238704,0,0,6,3,50.0000,0.0000,1,1.02586832,0.5432279,0,0.4826403,12,6,21.42,69,70.6319702,0.4056145,603,7,17,1,26,4,11.5556,0.0283,0.023,6,7,1,0,3,2.0652,0.6918,0.4084055,0.002791,0.4056145
Arsenal,38,Brighton and Hove Albion,Home,Premier League,2020,4231,433,2,0.731954475,0.5449769,0.083254099,0.083869975,16,5,31.2500,0.0000,0,0.187238684,0.1872387,0,0,5,1,39.5325,54,62.3693379,0.5643996,565,6,40,2,21,4,16.7826,0.0218,0.0107,8,10,0,0,3,1.8274,0.7216,1.0226768,0.4582772,0.5643996
