Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Aston Villa,1,Watford,Away,Premier League,2021,4231,4141,2,1.170201904,0.3122609,0,0.034346357,11,2,18.1818,0.0000,3,1.18633412,0.8311185,0.424934879,0.355215667,13,7,47.5125,62,61.5763546,0.4920776,508,14,22,2,26,2,8.4848,0.0452,0.0233,18,13,1,0,0,1.3748,1.2986,0.744858,0.2527804,0.4920776
Aston Villa,2,Newcastle United,Home,Premier League,2021,433,532,2,1.15940148,0.1250137,0,0.2526388,10,2,20.0000,0.0000,0,0.817628858,0.5233474,0,0.29428149,9,1,24.36,47,55.1912568,0.3259494,303,2,19,1,16,2,17.6875,0.0308,0.03,16,8,3,0,3,1.7212,0.9352,0.396706,0.0707566,0.3259494
Aston Villa,3,Brentford,Home,Premier League,2021,4141,3412,1,0.870341,0.3986606,0,0.4716804,7,5,71.4286,0.0000,1,1.09736956,0.657251,0,0.4401184,9,2,32.97,46,52.2167487,0.2426556,364,10,19,3,21,2,13.2759,0.1142,0.0643,13,15,3,0,1,1.1206,1.5532,0.3155901,0.0729345,0.2426556
Aston Villa,4,Chelsea,Away,Premier League,2021,532,3421,0,1.043142798,0.7605503,0,0.282592543,18,6,33.3333,0.0000,3,1.137211902,1.1220011,0,0.015210858,12,4,41.58,43,58.0188679,0.49797,344,19,33,1,30,4,11.2222,0.0258,0.0143,11,11,4,0,0,1.251,1.4328,0.6974156,0.1994456,0.49797
Aston Villa,5,Everton,Home,Premier League,2021,532,4411,3,0.811049685,0.4988008,0,0.255105427,15,3,20.0000,0.0000,0,0.695696766,0.4159675,0,0.257478496,11,1,33.81,56,59.4202898,0.5331817,384,13,26,1,24,3,10.5833,0.1467,0.0459,10,7,1,0,3,1.3974,1.2336,0.7394825,0.2063008,0.5331817
Aston Villa,6,Manchester United,Away,Premier League,2021,352,4231,1,1.313928846,0.7434238,0,0.544907145,7,3,42.8571,0.0000,0,2.19181332,0.9527972,0.136727609,0.390101946,28,4,28.245,40,44.2396313,0.6578522,271,6,16,3,20,3,10.5333,0.097,0.0196,9,13,2,0,3,0.752,2.0216,0.7173851,0.0595329,0.6578522
Aston Villa,7,Tottenham Hotspur,Away,Premier League,2021,352,4231,1,1.005236789,0.8198966,0.056068521,0.185340243,14,3,21.4286,92.8571,2,1.84118888,1.7172447,0,0,18,8,38.64,44,45.3744493,0.2630794,318,4,37,1,27,0,9.7941,0.0718,0.0614,11,14,1,0,0,0.7836,1.9728,0.3536097,0.0905303,0.2630794
Aston Villa,8,Wolverhampton Wanderers,Home,Premier League,2021,3412,3421,2,1.501269627,1.4684427,0,0.03282702,14,5,35.7143,0.0000,3,2.181154733,0.4232502,0,1.362876313,9,4,27.825,48,45.4935622,0.4353219,391,11,23,1,23,3,12.5833,0.0858,0.0786,17,8,2,0,0,0.9176,1.85,0.6752537,0.2399318,0.4353219
Aston Villa,9,Arsenal,Away,Premier League,2021,3412,4231,1,1.343159798,0.6875227,0,0.62861973,10,4,40.0000,0.0000,3,3.642248376,1.7974438,0.882051736,1.038183872,22,9,31.71,46,44.1048034,0.6052417,392,9,16,4,12,1,12.9231,0.0226,0.0157,16,10,5,0,0,0.2188,2.6866,0.9033825,0.2981408,0.6052417
Aston Villa,10,West Ham United,Home,Premier League,2021,433,4231,1,0.617829471,0.5466765,0,0.071152976,9,3,33.3333,0.0000,4,2.466208303,2.0669133,0.937611211,0.171638327,21,8,22.05,42,50.6666666,0.3132189,333,8,17,0,15,1,24.1333,0.0237,0.0172,13,7,1,1,0,0.2456,2.6162,0.3664646,0.0532457,0.3132189
Aston Villa,11,Southampton,Away,Premier League,2021,4231,442,0,0.594127151,0.5169412,0,0.04086709,14,3,21.4286,0.0000,1,0.66685589,0.2387184,0,0.4281375,9,3,22.155,44,55.510204,0.9268578,327,9,25,0,23,2,13.24,0.2562,0.1511,12,12,2,0,0,1.189,1.4002,0.9639619,0.0371041,0.9268578
Aston Villa,12,Brighton and Hove Albion,Home,Premier League,2021,433,352,2,0.6746048,0.4365846,0.10623645,0.2380202,9,5,55.5556,0.0000,0,0.5690854,0.5690852,0,0,6,2,31.815,37,44.9392712,0.2180975,352,8,23,1,19,3,17.037,0.0414,0.0356,13,7,3,0,3,1.3774,1.2148,0.2214479,0.0033504,0.2180975
Aston Villa,13,Crystal Palace,Away,Premier League,2021,433,4231,2,0.66383877,0.2413408,0,0.289971424,10,3,30.0000,0.0000,1,0.802143565,0.2919728,0,0.510170743,8,3,23.94,37,38.0434782,0.3463607,340,8,18,1,9,3,22.2632,0.0539,0.0511,11,10,3,0,3,1.1774,1.4516,0.4295152,0.0831545,0.3463607
Aston Villa,14,Manchester City,Home,Premier League,2021,433,4231,1,0.704916022,0.5518029,0.118965074,0.153113183,9,3,33.3333,0.0000,2,1.154031099,0.9707928,0.364175201,0.157802809,17,7,19.53,36,27.4021352,0.2766554,333,5,17,4,14,2,15.3333,0.018,0.0088,11,8,0,0,0,0.9564,1.7238,0.508151,0.2314956,0.2766554
Aston Villa,15,Leicester City,Home,Premier League,2021,433,4231,2,2.1350558,1.5758834,0,0.5591724,13,4,30.7692,0.0000,1,0.8680311,0.8309872,0,0.0370439,12,5,30.135,41,37.9310344,0.5340799,359,9,23,3,16,2,16.1364,0.0422,0.0128,25,8,1,0,3,2.274,0.531,0.7412421,0.2071622,0.5340799
Aston Villa,16,Liverpool,Away,Premier League,2021,433,433,0,0.148223489,0.1140255,0,0,4,0,0.0000,0.0000,1,2.690917813,1.5551876,0.44094342,0.353981199,20,5,19.11,38,32.247557,0.3746776,329,13,15,2,15,3,17.75,0.0224,0.0146,13,6,2,0,0,0.0596,2.8964,0.4506701,0.0759925,0.3746776
Aston Villa,17,Norwich City,Away,Premier League,2021,433,433,2,1.9917748,1.9419624,0.407926977,0.0498125,17,6,35.2941,0.0000,0,0.43966804,0.2676458,0,0.1720222,7,3,28.98,50,62.2302158,0.9465409,447,10,34,2,19,3,15.4583,0.064,0.0229,12,9,1,0,3,2.588,0.2672,1.0305766,0.0840357,0.9465409
Aston Villa,18,Burnley,Home,Premier League,2021,4321,532,1,0.885922894,0.6530823,0,0.232840484,22,9,40.9091,0.0000,1,1.653288561,0.725762,0,0.145777652,10,5,26.46,71,64.4897959,0.7971881,587,1,30,2,35,4,10,0.0182,0.015,20,11,0,0,1,0.7556,1.9892,0.9358397,0.1386516,0.7971881
Aston Villa,19,Chelsea,Home,Premier League,2021,4312,3421,1,0.473699941,0.4736999,0.098014094,0,8,1,12.5000,0.0000,3,2.57295811,0.9498326,0.427870303,0,10,4,20.5275,42,35.179153,0.3237695,446,9,18,5,12,1,20.4211,0.0584,0.023,11,8,3,0,0,0.1246,2.8054,0.636613,0.3128435,0.3237695
Aston Villa,20,Leeds United,Away,Premier League,2021,4312,4231,3,1.976991393,1.5806279,0.128170759,0.355263941,15,9,60.0000,0.0000,0,0.209258216,0.2092582,0,0,4,1,31.29,49,47.0319634,0.4557441,405,18,26,2,14,4,11.9259,0.1043,0.0963,17,11,3,0,3,2.652,0.2136,0.8170773,0.3613332,0.4557441
Aston Villa,21,Brentford,Away,Premier League,2021,433,352,1,0.792890886,0.5517698,0,0.241121069,16,5,31.2500,0.0000,2,0.78996441,0.6760745,0.075373933,0.113889912,10,4,38.6925,55,61.883408,0.3823616,491,9,25,5,10,0,16.1905,0.035,0.0304,17,11,2,0,0,1.3216,1.3228,0.7275575,0.3451959,0.3823616
Aston Villa,22,Manchester United,Home,Premier League,2021,433,433,2,1.593068302,1.3564342,0,0.236634217,13,9,69.2308,0.0000,2,1.170220357,1.0766691,0.127488796,0.052774981,13,6,24.78,55,64.5,0.7425404,540,13,26,4,18,3,14.6538,0.0251,0.017,13,8,1,0,1,1.7154,1.0074,1.0734359,0.3308955,0.7425404
Aston Villa,23,Everton,Away,Premier League,2021,433,442,1,0.873419877,0.6482522,0,0.082578897,8,3,37.5000,0.0000,0,1.497944879,0.8316212,0,0.563425973,15,1,34.02,50,43.6548223,0.4761369,361,14,13,1,7,3,7.6389,0.0651,0.0311,13,16,4,0,3,0.839,1.8608,0.6870607,0.2109238,0.4761369
Aston Villa,24,Leeds United,Home,Premier League,2021,433,4231,3,1.664557595,1.138535,0.432667077,0.526022524,12,4,33.3333,0.0000,3,2.332910333,1.3247686,0,1.008141756,16,8,32.4975,40,48.5,0.4530447,302,9,21,1,15,2,13.6296,0.0595,0.0447,9,11,1,1,1,0.9878,1.748,0.9718521,0.5188074,0.4530447
