Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Bournemouth,1,West Bromwich Albion,Away,Premier League,2017,4411,4141,0,0.40464165,0.3029551,0,0.101686615,9,2,22.2222,0.0000,1,0.946537357,0.3246128,0,0.621924611,16,6,21.84,71,66.6666666,0.5285599,612,5,19,1,24,4,18.2,0.0666,0.0615,15,3,1,0,0,0.8222,1.8194,0.6338379,0.105278,0.5285599
Bournemouth,2,Watford,Home,Premier League,2017,4411,433,0,1.023459574,0.722623,0,0.300836602,6,2,33.3333,0.0000,2,1.941899938,1.7574191,0,0.184480686,19,7,14.595,56,53.7313432,0.5552684,438,6,22,0,15,1,12.05,0.0778,0.0778,13,6,1,0,0,0.6844,2.0746,0.6907891,0.1355207,0.5552684
Bournemouth,3,Manchester City,Home,Premier League,2017,532,433,1,0.438466979,0.4210758,0,0.017391134,9,3,33.3333,0.0000,2,1.868802507,1.3845356,0,0.414471067,19,8,21.105,30,25.2707581,0.3277968,258,10,14,1,9,0,15.2,0.0142,0.011,14,13,5,0,0,0.3876,2.4216,0.3537036,0.0259068,0.3277968
Bournemouth,4,Arsenal,Away,Premier League,2017,3511,3421,0,0.437936237,0.3740477,0,0.024369363,7,2,28.5714,0.0000,3,2.230740745,2.0429053,0,0.081181021,17,9,26.67,42,26.7399267,0.0348758,401,7,17,0,20,0,18.5,0.0934,0.0908,12,10,1,0,0,0.2516,2.6156,0.0539662,0.0190904,0.0348758
Bournemouth,5,Brighton and Hove Albion,Home,Premier League,2017,4411,4411,2,1.290167993,0.8290081,0,0.347594742,15,3,20.0000,0.0000,1,0.734471139,0.4661723,0,0.268298781,9,2,36.33,62,73.2307692,0.6326072,647,18,17,4,18,5,14.4091,0.0695,0.0401,12,5,0,0,3,1.7984,0.896,0.8064852,0.173878,0.6326072
Bournemouth,6,Everton,Away,Premier League,2017,4411,433,1,0.4532625,0.3751437,0,0.0781188,8,4,50.0000,0.0000,2,1.97122659,1.5308921,0,0.4403345,12,3,27.825,49,44.5993031,0.3613506,415,10,17,0,21,1,14.0952,0.1759,0.166,12,11,1,0,0,0.2826,2.5656,0.3845903,0.0232397,0.3613506
Bournemouth,7,Leicester City,Home,Premier League,2017,4411,4411,0,1.4486134,1.4486134,0.07533101,0,19,4,21.0526,0.0000,0,0.62078914,0.5633782,0,0.0574111,8,1,27.3,61,61.8589743,0.9791883,540,14,49,2,27,2,12.4286,0.0419,0.0273,10,6,1,0,1,2.0068,0.7042,1.5295371,0.5503488,0.9791883
Bournemouth,8,Tottenham Hotspur,Away,Premier League,2017,3511,-1,0,0.19124445,0.1473193,0,0.043925103,5,1,20.0000,0.0000,1,1.944802454,1.7045322,0.541574299,0.128462527,18,6,20.895,27,24.5551601,0.2302756,254,2,8,0,11,1,38.3333,0.1788,0.0036,8,7,3,0,0,0.2004,2.6712,0.2410292,0.0107536,0.2302756
Bournemouth,9,Stoke City,Away,Premier League,2017,4411,343,2,1.397164489,0.6154155,0,0,7,3,42.8571,0.0000,1,1.228164583,0.5578055,0,0.670359112,11,3,24.78,48,31.6017316,0.3087998,391,6,13,3,9,0,10.963,0.0241,0.0153,17,10,1,0,3,1.5646,1.1194,0.4391175,0.1303177,0.3087998
Bournemouth,10,Chelsea,Home,Premier League,2017,3412,3421,0,0.4082277,0.4082277,0,0,7,1,14.2857,0.0000,1,1.78024187,1.4579298,0,0.3223121,18,5,26.9325,42,37.5722543,0.7710567,459,7,17,0,15,6,20.4762,0.0326,0.0259,5,5,2,0,0,0.3726,2.439,0.8673125,0.0962558,0.7710567
Bournemouth,11,Newcastle United,Away,Premier League,2017,442,442,1,1.4002731,1.3037166,0,0.0965565,16,6,37.5000,0.0000,0,0.62096884,0.5115252,0,0.1094437,16,4,29.6625,52,50,0.8019671,407,5,23,2,25,4,12.1304,0.0281,0.0245,10,12,2,0,3,2.0254,0.6994,0.9830296,0.1810625,0.8019671
Bournemouth,12,Huddersfield Town,Home,Premier League,2017,4411,4231,4,1.1981285,0.3559271,0,0.8422014,9,5,55.5556,0.0000,0,0.94606121,0.7375752,0,0.208486,19,3,15.435,31,30.1960784,0.1287261,246,4,19,1,10,2,19.2632,0.0323,0.0123,9,13,3,1,3,1.5932,1.1102,0.3141913,0.1854652,0.1287261
Bournemouth,13,Swansea City,Away,Premier League,2017,4411,41212,0,0.5322346,0.4921998,0,0.0400348,9,5,55.5556,0.0000,0,0.78410504,0.7841051,0,0,10,1,26.565,52,50.1945525,0.5816905,472,13,14,1,22,3,15.75,0.0414,0.0373,17,6,2,0,1,1.0534,1.5526,0.7072726,0.1255821,0.5816905
Bournemouth,14,Burnley,Home,Premier League,2017,4411,4411,1,1.008101259,0.9223704,0,0.085730739,11,2,18.1818,0.0000,2,1.075500051,0.9364575,0.083962359,0.051790202,10,4,30.03,62,57.7702702,0.4658323,567,5,23,0,30,1,14.8333,0.028,0.0174,11,9,0,0,0,1.2306,1.41,0.4604382,-0.0053941,0.4658323
Bournemouth,15,Southampton,Home,Premier League,2017,4411,4231,1,1.22673028,0.8504589,0,0.352935683,16,5,31.2500,0.0000,1,1.674364933,1.548107,0,0.126257953,15,4,26.04,48,51.242236,0.5909749,415,10,25,0,22,4,15.2381,0.0301,0.0216,11,6,2,0,1,0.974,1.7444,0.7290044,0.1380295,0.5909749
Bournemouth,16,Crystal Palace,Away,Premier League,2017,4411,442,2,0.85204968,0.3281126,0,0.446349338,11,5,45.4545,0.0000,2,4.292415419,0.8185455,0,1.910371996,24,8,16.38,55,48.3985765,0.7750984,442,10,21,2,15,4,9.913,0.0686,0.0488,12,14,2,0,1,0.0618,2.9064,1.0715522,0.2964538,0.7750984
Bournemouth,17,Manchester United,Away,Premier League,2017,4411,4231,0,0.9928834,0.8154985,0,0.1773848,14,7,50.0000,0.0000,1,1.15628603,1.156286,0,0,9,2,27.93,44,49.2700729,0.3782891,427,8,26,3,25,8,24.5,0.0317,0.0243,13,12,2,0,0,1.1758,1.4842,0.5221295,0.1438404,0.3782891
Bournemouth,18,Liverpool,Home,Premier League,2017,4411,433,0,0.594308605,0.5943086,0,0,6,2,33.3333,0.0000,4,2.913004048,2.2745077,0,0.557153828,21,7,18.06,44,36.4820846,0.3906676,511,6,14,4,11,2,80.5,0.0847,0.0829,10,5,1,0,0,0.1632,2.7468,0.6104326,0.219765,0.3906676
Bournemouth,19,Manchester City,Away,Premier League,2017,3421,-1,0,0.5982296,0.1753106,0,0.422919,5,1,20.0000,0.0000,4,1.44328749,1.3858407,0,0.0574467,14,5,23.625,21,18.9274447,0.1677226,232,7,9,0,13,3,37.9333,0.0097,0.0071,5,7,1,0,0,0.6416,2.0888,0.4150318,0.2473092,0.1677226
Bournemouth,20,West Ham United,Home,Premier League,2017,4411,3421,3,2.579572161,2.1187897,0,0.437801201,25,10,40.0000,0.0000,3,1.823176499,1.7444471,0,0.078729319,10,5,43.26,56,64.7540983,1.1545779,424,10,47,0,27,4,7.5135,0.0625,0.0452,13,12,3,0,1,2.0138,0.7724,1.2726649,0.118087,1.1545779
Bournemouth,21,Everton,Home,Premier League,2017,4411,433,2,1.7834922,1.6842499,0,0.0992423,18,7,38.8889,0.0000,1,0.54822514,0.5267046,0.10790135,0.0215204,6,1,31.395,47,57.4675324,0.4110797,416,12,28,1,19,8,14.8462,0.0202,0.0184,12,8,0,0,3,2.2946,0.4892,0.621898,0.2108183,0.4110797
Bournemouth,22,Brighton and Hove Albion,Away,Premier League,2017,442,4411,2,1.566463126,0.9964644,0,0.531168452,26,8,30.7692,0.0000,2,2.119390488,1.9935303,0.182142049,0.125860155,15,6,22.26,51,52.0833333,0.4806906,403,17,39,1,24,1,14.1429,0.1401,0.1352,13,9,1,0,1,1.0112,1.7618,0.605376,0.1246854,0.4806906
Bournemouth,23,Arsenal,Home,Premier League,2017,3421,3421,2,0.8458227,0.6996487,0,0.146174,13,5,38.4615,0.0000,1,1.1050426,1.0162963,0,0.0887462,12,3,30.66,40,44.4805194,0.3103074,366,13,26,1,14,3,12.2857,0.023,0.0169,9,8,2,0,3,1.1126,1.5698,0.3496273,0.0393199,0.3103074
Bournemouth,24,West Ham United,Away,Premier League,2017,343,3511,1,0.509327019,0.4092588,0,0.10006828,8,3,37.5000,0.0000,1,0.768327319,0.7407179,0,0.027609307,12,4,21.525,52,48.4076433,0.4244142,434,10,15,1,10,3,12.4,0.0158,0.0097,8,7,1,0,1,1.021,1.57,0.5903962,0.165982,0.4244142
Bournemouth,25,Chelsea,Away,Premier League,2017,343,3421,3,1.465600708,0.9035104,0,0.562090238,11,5,45.4545,0.0000,0,0.990158383,0.6890345,0,0.151547817,21,5,28.665,34,35.2490421,0.2382046,329,10,10,1,7,1,11.1951,0.0249,0.0091,5,12,0,0,3,1.8056,0.9266,0.3311342,0.0929296,0.2382046
Bournemouth,26,Stoke City,Home,Premier League,2017,3421,433,2,1.516605627,1.0524731,0,0.346086456,15,8,53.3333,0.0000,1,0.623564731,0.4048602,0,0.218704507,13,4,31.29,57,58.8679245,0.8474688,439,11,23,0,20,5,10.08,0.0386,0.0346,15,14,2,0,3,2.0422,0.6922,1.0790373,0.2315685,0.8474688
Bournemouth,27,Huddersfield Town,Away,Premier League,2017,3421,4231,1,0.532225745,0.1949472,0,0.337278571,7,2,28.5714,85.7143,4,2.345608803,1.1287759,0,0.412102699,16,4,30.03,49,44.9799196,0.3250301,415,11,15,0,14,0,12.7308,0.0967,0.0575,11,12,3,0,0,0.2362,2.644,0.4351405,0.1101104,0.3250301
Bournemouth,28,Newcastle United,Home,Premier League,2017,4411,4411,2,1.655634998,1.343093,0,0.23615302,18,5,27.7778,0.0000,2,3.858619314,2.3752558,0.69717212,1.336148893,15,4,28.6125,63,63.0136986,1.0149215,551,9,24,1,37,6,11.1667,0.0709,0.0615,10,12,1,0,1,0.3376,2.5312,1.0692627,0.0543412,1.0149215
Bournemouth,29,Leicester City,Away,Premier League,2017,4411,433,1,1.475761981,0.694013,0,0,8,3,37.5000,0.0000,1,2.946165448,1.1666254,0,1.723554857,23,4,21.21,45,47.3354231,0.5562106,374,9,15,2,8,0,17.4706,0.0452,0.0334,10,7,1,0,1,0.4992,2.3088,0.7091041,0.1528935,0.5562106
Bournemouth,30,Tottenham Hotspur,Home,Premier League,2017,4411,4231,1,1.10185246,0.9275092,0.56260705,0.097574754,14,3,21.4286,0.0000,4,2.112895735,2.0745814,0.891835764,0.038314268,12,8,30.2925,37,36.8,0.4126213,331,17,19,0,10,3,12.8438,0.1057,0.0275,7,10,1,0,0,0.5892,2.19,0.5038792,0.0912579,0.4126213
Bournemouth,31,West Bromwich Albion,Home,Premier League,2017,4411,352,2,0.611068969,0.3653191,0,0.130781288,17,5,29.4118,0.0000,1,2.021508466,2.0215084,0,0,11,6,24.57,61,60.6382978,0.3466841,544,6,27,0,18,2,10.96,0.1044,0.0829,9,6,1,0,3,0.3814,2.44,0.6230678,0.2763837,0.3466841
Bournemouth,32,Watford,Away,Premier League,2017,4411,4231,2,2.181559891,0.5585449,0,0.841265987,13,6,46.1538,0.0000,2,1.296570005,0.8084336,0,0.402378891,16,5,16.275,50,33.7037037,0.5762976,426,9,23,0,16,1,19,0.0323,0.0288,13,6,0,0,1,2.0428,0.7414,0.8090463,0.2327487,0.5762976
Bournemouth,33,Crystal Palace,Home,Premier League,2017,4411,442,2,1.880008786,1.0080817,0,0.828407018,21,5,23.8095,0.0000,2,1.552632436,1.4321669,0.662243426,0.022026122,13,6,25.41,53,47.8873239,0.8349199,472,7,30,0,39,6,16.5556,0.0573,0.0521,9,8,2,0,1,1.609,1.1296,1.0368107,0.2018908,0.8349199
Bournemouth,34,Liverpool,Away,Premier League,2017,541,433,0,0.259753874,0.2296348,0,0.030119056,6,1,16.6667,0.0000,3,2.670845399,2.6447959,0.43427375,0,20,7,19.32,38,32.9749103,0.230158,375,5,16,1,14,1,32.2308,0.0077,0.0046,8,9,1,0,0,0.0888,2.8506,0.357686,0.127528,0.230158
Bournemouth,35,Manchester United,Home,Premier League,2017,4411,433,0,1.053315252,0.8859392,0,0.084107199,13,2,15.3846,0.0000,2,1.47628982,0.6808109,0,0.6782615,13,4,20.475,44,48.3333333,0.4093651,428,15,29,2,23,4,21.6667,0.0251,0.0134,8,9,3,0,0,0.9752,1.7366,0.8401801,0.430815,0.4093651
Bournemouth,36,Southampton,Away,Premier League,2017,343,343,1,0.995280994,0.1856565,0,0.809624584,14,7,50.0000,0.0000,2,1.702417342,1.6738083,0.472974449,0.028609011,14,6,34.545,60,57.2614107,0.4954913,504,12,25,1,25,2,10.037,0.0486,0.0266,12,11,1,0,0,0.7524,1.9806,0.5798521,0.0843608,0.4954913
Bournemouth,37,Swansea City,Home,Premier League,2017,343,3421,1,2.2385575,1.4209779,0,0.8175796,13,5,38.4615,0.0000,0,0.89827802,0.6273169,0,0.270961,12,3,20.79,45,45.9259259,0.6864879,365,5,27,1,20,4,18.1111,0.2149,0.0422,10,10,1,0,3,2.3212,0.4918,0.9206571,0.2341692,0.6864879
Bournemouth,38,Burnley,Away,Premier League,2017,3421,-1,2,1.284228298,1.0728039,0,0.211424456,16,5,31.2500,0.0000,1,1.299246893,1.1936151,0,0.105631754,10,4,20.475,49,38.095238,0.4800667,401,2,18,0,20,0,14.6842,0.1066,0.1049,13,9,0,0,3,1.4522,1.2362,0.6283095,0.1482428,0.4800667
