Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Brentford,1,Birmingham City,Away,Championship,2020,451,4231,0,2.295559425,2.1592247,0,0.13633465,16,4,25.0000,0.0000,1,1.070965481,0.3706373,0.23500368,0.59632252,11,3,31.08,63,49.8194945,0.4320346,553,10,29,1,19,0,8.5417,0.0171,0.0097,15,11,1,0,0,2.1672,0.6228,0.6530326,0.220998,0.4320346
Brentford,2,Huddersfield Town,Home,Championship,2020,433,433,3,2.931585114,2.752724,0,0.178861143,23,6,26.0870,0.0000,0,0.713981938,0.1667179,0,0.525006799,10,4,42.21,44,73.5955056,0.934076,315,7,40,2,15,4,15.3333,0.0186,0.0114,9,13,1,0,3,2.7114,0.1908,1.375995,0.441919,0.934076
Brentford,3,Millwall,Away,Championship,2020,433,3421,1,1.136651107,0.2317988,0.031784039,0.074146841,8,1,12.5000,0.0000,1,0.603938761,0.5823597,0,0.021579092,9,3,26.67,54,54.7826086,0.3816851,502,4,23,0,24,0,13.3462,0.0298,0.0184,10,9,1,0,1,1.9294,0.7414,0.3595487,-0.0221364,0.3816851
Brentford,4,Preston North End,Home,Championship,2020,433,4231,2,1.398227912,1.2891753,0.429439426,0.109052561,13,4,30.7692,0.0000,4,1.52466763,1.0198436,0,0.416067451,12,7,18.9,44,27.368421,0.2545084,379,9,15,0,13,0,23.3846,0.1623,0.0336,9,10,0,0,0,1.2762,1.4508,0.4941812,0.2396728,0.2545084
Brentford,5,Coventry City,Home,Championship,2020,433,532,2,2.0733596,1.4643493,0,0.6090103,17,5,29.4118,0.0000,0,0.66403039,0.3108621,0,0.3531682,10,5,31.08,56,44.6009389,0.576556,520,11,26,1,25,1,12.56,0.067,0.0643,6,13,1,0,3,2.3634,0.4572,0.8813206,0.3047646,0.576556
Brentford,6,Sheffield Wednesday,Away,Championship,2020,433,3412,2,1.1558188,1.0285503,0.08116819,0.1272685,14,5,35.7143,0.0000,1,0.37954671,0.1838257,0,0.195721,6,3,17.85,53,31.8181818,0.3448197,412,2,14,2,11,3,14.2778,0.0204,0.0101,14,11,0,0,3,2.0546,0.6464,0.5078134,0.1629937,0.3448197
Brentford,7,Stoke City,Away,Championship,2020,343,343,2,0.6441478,0.5899801,0,0.0541677,9,3,33.3333,0.0000,3,0.84272544,0.8427255,0,0,7,4,33.3375,67,49.5238095,0.3743202,603,7,26,1,13,3,11.15,0.0184,0.0092,11,10,1,0,0,1.0982,1.52,0.7627644,0.3884442,0.3743202
Brentford,8,Norwich City,Home,Championship,2020,433,4231,1,1.685567506,1.4742822,0,0.211285349,13,5,38.4615,0.0000,1,0.859681025,0.5166092,0,0.343071826,14,3,28.875,44,45.7692307,0.7878443,405,4,26,0,10,3,12.3636,0.0334,0.0257,14,19,1,0,1,2.039,0.7142,1.0281422,0.2402979,0.7878443
Brentford,9,Luton Town,Away,Championship,2020,433,3412,3,2.2633327,2.2129558,0.49735827,0.0503768,12,5,41.6667,0.0000,0,0.18073351,0.0788361,0,0.1018975,4,1,27.195,52,48.7437185,0.7581165,426,5,26,3,16,1,12.7308,0.0749,0.0648,10,12,1,0,3,2.825,0.1034,1.1310401,0.3729236,0.7581165
Brentford,10,Swansea City,Home,Championship,2020,433,-1,1,1.282969294,0.5954156,0,0.667345963,7,1,14.2857,0.0000,1,0.999237066,0.3962969,0,0.602940175,13,5,28.98,55,36.8888888,0.3906029,483,4,15,1,11,3,13.6,0.013,0.0055,19,14,3,0,1,1.644,1.0242,0.6021375,0.2115346,0.3906029
