Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Brighton and Hove Albion,1,Watford,Away,Premier League,2018,4411,-1,0,0.246809453,0.2043525,0,0.020096056,6,0,0.0000,0.0000,2,1.536718369,0.8898403,0,0.50094467,19,5,26.88,47,36.123348,0.2403859,385,9,16,0,15,2,15.4286,0.0679,0.0564,10,16,2,0,0,0.3814,2.4022,0.2861474,0.0457615,0.2403859
Brighton and Hove Albion,2,Manchester United,Home,Premier League,2018,4411,-1,3,1.595113107,0.5878252,0,0.138727725,6,3,50.0000,0.0000,2,1.551705054,0.1780768,0,0.591879284,9,3,39.6375,33,46.9072164,0.3112665,283,3,10,0,13,1,11.881,0.2438,0.2066,13,16,1,0,3,1.3872,1.2678,0.3415964,0.0303299,0.3112665
Brighton and Hove Albion,3,Liverpool,Away,Premier League,2018,451,-1,0,0.752979379,0.6965804,0,0,6,2,33.3333,0.0000,1,1.93456701,1.4246292,0,0.422274005,22,8,19.425,30,25.510204,-0.0534073,327,7,11,0,11,3,20.9583,0.0816,0.078,7,14,1,0,0,0.55,2.2348,-0.1019604,-0.0485531,-0.0534073
Brighton and Hove Albion,4,Fulham,Home,Premier League,2018,4411,-1,2,2.789318573,1.0187545,0,0.20706608,15,5,33.3333,0.0000,2,1.595864709,1.5703483,0,0,10,5,36.1725,42,51.082251,0.2918285,370,7,23,1,29,2,13.1212,0.1961,0.185,11,12,3,0,1,2.2862,0.5282,0.6702108,0.3783823,0.2918285
Brighton and Hove Albion,5,Southampton,Away,Premier League,2018,4141,-1,2,1.890862211,0.3956783,0,0.713434905,12,4,33.3333,0.0000,2,2.26974259,0.5646017,0,0.888857812,14,5,29.61,49,50.8771929,0.5233308,442,4,15,0,18,3,18.4,0.0223,0.0162,9,13,3,0,1,1.2316,1.4752,0.6228798,0.099549,0.5233308
Brighton and Hove Albion,6,Tottenham Hotspur,Home,Premier League,2018,4141,-1,1,0.720294673,0.6007253,0.103263631,0.119569397,8,4,50.0000,0.0000,2,2.32415931,1.2221263,0,0.243937474,16,7,27.09,29,28.5106382,0.2925519,255,6,15,0,14,1,18.92,0.0172,0.005,9,15,2,0,0,0.3216,2.5266,0.6521589,0.359607,0.2925519
Brighton and Hove Albion,7,Manchester City,Away,Premier League,2018,4141,-1,0,0.1979741,0.1286396,0,0.0693345,4,1,25.0000,0.0000,2,2.8819365,2.6773095,0.691487908,0.204627,28,8,13.5975,20,10.9813084,0.0679488,210,1,6,0,8,1,37.8,0.0094,0.0081,4,10,3,0,0,0.0658,2.8876,0.0878712,0.0199224,0.0679488
Brighton and Hove Albion,8,West Ham United,Home,Premier League,2018,4411,-1,1,1.03749329,0.8168947,0.016219089,0.220598601,9,4,44.4444,0.0000,0,1.296062066,0.5422697,0,0.63474034,17,4,22.155,35,34.5864661,0.3031065,282,11,12,0,11,1,14.44,0.0336,0.0284,7,12,3,0,3,1.2024,1.4916,0.3917621,0.0886556,0.3031065
Brighton and Hove Albion,9,Newcastle United,Away,Premier League,2018,4411,-1,1,0.94266831,0.5264613,0,0.416207053,8,2,25.0000,0.0000,0,1.860424067,1.4230593,0,0.067525402,27,6,17.85,32,32.6086956,0.2237551,247,8,15,0,10,2,12.2963,0.0524,0.0187,12,17,2,0,3,0.6818,2.0762,0.1686116,-0.0551435,0.2237551
Brighton and Hove Albion,10,Wolverhampton Wanderers,Home,Premier League,2018,4411,-1,1,0.915257972,0.3975038,0,0.517754225,7,1,14.2857,0.0000,0,1.338011607,1.1844693,0,0.104692943,25,7,19.845,40,31.5412186,0.401266,362,12,12,0,9,0,18.3333,0.177,0.002,7,11,3,0,3,1.0178,1.6844,0.3659114,-0.0353546,0.401266
Brighton and Hove Albion,11,Everton,Away,Premier League,2018,4411,-1,1,0.5611069,0.0988618,0,0.4622451,5,3,60.0000,0.0000,3,2.03128402,1.7891984,0,0.2420856,14,3,18.9,38,31.5315315,0.1737359,315,6,7,0,11,1,13.0357,0.0666,0.0527,9,17,1,0,0,0.3546,2.463,0.2907385,0.1170026,0.1737359
Brighton and Hove Albion,12,Cardiff City,Away,Premier League,2018,4411,-1,1,0.925920453,0.6100967,0,0.315823762,7,3,42.8571,0.0000,2,1.974307568,0.8729247,0,1.015465278,20,6,18.06,39,24.8091603,0.2582628,315,10,7,0,5,0,12.125,0.0236,0.0177,7,21,1,1,0,0.6168,2.1312,0.2951608,0.036898,0.2582628
Brighton and Hove Albion,13,Leicester City,Home,Premier League,2018,4411,-1,1,0.800166933,0.4716594,0,0.229640428,14,3,21.4286,0.0000,1,1.086290465,0.1532481,0,0.15129327,8,3,33.81,55,52.4663677,0.3126169,431,8,20,0,25,4,12.7391,0.0193,0.0104,6,10,3,0,1,0.9724,1.7026,0.5702194,0.2576025,0.3126169
Brighton and Hove Albion,14,Huddersfield Town,Away,Premier League,2018,433,-1,2,1.479702952,0.6265574,0,0.830209533,14,6,42.8571,0.0000,1,0.627594415,0.1995685,0,0.366491631,7,2,29.0325,68,63.4920634,0.6485678,568,6,22,3,17,5,14.6429,0.0274,0.0204,10,12,2,0,3,2.0958,0.6546,0.8961083,0.2475405,0.6485678
Brighton and Hove Albion,15,Crystal Palace,Home,Premier League,2018,433,-1,3,1.23812252,0.2536324,0.162415743,0.202741109,9,3,33.3333,0.0000,1,1.824922716,0.8958678,0,0.114242349,18,5,20.895,32,27.3722627,0.203367,269,7,16,0,12,1,18.05,0.0176,0.0077,12,14,2,1,3,0.8584,1.8514,0.3431678,0.1398008,0.203367
Brighton and Hove Albion,16,Burnley,Away,Premier League,2018,433,-1,0,0.98578333,0.4457681,0,0.540015269,14,1,7.1429,0.0000,1,1.368400667,0.4362006,0,0.850470221,14,4,34.545,63,53.5087719,0.3914193,515,10,17,0,21,0,13.8889,0.016,0.0151,10,11,0,0,0,1.1174,1.5644,0.6045353,0.213116,0.3914193
Brighton and Hove Albion,17,Chelsea,Home,Premier League,2018,4411,-1,1,0.304465615,0.2383926,0,0.013829269,6,2,33.3333,0.0000,2,1.445436921,1.3519562,0.532036722,0.035411425,10,3,37.695,42,32.5396825,0.2205161,455,5,7,1,16,5,14.1212,0.0207,0.018,6,14,2,0,0,0.3798,2.4084,0.2810642,0.0605481,0.2205161
Brighton and Hove Albion,18,Bournemouth,Away,Premier League,2018,4141,-1,0,0.688223019,0.5755706,0,0.05827973,10,5,50.0000,0.0000,2,0.810241618,0.5686766,0,0.115737477,14,3,28.98,43,42.9104477,0.3402071,392,9,12,1,19,2,11.3056,0.0615,0.0534,6,18,0,1,0,1.2234,1.4064,0.5418903,0.2016832,0.3402071
Brighton and Hove Albion,19,Arsenal,Home,Premier League,2018,451,-1,1,0.985187,0.9736554,0.665981785,0.0115316,12,3,25.0000,0.0000,1,0.84612874,0.8192165,0,0.0269122,7,4,23.7825,32,39.6078431,0.5989121,324,2,24,0,16,1,20.0741,0.0131,0.0085,3,10,2,0,1,1.4854,1.1818,0.9295472,0.3306351,0.5989121
Brighton and Hove Albion,20,Everton,Home,Premier League,2018,451,-1,1,1.656412971,0.6147838,0,1.007292641,11,3,27.2727,0.0000,0,0.78041783,0.6253213,0,0.083395252,13,4,23.73,45,48.0349344,0.3018714,349,6,25,1,17,2,13.037,0.0657,0.0323,10,10,0,0,3,2.0988,0.6588,0.2648907,-0.0369807,0.3018714
Brighton and Hove Albion,21,West Ham United,Away,Premier League,2018,451,-1,2,0.6651992,0.231447,0,0.4337522,13,6,46.1538,0.0000,2,0.89654165,0.8475555,0,0.048986,13,6,38.115,46,48.8038277,0.3221662,410,7,13,1,18,3,12.5806,0.0606,0.0413,9,11,1,0,1,1.1242,1.5256,0.4893674,0.1672012,0.3221662
Brighton and Hove Albion,22,Liverpool,Home,Premier League,2018,451,-1,0,0.298122781,0.235975,0,0.062147759,7,0,0.0000,0.0000,1,2.08993701,1.1833912,0,0.124796767,10,3,27.615,29,29.2775665,0.307065,301,3,12,0,14,2,24.0435,0.0109,0.0097,4,15,0,0,0,0.1578,2.7408,0.3988076,0.0917426,0.307065
Brighton and Hove Albion,23,Manchester United,Away,Premier League,2018,451,-1,1,0.938222382,0.8217733,0,0.116449144,7,3,42.8571,0.0000,2,2.645138844,1.5783439,0,0.201739917,20,5,29.085,44,44.6721311,0.253012,391,4,16,1,23,1,15.4167,0.0195,0.0086,11,11,0,0,0,0.3202,2.5336,0.3766221,0.1236101,0.253012
Brighton and Hove Albion,24,Fulham,Away,Premier League,2018,433,-1,2,2.4008942,1.6588613,0.034823243,0.7420328,15,6,40.0000,0.0000,4,3.40731325,2.9007051,0.385665387,0.5066082,24,8,16.4325,38,42.2382671,0.5216461,382,10,27,0,22,1,16.6296,0.2002,0.1977,10,5,3,0,0,0.867,1.935,0.638019,0.1163729,0.5216461
Brighton and Hove Albion,25,Watford,Home,Premier League,2018,433,-1,0,1.5849876,1.1092696,0,0.475718,21,4,19.0476,0.0000,0,0.26512386,0.2651239,0,0,5,0,40.425,55,58.2608695,0.6662891,456,19,28,1,27,2,7.6829,0.0525,0.0174,9,15,1,0,1,2.3976,0.381,1.019807,0.3535179,0.6662891
Brighton and Hove Albion,26,Burnley,Home,Premier League,2018,433,-1,1,1.098081324,0.4323552,0,0.665726029,16,6,37.5000,0.0000,3,1.905791407,1.0115719,0,0.112470483,9,5,29.7675,68,68.879668,0.5365829,519,6,36,0,41,0,13.8125,0.0207,0.0152,7,8,1,0,0,0.7274,2.0324,0.7283349,0.191752,0.5365829
Brighton and Hove Albion,27,Chelsea,Away,Premier League,2018,433,-1,0,0.657860883,0.4173035,0,0.240557462,3,1,33.3333,0.0000,3,2.688979674,2.1823482,0.073722742,0.446876883,17,4,22.785,32,14.9425287,0.2577981,350,8,9,1,9,1,20.2,0.0069,0.0032,5,9,0,0,0,0.2262,2.661,0.3055736,0.0477755,0.2577981
Brighton and Hove Albion,28,Leicester City,Away,Premier League,2018,433,-1,1,1.235386284,0.942175,0,0.267998614,15,3,20.0000,0.0000,2,2.075008275,2.0299656,0.530547924,0.045042651,19,3,17.325,51,52.1568627,0.4519844,444,7,21,0,31,2,33.1,0.0572,0.0537,5,4,1,0,0,0.8228,1.9334,0.7318499,0.2798655,0.4519844
