Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Burnley,1,Huddersfield Town,Away,Championship,2022,433,4141,1,1.550216453,1.3158241,0,0.13617051,16,7,43.7500,0.0000,0,0.091481151,0.0914812,0,0,0,0,41.265,70,75.3086419,0.4398855,599,11,35,2,22,5,7.8276,0.0264,0.0172,13,10,2,0,3,2.5842,0.2346,0.7478231,0.3079376,0.4398855
Burnley,2,Luton Town,Home,Championship,2022,442,352,1,0.687891596,0.3094388,0,0.378452834,12,1,8.3333,0.0000,1,1.024129086,0.8094664,0,0.214662649,13,2,23.1,71,69.5945945,0.382444,594,8,19,0,30,2,10.6111,0.0348,0.0204,11,10,2,0,1,0.994,1.6588,0.2373122,-0.1451318,0.382444
Burnley,3,Watford,Away,Championship,2022,433,4231,0,0.675258342,0.5155106,0,0.136540528,11,4,36.3636,0.0000,1,0.260159202,0.2480294,0,0.012129813,5,1,33.39,64,66.5306122,0.3075879,564,3,17,0,22,3,9.5556,0.0184,0.0137,13,12,1,0,0,1.7076,0.8358,0.5165154,0.2089275,0.3075879
Burnley,4,Hull City,Home,Championship,2022,433,4231,1,2.153839246,1.7121239,0,0.37587829,15,5,33.3333,0.0000,1,0.898207003,0.8982071,0.825561136,0,0,3,35.805,77,73.3333333,0.8255735,746,3,23,2,20,2,10.0526,0.0205,0.0116,12,7,1,0,1,2.3218,0.4726,1.0862805,0.260707,0.8255735
Burnley,5,Blackpool,Home,Championship,2022,433,4231,3,1.624586387,1.3319004,0,0.292685956,13,4,30.7692,0.0000,3,2.34701176,1.5497287,0,0.715933934,12,8,36.9075,71,61.025641,0.8549525,621,6,22,2,17,4,8.913,0.0655,0.0526,10,10,1,1,1,0.909,1.866,0.9642393,0.1092868,0.8549525
Burnley,6,Wigan Athletic,Away,Championship,2022,433,352,5,1.402167475,1.3709471,0,0.031220352,8,6,75.0000,0.0000,1,1.733194092,0.8218258,0,0.12961936,18,4,28.035,55,50.802139,0.2285097,450,7,19,1,7,2,17.8333,0.1445,0.0654,8,8,1,0,3,1.1228,1.6034,0.6865942,0.4580845,0.2285097
Burnley,7,Millwall,Home,Championship,2022,433,3421,2,2.859775698,2.2789377,0,0.400121339,22,10,45.4545,0.0000,0,1.397026904,1.1789906,0,0.194882177,12,5,28.245,69,61.6935483,0.5522743,575,7,28,0,17,1,13.7857,0.0226,0.016,15,7,0,0,3,2.3808,0.4392,0.8105619,0.2582876,0.5522743
Burnley,8,West Bromwich Albion,Away,Championship,2022,4231,4231,1,1.841955957,0.9288272,0.272245012,0.093149267,11,4,36.3636,0.0000,1,1.772218483,1.2962082,0,0.47601015,23,8,20.5275,47,34.137931,0.2333233,423,7,18,4,6,2,14.8,0.0303,0.0303,12,10,4,0,1,1.4242,1.3192,0.5101716,0.2768483,0.2333233
Burnley,9,Norwich City,Home,Championship,2022,4231,433,1,1.824617208,0.9394413,0,0.05285309,17,2,11.7647,0.0000,0,1.029899018,0.9827055,0,0.047193456,5,2,34.65,61,67.0391061,0.2104634,493,2,24,0,20,2,10.7778,0.065,0.0308,11,10,3,0,3,2.0308,0.6958,0.5255178,0.3150544,0.2104634
Burnley,10,Preston North End,Away,Championship,2022,4231,3142,1,0.739461549,0.3719047,0,0.295903593,12,4,33.3333,0.0000,1,0.913984742,0.2757707,0,0.638214074,6,3,28.7175,72,66.023166,0.321612,585,8,18,2,23,3,10.5625,0.016,0.0152,15,6,0,0,1,1.1404,1.4956,0.572512,0.2509,0.321612
