Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Chelsea,1,Brighton and Hove Albion,Away,Premier League,2020,4222,352,3,1.456125829,0.3851573,0.22451055,0.289219497,10,5,50.0000,0.0000,1,1.080620302,0.7487342,0,0.33188596,13,3,29.085,48,44.0677966,0.1856039,465,5,20,1,13,2,13.3793,0.0207,0.0167,8,13,0,0,3,1.693,1.006,0.3748613,0.1892574,0.1856039
Chelsea,2,Liverpool,Home,Premier League,2020,433,433,0,0.917213701,0.1077873,0,0.027677374,5,3,60.0000,0.0000,2,2.213354321,2.0036628,0,0.138381528,18,6,17.955,39,13.9751552,0.1624816,488,16,13,1,4,1,30.5333,0.0099,0.0005,6,10,0,1,0,0.4318,2.3398,0.4605092,0.2980276,0.1624816
Chelsea,3,West Bromwich Albion,Away,Premier League,2020,4231,541,3,2.569715655,1.8649858,0,0.664236877,22,10,45.4545,0.0000,3,0.91840365,0.3811222,0,0.537281457,9,3,39.585,76,74.1610738,0.9229925,797,5,36,0,37,1,6.9286,0.0922,0.0634,7,16,3,0,1,2.4686,0.3728,1.2858043,0.3628118,0.9229925
Chelsea,4,Crystal Palace,Home,Premier League,2020,4231,442,4,2.545256784,0.7289499,0.078870669,0.25280891,17,6,35.2941,0.0000,0,0.108427111,0.0779402,0,0.030486872,4,0,39.27,71,67.9653679,0.3895819,707,5,21,2,23,1,6.6176,0.0996,0.081,11,17,2,0,3,2.939,0.0338,0.7005206,0.3109387,0.3895819
Chelsea,5,Southampton,Home,Premier League,2020,4231,442,3,2.3199361,2.1891476,0,0.1307885,11,5,45.4545,0.0000,3,1.5898086,1.4544999,0,0.1353086,13,6,26.0925,53,44.7653429,0.4730609,574,7,31,1,13,4,12.4483,0.0165,0.0098,8,11,1,0,1,1.9386,0.8298,0.7967453,0.3236844,0.4730609
Chelsea,6,Manchester United,Away,Premier League,2020,3421,4231,0,0.2290963,0.1851599,0,0.0439364,6,1,16.6667,0.0000,0,0.6511206,0.4896393,0,0.1614813,14,4,21,50,40.5904059,0.1262455,582,6,11,0,19,0,14.7857,0.1791,0.1733,8,6,1,0,1,0.8068,1.7164,0.1854033,0.0591578,0.1262455
Chelsea,7,Burnley,Away,Premier League,2020,433,442,3,1.222215224,0.6995891,0,0.471190622,14,9,64.2857,0.0000,0,0.522641593,0.5001963,0,0.022445278,5,0,41.055,64,62.6506024,0.8033144,693,8,25,0,16,2,10.5862,0.0451,0.0232,10,15,0,0,3,1.9658,0.7124,1.1406764,0.337362,0.8033144
Chelsea,8,Sheffield United,Home,Premier League,2020,433,352,4,2.427005926,1.386796,0.527416401,0.980450746,20,9,45.0000,0.0000,1,0.679072397,0.1264938,0,0.552578673,6,3,28.6125,70,62.3655913,0.5573166,762,3,36,1,16,3,15.4667,0.0349,0.0263,14,5,0,0,3,2.6044,0.2596,0.9595696,0.402253,0.5573166
Chelsea,9,Newcastle United,Away,Premier League,2020,433,541,2,1.7522547,1.6451609,0.438225239,0.1070938,14,3,21.4286,0.0000,0,0.44013612,0.4145873,0.186406629,0.0255488,8,1,28.98,71,67.5182481,0.3996865,746,5,28,1,15,2,9.6667,0.0356,0.0254,10,12,0,0,3,2.4136,0.391,0.9966885,0.597002,0.3996865
Chelsea,10,Tottenham Hotspur,Home,Premier League,2020,433,4231,0,0.69634941,0.5902534,0,0.106095921,13,3,23.0769,0.0000,0,0.173985412,0.1107698,0,0.041431403,5,1,40.74,60,63.3333333,0.4166359,657,6,18,0,26,2,11.2,0.2717,0.266,9,20,4,0,1,1.7916,0.7362,0.7429715,0.3263356,0.4166359
Chelsea,11,Leeds United,Home,Premier League,2020,433,4411,3,4.5524142,2.8660395,0.70092237,1.6863747,23,11,47.8261,0.0000,1,1.13779138,1.0373647,0,0.1004266,8,3,39.795,46,55.1867219,0.6458176,408,12,35,0,15,0,10.1538,0.029,0.0134,9,12,0,0,3,2.8696,0.088,1.0131253,0.3673077,0.6458176
Chelsea,12,Everton,Away,Premier League,2020,433,433,0,0.958766842,0.3265942,0,0.567787066,10,3,30.0000,0.0000,1,1.135574094,0.2017223,0.040222157,0.129164189,9,4,32.2875,72,66.3967611,0.5622266,639,15,22,0,32,4,6.7407,0.0354,0.0266,9,11,3,0,0,1.043,1.5866,0.7257265,0.1634999,0.5622266
Chelsea,13,Wolverhampton Wanderers,Away,Premier League,2020,433,3412,1,1.567420992,0.5099353,0,1.000587109,13,3,23.0769,0.0000,2,0.609733684,0.3058465,0.126130231,0.303887178,12,4,34.7025,55,60.6177606,0.2017008,494,10,35,0,34,4,9.7813,0.035,0.019,12,12,2,0,0,2.13,0.6144,0.5115452,0.3098444,0.2017008
Chelsea,14,West Ham United,Home,Premier League,2020,433,4231,3,2.7617353,2.3482756,0,0.4134597,11,7,63.6364,0.0000,0,0.32620796,0.205716,0,0.1204919,0,0,26.985,54,52.2821576,0.4341163,527,6,22,0,19,3,12.9615,0.0812,0.0538,6,11,0,0,3,2.8084,0.1192,0.8594228,0.4253065,0.4341163
Chelsea,15,Arsenal,Away,Premier League,2020,433,4231,1,2.494745205,1.396557,0.077478267,0.23799671,19,3,15.7895,0.0000,3,2.134739292,1.2075153,0,0.109053891,15,7,28.98,61,58.3011583,0.6573764,506,9,37,0,34,4,11.2273,0.0237,0.0163,13,10,1,0,0,1.6328,1.1144,1.195836,0.5384596,0.6573764
Chelsea,16,Aston Villa,Home,Premier League,2020,433,4231,1,1.5703423,1.4671308,0,0.1032115,16,5,31.2500,0.0000,1,0.60009412,0.4584996,0,0.1415944,10,2,33.495,63,56.1797752,0.5323833,550,4,30,0,27,3,8.25,0.0917,0.0066,3,16,3,0,1,2.1722,0.5762,0.886652,0.3542687,0.5323833
Chelsea,17,Manchester City,Home,Premier League,2020,433,433,1,0.635870993,0.4600753,0,0.093104787,9,2,22.2222,0.0000,3,3.133667733,2.8569238,0.686973095,0.231890652,18,6,39.4275,55,59.074733,0.3661317,654,16,22,1,19,1,14.8571,0.0848,0.0626,9,11,3,0,0,0.1574,2.7626,0.7121251,0.3459934,0.3661317
Chelsea,18,Leicester City,Away,Premier League,2020,4231,4141,0,0.724864949,0.4703734,0,0.150915705,9,5,55.5556,0.0000,2,1.380107664,1.2988419,0.332486302,0.081265841,8,6,26.355,64,60.4,0.4740776,636,11,14,0,15,0,9.3704,0.0356,0.0202,7,16,3,0,0,0.7968,1.9218,0.6604715,0.1863939,0.4740776
Chelsea,19,Fulham,Away,Premier League,2020,433,541,1,1.588182578,1.3072201,0.388072431,0.280962501,21,6,28.5714,0.0000,0,0.749964392,0.6845538,0,0.016636975,10,3,35.91,70,67.5159235,0.7858491,757,7,40,0,30,1,8.4138,0.1131,0.1028,11,10,3,0,3,2.0326,0.709,1.2383008,0.4524517,0.7858491
Chelsea,20,Wolverhampton Wanderers,Home,Premier League,2020,3421,3412,0,0.708890598,0.5799225,0,0.128968174,14,5,35.7143,0.0000,0,0.461855311,0.3556286,0.316881806,0.013350364,4,0,56.49,79,87.6506024,0.485181,898,6,31,0,36,8,6.2222,0.1468,0.1011,7,14,1,0,1,1.5196,1.054,0.8540563,0.3688753,0.485181
Chelsea,21,Burnley,Home,Premier League,2020,3421,442,2,1.6378455,1.6378455,0,0,19,8,42.1053,0.0000,0,0.09272362,0,0,0.0927236,0,0,40.11,71,73.3542319,1.1024894,723,9,46,0,14,5,7.3226,0.0612,0.0409,9,7,0,0,3,2.5888,0.2272,1.7991447,0.6966553,1.1024894
Chelsea,22,Tottenham Hotspur,Away,Premier League,2020,3412,4222,1,1.699915027,0.8367094,0,0.081456494,16,2,12.5000,0.0000,0,0.549740974,0.4205935,0,0.064032368,7,2,42.945,58,63.0136986,0.5390397,630,13,35,0,19,2,8.7619,0.0205,0.0088,20,14,3,0,3,2.3614,0.424,1.0466251,0.5075854,0.5390397
Chelsea,23,Sheffield United,Away,Premier League,2020,3421,352,2,1.640691273,0.8220508,0,0.036891443,9,3,33.3333,188.8889,1,0.599148579,0.5019782,0.340618759,0.097170327,9,3,31.29,69,58.8785046,0.4811701,756,12,26,2,14,2,12.1579,0.04,0.026,8,8,0,0,3,2.3024,0.4634,0.6822267,0.2010566,0.4811701
Chelsea,24,Newcastle United,Home,Premier League,2020,3421,433,2,2.399485133,1.6830329,0,0.716452174,18,6,33.3333,0.0000,0,0.504440922,0.3538093,0,0.109116901,10,4,32.55,66,58.3333333,0.4456691,564,9,37,2,23,2,7.3571,0.0869,0.085,12,9,0,0,3,2.633,0.248,1.0099111,0.564242,0.4456691
Chelsea,25,Southampton,Away,Premier League,2020,3421,442,1,1.239941577,0.1828255,0,0.195903779,9,3,33.3333,0.0000,1,0.536387496,0.3904318,0,0.145955734,0,1,52.815,71,63.8766519,0.6143157,727,18,25,0,15,1,6.4615,0.0252,0.0163,9,10,1,0,1,2.058,0.6114,0.9100579,0.2957422,0.6143157
Chelsea,26,Manchester United,Home,Premier League,2020,3421,4231,0,1.277312293,1.2333723,0,0.04393982,18,6,33.3333,0.0000,0,0.382376629,0.2837239,0,0.027342776,11,4,29.19,58,51.22807018,0.2483526,608,16,14,0,16,3,9.4242,0.0212,0.0063,12,11,1,0,1,2.132,0.5756,0.4501377,0.2017851,0.2483526
Chelsea,27,Everton,Home,Premier League,2020,3421,3412,2,3.185221081,2.2131899,0,0.130666943,19,9,47.3684,0.0000,0,0.430340487,0.3328943,0,0.010406514,7,1,38.22,66,61.3207547,0.4777693,713,16,22,4,11,2,11.4231,0.037,0.0348,12,11,0,0,3,2.8702,0.0784,0.8834915,0.4057222,0.4777693
Chelsea,28,Leeds United,Away,Premier League,2020,4231,4141,0,1.0721541,1.0721541,0,0,15,8,53.3333,0.0000,0,0.36009281,0.2428793,0,0.1172135,7,4,35.07,62,70.1492537,0.6815282,588,11,27,1,15,2,8.5429,0.031,0.0087,16,6,0,0,1,1.9674,0.6996,1.1155355,0.4340073,0.6815282
Chelsea,29,Liverpool,Away,Premier League,2020,3421,433,1,0.9926793,0.9926793,0,0,11,5,45.4545,0.0000,0,0.21933094,0.1708447,0,0.0484864,7,1,27.825,46,31.7518248,0.6933239,549,8,17,2,12,3,14.6129,0.0179,0.0126,9,8,0,0,3,2.0994,0.5544,0.8534133,0.1600894,0.6933239
Chelsea,30,West Bromwich Albion,Home,Premier League,2020,3421,541,2,2.483188543,1.3369818,0.083385162,1.066327117,18,8,44.4444,0.0000,5,1.330134818,1.0484514,0,0.099081568,14,7,45.99,66,70.661157,0.7418668,581,9,33,2,18,3,7.027,0.124,0.1078,6,11,1,1,0,2.1222,0.69,1.0286985,0.2868317,0.7418668
Chelsea,31,Crystal Palace,Away,Premier League,2020,3421,442,4,3.4100421,2.8032779,0.097233191,0.6067642,23,10,43.4783,0.0000,1,0.37372816,0.3737282,0,0,0,1,45.465,64,74.4897959,0.5248101,782,9,38,1,25,8,8.8537,0.0782,0.0693,6,12,0,0,3,2.911,0.0526,1.0931076,0.5682975,0.5248101
Chelsea,32,Brighton and Hove Albion,Home,Premier League,2020,343,3142,0,0.69478582,0.6492087,0,0.045577046,7,4,57.1429,0.0000,0,0.506227135,0.453192,0,0.029702681,11,2,32.13,64,56.2737642,0.3106343,740,15,18,2,11,1,16.1053,0.0217,0.0128,8,8,2,0,1,1.5216,1.068,0.6369841,0.3263498,0.3106343
Chelsea,33,West Ham United,Away,Premier League,2020,3421,3412,1,2.587404119,2.5092677,0,0.052916331,17,6,35.2941,0.0000,0,0.390867792,0.2193532,0,0.077089704,9,2,30.765,56,53.6082474,0.6570505,566,8,32,0,9,3,11.1154,0.0354,0.0129,9,11,4,0,3,2.8142,0.1148,1.037468,0.3804175,0.6570505
Chelsea,34,Fulham,Home,Premier League,2020,352,4231,2,1.754610441,1.4427106,0.497883499,0.179359723,9,5,55.5556,0.0000,0,0.394619947,0.1341952,0,0.260424749,10,3,32.865,49,51.5625,0.7306605,511,9,26,3,3,1,11.7742,0.0179,0.0023,7,15,1,0,3,2.4582,0.3522,1.1065956,0.3759351,0.7306605
Chelsea,35,Manchester City,Away,Premier League,2020,3421,3142,2,0.565465966,0.5435321,0.080302224,0,12,5,41.6667,0.0000,1,1.751630398,0.8849221,0,0.084959369,16,4,31.29,52,54.0669856,0.4882167,580,10,17,0,12,1,18.6957,0.0197,0.0121,12,10,0,0,3,0.4086,2.4006,0.8166524,0.3284357,0.4882167
Chelsea,36,Arsenal,Home,Premier League,2020,3421,3421,0,1.3643456,1.1130224,0.088236682,0.2513231,19,5,26.3158,0.0000,1,0.60810207,0.590114,0,0.0179881,5,2,40.32,68,77.3584905,0.8154915,765,12,53,1,32,4,17,0.0293,0.0164,5,7,0,0,0,2.0028,0.6996,1.2365022,0.4210107,0.8154915
Chelsea,37,Leicester City,Home,Premier League,2020,3421,3421,2,2.64806422,0.9179461,0.091133371,0.948369114,17,6,35.2941,0.0000,1,0.809564669,0.72654,0,0.083024718,7,3,34.8075,59,53.1007751,0.6873244,549,10,30,1,17,2,8.8788,0.1317,0.0279,15,15,2,0,3,2.5972,0.2764,1.1976574,0.510333,0.6873244
Chelsea,38,Aston Villa,Away,Premier League,2020,3421,4231,1,3.099859087,2.4610698,0,0.638789306,23,7,30.4348,0.0000,2,0.974631651,0.1051391,0,0.087743537,6,3,38.535,71,75,1.1782218,598,3,48,0,40,7,7.6296,0.0308,0.027,11,12,4,1,0,2.6464,0.238,1.6780012,0.4997794,1.1782218
