Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Crystal Palace,1,Chelsea,Away,Premier League,2021,442,3421,0,0.223622091,0.1131967,0,0.110425346,4,1,25.0000,0.0000,3,0.954414045,0.7464901,0,0.013967757,13,6,16.7475,38,24.3421052,0.2807322,423,13,11,2,5,0,50.75,0.0042,0.0035,14,11,0,0,0,0.534,2.1264,0.4461452,0.165413,0.2807322
Crystal Palace,2,Brentford,Home,Premier League,2021,433,352,0,0.499098236,0.449271,0,0.049827157,7,2,28.5714,0.0000,0,0.607975216,0.3198548,0,0.254220827,14,3,30.345,53,42.583732,0.2587818,431,8,12,0,12,2,11.6,0.0803,0.0773,8,12,3,0,1,1.2116,1.361,0.3891817,0.1303999,0.2587818
Crystal Palace,3,West Ham United,Away,Premier League,2021,433,4231,2,1.4406334,0.886076,0,0.5545575,9,2,22.2222,0.0000,2,1.31438498,1.1936794,0,0.1207055,14,4,16.8,54,36.8888888,0.2488578,462,15,22,1,13,2,10.2083,0.0147,0.0106,10,7,0,0,1,1.4956,1.2214,0.5653289,0.3164711,0.2488578
Crystal Palace,4,Tottenham Hotspur,Home,Premier League,2021,433,41212,3,3.174511173,2.0916602,0,0.241181694,18,4,22.2222,0.0000,0,0.078913499,0.0789135,0,0,2,1,42.63,62,71.4285714,0.8052758,498,14,23,0,29,3,7.6571,0.0359,0.0059,11,13,2,0,3,2.9592,0.0228,1.0651842,0.2599084,0.8052758
Crystal Palace,5,Liverpool,Away,Premier League,2021,433,433,0,1.111985661,0.6344399,0,0.398325028,13,2,15.3846,0.0000,3,2.684195095,1.5545862,0,1.059397258,25,10,22.5225,40,36.2139917,0.5758869,332,7,24,1,17,0,15.6667,0.2843,0.2662,16,11,1,0,0,0.5072,2.3234,0.7275394,0.1516525,0.5758869
Crystal Palace,6,Brighton and Hove Albion,Home,Premier League,2021,433,343,1,1.36172286,0.5581084,0,0,8,3,37.5000,0.0000,1,0.903335134,0.7125574,0,0.19077778,8,4,30.66,47,56.3176895,0.1113505,497,4,20,0,19,2,18.4,0.0463,0.029,9,12,2,0,1,1.8546,0.84,0.2890146,0.1776641,0.1113505
Crystal Palace,7,Leicester City,Home,Premier League,2021,433,442,2,1.0912318,0.9914391,0,0.0997926,18,4,22.2222,0.0000,2,0.98307637,0.8698053,0,0.1132712,9,5,45.36,60,66.5137614,0.5720495,557,14,39,1,21,0,8.05,0.0496,0.0355,11,15,2,0,1,1.4228,1.271,0.7488431,0.1767936,0.5720495
Crystal Palace,8,Arsenal,Away,Premier League,2021,4231,4141,2,0.539809955,0.5258925,0.11619164,0.013917517,9,6,66.6667,0.0000,2,1.591924813,0.3360181,0,1.174793111,17,6,20.37,46,31.3432835,0.1623587,475,7,10,0,10,1,20.1176,0.0386,0.0343,7,4,1,0,1,0.5576,2.1998,0.5367239,0.3743652,0.1623587
Crystal Palace,9,Newcastle United,Home,Premier League,2021,433,532,1,2.3392686,2.3260282,0,0.0132404,15,3,20.0000,0.0000,1,0.50687945,0.038867,0,0.4680125,6,2,32.9175,75,68.4397163,0.6717703,665,13,33,4,23,3,7.9,0.0313,0.0139,9,13,3,0,1,2.637,0.231,1.0347856,0.3630153,0.6717703
Crystal Palace,10,Manchester City,Away,Premier League,2021,433,433,2,0.6610036,0.5684392,0,0.0925644,8,3,37.5000,0.0000,0,0.54434381,0.2425004,0,0.3018435,14,3,22.47,32,21.5686274,0.3443428,319,6,10,0,4,2,15.5,0.012,0.0043,11,11,3,0,3,1.3864,1.1938,0.5614856,0.2171428,0.3443428
