Team,Match Day,Opponent,Side,Competition,Year,Formation,Opponent Formation,Goals,xG,xG in open-play,xG from counters,xG from set pieces,Shots For,Shots On Target,Shot accuracy,Goal Conversion,Goals Conceded,xG Conceded,xG conceded in open-play,xG conceded from counters,xG conceded from set pieces,Total Shots Conceded,Shots On Target Conceded,Defensive event height,% Possession,Field Tilt,xT from passes,Total passes,Dribbles,Touches opp. box,Through balls,Crosses,One-Twos,PPDA,GPI,GPE,Total Fouls Won,Total Fouls Conceded,Yellow cards,Red Cards,Points,Expected Points,Opponent Expected Points,xThreat,xThreat from carries,xThreat from passes
Fulham,1,Arsenal,Home,Premier League,2020,4231,343,0,0.133219911,0.1114572,0,0.021762613,5,2,40.0000,0.0000,3,2.598553017,1.9321351,0,0.499337975,13,6,30.24,46,48.3193277,0.1937772,523,6,3,0,15,3,31.0625,0.0161,0.0115,11,12,2,0,0,0.0748,2.8654,0.3373232,0.143546,0.1937772
Fulham,2,Leeds United,Away,Premier League,2020,4231,4141,3,1.59437817,0.7300726,0,0.061386383,14,6,42.8571,0.0000,4,1.449693029,0.4377205,0,0.15152565,10,7,37.38,50,53.0434782,0.2868859,438,20,14,0,18,1,8.7907,0.0276,0.0212,12,18,2,0,0,1.4374,1.2406,0.5424553,0.2555694,0.2868859
Fulham,3,Aston Villa,Home,Premier League,2020,343,433,0,0.733515,0.6850768,0,0.0484382,16,3,18.7500,0.0000,3,1.87962114,1.0075681,0,0.8720531,12,5,40.635,65,58.8709677,0.4206932,538,22,31,0,43,2,9,0.0255,0.0121,14,18,6,0,0,0.566,2.2154,0.8236847,0.4029915,0.4206932
Fulham,4,Wolverhampton Wanderers,Away,Premier League,2020,4231,352,0,0.802757021,0.5558025,0.436196357,0.195031378,10,2,20.0000,0.0000,1,1.356964528,1.1862936,0.478994794,0.123580169,14,5,29.6625,53,52.7027027,0.3249473,524,10,17,0,28,2,20.2105,0.0192,0.0116,15,8,1,0,0,0.884,1.8062,0.5658393,0.240892,0.3249473
Fulham,5,Sheffield United,Away,Premier League,2020,3421,352,1,1.589057777,0.422274,0,0.306981776,15,6,40.0000,0.0000,1,1.602696439,0.8209475,0.080286793,0,10,6,18.6375,58,47.3451327,0.1869089,563,15,20,0,16,1,15.8333,0.028,0.0094,4,9,2,0,1,1.3286,1.364,0.5009091,0.3140002,0.1869089
Fulham,6,Crystal Palace,Home,Premier League,2020,4321,442,1,0.899651818,0.7661052,0,0.133546643,16,3,18.7500,0.0000,2,3.058321461,2.9293327,0.063727491,0.046118576,14,10,38.535,64,69.2307692,0.5723975,643,13,30,0,29,8,8.9412,0.0809,0.053,11,11,0,1,0,0.2514,2.6394,0.8426028,0.2702053,0.5723975
Fulham,7,West Bromwich Albion,Home,Premier League,2020,4231,4141,2,1.660404973,1.6251756,0,0.035229385,13,6,46.1538,0.0000,0,0.44101005,0.4089178,0,0,10,1,32.55,46,54.5064377,0.4025088,395,24,17,0,16,4,12.6667,0.0231,0.0212,10,13,3,0,3,2.4294,0.3726,0.5607852,0.1582764,0.4025088
Fulham,8,West Ham United,Away,Premier League,2020,4231,343,0,1.652709833,0.5786126,0,0.137099292,13,3,23.0769,0.0000,1,1.251795143,0.8137198,0,0.333974531,16,7,21.63,47,54.2635658,0.2988531,460,9,27,0,19,1,26.7857,0.0509,0.0435,9,9,2,0,0,1.756,0.9784,0.3530766,0.0542235,0.2988531
Fulham,9,Everton,Home,Premier League,2020,4231,343,2,2.140829162,1.35908,0,0,14,6,42.8571,0.0000,3,1.948651053,1.8976502,0,0.051000781,9,7,39.165,54,62.4641833,0.5806134,620,19,24,1,10,4,10.5526,0.0282,0.0124,8,14,2,0,0,1.5058,1.2184,1.0425517,0.4619383,0.5806134
Fulham,10,Leicester City,Away,Premier League,2020,541,3421,2,2.19036713,1.2823098,0.771867871,0.054231923,10,5,50.0000,0.0000,1,1.087186196,0.3278499,0,0.703561515,16,3,27.825,32,40,0.2911301,317,11,16,1,8,3,18.2308,0.0413,0.0046,9,21,2,0,3,2.2228,0.5758,0.4614367,0.1703066,0.2911301
